name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank,province_en,province_th
Thungkru,ทุ่งครุ,383.12772386431266,10082.0,85.0,1,BangkokMetropolis,กรุงเทพมหานคร
BangBon,บางบอน,382.8887470332851,6910.0,99.0,2,BangkokMetropolis,กรุงเทพมหานคร
SaiMai,สายไหม,381.38022842126543,14841.0,116.0,3,BangkokMetropolis,กรุงเทพมหานคร
PhasiCharoen,ภาษีเจริญ,379.5449553817847,8696.0,58.0,4,BangkokMetropolis,กรุงเทพมหานคร
SaphanSung,สะพานสูง,379.4235962940825,8365.0,80.0,5,BangkokMetropolis,กรุงเทพมหานคร
BungKum,บึงกุ่ม,377.9026711609716,9716.0,68.0,6,BangkokMetropolis,กรุงเทพมหานคร
BangSu,บางซื่อ,376.71966437684006,7133.0,31.0,7,BangkokMetropolis,กรุงเทพมหานคร
BangKhae,บางแค,376.51385219219685,12841.0,138.0,8,BangkokMetropolis,กรุงเทพมหานคร
ChomThong,จอมทอง,375.6466568459518,8757.0,65.0,9,BangkokMetropolis,กรุงเทพมหานคร
ThonBuri,ธนบุร,375.5244721756365,6559.0,23.0,10,BangkokMetropolis,กรุงเทพมหานคร
KhlongSamWa,คลองสามวา,375.2846074173865,12619.0,254.0,11,BangkokMetropolis,กรุงเทพมหานคร
SuanLuang,สวนหลวง,374.97607537470134,13811.0,71.0,12,BangkokMetropolis,กรุงเทพมหานคร
Prawet,ประเวศ,372.6808945990705,18719.0,161.0,13,BangkokMetropolis,กรุงเทพมหานคร
KhanNaYao,คันนายาว,372.6636903250381,7876.0,70.0,14,BangkokMetropolis,กรุงเทพมหานคร
Nongkheam,หนองแขม,372.3247692307692,6578.0,96.0,15,BangkokMetropolis,กรุงเทพมหานคร
BangKhen,บางเขน,371.0236558835909,16631.0,115.0,16,BangkokMetropolis,กรุงเทพมหานคร
BangNa,บางนา,370.8615515004757,11563.0,61.0,17,BangkokMetropolis,กรุงเทพมหานคร
Bangkhuntien,บางขุนเทียน,370.62212284181913,13611.0,229.0,18,BangkokMetropolis,กรุงเทพมหานคร
Prakanong,พระโขนง,370.5314810175124,7823.0,33.0,19,BangkokMetropolis,กรุงเทพมหานคร
WangThonglang,วังทองหลาง,369.52546523597664,11463.0,50.0,20,BangkokMetropolis,กรุงเทพมหานคร
TalingChan,ตลิ่งชัน,368.90111072928596,7857.0,92.0,21,BangkokMetropolis,กรุงเทพมหานคร
MinBuri,มีนบุรี,367.6404005743982,7312.0,161.0,22,BangkokMetropolis,กรุงเทพมหานคร
