name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
PhayaThai,พญาไท,263.7902149090909,2750.0,25.0,1
PhraNakhon,พระนคร,216.5617458015267,1310.0,15.0,2
BangRak,บางรัก,210.2868359754125,3091.0,13.0,3
PathumWan,ปทุมวัน,208.77917980207465,8387.0,25.0,4
Dusit,ดุสิต,208.13665838509317,2415.0,33.0,5
Samphantawong,สัมพันธวงศ์,199.06527594339624,848.0,6.0,6
Wattana,วัฒนา,196.9287077450585,4958.0,38.0,7
PomPramSattru,ป้อมปราบศัตรูพ่าย,193.59997204301075,465.0,6.0,8
HuaiKwang,ห้วยขวาง,185.0542539339103,5084.0,42.0,9
Sathorn,สาทร,182.70378597968786,4037.0,21.0,10
KhlongToey,คลองเตย,176.4723233953665,5266.0,40.0,11
KhanNaYao,คันนายาว,176.38625683549978,2231.0,69.0,12
BangkokYai,บางกอกใหญ่,175.12507723577235,984.0,19.0,13
Chatuchak,จตุจักร,174.7076935322136,7978.0,93.0,14
LatPhrao,ลาดพร้าว,174.49066870095902,2294.0,61.0,15
Yannawa,ยานนาวา,174.354375,2648.0,41.0,16
DinDang,ดินแดง,172.82588246326978,3199.0,26.0,17
BangKhoLaem,บางคอแหลม,170.16986199898528,1971.0,23.0,18
DonMuang,ดอนเมือง,167.3515573286052,3384.0,90.0,19
BangKapi,บางกะปิ,165.38731452070334,7052.0,75.0,20
BangNa,บางนา,163.6709420800806,3971.0,61.0,21
TalingChan,ตลิ่งชัน,163.14529141104293,1304.0,90.0,22
BangkokNoi,บางกอกน้อย,162.68332293080056,2211.0,33.0,23
ThonBuri,ธนบุรี,161.98907485714287,1750.0,23.0,24
Prawet,ประเวศ,160.95873986844896,4713.0,161.0,25
KhlongSan,คลองสาน,160.46386869207004,1942.0,16.0,26
BangSu,บางซื่อ,160.3524750462107,2164.0,31.0,27
BangPlad,บางพลัด,159.36681044386424,1915.0,28.0,28
BungKum,บึงกุ่ม,159.29553717232486,2327.0,68.0,29
WangThonglang,วังทองหลาง,157.501857805255,4529.0,50.0,30
Prakanong,พระโขนง,154.5141222048882,1923.0,32.0,31
SuanLuang,สวนหลวง,152.32586601014623,3351.0,71.0,32
PhasiCharoen,ภาษีเจริญ,145.80443536324788,1872.0,58.0,33
BangKhen,บางเขน,145.73961495673672,3236.0,115.0,34
Bangkhuntien,บางขุนเทียน,142.51922100591716,3380.0,202.0,35
RatBurana,ราษฎร์บูรณะ,142.36081547924144,1951.0,40.0,36
Ratchathewi,ราชเทวี,139.85073394941634,4112.0,18.0,37
BangKhae,บางแค,139.79552544333075,2594.0,127.0,38
ChomThong,จอมทอง,139.67627859879585,1827.0,65.0,39
BangBon,บางบอน,139.33694479297367,1594.0,92.0,40
SaphanSung,สะพานสูง,138.2065840108401,1476.0,80.0,41
ThawiWattana,ทวีวัฒนา,137.53900559701492,1072.0,113.0,42
Thungkru,ทุ่งครุ,135.28870997876857,2355.0,79.0,43
LakSi,หลักสี่,135.12530892448513,2622.0,55.0,44
KhlongSamWa,คลองสามวา,133.99181838949173,1751.0,190.0,45
LatKrabang,ลาดกระบัง,133.66815710674703,5143.0,261.0,46
Nongkheam,หนองแขม,132.37600338000968,2071.0,93.0,47
MinBuri,มีนบุรี,126.96038522954092,2004.0,141.0,48
SaiMai,สายไหม,124.80926121842496,3365.0,116.0,49
NongChok,หนองจอก,83.92713515381956,2893.0,254.0,50
