name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
SanKamphaeng,สันกำแพง,354.139653188929,4155.0,268.0,1
Saraphi,สารภี,348.59750369778135,5003.0,252.0,2
HangDong,หางดง,347.204251940083,5541.0,313.0,3
SanSai,สันทราย,343.89568752295827,8167.0,411.0,4
DoiSaket,ดอยสะเก็ด,331.1479081094652,3983.0,327.0,5
MaeAi,แม่อาย,297.03900338983055,885.0,144.0,6
MaeRim,แม่ริม,296.4567970749543,4923.0,367.0,7
ChaiPrakarn,ไชยปราการ,295.53792153846155,650.0,87.0,8
Fang,ฝาง,290.8900126582279,1738.0,257.0,9
SanPaTong,สันป่าตอง,280.0282790055249,1448.0,220.0,10
MuangChiangMai,เมืองเชียงใหม่,274.3441186572352,24457.0,329.0,11
K.MaeOn,กิ่งแม่ออน,259.58836626139816,658.0,65.0,12
MaeWang,แม่วาง,258.86359426229507,488.0,81.0,13
Phrao,พร้าว,245.88986180904521,398.0,80.0,14
WiangHaeng,เวียงแหง,238.3517266881029,311.0,33.0,15
MaeTaeng,แม่แตง,237.93935548917102,1339.0,235.0,16
ChiangDao,เชียงดาว,235.55317431192663,1308.0,202.0,17
K.DoiLo,กิ่งดอยหล่อ,209.16391194968554,477.0,79.0,18
ChomThong,จอมทอง,202.78690798045602,1228.0,121.0,19
DoiTao,ดอยเต่า,174.6987441860465,129.0,22.0,20
Samoeng,สะเมิง,169.4336064257028,498.0,45.0,21
Hot,ฮอด,150.32716017316017,462.0,57.0,22
MaeChaem,แม่แจ่ม,149.02235216572507,1062.0,83.0,23
Omkoi,อมก๋อย,78.57981492109039,697.0,36.0,24
