name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
Samoeng,สะเมิง,215.22311637931034,232.0,43.0,1
MuangChiangMai,เมืองเชียงใหม่,145.50089296249473,7119.0,315.0,2
K.MaeOn,กิ่งแม่ออน,136.30031451612902,124.0,39.0,3
SanPaTong,สันป่าตอง,112.51049714285715,350.0,93.0,4
MaeRim,แม่ริม,110.38862160413971,1546.0,239.0,5
K.DoiLo,กิ่งดอยหล่อ,107.83544444444443,72.0,29.0,6
MaeChaem,แม่แจ่ม,107.09963186813187,182.0,62.0,7
HangDong,หางดง,102.76793638676844,786.0,186.0,8
Saraphi,สารภี,100.65703476821191,604.0,155.0,9
SanSai,สันทราย,100.26165379113019,1398.0,264.0,10
SanKamphaeng,สันกำแพง,88.48917718120805,745.0,153.0,11
ChiangDao,เชียงดาว,81.6746061452514,358.0,128.0,12
Fang,ฝาง,81.2461086474501,451.0,156.0,13
WiangHaeng,เวียงแหง,80.89014285714285,98.0,27.0,14
DoiSaket,ดอยสะเก็ด,80.10073720136519,586.0,190.0,15
ChaiPrakarn,ไชยปราการ,79.56529464285714,112.0,36.0,16
ChomThong,จอมทอง,78.88478504672896,321.0,102.0,17
Phrao,พร้าว,66.8675925925926,108.0,57.0,18
MaeTaeng,แม่แตง,65.78835897435897,429.0,136.0,19
MaeWang,แม่วาง,60.88045384615385,130.0,51.0,20
Hot,ฮอด,55.926345454545455,165.0,54.0,21
MaeAi,แม่อาย,48.283699228791775,389.0,76.0,22
DoiTao,ดอยเต่า,46.59792727272727,55.0,23.0,23
Omkoi,อมก๋อย,31.29228125,64.0,30.0,24
