name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
PhanThong,พานทอง,367.0656377445932,3884.0,262.0,1
SiRacha,ศรีราชา,357.8181967113612,18123.0,831.0,2
MuangChonBuri,เมืองชลบุรี,350.60162018282125,24833.0,563.0,3
K.KoChan,กิ่งเกาะจันทร์,343.11712933753944,634.0,109.0,4
BanBung,บ้านบึง,334.9760795354952,4564.0,445.0,5
Sattahip,สัตหีบ,326.40143131772106,8583.0,413.0,6
PhanatNikhom,พนัสนิคม,319.9683587459922,2807.0,400.0,7
NongYai,หนองใหญ่,313.02131904761904,630.0,118.0,8
BoThong,บ่อทอง,299.81144827586206,841.0,166.0,9
BangLamung,บางละมุง,293.92453596836145,43997.0,758.0,10
KoSichang,เกาะสีชัง,291.98106896551724,116.0,10.0,11
