name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
BangLamung,บางละมุง,153.10730902177673,14465.0,650.0,1
MuangChonBuri,เมืองชลบุรี,149.95452864512626,7366.0,513.0,2
SiRacha,ศรีราชา,139.60618277927875,8513.0,821.0,3
KoSichang,เกาะสีชัง,129.85179310344827,29.0,6.0,4
PhanThong,พานทอง,118.61990356798457,2074.0,226.0,5
Sattahip,สัตหีบ,113.20216536827195,2824.0,340.0,6
BanBung,บ้านบึง,102.48568414918415,1716.0,324.0,7
PhanatNikhom,พนัสนิคม,86.27020752427184,824.0,226.0,8
NongYai,หนองใหญ่,84.45195505617978,267.0,87.0,9
BoThong,บ่อทอง,71.42685652173913,230.0,85.0,10
K.KoChan,กิ่งเกาะจันทร์,69.68670621468927,177.0,57.0,11
