name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
K.NonSila,กิ่งโนนศิลา,466.1787784090909,176.0,33.0,1
WaengNoi,แวงน้อย,348.02025274725275,91.0,28.0,2
PhraYun,พระยืน,326.20437869822484,169.0,41.0,3
ManchaKhiri,มัญจาคีรี,320.70753827751196,418.0,86.0,4
Kranuan,กระนวน,320.3630690909091,550.0,72.0,5
MuangKhonKaen,เมืองขอนแก่น,319.68834758099047,14014.0,718.0,6
BanFang,บ้านฝาง,309.2885172413793,174.0,59.0,7
K.NongNaKham,กิ่งหนองนาคำ,307.1958813559322,59.0,17.0,8
Phon,พล,305.4069172932331,532.0,88.0,9
SiChomphu,สีชมพู,303.74755078125,256.0,54.0,10
ChumPhae,ชุมแพ,300.39649410503756,933.0,140.0,11
BanPhai,บ้านไผ่,293.4715257393209,913.0,123.0,12
WaengYai,แวงใหญ่,287.468096969697,165.0,30.0,13
NongRua,หนองเรือ,285.0323087149187,677.0,90.0,14
K.KhokPhoCha,กิ่งโคกโพธิ์ชัย,270.9815,102.0,31.0,15
K.SamSung,กิ่งซำสูง,258.69661904761904,42.0,21.0,16
NongSongHong,หนองสองห้อง,252.79953012048193,166.0,53.0,17
PhuWiang,ภูเวียง,250.79126046511627,215.0,70.0,18
KhaoSuanKwang,เขาสวนกวาง,245.07522033898306,118.0,30.0,19
WiangKao,ภูเวียง,239.64982608695652,23.0,13.0,20
UbolRatana,อุบลรัตน์,228.7798937007874,254.0,59.0,21
Chonnabot,ชนบท,228.76753273809524,336.0,56.0,22
K.BanHaet,กิ่งบ้านแฮด,220.13660714285714,112.0,36.0,23
NamPhong,น้ำพอง,203.91003237410072,834.0,148.0,24
PhupaMan,ภูผาม่าน,174.6948435114504,262.0,41.0,25
PuaiNoi,เปือยน้อย,165.48222727272727,22.0,9.0,26
