name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
MuangKhonKaen,เมืองขอนแก่น,462.0612647743486,13317.0,561.0,1
Phon,พล,439.29215759849905,533.0,69.0,2
BanPhai,บ้านไผ่,191.715822122571,669.0,104.0,3
K.SamSung,กิ่งซำสูง,152.8690588235294,34.0,10.0,4
WaengYai,แวงใหญ่,137.55620833333333,48.0,13.0,5
SiChomphu,สีชมพู,121.84145930232559,172.0,38.0,6
NamPhong,น้ำพอง,117.28607246376811,345.0,92.0,7
Chonnabot,ชนบท,117.11864516129032,62.0,20.0,8
ChumPhae,ชุมแพ,113.68551396648044,716.0,104.0,9
KhaoSuanKwang,เขาสวนกวาง,104.27254716981132,53.0,16.0,10
ManchaKhiri,มัญจาคีรี,103.21497159090909,176.0,38.0,11
K.NongNaKham,กิ่งหนองนาคำ,98.47906451612903,31.0,14.0,12
NongSongHong,หนองสองห้อง,93.91021678321678,143.0,44.0,13
UbolRatana,อุบลรัตน์,92.1447159090909,176.0,43.0,14
K.NonSila,กิ่งโนนศิลา,85.71973170731707,41.0,19.0,15
BanFang,บ้านฝาง,85.18987931034482,116.0,43.0,16
PuaiNoi,เปือยน้อย,83.93793333333333,15.0,8.0,17
WiangKao,ภูเวียง,80.81386363636364,22.0,15.0,18
NongRua,หนองเรือ,80.70203571428571,168.0,59.0,19
K.BanHaet,กิ่งบ้านแฮด,78.558875,56.0,27.0,20
Kranuan,กระนวน,75.9198282504013,623.0,55.0,21
K.KhokPhoCha,กิ่งโคกโพธิ์ชัย,74.73466666666667,24.0,12.0,22
PhupaMan,ภูผาม่าน,69.81419767441861,86.0,38.0,23
PhuWiang,ภูเวียง,66.72320588235294,68.0,26.0,24
PhraYun,พระยืน,62.733300970873785,103.0,36.0,25
WaengNoi,แวงน้อย,51.942674418604646,43.0,20.0,26
