name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
KhamThalaSo,ขามทะเลสอ,386.792175,320.0,58.0,1
K.BuaLai,กิ่งบัวลาย,384.6073626373626,91.0,39.0,2
KaengSanamNang,แก้งสนามนาง,368.9753684210526,133.0,41.0,3
NonSung,โนนสูง,362.2717925,800.0,189.0,4
ChumPhuang,ชุมพวง,361.34077715877436,359.0,112.0,5
K.MuangYang,กิ่งเมืองยาง,356.51163414634146,82.0,34.0,6
Phimai,พิมาย,353.56046720214187,1494.0,211.0,7
PakThongChai,ปักธงชัย,346.78209725315514,1347.0,204.0,8
Chakkarat,จักราช,345.82034463276835,177.0,75.0,9
NongBunnak,หนองบุญนาก,343.5541090909091,385.0,77.0,10
NonDaeng,โนนแดง,342.72915,100.0,37.0,11
KhonBuri,ครบุรี,341.0539351851852,540.0,122.0,12
ChokChai,โชคชัย,340.4688978201635,734.0,152.0,13
PraThai,ประทาย,340.2168245614035,342.0,100.0,14
SungNoen,สูงเนิน,338.0049704565801,1117.0,165.0,15
BanLuam,บ้านเหลื่อม,336.0964835164835,91.0,33.0,16
Khong,คง,328.36255531453367,461.0,117.0,17
SoengSang,เสิงสาง,325.48646696035246,454.0,92.0,18
K.PhraThongKham,กิ่งพระทองคำ,325.3345070422535,142.0,60.0,19
MuangNakhonRatchasima,เมืองนครราชสีมา,316.7777324407253,17925.0,912.0,20
DanKhunThot,ด่านขุนทด,316.59467647058824,850.0,178.0,21
Sikhiu,สีคิ้ว,313.074213483146,1869.0,246.0,22
BuaYai,บัวใหญ่,308.52271942446043,556.0,113.0,23
KhamSakaeSaeng,ขามสะแกแสง,307.4000996441281,281.0,62.0,24
K.Sida,กิ่งสีดา,299.473612244898,98.0,29.0,25
NonThai,โนนไทย,285.50615568862275,334.0,100.0,26
PakChong,ปากช่อง,273.04283076062643,8940.0,1032.0,27
WangNumKhiaw,วังน้ำเขียว,268.5231982881598,701.0,164.0,28
HuaiThalang,ห้วยแถลง,263.5516576819407,371.0,86.0,29
K.ThePhaRak,กิ่งเทพารักษ์,260.0790705128205,156.0,35.0,30
Chalermphrakiet,ชุมพวง,257.72189162561574,406.0,67.0,31
K.LamThaMenChai,กิ่งลำทะเมนชัย,243.75875555555555,135.0,38.0,32
