name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank
PakThongChai,ปักธงชัย,632.9143257142857,2100.0,140.0,1
MuangNakhonRatchasima,เมืองนครราชสีมา,374.9435887316059,25008.0,748.0,2
PakChong,ปากช่อง,280.5336254527892,4141.0,751.0,3
ChokChai,โชคชัย,267.5067441314554,852.0,99.0,4
NonSung,โนนสูง,218.55166832917703,802.0,125.0,5
K.MuangYang,กิ่งเมืองยาง,187.97875324675326,77.0,16.0,6
BuaYai,บัวใหญ่,173.57609863945578,294.0,63.0,7
KhamThalaSo,ขามทะเลสอ,162.52824137931034,116.0,34.0,8
ChumPhuang,ชุมพวง,137.176237704918,122.0,39.0,9
KhonBuri,ครบุรี,130.59161995249406,421.0,100.0,10
Phimai,พิมาย,127.70615538847117,399.0,113.0,11
Chalermphrakiet,ชุมพวง,123.36232450331126,151.0,44.0,12
SungNoen,สูงเนิน,123.12040082644627,484.0,128.0,13
NonDaeng,โนนแดง,122.86873333333334,105.0,31.0,14
K.PhraThongKham,กิ่งพระทองคำ,122.040925,80.0,33.0,15
Khong,คง,118.9975278810409,269.0,64.0,16
K.BuaLai,กิ่งบัวลาย,112.38492,25.0,21.0,17
K.Sida,กิ่งสีดา,111.60284,75.0,29.0,18
PraThai,ประทาย,105.7406447368421,152.0,31.0,19
SoengSang,เสิงสาง,104.50932972972973,185.0,67.0,20
KhamSakaeSaeng,ขามสะแกแสง,103.94952671755725,131.0,41.0,21
NongBunnak,หนองบุญนาก,103.85780434782608,138.0,53.0,22
DanKhunThot,ด่านขุนทด,102.13231920903955,354.0,113.0,23
BanLuam,บ้านเหลื่อม,101.93271428571428,21.0,8.0,24
K.ThePhaRak,กิ่งเทพารักษ์,92.03758064516128,31.0,15.0,25
WangNumKhiaw,วังน้ำเขียว,84.94335294117647,306.0,132.0,26
Chakkarat,จักราช,79.77236231884058,138.0,55.0,27
KaengSanamNang,แก้งสนามนาง,78.1647880794702,151.0,29.0,28
HuaiThalang,ห้วยแถลง,76.27372277227722,101.0,45.0,29
K.LamThaMenChai,กิ่งลำทะเมนชัย,72.82237681159421,69.0,32.0,30
Sikhiu,สีคิ้ว,72.07356586021506,744.0,181.0,31
NonThai,โนนไทย,70.52442790697675,215.0,56.0,32
