province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Kampong Thom,2023-Q1,2023,1,19.18244705655742,12.601012061085411,103.0825461046294,2659.0,2.0,True,Center,3,807254,199216.96,58
Phnom Penh,2023-Q1,2023,1,16.466971191166376,11.646166583886323,125.9138049493813,4445.0,1.0,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2023-Q2,2023,2,16.629264632909756,13.90096957244215,88.27248347107437,1453.0,2.0,True,Center,3,807254,199216.96,58
Phnom Penh,2023-Q2,2023,2,18.66860417536853,12.87509852735123,115.66702588726514,4790.0,1.0,True,Capital,1,2352851,199216.96,3465
Siem Reap,2023-Q2,2023,2,12.373653739716074,9.758528805280427,140.1831923076923,104.0,1.0,True,Northwest,1,1099825,199216.96,107
Battambang,2023-Q3,2023,3,9.711578882279618,11.751569220034266,64.41589552238807,134.0,1.0,True,Northwest,2,1132017,199216.96,97
Kampong Thom,2023-Q3,2023,3,28.371935693496308,31.15461201158526,72.54985139135576,5068.0,2.0,True,Center,3,807254,199216.96,58
Phnom Penh,2023-Q3,2023,3,19.1214517337921,16.98327305245866,90.1131906269791,7900.0,1.0,True,Capital,1,2352851,199216.96,3465
Siem Reap,2023-Q3,2023,3,11.443073620260796,12.06679780036746,92.99508695652176,391.0,1.0,True,Northwest,1,1099825,199216.96,107
Kampong Thom,2023-Q4,2023,4,28.8677124707074,28.04285203737537,66.04017258002314,5188.0,2.0,True,Center,3,807254,199216.96,58
Phnom Penh,2023-Q4,2023,4,22.52906804896304,20.281563395136327,95.1037507926443,7891.0,1.0,True,Capital,1,2352851,199216.96,3465
Siem Reap,2023-Q4,2023,4,43.17112492208495,46.6069517867781,61.01605073995768,473.0,1.0,True,Northwest,1,1099825,199216.96,107
Kampong Thom,2024-Q1,2024,1,23.81637398866069,21.515735915670295,69.3672172435105,3238.0,1.0,True,Center,3,807254,199216.96,58
Phnom Penh,2024-Q1,2024,1,25.067188027545832,21.040980434846517,85.32144819139384,12252.0,2.0,True,Capital,1,2352851,199216.96,3465
Preah Sihanouk,2024-Q1,2024,1,43.875650939756255,29.99814568742388,49.62689690721649,291.0,1.0,True,South,2,234702,199216.96,121
Siem Reap,2024-Q1,2024,1,24.986636886988936,26.69627923943191,56.21771461361901,1307.0,1.0,True,Northwest,1,1099825,199216.96,107
Kampong Thom,2024-Q2,2024,2,19.68560603808486,17.5453885890662,105.43273162985412,6927.0,1.0,True,Center,3,807254,199216.96,58
Phnom Penh,2024-Q2,2024,2,29.94896130959838,22.46175669480424,84.94390636944946,28000.0,1.0,True,Capital,1,2352851,199216.96,3465
Siem Reap,2024-Q2,2024,2,20.276610065972186,19.773282466643558,108.06799295774653,284.0,1.0,True,Northwest,1,1099825,199216.96,107
Kampong Thom,2024-Q3,2024,3,28.37238617279324,21.498696666047984,62.33067016238154,5914.0,1.0,True,Center,3,807254,199216.96,58
Phnom Penh,2024-Q3,2024,3,30.691330238468936,24.379349110116664,77.70920238822545,18010.0,1.0,True,Capital,1,2352851,199216.96,3465
Ratanakiri Province,2024-Q3,2024,3,27.86009884521638,11.49291540201036,57.57203669724771,327.0,1.0,True,Northeast,4,235852,199216.96,22
Kampong Thom,2024-Q4,2024,4,28.373407004224823,24.161580894770104,57.61728708551493,5730.0,1.0,True,Center,3,807254,199216.96,58
Phnom Penh,2024-Q4,2024,4,28.94449851197382,24.092815402217607,79.2483972960908,15684.0,1.0,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2025-Q1,2025,1,31.98303935545397,28.80298856789484,59.84839368231036,11089.0,2.0,True,Center,3,807254,199216.96,58
Phnom Penh,2025-Q1,2025,1,34.448030015818134,28.171245366165905,82.37534871641657,43527.0,1.0,True,Capital,1,2352851,199216.96,3465
Tbong Khmum,2025-Q1,2025,1,17.549823426084693,21.98838855703613,44.45637974683544,316.0,2.0,True,East,4,889970,199216.96,170
Kampong Thom,2025-Q2,2025,2,23.948840114868485,23.01444656870272,63.59907741027449,2842.0,1.0,True,Center,3,807254,199216.96,58
Phnom Penh,2025-Q2,2025,2,25.373638243706992,22.93651419582633,64.56049889875672,28158.0,1.0,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2025-Q3,2025,3,24.96614668206524,22.86391879793517,73.67392743362825,2260.0,1.0,True,Center,3,807254,199216.96,58
Phnom Penh,2025-Q3,2025,3,25.00567524634854,22.055223886826028,71.86318391061467,22384.0,1.0,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2025-Q4,2025,4,25.76830217147484,27.273568765796064,76.4046569536424,1510.0,1.0,True,Center,3,807254,199216.96,58
Phnom Penh,2025-Q4,2025,4,27.21549154829921,25.710584287500936,83.7625289347586,10854.0,1.0,True,Capital,1,2352851,199216.96,3465
