province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Aceh,2023-Q1,2023,1,15.747724433247894,6.03318622506912,75.89966940971675,63239,13,True,Sumatra,4,5626000,233536.0,99
Bali,2023-Q1,2023,1,15.904470835816094,10.354946005941008,73.40951589903233,151732,24,True,Lesser Sunda Islands,3,4461300,339360.0,799
Bangka Belitung,2023-Q1,2023,1,10.66101348898,7.067897837339936,76.92389144471349,2478,2,True,Sumatra,2,1550800,392960.0,93
Banten,2023-Q1,2023,1,15.876681511858502,8.39101011171365,61.17611002143617,407542,56,True,Java,2,12537400,371936.0,1340
Bengkulu,2023-Q1,2023,1,17.454715893668855,6.927283787674445,65.45886681176721,42762,3,True,Sumatra,4,2138000,263712.0,106
Central Java,2023-Q1,2023,1,11.475600116672128,6.846894944638926,71.16235621030195,1533780,168,True,Java,4,38233900,260512.0,1113
Central Kalimantan,2023-Q1,2023,1,13.558082179478752,7.493926593458388,78.47111189248895,27175,8,True,Kalimantan,1,2845000,423776.0,19
Central Sulawesi,2023-Q1,2023,1,9.405786682928332,4.76266154314755,142.77637687544657,25214,11,True,Sulawesi,1,3156100,541024.0,51
East Java,2023-Q1,2023,1,12.04127343393954,6.878560516863001,68.25459331408166,2466015,218,True,Java,2,42089300,404416.0,876
East Kalimantan,2023-Q1,2023,1,13.985480122738814,5.923582644234007,88.89518262941857,170964,15,True,Kalimantan,1,4267600,1229536.0,34
East Nusa Tenggara,2023-Q1,2023,1,13.617778669969804,5.719566885931945,98.02319618002642,29584,9,True,Lesser Sunda Islands,4,5742600,138592.0,124
Gorontalo,2023-Q1,2023,1,8.478024077264418,3.639950875580716,175.8318510941766,24565,4,True,Sulawesi,4,1242200,250400.0,103
Jakarta,2023-Q1,2023,1,19.84104988243171,12.169602240749482,71.93434482991773,1953149,144,True,Java,1,10678000,1850432.0,16141
Jambi,2023-Q1,2023,1,16.621594825040233,7.953355274297293,55.1493653813814,41648,7,True,Sumatra,1,3768500,439136.0,77
Lampung,2023-Q1,2023,1,13.097678155568152,6.154452737716359,81.55539826440331,112790,11,True,Sumatra,3,9522900,275840.0,284
Maluku,2023-Q1,2023,1,8.079064700548612,5.227848383957043,138.5805636472168,26824,5,True,Maluku Islands,4,1970600,175616.0,43
North Kalimantan,2023-Q1,2023,1,11.147485620928084,5.670158923139194,129.44960718014346,29721,5,True,Kalimantan,1,749400,1044576.0,11
North Maluku,2023-Q1,2023,1,11.172383630863989,5.588111917172465,154.08273740357788,12197,1,True,Maluku Islands,3,1373800,271520.0,44
North Sulawesi,2023-Q1,2023,1,10.153114007847703,4.455029833448554,145.28453404419938,41392,16,True,Sulawesi,2,2721400,364032.0,188
North Sumatra,2023-Q1,2023,1,16.232122012465464,8.50619377147982,71.24449681088431,317080,62,True,Sumatra,2,15785800,387744.0,218
Papua,2023-Q1,2023,1,10.481000095711916,4.925082731933474,226.57696443607733,29256,8,True,Western New Guinea,2,4600500,363936.0,15
Riau,2023-Q1,2023,1,13.968459413712944,7.716429484289072,63.6849387656411,165529,29,True,Sumatra,1,6811200,874688.0,76
Riau Islands,2023-Q1,2023,1,16.450975742552796,9.694647121304524,68.7791149005737,97330,11,True,Sumatra,1,2213500,876480.0,271
South Kalimantan,2023-Q1,2023,1,14.822320913251092,7.087137404040421,79.20427342571818,168560,16,True,Kalimantan,3,4323300,314688.0,116
