province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Bolikhamsai,2023-Q1,2023,1,14.844528530145473,11.080293600496852,154.95414285714276,322.0,1.0,True,Central,3,330700,258574.08,22
Champasak,2023-Q1,2023,1,12.453606319002336,8.953650457631726,148.0906019417476,103.0,3.0,True,South,1,781200,258574.08,51
Vientiane Capital,2023-Q1,2023,1,16.764536300267988,12.614707106875194,134.58756808510628,470.0,1.0,True,Central,1,1009300,258574.08,257
Bolikhamsai,2023-Q2,2023,2,15.862899641765708,14.21748580088207,119.96782907662086,509.0,3.0,True,Central,3,330700,258574.08,22
Vientiane Capital,2023-Q2,2023,2,22.019638856695707,12.96687962497364,116.59558603491266,401.0,1.0,True,Central,1,1009300,258574.08,257
Bolikhamsai,2023-Q3,2023,3,15.048396924187951,14.026944450446,108.50380538922164,1002.0,2.0,True,Central,3,330700,258574.08,22
Vientiane Capital,2023-Q3,2023,3,18.41407032201751,12.491817659162084,104.54007750472604,529.0,1.0,True,Central,1,1009300,258574.08,257
Bolikhamsai,2023-Q4,2023,4,18.42611501253368,16.015986991236826,119.44437482319664,707.0,3.0,True,Central,3,330700,258574.08,22
Champasak,2023-Q4,2023,4,13.26670435648296,13.062060028100564,136.86197478991596,119.0,1.0,True,South,1,781200,258574.08,51
Vientiane Capital,2023-Q4,2023,4,20.112465705447,12.448539995108346,130.06316849816855,546.0,1.0,True,Central,1,1009300,258574.08,257
Bolikhamsai,2024-Q1,2024,1,18.873697909071648,16.145976348983744,95.1172857142857,833.0,2.0,True,Central,3,330700,258574.08,22
Vientiane Capital,2024-Q1,2024,1,25.73319466616165,17.91430433875627,95.47847746243734,1198.0,1.0,True,Central,1,1009300,258574.08,257
Bolikhamsai,2024-Q2,2024,2,17.987440013832604,18.1951645213394,143.43272248803822,418.0,2.0,True,Central,3,330700,258574.08,22
Vientiane Capital,2024-Q2,2024,2,23.38740733162737,19.825863567617827,132.88100395569614,3792.0,1.0,True,Central,1,1009300,258574.08,257
Attapeu,2024-Q3,2024,3,18.501744631107137,18.30789522345509,83.92155454545455,110.0,1.0,True,South,4,167000,258574.08,16
Bolikhamsai,2024-Q3,2024,3,25.14295525607544,19.63459770636861,96.78903000000004,100.0,2.0,True,Central,3,330700,258574.08,22
Champasak,2024-Q3,2024,3,10.81445515834124,5.7810042408652365,243.1676642857142,280.0,2.0,True,South,1,781200,258574.08,51
Vientiane Capital,2024-Q3,2024,3,22.458101718739343,18.61405887760575,121.9908609013396,4107.0,1.0,True,Central,1,1009300,258574.08,257
Attapeu,2024-Q4,2024,4,17.240449932763497,18.405562241288788,76.21630392156862,102.0,1.0,True,South,4,167000,258574.08,16
Bolikhamsai,2024-Q4,2024,4,14.629324243750604,12.891989434097589,101.06010136452244,513.0,2.0,True,Central,3,330700,258574.08,22
Champasak,2024-Q4,2024,4,7.042911888607501,4.190033511897572,329.554627118644,118.0,1.0,True,South,1,781200,258574.08,51
Vientiane Capital,2024-Q4,2024,4,22.0125043522636,17.899906564590175,141.60822838401913,1677.0,1.0,True,Central,1,1009300,258574.08,257
Attapeu,2025-Q1,2025,1,22.16161266493024,21.89643937697375,101.93023033707864,178.0,1.0,True,South,4,167000,258574.08,16
Bolikhamsai,2025-Q1,2025,1,36.761578100457776,18.53274102204501,93.27231891634972,2105.0,3.0,True,Central,3,330700,258574.08,22
Luang Prabang,2025-Q1,2025,1,41.82793056448424,31.48629073964317,82.00626625387002,323.0,1.0,True,North,2,477700,258574.08,28
Vientiane Capital,2025-Q1,2025,1,80.46704776334201,79.9513659359516,93.4533171585034,6575.0,1.0,True,Central,1,1009300,258574.08,257
Xaignabouli,2025-Q1,2025,1,28.297833639723773,16.67315019044028,193.57230337078656,267.0,1.0,True,North,2,439400,258574.08,27
Attapeu,2025-Q2,2025,2,82.20731547169028,79.56078311265749,83.83687559808612,209.0,1.0,True,South,4,167000,258574.08,16
Bolikhamsai,2025-Q2,2025,2,21.138253808930905,20.663837445418014,98.61483483483488,333.0,2.0,True,Central,3,330700,258574.08,22
Luang Prabang,2025-Q2,2025,2,29.92794486506196,24.403872366119504,89.78390760869569,184.0,1.0,True,North,2,477700,258574.08,28
Vientiane Capital,2025-Q2,2025,2,29.540554814041126,29.22829314066967,92.13317173607848,2140.0,1.0,True,Central,1,1009300,258574.08,257
Bolikhamsai,2025-Q3,2025,3,26.96983407728717,27.944006147729965,89.31709090909094,187.0,2.0,True,Central,3,330700,258574.08,22
Vientiane Capital,2025-Q3,2025,3,25.528196149476397,23.625525390132008,120.01378093138555,3631.0,1.0,True,Central,1,1009300,258574.08,257
Xaisomboun,2025-Q3,2025,3,23.402235093549127,26.389503012660285,80.80080144404327,277.0,1.0,True,Central,4,116800,258574.08,14
Attapeu,2025-Q4,2025,4,25.49499044853176,27.956067113690523,84.07407978723403,188.0,1.0,True,South,4,167000,258574.08,16
Bolikhamsai,2025-Q4,2025,4,27.803820906830325,33.37368879442342,246.961647887324,142.0,2.0,True,Central,3,330700,258574.08,22
Vientiane Capital,2025-Q4,2025,4,31.133372397728337,32.67906208188157,151.8635886148008,2635.0,1.0,True,Central,1,1009300,258574.08,257
