province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Johor,2023-Q1,2023,1,77.61587480772403,30.98497675509177,56.28097954790097,1859,41,True,Southern,3,4186300,771125.44,218
Kedah,2023-Q1,2023,1,65.0295869176475,29.36765224517321,63.29731161473088,353,28,True,Northern,4,2217500,498386.88,233
Kelantan,2023-Q1,2023,1,25.75068330176624,10.083131786383444,62.15883042394013,1203,16,True,East Coast,4,1888500,329456.96,125
Kuala Lumpur,2023-Q1,2023,1,88.8405221094316,31.391203333288605,53.79667938608844,14209,46,True,Central,1,2067500,2352939.2,8508
Malacca,2023-Q1,2023,1,34.54151611339474,16.63990835129772,97.38275055187636,453,13,True,Southern,2,1047100,943118.72,629
Negeri Sembilan,2023-Q1,2023,1,71.033185044235,23.59476197083915,52.428075117370895,426,17,True,Central,2,1240100,940668.16,185
Pahang,2023-Q1,2023,1,37.07785988304997,16.15766444003738,62.97069597069599,273,19,True,East Coast,3,1668200,873358.72,46
Penang,2023-Q1,2023,1,64.21037759110158,36.89296973206499,71.8708040682022,3343,37,True,Northern,2,1800400,1261809.92,1718
Perak,2023-Q1,2023,1,64.77699209502849,27.713357422860387,57.35957953144267,812,37,True,Northern,3,2569600,725960.64,122
Putrajaya,2023-Q1,2023,1,98.53321999106156,65.50611062693766,48.44735714285715,238,4,True,Central,1,120300,2352939.2,2455
Sabah,2023-Q1,2023,1,36.61046043468918,17.166616351670267,103.73269141039236,943,22,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2023-Q1,2023,1,46.15654181053444,22.884660914461275,95.9561406445166,4004,24,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2023-Q1,2023,1,50.86671765979249,16.65648391990647,54.226207211726006,17944,82,True,Central,2,7363400,1097869.12,909
Terengganu,2023-Q1,2023,1,48.70279029133431,20.52993800065293,42.73765,100,12,True,East Coast,3,1232100,653312.32,95
Johor,2023-Q2,2023,2,71.69906433026104,30.08341706121976,60.47340769583142,2185,48,True,Southern,3,4186300,771125.44,218
Kedah,2023-Q2,2023,2,66.16721017361841,24.97540987984842,65.76920274914089,291,34,True,Northern,4,2217500,498386.88,233
Kelantan,2023-Q2,2023,2,25.424527735668857,10.501636333322285,51.87996053395239,1723,12,True,East Coast,4,1888500,329456.96,125
Kuala Lumpur,2023-Q2,2023,2,85.79518494199309,27.606078373621312,48.184035633356,17659,37,True,Central,1,2067500,2352939.2,8508
Malacca,2023-Q2,2023,2,60.51781785200698,26.727441355012225,58.91909090909091,297,13,True,Southern,2,1047100,943118.72,629
Negeri Sembilan,2023-Q2,2023,2,55.23603258039296,20.36646477119653,47.30793842105262,1900,17,True,Central,2,1240100,940668.16,185
Pahang,2023-Q2,2023,2,112.88642689068028,46.98228328934658,42.00221897810219,137,22,True,East Coast,3,1668200,873358.72,46
Penang,2023-Q2,2023,2,65.49367048829978,30.79834922378389,114.71283686141685,3544,43,True,Northern,2,1800400,1261809.92,1718
Perak,2023-Q2,2023,2,77.54795547682502,30.20767826077421,48.10438665132336,869,32,True,Northern,3,2569600,725960.64,122
Putrajaya,2023-Q2,2023,2,143.82675329588602,68.2308932270952,52.695095238095234,105,4,True,Central,1,120300,2352939.2,2455
Sabah,2023-Q2,2023,2,31.08485429531637,14.989623996074862,97.40566542750928,1076,17,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2023-Q2,2023,2,44.55615105326858,28.911195323056496,90.90047228633044,26434,23,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2023-Q2,2023,2,53.59693851972232,22.47695860610948,72.09264159254552,11808,78,True,Central,2,7363400,1097869.12,909
Terengganu,2023-Q2,2023,2,33.70207487587742,11.780408430545412,53.16787596899225,258,17,True,East Coast,3,1232100,653312.32,95
Johor,2023-Q3,2023,3,93.65211474300142,33.64610918209255,38.29336431666011,2542,43,True,Southern,3,4186300,771125.44,218
Kedah,2023-Q3,2023,3,128.93998193801409,29.590187846180683,37.304729292929295,495,30,True,Northern,4,2217500,498386.88,233
