province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Bago,2023-Q1,2023,1,7.804802560771269,8.304276976785333,235.73870769230768,130.0,1.0,True,Lower Myanmar / Delta-Coastal,2,4867373,165710.4,124
Mandalay,2023-Q1,2023,1,16.592645016135144,9.995477169663175,128.62272868217056,129.0,1.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2023-Q1,2023,1,16.592645016135144,8.065213284479556,128.62272868217056,129.0,1.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2023-Q1,2023,1,10.727292271036108,9.995477169663175,189.89038329809725,4732.0,5.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2023-Q1,2023,1,10.727292271036108,8.065213284479556,189.89038329809725,4732.0,5.0,True,Central Dry Zone,1,7325965,165710.4,163
Shan,2023-Q1,2023,1,13.40566120380864,7.9489595742365475,166.32474161073827,298.0,2.0,True,Eastern Highlands,3,5824432,165710.4,37
Yangon,2023-Q1,2023,1,11.49263777560924,8.05574652411219,200.71572332529232,5391.0,4.0,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Mandalay,2023-Q2,2023,2,10.351361582207709,8.872786487084582,185.8192755290733,4870.0,5.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2023-Q2,2023,2,10.351361582207709,8.265737874303168,185.8192755290733,4870.0,5.0,True,Central Dry Zone,1,7325965,165710.4,163
Yangon,2023-Q2,2023,2,11.450907118037254,7.827732034673863,190.26409190556487,3560.0,7.0,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Ayeyarwady,2023-Q3,2023,3,8.577752626074192,6.927792592939639,178.91310160427807,187.0,2.0,True,Lower Myanmar / Delta-Coastal,1,6184829,165710.4,177
Mandalay,2023-Q3,2023,3,17.736677526715756,9.854716170172502,148.0329934640523,153.0,1.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2023-Q3,2023,3,17.736677526715756,11.103053614696009,148.0329934640523,153.0,1.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2023-Q3,2023,3,10.810876959000016,9.854716170172502,162.75759012199913,10174.0,4.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2023-Q3,2023,3,10.810876959000016,11.103053614696009,162.75759012199913,10174.0,4.0,True,Central Dry Zone,1,7325965,165710.4,163
Shan,2023-Q3,2023,3,9.601881951590702,8.940002198656568,145.5542969924812,267.0,2.0,True,Eastern Highlands,3,5824432,165710.4,37
Tanitharyi,2023-Q3,2023,3,10.020436817845557,10.186341220345492,170.2606742857143,175.0,1.0,True,Lower Myanmar / Delta-Coastal,4,1408401,165710.4,32
Yangon,2023-Q3,2023,3,10.971588155923042,9.718522708472266,181.86338323016324,5334.0,9.0,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Ayeyarwady,2023-Q4,2023,4,9.461239858217722,9.523562112624948,158.9656358024691,162.0,1.0,True,Lower Myanmar / Delta-Coastal,1,6184829,165710.4,177
Mandalay,2023-Q4,2023,4,11.48946131435173,11.664636759509388,168.75033255459618,9855.0,3.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2023-Q4,2023,4,11.48946131435173,10.900906782153353,168.75033255459618,9855.0,3.0,True,Central Dry Zone,1,7325965,165710.4,163
Shan,2023-Q4,2023,4,11.519806306592518,9.274585175097696,169.6464803921569,309.0,2.0,True,Eastern Highlands,3,5824432,165710.4,37
Tanitharyi,2023-Q4,2023,4,5.990863748166751,6.437574945163951,213.4990072992701,137.0,1.0,True,Lower Myanmar / Delta-Coastal,4,1408401,165710.4,32
Yangon,2023-Q4,2023,4,15.177016148237763,10.362947418941843,180.9619943851769,5347.0,10.0,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Ayeyarwady,2024-Q1,2024,1,13.212562808697722,12.507524305691168,107.44929836829836,859.0,1.0,True,Lower Myanmar / Delta-Coastal,1,6184829,165710.4,177
Mandalay,2024-Q1,2024,1,12.321591730097916,11.40073839779512,152.5093020882399,12744.0,8.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2024-Q1,2024,1,12.321591730097916,14.787226416769547,152.5093020882399,12744.0,8.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2024-Q1,2024,1,17.255858909379896,11.40073839779512,125.9564756302521,595.0,1.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2024-Q1,2024,1,17.255858909379896,14.787226416769547,125.9564756302521,595.0,1.0,True,Central Dry Zone,1,7325965,165710.4,163
Shan,2024-Q1,2024,1,11.99037711656096,11.12450938728766,135.76546410579346,1588.0,2.0,True,Eastern Highlands,3,5824432,165710.4,37
Tanitharyi,2024-Q1,2024,1,7.864376766234197,9.25343679913582,171.93381304347827,232.0,1.0,True,Lower Myanmar / Delta-Coastal,4,1408401,165710.4,32
Yangon,2024-Q1,2024,1,12.161016774880144,11.340254679082513,152.83917073422427,19385.0,9.0,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Ayeyarwady,2024-Q2,2024,2,12.172927006157362,11.8518166043889,111.5870955465587,1235.0,1.0,True,Lower Myanmar / Delta-Coastal,1,6184829,165710.4,177
Mandalay,2024-Q2,2024,2,12.17589615031792,13.584629221415948,143.5957616238989,26126.0,4.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2024-Q2,2024,2,12.17589615031792,11.195385575098994,143.5957616238989,26126.0,4.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2024-Q2,2024,2,14.287813620283806,13.584629221415948,160.93235924932975,2612.0,1.0,True,Central Dry Zone,1,7325965,165710.4,163
Mandalay,2024-Q2,2024,2,14.287813620283806,11.195385575098994,160.93235924932975,2612.0,1.0,True,Central Dry Zone,1,7325965,165710.4,163
Shan,2024-Q2,2024,2,12.953012038317448,13.931246539073166,138.20288611315212,1361.0,3.0,True,Eastern Highlands,3,5824432,165710.4,37
Yangon,2024-Q2,2024,2,11.986910925099243,11.39515740182792,170.12720209973762,39302.0,6.0,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Ayeyarwady,2024-Q3,2024,3,13.988039520563554,13.424567014869346,94.82366847826088,1288.0,1.0,True,Lower Myanmar / Delta-Coastal,1,6184829,165710.4,177
Kachin,2024-Q3,2024,3,14.019446862002084,13.437485420818984,178.65861538461542,130.0,1.0,True,Northern / Western Highlands,4,1689441,165710.4,19
Kayah,2024-Q3,2024,3,15.880397670012645,12.182989897517428,134.10969672131148,122.0,1.0,True,Eastern Highlands,4,286627,165710.4,24
Mandalay,2024-Q3,2024,3,16.115202576511034,18.32378767576134,111.92176172271202,38459.0,3.0,True,Central Dry Zone,1,7325965,165710.4,163
