province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
ARMM,2023-Q1,2023,1,27.442635164523125,18.25865611187263,88.57044280271352,10775,5,True,Mindanao,4,4545486,91028.33,330
Bicol Region,2023-Q1,2023,1,50.3550033468626,37.49394572219,54.69544979358498,172604,82,True,Luzon,4,6064426,142596.8,319
CAR,2023-Q1,2023,1,53.00688825228508,36.95402913999956,81.66414724797416,154317,18,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2023-Q1,2023,1,45.32964455982075,33.26803640236102,66.32557427712439,67909,64,True,Luzon,3,3777608,185618.02,122
Calabarzon,2023-Q1,2023,1,53.30565631317088,39.39915295150836,76.51603884257877,1586781,169,True,Luzon,2,16933234,259765.51,854
Caraga,2023-Q1,2023,1,31.55178940188427,18.751046935828217,86.22558057319372,40836,31,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2023-Q1,2023,1,58.00973738402791,39.463656434815086,57.60027945986106,892939,170,True,Luzon,2,12989074,263326.87,510
Central Visayas,2023-Q1,2023,1,55.787122368720695,37.80574644782882,84.603388909605,839832,92,True,Visayas,2,6640875,245591.3,647
Davao Region,2023-Q1,2023,1,46.71013196700847,31.93546434253693,112.88115706106184,528230,41,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2023-Q1,2023,1,27.588991174641468,18.36919357301443,84.21206244666433,39877,45,True,Visayas,4,4625929,147867.62,191
Ilocos Region,2023-Q1,2023,1,46.76877953971292,31.18630997243748,70.97866285290777,129582,91,True,Luzon,3,5342453,193453.01,386
Mimaropa,2023-Q1,2023,1,40.51531213262513,27.959577486033695,63.08998359989159,29538,28,True,Luzon,3,3245446,190888.83,100
NCR,2023-Q1,2023,1,58.14898657045878,39.36130867309157,66.30770854083296,2857840,87,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2023-Q1,2023,1,48.22114274488244,32.936772869889026,90.96750945438116,319009,58,True,Mindanao,1,5178326,291746.51,229
Soccsksargen,2023-Q1,2023,1,40.278991047006535,24.69910951348441,107.96769492128848,64648,29,True,Mindanao,4,4462776,175147.62,202
Western Visayas,2023-Q1,2023,1,42.42190532813731,28.54826191768588,95.35409723465511,226907,75,True,Visayas,2,9766855,196943.14,372
Zamboanga Peninsula,2023-Q1,2023,1,49.54812245274376,28.13761454360742,90.96245702981528,59941,21,True,Mindanao,4,5089934,179848.62,213
ARMM,2023-Q2,2023,2,25.252787672247837,18.158590873601124,100.03509332337885,9385,4,True,Mindanao,4,4545486,91028.33,330
Bicol Region,2023-Q2,2023,2,52.726941239389376,36.61871987024568,55.37431587707096,171954,80,True,Luzon,4,6064426,142596.8,319
CAR,2023-Q2,2023,2,58.40460334898221,42.77803159712021,78.20943029955308,165665,18,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2023-Q2,2023,2,48.50592655737788,37.13917317864259,65.12613815217769,57560,49,True,Luzon,3,3777608,185618.02,122
Calabarzon,2023-Q2,2023,2,59.37107749061433,46.04355954015647,75.01837141649753,1555292,174,True,Luzon,2,16933234,259765.51,854
Caraga,2023-Q2,2023,2,37.46719849095511,30.026135223122942,96.95877803131631,50875,32,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2023-Q2,2023,2,57.890501505380605,44.52354011239144,54.731211954673206,826423,181,True,Luzon,2,12989074,263326.87,510
Central Visayas,2023-Q2,2023,2,58.645453424039474,44.06429701267088,85.32438752688,856469,97,True,Visayas,2,6640875,245591.3,647
Davao Region,2023-Q2,2023,2,48.23637268901204,36.26654880061975,111.658564484667,604659,42,True,Mindanao,1,5389422,290535.65,245
