province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Amnat Charoen,2023-Q1,2023,1,64.42626776853518,35.014625117011995,160.03542265529842,822,5,True,Northeastern,4,372000,253897.82,113
Ang Thong,2023-Q1,2023,1,75.61112310047419,47.99705627180227,127.25315245843647,2827,7,True,Central,3,269000,468881.2,283
Bangkok Metropolis,2023-Q1,2023,1,88.93405634552005,58.77244136431112,100.9290369557285,811120,49,True,Bangkok & Vicinity,1,5456000,1957179.52,3488
Bueng Kan,2023-Q1,2023,1,52.88063096564324,33.56945965175839,182.76467741935485,373,5,True,Northeastern,4,419000,264149.56,105
Buri Ram,2023-Q1,2023,1,65.52857937340625,41.378570804276514,139.44571155778894,3982,14,True,Northeastern,4,1566000,265879.6,155
Chachoengsao,2023-Q1,2023,1,119.6824695119594,77.23177165022173,100.48185024638128,12991,12,True,Eastern,2,733000,1319396.7,142
Chai Nat,2023-Q1,2023,1,58.44776915063618,43.41433922248115,173.2096623164763,613,5,True,Central,3,314000,447066.18,131
Chaiyaphum,2023-Q1,2023,1,49.89971188954624,31.84873805772748,176.24468571428574,805,5,True,Northeastern,4,1106000,240999.93,88
Chanthaburi,2023-Q1,2023,1,72.01071843999763,55.14149106497582,111.4807161892072,4504,7,True,Eastern,2,536000,801807.38,83
Chiang Mai,2023-Q1,2023,1,56.33424307142972,43.39132445812261,164.0595323415728,97573,21,True,Northern,2,1799000,439285.93,79
Chiang Rai,2023-Q1,2023,1,51.65258896788953,41.52059315106903,161.55541173454424,13657,10,True,Northern,3,1298000,297247.75,112
Chon Buri,2023-Q1,2023,1,91.18822665038655,60.649602763662905,104.37755076072892,113678,12,True,Eastern,1,1636000,1726754.27,363
Chumphon,2023-Q1,2023,1,58.7529116633928,50.06643891073987,109.99632273641848,4976,6,True,Southern,2,508000,856298.79,84
Kalasin,2023-Q1,2023,1,55.51046010580185,42.80521666214813,137.55688357771265,3411,12,True,Northeastern,4,962000,255047.88,139
Kamphaeng Phet,2023-Q1,2023,1,69.65834536178761,52.95850853227682,148.3754641081218,7847,10,True,Northern,3,701000,467892.6,82
Kanchanaburi,2023-Q1,2023,1,64.36023047701285,43.364420838121504,97.12087421383649,2385,6,True,Western,3,896000,419708.43,46
Khon Kaen,2023-Q1,2023,1,58.32424427010182,44.500196674363146,178.37467268279647,48670,13,True,Northeastern,3,1772000,410231.09,166
Krabi,2023-Q1,2023,1,60.21082362284572,57.87763371344746,100.80321877869606,4357,6,True,Southern,2,484000,555432.78,91
Lampang,2023-Q1,2023,1,49.9075621390876,32.43940235000825,157.07266350446432,7184,13,True,Northern,3,704000,345197.95,56
Lamphun,2023-Q1,2023,1,63.72098285669216,52.26654844530295,147.54712121212123,2412,7,True,Northern,2,397000,746271.35,89
Loei,2023-Q1,2023,1,56.87197575411944,47.64877375032852,133.50008306414398,2168,7,True,Northeastern,4,632000,346684.14,60
Lop Buri,2023-Q1,2023,1,115.59734033375706,70.47869191164283,104.6212475092354,8934,12,True,Central,3,725000,468881.2,111
