province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
AnGiang,2023-Q1,2023,1,28.38037119909278,31.584572532156432,110.8297111681643,779,13,True,,,,,
BàRịa-VũngTàu,2023-Q1,2023,1,35.19566898217346,28.49253709524264,113.34275859872616,1570,9,True,,,,,
BìnhDương,2023-Q1,2023,1,31.687039067896027,25.492240035125835,108.778675900277,722,11,True,,,,,
BìnhPhước,2023-Q1,2023,1,28.98353507447889,24.89525871924848,124.87492028985504,276,8,True,,,,,
BìnhThuận,2023-Q1,2023,1,31.66164024443883,29.740104273080263,96.69019626168225,321,7,True,,,,,
BìnhĐịnh,2023-Q1,2023,1,25.235116058046746,24.317138741734265,159.3273982300885,1017,15,True,,,,,
BạcLiêu,2023-Q1,2023,1,37.22316855965439,22.4082249165794,90.02317514124294,177,1,True,,,,,
BắcGiang,2023-Q1,2023,1,19.94358126967572,21.660970290005185,188.31413837283796,1561,5,True,,,,,
BắcNinh,2023-Q1,2023,1,23.809192178335334,23.98956583174821,168.30133451015004,1133,7,True,,,,,
BếnTre,2023-Q1,2023,1,34.12962506182179,31.566713915224614,100.08975581395346,689,5,True,,,,,
CaoBằng,2023-Q1,2023,1,16.30663862445794,24.50176897334634,189.19944859813089,107,1,True,,,,,
CàMau,2023-Q1,2023,1,29.09290226430188,28.09761967589803,118.03054923413568,457,3,True,,,,,
CầnThơ,2023-Q1,2023,1,33.77810498801625,30.56998339129722,110.5313436161097,2334,8,True,,,,,
GiaLai,2023-Q1,2023,1,21.520696951654088,22.73867412512388,192.5650353302611,651,2,True,,,,,
HoàBình,2023-Q1,2023,1,15.799128593248186,17.26245587965395,198.2369285714286,462,4,True,,,,,
HàNam,2023-Q1,2023,1,12.36412597728596,22.322312786905748,222.78031761006287,318,5,True,,,,,
HàNội,2023-Q1,2023,1,25.92054090890692,26.008101420124078,176.36770617990615,30065,23,True,,,,,
HàTĩnh,2023-Q1,2023,1,22.564276338030982,23.46876226228505,175.1676586666667,375,4,True,,,,,
HưngYên,2023-Q1,2023,1,18.7674899378155,20.680034956458325,205.20107500000003,680,3,True,,,,,
HảiDương,2023-Q1,2023,1,20.83849152339604,25.476232330190644,198.77971004566217,1315,5,True,,,,,
HảiPhòng,2023-Q1,2023,1,18.01772730855059,21.94622214728184,215.89409130913083,2728,4,True,,,,,
HậuGiang,2023-Q1,2023,1,24.606515017461057,25.010384963534563,149.26065011820333,423,6,True,,,,,
HồChíMinh,2023-Q1,2023,1,38.14753034631824,30.191643155666156,116.77996242856698,31684,42,True,,,,,
KhánhHòa,2023-Q1,2023,1,22.804762993757414,24.5973874106942,171.63891364687743,1298,7,True,,,,,
KiênGiang,2023-Q1,2023,1,31.65250632460559,20.828842116032988,116.4082751235585,607,5,True,,,,,
KonTum,2023-Q1,2023,1,24.41153058454833,24.31265137018633,190.96375862068965,116,2,True,,,,,
LongAn,2023-Q1,2023,1,28.011771464812288,27.223934374961438,111.22987215909087,704,6,True,,,,,
LàoCai,2023-Q1,2023,1,21.829723178289484,22.56937761648756,200.82721726190476,336,5,True,,,,,
LâmĐồng,2023-Q1,2023,1,37.327012604996256,26.702560198400697,119.62615147625162,779,8,True,,,,,
LạngSơn,2023-Q1,2023,1,33.26256472577864,49.6689574219902,216.2817948717949,312,3,True,,,,,
NamĐịnh,2023-Q1,2023,1,16.8140420668792,21.712867393043638,198.7721606805293,1058,5,True,,,,,
NghệAn,2023-Q1,2023,1,18.62777628957785,21.71595093937466,202.2269395910781,1076,21,True,,,,,
