province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Kampong Thom,2023-Q1,2023,1,16.942149574894934,5.481034859398297,123.47617978519936,13594.0,1.0,False,Center,3,807254,2167.4,58,6225.53,199216.96
Phnom Penh,2023-Q1,2023,1,14.54199583960806,6.955191408741421,169.3739420620438,2192.0,1.0,False,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Pursat,2023-Q1,2023,1,12.0998817002856,6.052613348002871,85.5318,5.0,1.0,False,West,4,516072,2167.4,41,6225.53,199216.96
Takeo,2023-Q1,2023,1,15.466607392088184,8.219752563399688,106.67907499999998,40.0,1.0,False,South,1,1097243,2167.4,308,6225.53,199216.96
Kampong Thom,2023-Q2,2023,2,11.680324366797558,7.630776810603509,105.55078353727077,31137.0,1.0,False,Center,3,807254,2167.4,58,6225.53,199216.96
Pailin,2023-Q2,2023,2,10.101433747967755,7.632815265695129,95.74315384615385,13.0,1.0,False,West,2,79445,2167.4,99,6225.53,199216.96
Phnom Penh,2023-Q2,2023,2,16.234642330708592,7.410245311153524,126.0463594858156,2256.0,1.0,False,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Takeo,2023-Q2,2023,2,12.258107216001699,10.862305509597892,136.793325,40.0,1.0,False,South,1,1097243,2167.4,308,6225.53,199216.96
Kampong Thom,2023-Q3,2023,3,15.802756632318255,4.957559444812907,104.45848875492696,8626.0,1.0,False,Center,3,807254,2167.4,58,6225.53,199216.96
Pailin,2023-Q3,2023,3,25.371471444020294,10.685829904778553,84.3961,10.0,1.0,False,West,2,79445,2167.4,99,6225.53,199216.96
Phnom Penh,2023-Q3,2023,3,14.554056432937603,7.859535811638272,101.21934141888367,3834.0,1.0,False,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Takeo,2023-Q3,2023,3,9.618242655248363,9.087709610525485,86.1864,15.0,1.0,False,South,1,1097243,2167.4,308,6225.53,199216.96
Kampong Thom,2023-Q4,2023,4,25.222158293633058,8.763291756001607,76.76625073135057,8204.0,2.0,False,Center,3,807254,2167.4,58,6225.53,199216.96
Phnom Penh,2023-Q4,2023,4,16.988676065020993,11.120798705367926,87.6372221646815,3862.0,1.0,False,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Takeo,2023-Q4,2023,4,9.318831219629152,6.239607275132113,64.65705555555554,18.0,2.0,False,South,1,1097243,2167.4,308,6225.53,199216.96
Kampong Thom,2024-Q1,2024,1,13.081358668623228,7.0349952698752345,106.43479261298462,4359.0,1.0,False,Center,3,807254,2167.4,58,6225.53,199216.96
