province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Bantey Meanchey,2023-Q1,2023,1,5.910549776336743,11.251138430256221,85.84484745762708,59.0,1.0,False,Northwest,1,898484,2167.4,135,6225.53,199216.96
Battambang,2023-Q1,2023,1,29.017655656922205,12.99712333626416,84.04233333333333,6.0,1.0,False,Northwest,2,1132017,2167.4,97,6225.53,199216.96
Kampong Cham,2023-Q1,2023,1,14.432567323749062,4.93656934816254,219.1295,8.0,1.0,False,East,4,1062914,2167.4,234,6225.53,199216.96
Kampong Speu,2023-Q1,2023,1,7.57439957897123,0.900914796188912,75.38342857142857,14.0,1.0,False,Southwest,4,924175,2167.4,132,6225.53,199216.96
Kampong Thom,2023-Q1,2023,1,19.12709773011284,12.449574857067823,104.52034896030258,2645.0,1.0,False,Center,3,807254,2167.4,58,6225.53,199216.96
Kampot,2023-Q1,2023,1,6.936029738409413,3.636558785227136,63.43490909090909,11.0,1.0,False,Southwest,2,682987,2167.4,140,6225.53,199216.96
Kandal,2023-Q1,2023,1,8.179560418979904,11.549785771947912,70.694,21.0,2.0,False,Center,2,1352198,2167.4,425,6225.53,199216.96
Koh Kong,2023-Q1,2023,1,12.727617555573849,4.963245677529701,62.79775,4.0,1.0,False,Southwest,3,140962,2167.4,14,6225.53,199216.96
Pailin,2023-Q1,2023,1,13.935310137197078,11.444876548639561,43.0,7.0,1.0,False,West,2,79445,2167.4,99,6225.53,199216.96
Phnom Penh,2023-Q1,2023,1,16.774729829159703,11.537779721665162,125.8139313457905,4763.0,1.0,False,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Preah Sihanouk,2023-Q1,2023,1,23.085744553950313,22.714035611953072,43.785948275862076,58.0,2.0,False,South,2,234702,2167.4,121,6225.53,199216.96
Siem Reap,2023-Q1,2023,1,15.921607366284245,10.546234603208486,162.28075757575763,99.0,1.0,False,Northwest,1,1099825,2167.4,107,6225.53,199216.96
Takeo,2023-Q1,2023,1,16.003161995561097,10.21362841496566,60.39175,4.0,1.0,False,South,1,1097243,2167.4,308,6225.53,199216.96
Bantey Meanchey,2023-Q2,2023,2,6.858324114826345,16.8701189748078,96.7268181818182,33.0,1.0,False,Northwest,1,898484,2167.4,135,6225.53,199216.96
Battambang,2023-Q2,2023,2,4.716426010745391,4.16352682290003,80.61720588235293,34.0,1.0,False,Northwest,2,1132017,2167.4,97,6225.53,199216.96
Kampong Speu,2023-Q2,2023,2,32.81611259475775,41.11143614808678,85.74083333333333,6.0,1.0,False,Southwest,4,924175,2167.4,132,6225.53,199216.96
Kampong Thom,2023-Q2,2023,2,16.937643938700973,13.961716816762289,88.74456202878685,1459.0,2.0,False,Center,3,807254,2167.4,58,6225.53,199216.96
Kandal,2023-Q2,2023,2,9.183269372572605,6.8290339048400925,101.6376,10.0,1.0,False,Center,2,1352198,2167.4,425,6225.53,199216.96
Mondulkiri,2023-Q2,2023,2,11.917018192694568,7.95045310614869,54.35563636363636,11.0,1.0,False,East,4,93657,2167.4,7,6225.53,199216.96
Pailin,2023-Q2,2023,2,12.403056608788095,13.624252967167473,78.39635135135133,37.0,1.0,False,West,2,79445,2167.4,99,6225.53,199216.96
Phnom Penh,2023-Q2,2023,2,18.886486656186467,12.943774668292734,116.30773830086366,4979.0,1.0,False,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Preah Sihanouk,2023-Q2,2023,2,14.62393762258373,17.32449835689556,51.405125000000005,16.0,1.0,False,South,2,234702,2167.4,121,6225.53,199216.96
Pursat,2023-Q2,2023,2,24.52053031123308,2.170000727076231,149.0718,5.0,1.0,False,West,4,516072,2167.4,41,6225.53,199216.96
Siem Reap,2023-Q2,2023,2,12.33477023363857,9.661172057708171,138.15799065420563,107.0,1.0,False,Northwest,1,1099825,2167.4,107,6225.53,199216.96
Battambang,2023-Q3,2023,3,9.711578882279618,11.751569220034266,64.41589552238807,134.0,1.0,False,Northwest,2,1132017,2167.4,97,6225.53,199216.96
Kampong Cham,2023-Q3,2023,3,5.572273651409266,8.31169089388213,56.411500000000004,18.0,1.0,False,East,4,1062914,2167.4,234,6225.53,199216.96
Kampong Speu,2023-Q3,2023,3,26.91130141361557,17.770823830144156,122.45340000000002,5.0,1.0,False,Southwest,4,924175,2167.4,132,6225.53,199216.96
Kampong Thom,2023-Q3,2023,3,28.409593000254144,31.003337359561268,72.5408799843627,5116.0,1.0,False,Center,3,807254,2167.4,58,6225.53,199216.96
Kandal,2023-Q3,2023,3,15.098136545757738,7.994833025286719,49.471692307692315,13.0,2.0,False,Center,2,1352198,2167.4,425,6225.53,199216.96
Pailin,2023-Q3,2023,3,15.059373062901843,16.455571231894943,51.75599999999999,23.0,1.0,False,West,2,79445,2167.4,99,6225.53,199216.96
Phnom Penh,2023-Q3,2023,3,19.378519157801566,16.923314473891757,93.13109990169569,8138.0,1.0,False,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Preah Sihanouk,2023-Q3,2023,3,43.618284274184,18.849216880107885,74.89352083333334,48.0,2.0,False,South,2,234702,2167.4,121,6225.53,199216.96
Pursat,2023-Q3,2023,3,13.665332806499952,,53.67,4.0,1.0,False,West,4,516072,2167.4,41,6225.53,199216.96
Siem Reap,2023-Q3,2023,3,11.418570579886778,12.06137634385905,93.00719693094631,391.0,1.0,False,Northwest,1,1099825,2167.4,107,6225.53,199216.96
Svay Rieng,2023-Q3,2023,3,21.507046785517566,,48.0025,4.0,1.0,False,Southeast,2,613159,2167.4,207,6225.53,199216.96
Bantey Meanchey,2023-Q4,2023,4,24.45788702631178,11.585189029879613,138.19875000000005,12.0,1.0,False,Northwest,1,898484,2167.4,135,6225.53,199216.96
Battambang,2023-Q4,2023,4,32.42156088253871,12.61792493688122,109.82167741935483,31.0,1.0,False,Northwest,2,1132017,2167.4,97,6225.53,199216.96
Kampong Cham,2023-Q4,2023,4,6.9865779800238546,9.27287338097986,81.19575,4.0,1.0,False,East,4,1062914,2167.4,234,6225.53,199216.96
Kampong Chhnang,2023-Q4,2023,4,28.48050302294081,26.443991568794306,56.69533333333332,36.0,1.0,False,Center,1,604895,2167.4,110,6225.53,199216.96
Kampong Speu,2023-Q4,2023,4,10.38950825289527,11.042446553153562,64.19682222222224,45.0,1.0,False,Southwest,4,924175,2167.4,132,6225.53,199216.96
Kampong Thom,2023-Q4,2023,4,29.637543729964708,28.255193299748,66.34166255225959,5023.0,2.0,False,Center,3,807254,2167.4,58,6225.53,199216.96
Kandal,2023-Q4,2023,4,16.035490458120574,21.514388928792894,212.74066666666667,3.0,1.0,False,Center,2,1352198,2167.4,425,6225.53,199216.96
Kep,2023-Q4,2023,4,,2.3984284574673618,,,,False,South,2,48772,2167.4,145,6225.53,199216.96
Pailin,2023-Q4,2023,4,9.820475450824555,12.650182295545909,55.890473684210534,19.0,1.0,False,West,2,79445,2167.4,99,6225.53,199216.96
Phnom Penh,2023-Q4,2023,4,23.364714998298318,20.242262806846565,99.0176653957402,7606.0,1.0,False,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Preah Sihanouk,2023-Q4,2023,4,24.27032325412813,37.36961218061361,111.99323333333331,60.0,1.0,False,South,2,234702,2167.4,121,6225.53,199216.96
Siem Reap,2023-Q4,2023,4,43.1500167283779,46.59867355465892,60.99110759493668,474.0,1.0,False,Northwest,1,1099825,2167.4,107,6225.53,199216.96
Svay Rieng,2023-Q4,2023,4,8.87958469273103,6.5371066038100025,71.89233333333334,12.0,1.0,False,Southeast,2,613159,2167.4,207,6225.53,199216.96
Tbong Khmum,2023-Q4,2023,4,21.75304547238594,31.274898089782923,48.143857142857144,7.0,2.0,False,East,4,889970,2167.4,170,6225.53,199216.96
Bantey Meanchey,2024-Q1,2024,1,19.843050725317617,13.169751149358733,83.11113043478261,23.0,1.0,False,Northwest,1,898484,2167.4,135,6225.53,199216.96
Battambang,2024-Q1,2024,1,34.324013170290485,26.043715184352244,40.4546,30.0,1.0,False,Northwest,2,1132017,2167.4,97,6225.53,199216.96
Kampong Cham,2024-Q1,2024,1,23.136408656098705,15.791568126144162,40.726,5.0,1.0,False,East,4,1062914,2167.4,234,6225.53,199216.96
Kampong Speu,2024-Q1,2024,1,2.604043432027579,,122.73422222222221,9.0,3.0,False,Southwest,4,924175,2167.4,132,6225.53,199216.96
Kampong Thom,2024-Q1,2024,1,23.266008540049416,21.346984965138404,70.02842485636528,3307.0,1.0,False,Center,3,807254,2167.4,58,6225.53,199216.96
Kandal,2024-Q1,2024,1,,19.34753130219829,,,,False,Center,2,1352198,2167.4,425,6225.53,199216.96
Mondulkiri,2024-Q1,2024,1,3.3466351471905895,,111.13533333333334,3.0,1.0,False,East,4,93657,2167.4,7,6225.53,199216.96
Phnom Penh,2024-Q1,2024,1,25.281676856211774,20.43875267719395,89.18427283633251,11670.0,2.0,False,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Preah Sihanouk,2024-Q1,2024,1,43.3770169368312,29.707387518015086,49.50769491525424,295.0,1.0,False,South,2,234702,2167.4,121,6225.53,199216.96
Pursat,2024-Q1,2024,1,60.35521648854369,39.22977127160378,57.07761764705883,34.0,1.0,False,West,4,516072,2167.4,41,6225.53,199216.96
Siem Reap,2024-Q1,2024,1,24.16275567984016,26.752603359017115,57.01314520547948,1095.0,1.0,False,Northwest,1,1099825,2167.4,107,6225.53,199216.96
Svay Rieng,2024-Q1,2024,1,5.3580060621015155,5.267994087617828,59.57359701492537,67.0,2.0,False,Southeast,2,613159,2167.4,207,6225.53,199216.96
Takeo,2024-Q1,2024,1,19.66501731780444,19.89888259901667,58.650695652173916,23.0,1.0,False,South,1,1097243,2167.4,308,6225.53,199216.96
Tbong Khmum,2024-Q1,2024,1,27.656628827980565,11.077221455723977,54.99991666666666,12.0,1.0,False,East,4,889970,2167.4,170,6225.53,199216.96
Bantey Meanchey,2024-Q2,2024,2,33.06419219189019,39.11854913347577,43.01,3.0,1.0,False,Northwest,1,898484,2167.4,135,6225.53,199216.96
