province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Aceh,2023-Q1,2023,1,15.747724433247804,6.033186225069149,75.89966940971648,63239,13,True,Sumatra,4,5626000,2423.0,99,7298.0,233536.0
Bali,2023-Q1,2023,1,15.904470835816207,10.354946005940887,73.40951589903304,151732,24,True,Lesser Sunda Islands,3,4461300,3521.0,799,10605.0,339360.0
Bangka Belitung,2023-Q1,2023,1,10.661013488980002,7.067897837339939,76.92389144471358,2478,2,True,Sumatra,2,1550800,4077.0,93,12280.0,392960.0
Banten,2023-Q1,2023,1,15.876681511858525,8.391010111713529,61.17611002143693,407542,56,True,Java,2,12537400,3859.0,1340,11623.0,371936.0
Bengkulu,2023-Q1,2023,1,17.454715893668812,6.927283787674437,65.45886681176688,42762,3,True,Sumatra,4,2138000,2736.0,106,8241.0,263712.0
Central Java,2023-Q1,2023,1,11.475600116672117,6.846894944638886,71.16235621030376,1533780,168,True,Java,4,38233900,2703.0,1113,8141.0,260512.0
Central Kalimantan,2023-Q1,2023,1,13.558082179478756,7.493926593458365,78.47111189248895,27175,8,True,Kalimantan,1,2845000,4397.0,19,13243.0,423776.0
Central Sulawesi,2023-Q1,2023,1,9.405786682928351,4.762661543147539,142.776376875446,25214,11,True,Sulawesi,1,3156100,5712.0,51,16907.0,541024.0
East Java,2023-Q1,2023,1,12.0412734339392,6.878560516862952,68.25459331408281,2466015,218,True,Java,2,42089300,4196.0,876,12638.0,404416.0
East Kalimantan,2023-Q1,2023,1,13.985480122738728,5.923582644234003,88.89518262941804,170964,15,True,Kalimantan,1,4267600,12757.0,34,38423.0,1229536.0
East Nusa Tenggara,2023-Q1,2023,1,13.617778669969761,5.719566885931957,98.02319618002693,29584,9,True,Lesser Sunda Islands,4,5742600,1438.0,124,4331.0,138592.0
Gorontalo,2023-Q1,2023,1,8.478024077264436,3.639950875580712,175.83185109417684,24565,4,True,Sulawesi,4,1242200,2598.0,103,7825.0,250400.0
Jakarta,2023-Q1,2023,1,19.84104988243173,12.169602240749738,71.93434482992156,1953149,144,True,Java,1,10678000,19199.0,16141,57826.0,1850432.0
Jambi,2023-Q1,2023,1,16.62159482504025,7.95335527429728,55.14936538138122,41648,7,True,Sumatra,1,3768500,4556.0,77,13723.0,439136.0
Lampung,2023-Q1,2023,1,13.097678155568266,6.154452737716329,81.5553982644029,112790,11,True,Sumatra,3,9522900,2862.0,284,8620.0,275840.0
