asn,operator,as_name,network_type,quarter,year,quarter_num,avg_d_mbps,avg_u_mbps,med_d_mbps,med_u_mbps,avg_lat_ms,med_lat_ms,total_tests,n_ips_approx,market_share_pct,is_reliable
131267,Unitel,Star Telecom,broadband,2023-Q1,2023,1,15.600789932817293,12.709737268569917,13.001260332747046,9.687577687397265,136.19361471861473,83.76599999999999,462,201,47.142857142857146,True
9873,LTC,"Lao Telecom Communication, LTC",broadband,2023-Q1,2023,1,12.662369276485204,5.906672061315514,10.527268927798351,2.7292746641189445,169.03678753541072,115.209,353,193,36.02040816326531,True
140635,,"3C Link Technology Sole Co., Ltd.",broadband,2023-Q1,2023,1,30.663330790001925,25.401870267152123,30.887283322831742,27.877238694561218,69.76388888888891,69.646,45,3,4.591836734693878,False
24337,,"Skytelecom , Transit provider and ISP in Vientiene.",broadband,2023-Q1,2023,1,8.160800354517189,8.975611605869961,6.046511350473807,7.582393157407894,89.0318148148148,71.272,27,12,2.7551020408163267,False
23900,,"Planet Online Laos, Internet Service Provider in LAO PDR",broadband,2023-Q1,2023,1,5.100992914509827,3.934815572059333,4.421721222262623,3.2484006885585917,179.9720740740741,177.0,27,23,2.7551020408163267,False
10226,ETL,ETL Company Limited,broadband,2023-Q1,2023,1,15.527211918079965,9.512200720530739,3.4122883403425206,4.958259772071726,113.8065,80.20349999999999,20,12,2.0408163265306123,False
(unknown),,,broadband,2023-Q1,2023,1,45.343977089501735,40.275636888609384,41.19756094431431,31.078311049441222,155.70768750000002,70.9995,16,12,1.6326530612244898,False
138934,,"SLT Network Co.,LTD",broadband,2023-Q1,2023,1,19.877496689906827,0.761659009219678,23.927092568275043,0.5734932414513649,85.62389999999999,72.2595,10,6,1.0204081632653061,False
136748,,"Etern Laos Communication Technology Sole Co .,Ltd",broadband,2023-Q1,2023,1,2.833907435800911,1.2911272906060662,3.4363645201256507,0.4583234149118219,191.1728888888889,213.0,9,4,0.9183673469387755,False
135059,,"Lao Asia Pacific Satellite Co., Ltd.",broadband,2023-Q1,2023,1,18.163019664403464,17.858191125053235,14.873247856413734,8.829150675465328,78.91416666666666,68.994,6,4,0.6122448979591837,False
137905,,Mangkone Technology Co. Ltd.,broadband,2023-Q1,2023,1,30.52848749042473,45.095887759523514,18.640102958800124,45.095887759523514,98.39840000000001,72.757,5,2,0.5102040816326531,False
131267,Unitel,Star Telecom,broadband,2023-Q2,2023,2,21.31300327990934,17.83407657012004,17.353681401298783,14.10962023622782,110.80033669354837,76.26249999999999,496,230,49.30417495029821,True
9873,LTC,"Lao Telecom Communication, LTC",broadband,2023-Q2,2023,2,14.843235730477613,5.8838389738779675,14.653333558462636,3.619121236360653,137.95795988538683,85.408,349,196,34.69184890656064,True
10226,ETL,ETL Company Limited,broadband,2023-Q2,2023,2,12.692939111153738,11.180111499995107,6.966585424385281,4.966149865398069,80.68962222222223,70.531,45,20,4.473161033797217,False
24337,,"Skytelecom , Transit provider and ISP in Vientiene.",broadband,2023-Q2,2023,2,11.445890113720333,8.467234176887883,7.226433829676394,5.9751642521550705,73.53997297297296,67.354,37,25,3.6779324055666005,False
135059,,"Lao Asia Pacific Satellite Co., Ltd.",broadband,2023-Q2,2023,2,14.425652220488608,7.812266874381839,7.850262545425663,2.7015320175503215,128.4262962962963,64.893,27,7,2.68389662027833,False
(unknown),,,broadband,2023-Q2,2023,2,44.03415760394856,39.04354983274259,26.006115573460235,17.910478960510765,123.68008333333334,70.7385,24,18,2.3856858846918487,False
23900,,"Planet Online Laos, Internet Service Provider in LAO PDR",broadband,2023-Q2,2023,2,4.95905016110147,7.923790029592436,4.201861544977493,5.109216929536558,191.6008823529412,70.909,17,16,1.6898608349900597,False
138934,,"SLT Network Co.,LTD",broadband,2023-Q2,2023,2,15.183724911001121,26.40694950766988,12.883938454328241,14.3168375108637,70.71916666666668,70.842,6,2,0.5964214711729622,False
137905,,Mangkone Technology Co. Ltd.,broadband,2023-Q2,2023,2,36.13276649747208,14.820371357833848,51.12674651836323,17.548508200335885,68.91466666666666,69.316,3,2,0.2982107355864811,False
136486,,"Datacom Sole Co., Ltd",broadband,2023-Q2,2023,2,2.211429025101442,0.8575362539563429,2.211429025101442,0.8575362539563429,474.518,474.518,1,1,0.09940357852882704,False
137838,,"CHALERNSUB PROFESSIONAL NETWORK CO.,LTD.",broadband,2023-Q2,2023,2,39.05364087324765,7.396637658156646,39.05364087324765,7.396637658156646,371.765,371.765,1,1,0.09940357852882704,False
131267,Unitel,Star Telecom,broadband,2023-Q3,2023,3,15.8620289057107,16.911919449835587,11.743998316996311,14.17742100620698,97.21544067796611,74.57300000000001,826,285,48.36065573770492,True
9873,LTC,"Lao Telecom Communication, LTC",broadband,2023-Q3,2023,3,16.262904890584238,7.352768217717118,14.182689920211645,3.6085270023970866,132.14314329738056,88.831,649,312,37.997658079625296,True
24337,,"Skytelecom , Transit provider and ISP in Vientiene.",broadband,2023-Q3,2023,3,11.4168658735334,11.117829099382446,7.7287186101358065,8.794612360946056,74.6377619047619,69.595,84,27,4.918032786885246,False
(unknown),,,broadband,2023-Q3,2023,3,21.901093603624318,23.73699768343912,7.098582489209536,9.708650737070691,96.02104444444444,71.424,45,24,2.6346604215456675,False
10226,ETL,ETL Company Limited,broadband,2023-Q3,2023,3,19.512322963247918,14.686606153161886,9.861009803589836,3.379569420067062,81.63708333333334,67.8535,36,20,2.107728337236534,False
23900,,"Planet Online Laos, Internet Service Provider in LAO PDR",broadband,2023-Q3,2023,3,6.433561459790717,4.366770981155381,6.95323326539844,3.9677754805292804,122.43928,64.107,25,18,1.4637002341920375,False
138934,,"SLT Network Co.,LTD",broadband,2023-Q3,2023,3,18.257506034133513,28.408378978302913,13.220034875769462,12.203003894136836,81.2194347826087,64.0,23,4,1.3466042154566744,False
135059,,"Lao Asia Pacific Satellite Co., Ltd.",broadband,2023-Q3,2023,3,12.578017639606914,12.456358506362756,9.12811493849669,1.608698259583304,229.17245454545457,260.0,11,7,0.6440281030444965,False
