asn,operator,as_name,network_type,quarter,year,quarter_num,avg_d_mbps,avg_u_mbps,med_d_mbps,med_u_mbps,avg_lat_ms,med_lat_ms,total_tests,n_ips_approx,market_share_pct,is_reliable
4788,TM,TM TECHNOLOGY SERVICES SDN. BHD.,broadband,2023-Q1,2023,1,54.34729189730335,20.26699018054406,32.74894494427366,10.60680031787982,52.89091649423588,32.0,27068,5970,58.54059431636316,True
4818,Digi,DiGi Telecommunications Sdn. Bhd.,broadband,2023-Q1,2023,1,114.6241380927414,23.766446722713507,87.36841818625437,19.910674712227298,44.58704678796881,22.6815,5388,1211,11.652753146762404,True
9930,TIME dotCom,TTNET,broadband,2023-Q1,2023,1,68.77336189083908,43.007755642264044,21.75504296880179,15.83707210273132,44.20092091254754,13.4915,5260,1433,11.375924564211255,True
9534,Maxis,Binariang Berhad,broadband,2023-Q1,2023,1,97.18041733681024,20.91217295359639,46.51074463907065,14.714990193554904,79.07150777530941,43.038,3154,1743,6.821229291924391,True
10030,Celcom,Celcom Axiata Berhad,broadband,2023-Q1,2023,1,15.862073286499935,5.072843641803844,5.278101567606348,1.7405838312684019,190.64857641395906,202.209,831,610,1.7972230632812838,True
22332,,Western Digital Corporation,broadband,2023-Q1,2023,1,68.86289090210765,59.813606234691704,31.891233234421108,9.110329990748458,168.48201246882792,103.224,802,32,1.7345040875470392,True
45960,Yes,YTL COMMUNICATIONS SDN BHD,broadband,2023-Q1,2023,1,26.850850613629287,9.94816730606714,7.006502628440164,1.968359959684659,121.18710754414127,65.872,623,394,1.3473766166356675,True
19773,,"Motorola, Inc.",broadband,2023-Q1,2023,1,54.92009914942653,44.89794406381398,47.89925654307485,35.95872537577627,97.32821911037891,75.827,607,12,1.3127730438167742,True
4983,,Intel Corporation,broadband,2023-Q1,2023,1,21.61157818238414,14.703007252298173,9.714692090458268,1.384190442535127,50.71686381322957,11.9285,514,10,1.1116397768069552,True
(unknown),,,broadband,2023-Q1,2023,1,14.846975417861954,3.62991809769506,10.263171865170364,2.1244386206587595,75.77441755888653,43.83,467,271,1.0099917816514554,True
3614,,"Dell, Inc.",broadband,2023-Q1,2023,1,16.581478154159143,19.3746524277069,12.719977731250076,11.341252581860793,207.60683885209713,222.088,453,12,0.9797136554349236,True
38322,,TM TECHNOLOGY SERVICES SDN. BHD.,broadband,2023-Q1,2023,1,24.774295460054745,6.666066337003718,5.281913376940243,2.1803927677812687,42.92097604790419,27.044,167,101,0.3611747912972014,True
56231,,MEASAT Broadcast Network Systems,broadband,2023-Q1,2023,1,45.88265915109775,46.69601187348046,37.39062490458973,42.83024114239418,41.77502500000001,11.500499999999999,120,52,0.25952679614170165,True
45410,,ALLO TECHNOLOGY SDN. BHD.,broadband,2023-Q1,2023,1,68.44394561090448,64.25218920468969,36.794129264736085,28.407605035774345,81.92335789473684,44.677,95,44,0.20545871361218046,False
33619,,"Advanced Micro Devices, Inc.",broadband,2023-Q1,2023,1,14.546292361699576,14.946495159611166,5.705433489426905,7.603564877011743,306.2305147058824,297.141,68,1,0.1470651844802976,False
3758,,SingNet,broadband,2023-Q1,2023,1,13.763988561946965,10.950924006859601,9.162356043119168,6.309611268074323,27.080046511627906,3.119,43,4,0.09299710195077641,False
212238,,Datacamp Limited,broadband,2023-Q1,2023,1,18.202302458597224,25.71598407243948,19.894279967856317,28.496546005236187,23.605906976744183,0.814,43,2,0.09299710195077641,False
133421,,INNET SOLUTIONS SDN BHD,broadband,2023-Q1,2023,1,27.589597244234298,27.54004549595623,11.798760002756406,7.648476415862564,95.59685365853659,38.394,41,13,0.08867165534841473,False
134809,,ViewQwest Sdn. Bhd.,broadband,2023-Q1,2023,1,22.3540593956164,22.10933912471141,4.229758567650359,5.572048722282291,17.410475,8.486,40,11,0.08650893204723388,False
23678,,Enterprise Managed Services Sdn. Bhd.,broadband,2023-Q1,2023,1,42.30537439228781,29.753172538471947,11.494369872491648,9.60635674940151,40.0119696969697,11.537,33,15,0.07136986893896795,False
9658,Eastern Communications,"Eastern Telecoms Phils., Inc.",broadband,2023-Q1,2023,1,42.44945799740523,23.436889912728272,33.93556478485546,14.284176556152282,56.571629629629626,32.272,27,13,0.058393529131882865,False
