asn,operator,as_name,network_type,quarter,year,quarter_num,avg_d_mbps,avg_u_mbps,med_d_mbps,med_u_mbps,avg_lat_ms,med_lat_ms,total_tests,n_ips_approx,market_share_pct,is_reliable
9299,PLDT,Philippine Long Distance Telephone Company,broadband,2023-Q1,2023,1,47.35098443335594,33.29487290419199,20.475078386632244,12.360937949212362,101.26209097724045,77.41,4122818,1223362,51.39642894363771,True
17639,Converge,Converge ICT Solutions Inc.,broadband,2023-Q1,2023,1,77.8604620602871,58.43539694578531,41.9615818303923,31.127434557143207,31.433998783169304,7.268,1521095,34261,18.96247932458396,True
132199,Globe,Globe Telecom Inc.,broadband,2023-Q1,2023,1,74.80097905235799,53.52153021790544,43.70829170509498,32.6475557259792,52.657929006818826,32.0,691655,103965,8.622402701504587,True
23944,Sky Cable,SKYBroadband SKYCable Corporation,broadband,2023-Q1,2023,1,48.17074453588789,5.089175209894251,29.126978520613235,3.5390321635815805,57.68764604602479,41.274,329684,65120,4.109951077116247,True
4775,Globe,Globe Telecoms,broadband,2023-Q1,2023,1,54.89659932552258,38.04367668286806,25.102672856258,13.664249701815082,53.54603864922533,30.166,215723,33652,2.6892751125585357,True
139831,DITO,DITO TELECOMMUNITY CORP.,broadband,2023-Q1,2023,1,15.413185927363708,6.092498517128542,4.379120223851963,2.179675965832615,69.72313474074784,35.589,176358,115912,2.1985378485400178,True
134707,RoyalCable,RoyalCable Flash,broadband,2023-Q1,2023,1,39.46457091556554,33.72412369951074,31.263591491957552,28.434068499516947,41.87066597710417,7.0,114133,1960,1.4228201741197894,True
9658,Eastern Communications,"Eastern Telecoms Phils., Inc.",broadband,2023-Q1,2023,1,55.22180198539461,37.98934440339514,21.701665374500074,11.859988707639298,50.49331016579779,19.702,46822,5558,0.583698721602313,True
55821,,"RADIUS TELECOMS, INC.",broadband,2023-Q1,2023,1,49.89803070380523,38.46402890729336,32.58028231196178,24.995086401219027,33.181845254529776,5.376,46367,10304,0.5780265393305379,True
136515,Dasca,"Dasca Cable Services, Inc.",broadband,2023-Q1,2023,1,59.80510228076078,48.8882765169637,39.85078788979535,37.58682279625597,32.060852543728785,4.611,46258,963,0.5766677088522445,True
134788,Parasat,"Parasat Cable TV, Inc",broadband,2023-Q1,2023,1,28.527134608745353,13.270539269024313,16.9810614449006,6.460481206869035,74.34341466895609,56.656,44855,287,0.5591774413197161,True
17970,,SKYBroadband SKYCable Corporation,broadband,2023-Q1,2023,1,44.03780082100411,3.837514633701747,28.057672103851022,3.1392509465900527,73.77934760916942,75.709,38094,2202,0.4748925526615375,True
(unknown),,,broadband,2023-Q1,2023,1,53.730157563407204,31.755947862382637,29.970133457698932,10.55440903409631,88.47020466091446,73.137,37223,6730,0.4640343751698538,True
137226,,"ANGELES CITY CABLE TELEVISION NETWORK, INC.",broadband,2023-Q1,2023,1,7.06216495861026,1.8538682270170477,6.586730481322498,1.1553268386284463,56.524912733822916,11.671,36106,3876,0.4501094793510126,True
133334,,DCTV Cable Network Broadband Services Inc,broadband,2023-Q1,2023,1,49.867416376276495,37.46143728565978,30.985167500998358,18.40113835480149,65.60530734115095,49.465,35079,272,0.43730655365186316,True
133623,,Planet Cable Inc.,broadband,2023-Q1,2023,1,28.233261709729724,14.365824442007249,18.410099747429832,8.014453162948602,60.8010872047755,34.675,34694,225,0.432507014806515,True
