asn,operator,as_name,network_type,quarter,year,quarter_num,avg_d_mbps,avg_u_mbps,med_d_mbps,med_u_mbps,avg_lat_ms,med_lat_ms,total_tests,n_ips_approx,market_share_pct,is_reliable
9506,,Singtel Fibre Broadband,broadband,2023-Q1,2023,1,135.48612948390587,79.34855946238542,78.42971221738966,30.70882358867054,57.84495665648956,39.285,260194,68132,26.01898369626086,True
55430,,Starhub Ltd,broadband,2023-Q1,2023,1,156.3161563366603,117.88810704767499,83.00818865853262,50.17338500938003,31.977260688693967,6.973,188081,73347,18.807799075214795,True
4657,,StarHub Ltd,broadband,2023-Q1,2023,1,73.8530551530051,44.9816536082366,36.47350220368815,18.499379649689825,36.01906061327236,16.517,163893,20053,16.389037775395593,True
4773,,MobileOne Ltd. Mobile/Internet Service Provider Singapore,broadband,2023-Q1,2023,1,177.1799878698573,133.44040254685248,91.78640421192101,63.68423852603864,33.108233963799414,6.488,125421,29974,12.541899329610727,True
3758,,SingNet,broadband,2023-Q1,2023,1,77.25687136099846,39.737532828001875,40.93301664114009,17.020624016499212,48.17424035474906,29.81,73425,8304,7.34238252187965,True
56300,,MyRepublic Ltd.,broadband,2023-Q1,2023,1,216.59377204862056,120.01666102302536,113.09223957573492,56.05549678842844,25.65686402012767,6.067,59253,3963,5.925205196716853,True
18106,,Viewqwest Pte Ltd,broadband,2023-Q1,2023,1,195.48265315992583,115.75408731266488,110.54508798723825,56.533904292648074,23.726069506396733,5.991,20412,2301,2.041167341322539,True
17547,,M1 NET LTD,broadband,2023-Q1,2023,1,107.20109575692808,91.54361640012847,57.61016059991489,42.288079050006345,32.76157015918011,7.595,18354,2509,1.8353706340698548,True
132356,,Changi Airport Group (Singapore) Pte Ltd,broadband,2023-Q1,2023,1,20.950640529501786,13.203728991612293,18.207403210461127,14.884444308190778,24.082149831017645,4.309,13315,40,1.3314786963408585,True
135600,,Whiz Communications Pte Ltd,broadband,2023-Q1,2023,1,137.1432565022543,87.25099970675633,73.44696371999223,35.48824512138161,48.665833693101824,21.851,10657,1945,1.0656829490728148,True
4817,,Simba Telecom Pte Ltd,broadband,2023-Q1,2023,1,15.700737142282364,2.973180198422316,7.289370461825904,1.739838950542819,51.127070454545446,22.713,10132,5944,1.0131837890593751,True
133466,,Robert Bosch GmbH,broadband,2023-Q1,2023,1,16.4082853950579,14.602937323438649,9.164092522769998,6.608791259826834,45.472398039684435,1.511,4183,4,0.4182933073070831,True
(unknown),,,broadband,2023-Q1,2023,1,79.46738480349555,60.94023297355036,39.45476988077352,15.659471775042395,140.4634461373964,82.314,3741,436,0.37409401449576807,True
135409,,Kacific Broadband Satellites Pte Ltd,broadband,2023-Q1,2023,1,6.191247254257614,1.7562500158234586,5.56163677184792,1.425276680814197,72.55139449236896,67.699,3014,118,0.3013951776771572,True
38258,,Sony - ASN for Asia Pacific,broadband,2023-Q1,2023,1,23.57393189652297,12.10068672901963,9.668703227708967,2.5453045196227224,170.8780563717116,109.04,2932,1072,0.293195308875058,True
7472,,NUS Information Technology,broadband,2023-Q1,2023,1,49.42675409632804,42.95998357814187,45.293743417724016,33.17700955235557,42.93405708390646,6.258,2908,959,0.2907953472744436,True
109,,"CISCO SYSTEMS, INC.",broadband,2023-Q1,2023,1,28.713356870899002,15.557573628376236,18.39258784296486,3.8642545221210525,268.01863819444446,260.9535,2881,1187,0.28809539047375243,True
23856,,SPTEL PTE. LTD.,broadband,2023-Q1,2023,1,189.2845503426253,162.6445480916696,92.57967278001003,66.00831588721078,21.850924505450145,5.201,2477,284,0.24769603686341019,True
9419,,Nanyang Technological University,broadband,2023-Q1,2023,1,75.54837490799744,65.4495580984235,69.86677594269673,45.930834903714235,23.300583197389887,18.933,2452,239,0.2451960768627702,True
14398,,"Autodesk, Inc.",broadband,2023-Q1,2023,1,35.96019397747559,10.57415439260206,25.964488377014362,3.3522287124008274,121.74848538306453,88.78399999999999,1985,20,0.19849682405081517,True
137268,,CBRE Pty Limited,broadband,2023-Q1,2023,1,24.336932813142248,12.419299860528906,15.158715526220604,2.7066888370584206,220.0604558058926,189.84,1734,2,0.1733972256443897,True
394984,,"Fragomen, Del Rey, Bernsen & Loewy, LLP",broadband,2023-Q1,2023,1,13.763929203837597,12.99308443893786,6.74076419123266,6.737198131204844,152.4350349872774,193.8795,1572,1,0.15719748484024257,True
203724,,Musarubra Germany GmbH,broadband,2023-Q1,2023,1,144.9554688219127,58.44143629951078,69.68436698640707,19.111696439273928,20.477930699930702,1.293,1443,2,0.1442976912369402,True
24467,,Deutsche Bank APAC RHO in Singapore Internet AS,broadband,2023-Q1,2023,1,49.682740330661176,34.38107015356123,12.35035710645015,6.6239497376050265,28.764942877801882,32.344,1383,7,0.13829778723540423,True
7862,,Chevron Corporation,broadband,2023-Q1,2023,1,31.700399911379353,18.54179368853468,20.721595895677158,3.556377919931033,184.67933024976873,163.105,1084,56,0.10839826562774996,True
58955,,"Bangmod Enterprise Co., Ltd.",broadband,2023-Q1,2023,1,7.9730881221403145,5.080280891891703,2.6981478124972273,3.795448455318467,91.9761092896175,80.147,915,42,0.09149853602342363,True
133782,,Elsevier Ltd,broadband,2023-Q1,2023,1,22.36803028539096,19.27851379316295,8.81133205389327,2.605530363318218,184.1178650385604,168.74349999999998,779,3,0.07789875361994208,True
23728,,Republic Polytechnic. Multihoming AS Singapore,broadband,2023-Q1,2023,1,88.58099484974713,79.70599941176854,45.87080725318576,53.39968637280103,24.350472847682124,9.955,755,20,0.07549879201932769,True
10024,,LGA International,broadband,2023-Q1,2023,1,73.77265733130281,51.275008027540956,38.684727371852695,25.43431519494754,32.930005594405586,4.885,715,66,0.0714988560183037,True
2559,,VISA INTERNATIONAL SERVICE ASSOCIATION,broadband,2023-Q1,2023,1,14.777295315977371,20.43540869359645,6.420387675828913,4.238976277056415,120.40081206171108,96.0,713,3,0.0712988592182525,True
55415,,4 Shenton Way,broadband,2023-Q1,2023,1,39.7385586735332,25.02146316229772,40.33734526020797,12.284487702190757,27.497173290938,4.914,629,47,0.06289899361610214,True
2047,,Hoffmann - La Roche Ltd.,broadband,2023-Q1,2023,1,16.404387637974143,14.014381167609278,10.396202027071327,4.956578873746054,31.939771019677995,1.545,559,1,0.05589910561431017,True
4628,,Pacific Internet Pte Ltd,broadband,2023-Q1,2023,1,57.31054445492404,43.31335378824287,24.18686057231765,10.61961130827974,129.29409515260323,82.447,559,99,0.05589910561431017,True
8220,,COLT Technology Services Group Limited,broadband,2023-Q1,2023,1,49.340991145113485,47.56862343554395,28.48704673487397,27.20405458677599,109.99631311154599,14.302,519,67,0.05189916961328619,True
8360,,Allianz Technology SE,broadband,2023-Q1,2023,1,91.95567552557638,43.96060674544264,31.241855458787573,6.904734486257172,54.39136268343815,35.0,477,4,0.047699236812211006,True
133728,,Chubb Asia Pacific Pte Ltd,broadband,2023-Q1,2023,1,15.157671950971718,8.467801401471288,3.1506569004751372,1.2298854770114522,32.670185779816514,15.5085,436,1,0.043599302411161424,True
32537,,Xilinx Incorporated,broadband,2023-Q1,2023,1,49.801173933907464,19.34141125530594,21.042191505083952,1.3298291379942322,153.32087587822014,80.346,427,5,0.042699316810931025,True
2687,,"AT&T Enterprises, LLC",broadband,2023-Q1,2023,1,15.571878564874886,4.920653375001306,4.43952413598754,0.434980784287348,196.6218169014084,171.512,427,16,0.042699316810931025,True
20055,,Wholesail networks LLC,broadband,2023-Q1,2023,1,49.84887902794905,73.59043195188433,21.688481582546995,86.7218489545825,28.2253073286052,1.512,423,6,0.042299323210828625,True
138539,,Jewel Changi Airport Trustee Pte. Ltd.,broadband,2023-Q1,2023,1,35.14293904538295,26.79800426512156,25.47128090569612,13.781576180819629,25.620590476190483,4.9990000000000006,420,66,0.041999328010751825,True
30613,,Chicago Mercantile Exchange,broadband,2023-Q1,2023,1,14.315812602867936,8.983072215748528,6.801968893562361,2.788781432300433,60.916893401015244,46.1375,394,2,0.03939936961008624,True
134078,,NETPLUZ HOLDINGS PRIVATE LIMITED,broadband,2023-Q1,2023,1,60.48985700357995,48.007672360455295,28.89488713230984,27.094737077880495,18.631815384615386,4.6495,390,98,0.03899937600998384,True
131195,,SIM Headquarters,broadband,2023-Q1,2023,1,150.6981443716683,111.2144464736163,107.93925990977446,18.599659890575836,33.67616710182768,5.752,383,24,0.03829938720980464,True
138345,,StarHub Ltd,broadband,2023-Q1,2023,1,24.27820843361541,6.573002518102927,13.347477400042223,2.151544770199198,57.3203253968254,30.18,378,254,0.037799395209676644,True
56094,,ITENET:wq,broadband,2023-Q1,2023,1,114.17195728391924,100.42831963398244,44.75531937872248,47.22532170897434,26.979860273972605,5.509,365,18,0.03649941600934385,True
3549,,"Level 3 Parent, LLC",broadband,2023-Q1,2023,1,26.559066179798933,19.76343725296838,14.130943264454384,5.726626061505556,103.30138011695907,71.2955,342,26,0.03419945280875506,True
136271,,IMS Health India Pvt Ltd,broadband,2023-Q1,2023,1,22.82354838122394,16.152372243098892,13.090224832597608,5.533676511926301,209.44798235294118,159.9855,340,9,0.03399945600870386,True
138699,,TIKTOK PTE. LTD.,broadband,2023-Q1,2023,1,32.37233374636758,14.854237059801125,13.864669221455483,3.5632650441282987,83.97527508090614,51.414,310,3,0.03099950400793587,True
35163,,Procter & Gamble Service GmbH,broadband,2023-Q1,2023,1,85.08114733572621,71.60214737045908,55.41291002006629,38.46255750616374,131.16740000000001,127.294,305,5,0.030499512007807875,True
15695,,Expereo International BV,broadband,2023-Q1,2023,1,43.851209227488404,24.109887060143198,45.658477763161294,19.120557515538483,17.84854934210526,5.6225000000000005,304,9,0.030399513607782275,True
9877,,Ngee Ann Polytechnic Computer Center,broadband,2023-Q1,2023,1,52.10677634169226,47.2724103014408,29.366213434588424,28.557037974122764,33.43837541528239,1.445,301,3,0.030099518407705476,True
29990,,Xandr Inc.,broadband,2023-Q1,2023,1,32.18932436144331,15.272042441394918,14.396878105662775,1.6965865541868945,183.67730434782604,134.00349999999997,280,6,0.027999552007167885,True
131475,,Singapore Institute of Technology,broadband,2023-Q1,2023,1,112.87693814103626,98.18691206723025,98.71862085337108,82.45664749017259,26.376516245487366,19.262,277,24,0.027699556807091085,True
23767,,A-STAR,broadband,2023-Q1,2023,1,169.76492372364348,148.91707215286198,113.48180000933941,85.62499125806244,19.206520446096647,4.992,269,83,0.02689956960688629,True
55487,,Globalfoundries Singapore Pte Ltd,broadband,2023-Q1,2023,1,62.28525291127537,55.3559662034364,26.109846280909522,15.861594659962154,26.520760456273766,2.047,263,5,0.026299579206732693,True
55919,,20 Dover Drive Singapore 138682,broadband,2023-Q1,2023,1,302.3546271445518,158.51221369641473,206.72662464008715,77.45644437323938,24.437266159695813,5.043,263,4,0.026299579206732693,True
3573,,Accenture LLP,broadband,2023-Q1,2023,1,14.721071979253452,6.239581474561594,5.121084505084309,3.9691142925351377,82.7993125,39.0,256,17,0.025599590406553494,True
141469,,Cargill Asia Pacific Holdings Pte Ltd,broadband,2023-Q1,2023,1,78.27051442102598,26.41932123166782,33.109711653641,11.261765970196892,49.8695439330544,0.829,239,4,0.023899617606118303,True
137220,,"Texas Instruments, Inc",broadband,2023-Q1,2023,1,21.31790275022671,9.292437299009896,13.899129509768668,1.0474710157246632,154.34042358078602,204.618,229,3,0.022899633605862307,True
139028,,Singapore Technologies Engineering Ltd,broadband,2023-Q1,2023,1,28.834706731196718,45.83187729337133,14.864154632359783,21.821207819106277,18.466963636363634,1.278,220,5,0.021999648005631908,True
174,Cogent,"Cogent Communications, LLC",broadband,2023-Q1,2023,1,7.837466469224662,6.609729495328166,4.6981237347667895,2.774520452187512,104.54494954128441,28.591,218,4,0.021799651205580712,True
38862,,TullettPrebon Singapore multihoming ISP connection AS,broadband,2023-Q1,2023,1,303.32567507300627,222.28414314454835,395.6959819396479,256.0778015819049,16.423729857819907,1.033,211,1,0.021099662405401513,True
150218,,PT Wijaya Mandiri Network,broadband,2023-Q1,2023,1,6.674194759697089,7.487857372994776,5.821213682408365,5.932801387875251,159.8777121212121,183.2385,199,5,0.019899681605094317,True
38055,,ACE Insurance Singapore,broadband,2023-Q1,2023,1,19.31030981600624,12.683554726633384,4.323551233742555,3.4637514559254567,32.64305128205128,5.709,195,2,0.01949968800499192,True
56039,,SPH Media Limited,broadband,2023-Q1,2023,1,304.28234672305416,262.79794251510475,94.86153985876183,86.90993056660551,26.63977894736842,5.3035,190,15,0.01899969600486392,True
