asn,operator,as_name,network_type,quarter,year,quarter_num,avg_d_mbps,avg_u_mbps,med_d_mbps,med_u_mbps,avg_lat_ms,med_lat_ms,total_tests,n_ips_approx,market_share_pct,is_reliable
45899,VNPT,VNPT Corp,broadband,2023-Q1,2023,1,23.887008625677925,24.226035207683882,7.727399472193815,14.238933800046404,173.7060614427914,123.755,47146,22104,40.60634770251066,True
7552,Viettel,Viettel Group,broadband,2023-Q1,2023,1,34.83106393356686,29.69409846756944,21.00462661481881,16.18947252009511,145.3010934527423,99.473,39529,19860,34.04590672236338,True
18403,FPT,FPT Telecom Company,broadband,2023-Q1,2023,1,28.720420775998857,28.166523209512743,9.357945973213933,16.866778278802904,142.2812359699697,81.871,24114,13499,20.769131389690365,True
45543,SCTV,SaiGon Tourist cable Televition Company,broadband,2023-Q1,2023,1,21.628726096788935,10.862678502574761,18.15086790508876,7.621800923500508,94.63621925133688,53.769,1684,783,1.4504112656647001,True
24086,Viettel,Viettel Corporation,broadband,2023-Q1,2023,1,34.18349760866826,28.790906941244234,19.010883651904322,14.352589769710699,152.6669574090506,122.584,1127,509,0.9706730976271478,True
131429,MobiFone,MOBIFONE Corporation,broadband,2023-Q1,2023,1,38.51007946029575,34.83074971191989,25.1658097350277,28.978854518827994,95.4254812623274,41.9,507,174,0.43667370052969295,True
45903,,CMC Telecom Infrastructure Company,broadband,2023-Q1,2023,1,19.46131552461773,18.366170314756687,11.56431148868584,4.823702916744833,80.14223076923075,55.841,325,221,0.2799190388010852,True
(unknown),,,broadband,2023-Q1,2023,1,17.49565385295316,6.293730706947015,7.656497884133816,2.6263616846404623,157.26559999999998,98.76849999999999,231,110,0.1989578398863098,True
38731,,Vietel - CHT Compamy Ltd,broadband,2023-Q1,2023,1,33.101513284476184,9.499323374489757,24.62338807940454,6.59384875637908,157.93855045871555,57.332499999999996,218,49,0.1877610783342664,True
135905,VNPT,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,broadband,2023-Q1,2023,1,31.682622070672775,17.309774884480134,25.326173335249837,15.1775207484284,135.0448564814815,81.68299999999999,216,65,0.18603849963395203,True
24173,,Netnam Company,broadband,2023-Q1,2023,1,33.40733173795489,28.571792354616782,15.52191956746686,9.13869559417978,133.17706097560975,61.9705,164,84,0.14125145342577838,True
24088,,Hanoi Telecom Joint Stock Company - HCMC Branch,broadband,2023-Q1,2023,1,18.23257249445814,13.078325319415017,9.307732477743382,5.108029247497219,167.8970569105691,181.62,123,63,0.10593859006933379,True
7602,,Sai gon Postel Corporation,broadband,2023-Q1,2023,1,15.359703463046847,18.11525673257651,7.6976982042294795,4.192696397197276,69.51984033613446,63.734,119,70,0.10249343266870505,True
45557,,Vietnam Technology and Telecommunication JSC,broadband,2023-Q1,2023,1,36.25796722296738,22.561293925582167,46.70349990860552,16.391071218665896,107.82365591397851,50.919,93,37,0.08009990956461824,False
6619,,SamsungSDS Inc.,broadband,2023-Q1,2023,1,8.454263305097227,6.207404792718831,5.027637726568167,2.9269439621340174,113.91705333333334,77.056,75,4,0.0645967012617889,False
151858,,INTERDIGI JOINT STOCK COMPANY,broadband,2023-Q1,2023,1,27.419574385739153,19.004761629825087,20.177067131835962,15.027317869950343,83.9701818181818,33.47,66,7,0.05684509711037423,False
