province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Attapeu,2023-Q1,2023,1,4.008178577346201,1.5113814098522804,144.934,2.0,1.0,False,South,4,167000,2526.05,16,8080.44,258574.08
Bolikhamsai,2023-Q1,2023,1,14.844528530145471,11.080293600496852,154.95414285714276,322.0,1.0,True,Central,3,330700,2526.05,22,8080.44,258574.08
Champasak,2023-Q1,2023,1,12.453606319002336,8.953650457631726,148.0906019417476,103.0,3.0,True,South,1,781200,2526.05,51,8080.44,258574.08
Houaphan,2023-Q1,2023,1,6.56208214585474,1.8642128282363135,201.06824999999998,16.0,1.0,False,North,3,317100,2526.05,19,8080.44,258574.08
Khammouane,2023-Q1,2023,1,14.489527815282663,16.032534682629368,72.431,4.0,2.0,False,Central,2,451300,2526.05,28,8080.44,258574.08
Luang Namtha,2023-Q1,2023,1,19.35429458500542,9.64247424556822,48.368,1.0,1.0,False,North,3,208900,2526.05,22,8080.44,258574.08
Luang Prabang,2023-Q1,2023,1,16.224747523985805,9.385601304535752,109.38477777777778,9.0,1.0,False,North,2,477700,2526.05,28,8080.44,258574.08
Oudomxay,2023-Q1,2023,1,2.2343504114656447,,107.373,1.0,1.0,False,North,3,360800,2526.05,23,8080.44,258574.08
Phongsaly,2023-Q1,2023,1,10.002195744244226,11.34852556998235,67.24725000000001,4.0,1.0,False,North,4,197600,2526.05,12,8080.44,258574.08
Salavan,2023-Q1,2023,1,8.887723651628207,5.891799943137207,182.742375,8.0,1.0,False,South,1,464800,2526.05,43,8080.44,258574.08
Savannakhet,2023-Q1,2023,1,3.8662276608881947,2.960562356167787,196.57571428571427,14.0,2.0,False,South,1,1117500,2526.05,51,8080.44,258574.08
Vientiane,2023-Q1,2023,1,36.919346170759766,2.58437347785935,153.55919999999998,5.0,2.0,False,Central,2,479400,2526.05,31,8080.44,258574.08
Vientiane Capital,2023-Q1,2023,1,16.764536300267988,12.614707106875194,134.58756808510628,470.0,1.0,True,Central,1,1009300,2526.05,257,8080.44,258574.08
Xaignabouli,2023-Q1,2023,1,,1.4619830206731803,,,,False,North,2,439400,2526.05,27,8080.44,258574.08
Xekong,2023-Q1,2023,1,15.698214022366873,5.665731024093563,139.74994117647054,17.0,1.0,False,South,4,136700,2526.05,18,8080.44,258574.08
Xiangkhouang,2023-Q1,2023,1,9.993296399942452,0.6701570647514732,83.87424999999999,4.0,1.0,False,North,3,274400,2526.05,19,8080.44,258574.08
Bolikhamsai,2023-Q2,2023,2,15.862899641765708,14.21748580088207,119.96782907662086,509.0,3.0,True,Central,3,330700,2526.05,22,8080.44,258574.08
Champasak,2023-Q2,2023,2,8.971760627383107,4.988948976753607,120.88171999999999,25.0,1.0,False,South,1,781200,2526.05,51,8080.44,258574.08
Houaphan,2023-Q2,2023,2,13.886180901957665,2.349889662393497,152.344,2.0,1.0,False,North,3,317100,2526.05,19,8080.44,258574.08
Khammouane,2023-Q2,2023,2,23.00531782193615,6.3276644485971705,85.62933333333335,6.0,1.0,False,Central,2,451300,2526.05,28,8080.44,258574.08
Oudomxay,2023-Q2,2023,2,2.5838479466702142,5.844784776293864,67.81233333333334,3.0,1.0,False,North,3,360800,2526.05,23,8080.44,258574.08
Phongsaly,2023-Q2,2023,2,8.410657646732835,,60.379,1.0,1.0,False,North,4,197600,2526.05,12,8080.44,258574.08
Salavan,2023-Q2,2023,2,23.399799489907696,1.3480952007593188,156.31325,4.0,1.0,False,South,1,464800,2526.05,43,8080.44,258574.08
Savannakhet,2023-Q2,2023,2,11.068406138626557,7.923840872260377,114.33209523809525,21.0,2.0,False,South,1,1117500,2526.05,51,8080.44,258574.08
Vientiane,2023-Q2,2023,2,26.31365703823307,12.043747108862677,69.29166666666667,3.0,1.0,False,Central,2,479400,2526.05,31,8080.44,258574.08
Vientiane Capital,2023-Q2,2023,2,22.019638856695707,12.96687962497364,116.59558603491266,401.0,1.0,True,Central,1,1009300,2526.05,257,8080.44,258574.08
Xaignabouli,2023-Q2,2023,2,17.609597084383285,3.0459421016100867,105.44733333333333,6.0,1.0,False,North,2,439400,2526.05,27,8080.44,258574.08
Xekong,2023-Q2,2023,2,30.553301536354496,7.983210112733066,166.5997619047619,21.0,1.0,False,South,4,136700,2526.05,18,8080.44,258574.08
Xiangkhouang,2023-Q2,2023,2,13.748964292232252,2.412734177535131,334.63425,4.0,1.0,False,North,3,274400,2526.05,19,8080.44,258574.08
Attapeu,2023-Q3,2023,3,2.9115163405018145,8.10989284385762,221.674,3.0,1.0,False,South,4,167000,2526.05,16,8080.44,258574.08
Bolikhamsai,2023-Q3,2023,3,15.048396924187951,14.026944450445999,108.50380538922164,1002.0,2.0,True,Central,3,330700,2526.05,22,8080.44,258574.08
Champasak,2023-Q3,2023,3,15.947017028805174,15.997422199938132,106.33956097560977,41.0,1.0,False,South,1,781200,2526.05,51,8080.44,258574.08
