province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Johor,2023-Q1,2023,1,77.61587480772401,30.984976755091772,56.280979547900955,1859,41,True,Southern,3,4186300,8810,218,24097.67,771125.44
Kedah,2023-Q1,2023,1,65.0295869176475,29.36765224517322,63.29731161473088,353,28,True,Northern,4,2217500,5694,233,15574.59,498386.88
Kelantan,2023-Q1,2023,1,25.750683301766244,10.083131786383442,62.15883042394017,1203,16,True,East Coast,4,1888500,3764,125,10295.53,329456.96
Kuala Lumpur,2023-Q1,2023,1,88.84052210943163,31.391203333288598,53.796679386088435,14209,46,True,Central,1,2067500,26882,8508,73529.35,2352939.2
Labuan,2023-Q1,2023,1,20.2738329975673,7.8965025225029235,135.08818032786886,61,2,False,Borneo / East Malaysia,1,100800,19648,1108,53742.45,1719758.4
Malacca,2023-Q1,2023,1,34.54151611339474,16.63990835129772,97.38275055187637,453,13,True,Southern,2,1047100,10775,629,29472.46,943118.72
Negeri Sembilan,2023-Q1,2023,1,71.033185044235,23.59476197083915,52.428075117370895,426,17,True,Central,2,1240100,10747,185,29395.88,940668.16
Pahang,2023-Q1,2023,1,37.07785988304997,16.157664440037383,62.97069597069597,273,19,True,East Coast,3,1668200,9978,46,27292.46,873358.72
Penang,2023-Q1,2023,1,64.21037759110155,36.892969732065005,71.87080406820222,3343,37,True,Northern,2,1800400,14416,1718,39431.56,1261809.92
Perak,2023-Q1,2023,1,64.77699209502849,27.71335742286039,57.35957953144267,812,37,True,Northern,3,2569600,8294,122,22686.27,725960.64
Perlis,2023-Q1,2023,1,186.28663320602578,15.95618050495158,81.32158823529413,17,3,False,Northern,4,296800,5195,362,14209.69,454710.08
Putrajaya,2023-Q1,2023,1,98.53321999106157,65.50611062693767,48.44735714285715,238,4,True,Central,1,120300,26882,2455,73529.35,2352939.2
Sabah,2023-Q1,2023,1,36.61046043468918,17.166616351670267,103.73269141039238,943,22,True,Borneo / East Malaysia,4,3742200,7236,51,19792.37,633355.84
Sarawak,2023-Q1,2023,1,46.15654181053445,22.884660914461286,95.95614064451664,4004,24,True,Borneo / East Malaysia,1,2518100,15935,20,43586.42,1394765.44
Selangor,2023-Q1,2023,1,50.866717659792556,16.656483919906478,54.22620721172602,17944,82,True,Central,2,7363400,12543,909,34308.41,1097869.12
Terengganu,2023-Q1,2023,1,48.7027902913343,20.529938000652926,42.737649999999995,100,12,True,East Coast,3,1232100,7464,95,20416.01,653312.32
Johor,2023-Q2,2023,2,71.69906433026101,30.083417061219755,60.473407695831405,2185,48,True,Southern,3,4186300,8810,218,24097.67,771125.44
Kedah,2023-Q2,2023,2,66.1672101736184,24.975409879848424,65.76920274914089,291,34,True,Northern,4,2217500,5694,233,15574.59,498386.88
