province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Kampong Thom,2023-Q1,2023,1,16.946158535772863,5.458730959007361,122.9719365699122,13578,1,True,Center,3,807254,2167.4,58,6225.53,199216.96
Phnom Penh,2023-Q1,2023,1,14.533330788658647,6.942019828597376,168.5874175774136,2197,1,True,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Takeo,2023-Q1,2023,1,15.466607392088182,8.219752563399686,106.67907500000001,40,1,False,South,1,1097243,2167.4,308,6225.53,199216.96
Kampong Thom,2023-Q2,2023,2,11.681044882412367,7.583875070484717,105.31875261144897,31117,1,True,Center,3,807254,2167.4,58,6225.53,199216.96
Phnom Penh,2023-Q2,2023,2,16.221482448706766,7.3991702750958455,124.42470705725698,2255,1,True,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Takeo,2023-Q2,2023,2,12.258107216001697,10.86230550959789,136.79332500000004,40,1,False,South,1,1097243,2167.4,308,6225.53,199216.96
Kampong Thom,2023-Q3,2023,3,15.814571501193658,4.941358176806921,103.19362749883732,8610,1,True,Center,3,807254,2167.4,58,6225.53,199216.96
Phnom Penh,2023-Q3,2023,3,14.387223321242793,7.792254171841035,101.21710164190776,3837,1,True,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Takeo,2023-Q3,2023,3,9.618242655248364,9.087709610525485,86.18639999999999,15,1,False,South,1,1097243,2167.4,308,6225.53,199216.96
Kampong Thom,2023-Q4,2023,4,25.581470055048733,8.352159769285516,76.74991950228564,7877,2,True,Center,3,807254,2167.4,58,6225.53,199216.96
Phnom Penh,2023-Q4,2023,4,16.94523190853454,10.265240122534825,88.84607026044824,3304,1,True,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Siem Reap,2023-Q4,2023,4,0.6163976666499676,0.035729414207046124,108.676,1,1,False,Northwest,1,1099825,2167.4,107,6225.53,199216.96
Takeo,2023-Q4,2023,4,9.318831219629153,6.239607275132113,64.65705555555557,18,2,False,South,1,1097243,2167.4,308,6225.53,199216.96
Kampong Thom,2024-Q1,2024,1,12.580718480594125,6.476627379300161,106.68354864174576,4308,1,True,Center,3,807254,2167.4,58,6225.53,199216.96
Phnom Penh,2024-Q1,2024,1,24.455611075957567,11.971141831991911,88.85744304974432,4306,1,True,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Prey Veng,2024-Q1,2024,1,21.443413792951112,14.515634810132285,57.790734375000014,64,1,False,East,1,1277867,2167.4,262,6225.53,199216.96
Siem Reap,2024-Q1,2024,1,21.4686526536199,7.457764999252508,83.69236363636365,11,1,False,Northwest,1,1099825,2167.4,107,6225.53,199216.96
Kampong Thom,2024-Q2,2024,2,33.563355522712705,18.921054022495806,81.77412583182088,1653,2,True,Center,3,807254,2167.4,58,6225.53,199216.96
Phnom Penh,2024-Q2,2024,2,27.215353174946,12.375778362768655,102.14899884961955,15648,1,True,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Siem Reap,2024-Q2,2024,2,59.272267937464,17.34693232475124,53.28908333333333,12,1,False,Northwest,1,1099825,2167.4,107,6225.53,199216.96
Kampong Thom,2024-Q3,2024,3,19.731862554738836,10.068792751061624,94.70816910994758,1910,1,True,Center,3,807254,2167.4,58,6225.53,199216.96
Phnom Penh,2024-Q3,2024,3,29.556636601930713,11.614154076552056,80.78291911111116,12378,1,True,Capital,1,2352851,2167.4,3465,6225.53,199216.96
Preah Sihanouk,2024-Q3,2024,3,16.207595480401555,21.000800404637197,55.65866666666667,6,1,False,South,2,234702,2167.4,121,6225.53,199216.96
Ratanakiri Province,2024-Q3,2024,3,39.86431364368857,11.693049258730369,83.3938133333333,75,1,False,Northeast,4,235852,2167.4,22,6225.53,199216.96
Kampong Thom,2024-Q4,2024,4,19.016564125446777,10.36551518029944,88.18427103718197,1022,1,True,Center,3,807254,2167.4,58,6225.53,199216.96
