province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Kampong Thom,2023-Q1,2023,1,16.946158535772863,5.458730959007361,122.9719365699122,13578,1,True,Center,3,807254,199216.96,58
Phnom Penh,2023-Q1,2023,1,14.533330788658647,6.942019828597376,168.58741757741362,2197,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2023-Q2,2023,2,11.681044882412367,7.583875070484717,105.31875261144896,31117,1,True,Center,3,807254,199216.96,58
Phnom Penh,2023-Q2,2023,2,16.221482448706766,7.399170275095845,124.42470705725698,2255,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2023-Q3,2023,3,15.814571501193658,4.941358176806921,103.19362749883732,8610,1,True,Center,3,807254,199216.96,58
Phnom Penh,2023-Q3,2023,3,14.387223321242791,7.792254171841035,101.21710164190776,3837,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2023-Q4,2023,4,25.581470055048733,8.352159769285514,76.74991950228565,7877,2,True,Center,3,807254,199216.96,58
Phnom Penh,2023-Q4,2023,4,16.94523190853454,10.265240122534824,88.84607026044826,3304,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2024-Q1,2024,1,12.580718480594124,6.476627379300161,106.68354864174576,4308,1,True,Center,3,807254,199216.96,58
Phnom Penh,2024-Q1,2024,1,24.455611075957567,11.971141831991911,88.85744304974432,4306,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2024-Q2,2024,2,33.563355522712705,18.92105402249581,81.77412583182088,1653,2,True,Center,3,807254,199216.96,58
Phnom Penh,2024-Q2,2024,2,27.215353174946,12.375778362768656,102.14899884961956,15648,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2024-Q3,2024,3,19.73186255473884,10.068792751061624,94.7081691099476,1910,1,True,Center,3,807254,199216.96,58
Phnom Penh,2024-Q3,2024,3,29.556636601930716,11.614154076552056,80.78291911111116,12378,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2024-Q4,2024,4,19.016564125446777,10.365515180299438,88.18427103718197,1022,1,True,Center,3,807254,199216.96,58
Phnom Penh,2024-Q4,2024,4,27.269781394383084,11.091646392333796,77.36686870209817,7959,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2025-Q1,2025,1,79.05189741171091,19.54651594354824,62.676112893642326,1683,2,True,Center,3,807254,199216.96,58
Phnom Penh,2025-Q1,2025,1,23.50248314181189,13.788968161833964,80.7886379731381,11471,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2025-Q2,2025,2,23.86675952193528,14.694032238461078,102.46164946619214,562,1,True,Center,3,807254,199216.96,58
Phnom Penh,2025-Q2,2025,2,18.129006912803828,10.442770979245592,72.86665038227306,7718,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2025-Q3,2025,3,20.229325180793023,13.591294600485826,107.70903196347032,438,1,True,Center,3,807254,199216.96,58
Phnom Penh,2025-Q3,2025,3,19.54105692567767,10.88375840641008,83.25124040953865,7718,1,True,Capital,1,2352851,199216.96,3465
Kampong Thom,2025-Q4,2025,4,20.82816506078988,18.16085288160568,97.61893454545456,275,1,True,Center,3,807254,199216.96,58
Phnom Penh,2025-Q4,2025,4,20.74985067871536,10.821566350274024,94.178573126511,4964,1,True,Capital,1,2352851,199216.96,3465
