province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Aceh,2023-Q1,2023,1,22.5789340923809,6.603546071907345,62.443539866327676,10625,4,True,Sumatra,4,5626000,2423.0,99,7298.0,233536.0
Bali,2023-Q1,2023,1,16.390216245714633,8.890477964326127,65.4247902981029,55358,6,True,Lesser Sunda Islands,3,4461300,3521.0,799,10605.0,339360.0
Banten,2023-Q1,2023,1,13.837379015473612,8.292109343404162,80.04934866238598,37394,8,True,Java,2,12537400,3859.0,1340,11623.0,371936.0
Bengkulu,2023-Q1,2023,1,10.187513453514903,6.603398323894232,92.87835102350269,3957,1,True,Sumatra,4,2138000,2736.0,106,8241.0,263712.0
Central Java,2023-Q1,2023,1,12.119875368077166,7.290825933538749,73.22786285376978,399728,15,True,Java,4,38233900,2703.0,1113,8141.0,260512.0
Central Kalimantan,2023-Q1,2023,1,11.105342349652249,4.897329319165417,65.20086236671155,36483,4,True,Kalimantan,1,2845000,4397.0,19,13243.0,423776.0
Central Sulawesi,2023-Q1,2023,1,7.240644509254945,4.347361188248472,100.25991310002372,8458,3,True,Sulawesi,1,3156100,5712.0,51,16907.0,541024.0
East Java,2023-Q1,2023,1,14.157066101773582,7.887732428401542,71.21550071836378,634187,25,True,Java,2,42089300,4196.0,876,12638.0,404416.0
East Kalimantan,2023-Q1,2023,1,11.763406023670637,5.7769439551549775,72.19501023910718,51280,3,True,Kalimantan,1,4267600,12757.0,34,38423.0,1229536.0
East Nusa Tenggara,2023-Q1,2023,1,8.257396991144475,4.877460601453899,57.05571164811297,7366,5,True,Lesser Sunda Islands,4,5742600,1438.0,124,4331.0,138592.0
Gorontalo,2023-Q1,2023,1,10.993624952356228,6.366822144717927,120.20812280323472,9276,1,True,Sulawesi,4,1242200,2598.0,103,7825.0,250400.0
Jakarta,2023-Q1,2023,1,14.962003455515834,8.856606164920604,66.32391521388377,1272922,48,True,Java,1,10678000,19199.0,16141,57826.0,1850432.0
Jambi,2023-Q1,2023,1,12.39370296473064,7.291391254101926,59.37251805215726,16760,1,True,Sumatra,1,3768500,4556.0,77,13723.0,439136.0
Lampung,2023-Q1,2023,1,16.758684556894817,8.06036633403053,60.45467733204889,43628,4,True,Sumatra,3,9522900,2862.0,284,8620.0,275840.0
Maluku,2023-Q1,2023,1,7.04822455710347,4.569024977280298,112.40722050290138,3102,1,True,Maluku Islands,4,1970600,1822.0,43,5488.0,175616.0
North Kalimantan,2023-Q1,2023,1,11.077374604247563,6.538122598373144,61.79935064935064,77,1,False,Kalimantan,1,749400,10838.0,11,32643.0,1044576.0
North Maluku,2023-Q1,2023,1,7.260665317504286,4.184918540466504,106.54965060240963,332,1,True,Maluku Islands,3,1373800,2817.0,44,8485.0,271520.0
North Sulawesi,2023-Q1,2023,1,8.641507924378754,5.116453263487714,122.60485089801276,28234,2,True,Sulawesi,2,2721400,3777.0,188,11376.0,364032.0
North Sumatra,2023-Q1,2023,1,16.979854754387464,6.864097501540934,86.3428163329332,181714,17,True,Sumatra,2,15785800,4023.0,218,12117.0,387744.0
Papua,2023-Q1,2023,1,7.97990583898153,4.83035627111655,155.3944528115284,14156,5,True,Western New Guinea,2,4600500,3776.0,15,11373.0,363936.0
Riau,2023-Q1,2023,1,22.586113502770345,6.535321674553659,57.115015203785056,113927,14,True,Sumatra,1,6811200,9075.0,76,27334.0,874688.0
Riau Islands,2023-Q1,2023,1,21.12762014966673,8.118785698785283,50.3007322332234,13640,1,True,Sumatra,1,2213500,9094.0,271,27390.0,876480.0
South Kalimantan,2023-Q1,2023,1,12.061354522151287,5.998764360959426,75.82229484909274,101661,5,True,Kalimantan,3,4323300,3265.0,116,9834.0,314688.0
South Sulawesi,2023-Q1,2023,1,11.395915252401135,4.876868020443399,72.17503939459868,193008,11,True,Sulawesi,2,9563100,4169.0,211,12557.0,401824.0
South Sumatra,2023-Q1,2023,1,18.4114860716578,7.4518777048299025,62.84567169781587,114298,7,True,Sumatra,2,8928500,4018.0,103,12102.0,387264.0
Southeast Sulawesi,2023-Q1,2023,1,11.264482593634623,5.44494442283995,120.48483389074701,2695,2,True,Sulawesi,3,2836700,3655.0,78,11009.0,352288.0
West Java,2023-Q1,2023,1,11.434455747426306,8.042834683811709,65.33127131162712,428763,45,True,Java,3,50759000,3166.0,1370,9536.0,305152.0
West Kalimantan,2023-Q1,2023,1,11.814964536727658,4.600023045906609,63.75142404215909,35106,1,True,Kalimantan,3,5766000,2955.0,39,8900.0,284800.0
West Nusa Tenggara,2023-Q1,2023,1,16.110351178391593,8.179409304459263,110.50555042043575,31418,2,True,Lesser Sunda Islands,4,5731100,1817.0,292,5473.0,175136.0
West Papua,2023-Q1,2023,1,6.37985951511093,4.5710984589988914,112.3158061104582,2553,3,True,Western New Guinea,1,1224000,5139.0,12,17204.0,550528.0
West Sulawesi,2023-Q1,2023,1,11.891413052337368,3.3885980043903188,39.6540980392157,51,1,False,Sulawesi,4,1525300,2449.0,92,7376.0,236032.0
West Sumatra,2023-Q1,2023,1,12.970541391679658,6.459711420249652,73.27013406917472,48844,8,True,Sumatra,3,5914300,3165.0,140,9533.0,305056.0
Yogyakarta,2023-Q1,2023,1,10.918005887764952,6.91796210804204,83.66483294658889,99587,3,True,Java,4,3781500,2812.0,1193,8470.0,271040.0
Aceh,2023-Q2,2023,2,27.32387108781094,8.468294478971238,59.10417204042341,8312,5,True,Sumatra,4,5626000,2423.0,99,7298.0,233536.0
Bali,2023-Q2,2023,2,17.62448736743259,9.566871045294599,73.26870096048161,62793,9,True,Lesser Sunda Islands,3,4461300,3521.0,799,10605.0,339360.0
Banten,2023-Q2,2023,2,14.403914661763864,8.31510703771609,84.44621826505742,33638,10,True,Java,2,12537400,3859.0,1340,11623.0,371936.0
Bengkulu,2023-Q2,2023,2,10.493594048530554,7.000561633825533,105.17363919999994,3750,1,True,Sumatra,4,2138000,2736.0,106,8241.0,263712.0
Central Java,2023-Q2,2023,2,14.054737561670503,7.707385203976717,73.53622626992936,344197,29,True,Java,4,38233900,2703.0,1113,8141.0,260512.0
