province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Aceh,2023-Q1,2023,1,22.57893409238092,6.60354607190733,62.443539866327775,10625,4,True,Sumatra,4,5626000,233536.0,99
Bali,2023-Q1,2023,1,16.390216245714644,8.890477964326134,65.42479029810295,55358,6,True,Lesser Sunda Islands,3,4461300,339360.0,799
Banten,2023-Q1,2023,1,13.837379015473624,8.292109343404148,80.04934866238631,37394,8,True,Java,2,12537400,371936.0,1340
Bengkulu,2023-Q1,2023,1,10.187513453514896,6.603398323894234,92.87835102350266,3957,1,True,Sumatra,4,2138000,263712.0,106
Central Java,2023-Q1,2023,1,12.1198753680773,7.290825933538801,73.2278628537687,399728,15,True,Java,4,38233900,260512.0,1113
Central Kalimantan,2023-Q1,2023,1,11.105342349652272,4.897329319165401,65.20086236671143,36483,4,True,Kalimantan,1,2845000,423776.0,19
Central Sulawesi,2023-Q1,2023,1,7.240644509254947,4.347361188248476,100.25991310002364,8458,3,True,Sulawesi,1,3156100,541024.0,51
East Java,2023-Q1,2023,1,14.157066101773538,7.887732428401482,71.21550071836474,634187,25,True,Java,2,42089300,404416.0,876
East Kalimantan,2023-Q1,2023,1,11.76340602367061,5.776943955154962,72.19501023910756,51280,3,True,Kalimantan,1,4267600,1229536.0,34
East Nusa Tenggara,2023-Q1,2023,1,8.257396991144489,4.877460601453902,57.05571164811296,7366,5,True,Lesser Sunda Islands,4,5742600,138592.0,124
Gorontalo,2023-Q1,2023,1,10.99362495235622,6.366822144717924,120.20812280323452,9276,1,True,Sulawesi,4,1242200,250400.0,103
Jakarta,2023-Q1,2023,1,14.962003455515836,8.856606164920603,66.32391521388436,1272922,48,True,Java,1,10678000,1850432.0,16141
Jambi,2023-Q1,2023,1,12.393702964730617,7.291391254101954,59.37251805215728,16760,1,True,Sumatra,1,3768500,439136.0,77
Lampung,2023-Q1,2023,1,16.75868455689475,8.060366334030494,60.45467733204891,43628,4,True,Sumatra,3,9522900,275840.0,284
Maluku,2023-Q1,2023,1,7.048224557103464,4.569024977280301,112.40722050290135,3102,1,True,Maluku Islands,4,1970600,175616.0,43
North Maluku,2023-Q1,2023,1,7.260665317504285,4.184918540466505,106.54965060240966,332,1,True,Maluku Islands,3,1373800,271520.0,44
North Sulawesi,2023-Q1,2023,1,8.64150792437877,5.116453263487722,122.60485089801264,28234,2,True,Sulawesi,2,2721400,364032.0,188
North Sumatra,2023-Q1,2023,1,16.979854754387272,6.864097501540923,86.34281633293345,181714,17,True,Sumatra,2,15785800,387744.0,218
Papua,2023-Q1,2023,1,7.979905838981523,4.830356271116565,155.3944528115287,14156,5,True,Western New Guinea,2,4600500,363936.0,15
Riau,2023-Q1,2023,1,22.586113502770072,6.535321674553641,57.11501520378515,113927,14,True,Sumatra,1,6811200,874688.0,76
Riau Islands,2023-Q1,2023,1,21.127620149666697,8.118785698785283,50.30073223322331,13640,1,True,Sumatra,1,2213500,876480.0,271
South Kalimantan,2023-Q1,2023,1,12.061354522151332,5.99876436095944,75.82229484909296,101661,5,True,Kalimantan,3,4323300,314688.0,116
South Sulawesi,2023-Q1,2023,1,11.395915252401052,4.876868020443407,72.17503939459884,193008,11,True,Sulawesi,2,9563100,401824.0,211
South Sumatra,2023-Q1,2023,1,18.411486071657723,7.45187770482995,62.845671697816,114298,7,True,Sumatra,2,8928500,387264.0,103
Southeast Sulawesi,2023-Q1,2023,1,11.264482593634618,5.444944422839948,120.48483389074696,2695,2,True,Sulawesi,3,2836700,352288.0,78
West Java,2023-Q1,2023,1,11.434455747426073,8.04283468381165,65.33127131162641,428763,45,True,Java,3,50759000,305152.0,1370
West Kalimantan,2023-Q1,2023,1,11.814964536727658,4.600023045906592,63.75142404215925,35106,1,True,Kalimantan,3,5766000,284800.0,39
West Nusa Tenggara,2023-Q1,2023,1,16.110351178391635,8.179409304459254,110.50555042043574,31418,2,True,Lesser Sunda Islands,4,5731100,175136.0,292
West Papua,2023-Q1,2023,1,6.37985951511093,4.571098458998893,112.31580611045828,2553,3,True,Western New Guinea,1,1224000,550528.0,12
West Sumatra,2023-Q1,2023,1,12.970541391679694,6.459711420249659,73.27013406917453,48844,8,True,Sumatra,3,5914300,305056.0,140
Yogyakarta,2023-Q1,2023,1,10.918005887764965,6.917962108042028,83.6648329465891,99587,3,True,Java,4,3781500,271040.0,1193
Aceh,2023-Q2,2023,2,27.32387108781093,8.468294478971238,59.104172040423485,8312,5,True,Sumatra,4,5626000,233536.0,99
Bali,2023-Q2,2023,2,17.62448736743265,9.56687104529458,73.2687009604817,62793,9,True,Lesser Sunda Islands,3,4461300,339360.0,799
Banten,2023-Q2,2023,2,14.40391466176386,8.315107037716107,84.44621826505738,33638,10,True,Java,2,12537400,371936.0,1340
Bengkulu,2023-Q2,2023,2,10.49359404853054,7.000561633825528,105.17363919999998,3750,1,True,Sumatra,4,2138000,263712.0,106
Central Java,2023-Q2,2023,2,14.054737561670466,7.707385203976698,73.53622626992826,344197,29,True,Java,4,38233900,260512.0,1113
Central Kalimantan,2023-Q2,2023,2,11.742539653018458,5.689026036539613,72.40146672180595,20554,5,True,Kalimantan,1,2845000,423776.0,19
Central Sulawesi,2023-Q2,2023,2,7.699032901457886,4.367523071253185,98.50882823934568,6969,2,True,Sulawesi,1,3156100,541024.0,51
East Java,2023-Q2,2023,2,14.671745752087691,8.096315574848454,83.12833565251135,561943,28,True,Java,2,42089300,404416.0,876
East Kalimantan,2023-Q2,2023,2,11.786118229954882,5.726160463438802,78.48251506143103,53149,5,True,Kalimantan,1,4267600,1229536.0,34
East Nusa Tenggara,2023-Q2,2023,2,7.820414445400286,4.977378758276136,61.09954560308973,6732,1,True,Lesser Sunda Islands,4,5742600,138592.0,124
Gorontalo,2023-Q2,2023,2,11.363549460617614,7.278427067495642,135.0274362907684,7236,1,True,Sulawesi,4,1242200,250400.0,103
Jakarta,2023-Q2,2023,2,15.379549218513644,9.019948068628802,74.25632623176645,1290906,36,True,Java,1,10678000,1850432.0,16141
Jambi,2023-Q2,2023,2,13.359854027609291,6.719392842664662,75.71071428571427,8275,1,True,Sumatra,1,3768500,439136.0,77
Lampung,2023-Q2,2023,2,16.657070106696487,8.59808777431437,65.74871579005864,35993,5,True,Sumatra,3,9522900,275840.0,284
Maluku,2023-Q2,2023,2,7.706115768633056,4.147975486926301,108.30892393800228,3484,1,True,Maluku Islands,4,1970600,175616.0,43
North Kalimantan,2023-Q2,2023,2,10.942947409273392,6.700938869907609,59.34980341880341,117,1,True,Kalimantan,1,749400,1044576.0,11
North Maluku,2023-Q2,2023,2,8.44984453895027,3.911747591904956,102.97839375000004,160,1,True,Maluku Islands,3,1373800,271520.0,44
North Sulawesi,2023-Q2,2023,2,9.58017011175679,5.623530238029739,121.83336052743516,35274,4,True,Sulawesi,2,2721400,364032.0,188
North Sumatra,2023-Q2,2023,2,17.845360562210683,7.331520935559164,93.52229271385232,176701,8,True,Sumatra,2,15785800,387744.0,218
Papua,2023-Q2,2023,2,9.570163692321438,4.844518526010192,148.97554837731272,9891,4,True,Western New Guinea,2,4600500,363936.0,15
Riau,2023-Q2,2023,2,21.521142716859718,6.950691218724269,61.787213125672885,109615,12,True,Sumatra,1,6811200,874688.0,76
