province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Bolikhamsai,2023-Q1,2023,1,12.459593013512977,5.93455511004505,248.33750980392176,357.0,1.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Champasak,2023-Q1,2023,1,5.916163765841659,1.050758356148023,182.26344444444442,18.0,2.0,False,South,1,781200,2526.05,51,8080.44,258574.08
Vientiane Capital,2023-Q1,2023,1,12.079011674108004,6.5704710245633695,177.17857474226807,388.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Xiangkhouang,2023-Q1,2023,1,9.993296399942452,0.6701570647514732,83.87424999999999,4.0,1.0,False,North,3,274400,2526.05,19,8080.44,258574.08
Bolikhamsai,2023-Q2,2023,2,10.555416895477782,6.117149224708889,155.07462526997855,926.0,1.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Champasak,2023-Q2,2023,2,15.303948503094977,5.365900240743009,121.0968,5.0,1.0,False,South,1,781200,2526.05,51,8080.44,258574.08
Vientiane Capital,2023-Q2,2023,2,12.392105869552452,5.818552602331565,121.09861827956988,186.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Xiangkhouang,2023-Q2,2023,2,13.748964292232252,2.412734177535131,334.63425,4.0,1.0,False,North,3,274400,2526.05,19,8080.44,258574.08
Bolikhamsai,2023-Q3,2023,3,12.876591915478363,5.6705511802465915,141.59208246828132,1734.0,1.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Vientiane Capital,2023-Q3,2023,3,14.176729349647811,7.799373765745824,121.61820734908136,381.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Bolikhamsai,2023-Q4,2023,4,13.691625026750085,6.565164382822731,120.73522126081579,809.0,2.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Vientiane,2023-Q4,2023,4,10.784006532527268,5.673132532625501,119.22820000000002,20.0,1.0,False,Central,2,479400,2526.05,31,8080.44,258574.08
Vientiane Capital,2023-Q4,2023,4,13.70422580115219,7.554766771081245,141.1328574766356,428.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Bolikhamsai,2024-Q1,2024,1,27.477520802063456,8.035544425308524,58.88216973757678,1791.0,1.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Luang Prabang,2024-Q1,2024,1,9.57358656970558,7.602479323512618,153.42240000000004,30.0,1.0,False,North,2,477700,2526.05,28,8080.44,258574.08
Vientiane,2024-Q1,2024,1,11.344980948692786,4.145837832471058,189.31909090909087,11.0,1.0,False,Central,2,479400,2526.05,31,8080.44,258574.08
Vientiane Capital,2024-Q1,2024,1,15.486497777386111,8.842514987473555,135.21916528162512,1083.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Xaisomboun,2024-Q1,2024,1,5.576358721181741,1.6118325970990226,173.25966666666667,3.0,1.0,False,Central,4,116800,2526.05,14,8080.44,258574.08
Xiangkhouang,2024-Q1,2024,1,4.552009443107425,0.5129418889078883,206.13239999999996,5.0,1.0,False,North,3,274400,2526.05,19,8080.44,258574.08
Bolikhamsai,2024-Q2,2024,2,32.69800483585989,10.064029807953487,74.9496201594533,1756.0,1.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Vientiane Capital,2024-Q2,2024,2,19.421321418744846,8.008141509374283,169.92217659279748,2888.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Xaisomboun,2024-Q2,2024,2,23.930757506331904,20.487745537803143,204.35350000000003,6.0,1.0,False,Central,4,116800,2526.05,14,8080.44,258574.08
Bolikhamsai,2024-Q3,2024,3,28.55373813596955,9.581693382976251,82.03980320512828,1560.0,1.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Vientiane Capital,2024-Q3,2024,3,16.665309708263038,8.345600783604773,185.22290231621403,2979.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Xaisomboun,2024-Q3,2024,3,24.12071969134926,25.911566391197475,291.6335,8.0,1.0,False,Central,4,116800,2526.05,14,8080.44,258574.08
Xiangkhouang,2024-Q3,2024,3,6.816620077778495,0.9325884328773125,157.4548,5.0,1.0,False,North,3,274400,2526.05,19,8080.44,258574.08
Bolikhamsai,2024-Q4,2024,4,25.037788267997044,7.002712502757973,91.16053901098903,1820.0,1.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Vientiane Capital,2024-Q4,2024,4,20.268788089309915,7.99917835001177,194.88964931308715,1383.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Xaisomboun,2024-Q4,2024,4,24.58370806895322,,286.82062499999995,8.0,1.0,False,Central,4,116800,2526.05,14,8080.44,258574.08
Xiangkhouang,2024-Q4,2024,4,,2.685675642250412,,,,False,North,3,274400,2526.05,19,8080.44,258574.08
Bolikhamsai,2025-Q1,2025,1,21.57126079584027,11.067079613235801,97.02065007374645,2712.0,2.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Luang Prabang,2025-Q1,2025,1,14.258651629893292,6.641490597367381,105.02851063829787,47.0,1.0,False,North,2,477700,2526.05,28,8080.44,258574.08
Vientiane Capital,2025-Q1,2025,1,19.102967011027378,10.022722150118097,134.9949738945124,1877.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Xaisomboun,2025-Q1,2025,1,3.572256537174789,3.6329119852837835,208.62,6.0,1.0,False,Central,4,116800,2526.05,14,8080.44,258574.08
Xiangkhouang,2025-Q1,2025,1,,4.667540740947582,,,,False,North,3,274400,2526.05,19,8080.44,258574.08
Bolikhamsai,2025-Q2,2025,2,28.579403296950147,10.400072332123504,77.95965042630934,1642.0,1.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Luang Prabang,2025-Q2,2025,2,12.821059312612565,6.094333796365925,123.05792307692306,78.0,1.0,False,North,2,477700,2526.05,28,8080.44,258574.08
Vientiane Capital,2025-Q2,2025,2,28.54312917164173,11.195969804725815,131.92558991981682,873.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Xaisomboun,2025-Q2,2025,2,34.9799187470467,22.159942012825695,133.2125,16.0,2.0,False,Central,4,116800,2526.05,14,8080.44,258574.08
Bolikhamsai,2025-Q3,2025,3,28.558293099072056,9.580061864040688,95.42210530421224,2564.0,1.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Vientiane Capital,2025-Q3,2025,3,24.51852868288841,12.049293922571469,135.02834093959714,2235.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Xaisomboun,2025-Q3,2025,3,23.550701542402,26.12286839043579,82.72693928571424,280.0,2.0,False,Central,4,116800,2526.05,14,8080.44,258574.08
Bolikhamsai,2025-Q4,2025,4,21.758902130223067,10.368654694777911,89.85719165727168,1774.0,1.0,False,Central,3,330700,2526.05,22,8080.44,258574.08
Vientiane Capital,2025-Q4,2025,4,24.256464395922393,10.89012734679902,274.18775612903227,1550.0,1.0,False,Central,1,1009300,2526.05,257,8080.44,258574.08
Xaisomboun,2025-Q4,2025,4,18.68104813388926,14.351542202461417,189.09233333333336,30.0,2.0,False,Central,4,116800,2526.05,14,8080.44,258574.08
