province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Bolikhamsai,2023-Q1,2023,1,17.378273002667235,6.814485367391694,141.08656213017753,169,1,True,Central,3,330700,258574.08,22
Vientiane Capital,2023-Q1,2023,1,12.079011674108004,6.5517461177850365,177.17857474226807,388,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2023-Q2,2023,2,13.513298573117789,7.187029754852462,128.06995535714296,336,1,True,Central,3,330700,258574.08,22
Vientiane Capital,2023-Q2,2023,2,12.392105869552452,5.818552602331565,121.09861827956988,186,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2023-Q3,2023,3,11.599228213837602,6.669231857356377,120.27276595744686,753,1,True,Central,3,330700,258574.08,22
Vientiane Capital,2023-Q3,2023,3,14.176729349647813,7.012863729516125,121.61820734908136,381,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2023-Q4,2023,4,12.96939554142134,6.643217933948236,123.79662124248492,501,2,True,Central,3,330700,258574.08,22
Vientiane Capital,2023-Q4,2023,4,13.70422580115219,7.554766771081245,141.1328574766356,428,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2024-Q1,2024,1,14.66108967000075,7.338405598627735,114.96077687626784,493,1,True,Central,3,330700,258574.08,22
Vientiane Capital,2024-Q1,2024,1,15.396578293304737,8.826745070442486,135.37236817761328,1081,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2024-Q2,2024,2,25.36729779793159,9.600266104670938,88.12021372031666,1137,1,True,Central,3,330700,258574.08,22
Vientiane Capital,2024-Q2,2024,2,17.72627165967586,7.760874258156927,170.4608369219905,2836,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2024-Q3,2024,3,20.500028370491485,9.018947652415154,104.44596382189243,1078,1,True,Central,3,330700,258574.08,22
Vientiane Capital,2024-Q3,2024,3,15.333552306983467,8.07323481984826,187.40617941681,2916,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2024-Q4,2024,4,21.34051680604466,9.395947919802891,123.65233149171266,906,1,True,Central,3,330700,258574.08,22
Vientiane Capital,2024-Q4,2024,4,14.984001039948543,7.369389013976267,203.62843617854327,1279,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2025-Q1,2025,1,21.477888598340847,11.885783776100617,101.56062961354768,2306,2,True,Central,3,330700,258574.08,22
Vientiane Capital,2025-Q1,2025,1,14.244413749287489,9.394438021780733,140.47018816901405,1775,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2025-Q2,2025,2,22.32724311356626,10.136717830191994,95.89278987898788,910,1,True,Central,3,330700,258574.08,22
Vientiane Capital,2025-Q2,2025,2,20.05735395675345,10.531835868018277,139.46548327137558,807,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2025-Q3,2025,3,24.14709085573648,9.701945047635371,103.53912419274712,2013,1,True,Central,3,330700,258574.08,22
Vientiane Capital,2025-Q3,2025,3,19.781214365263217,9.400205769938644,148.7147614781635,1787,1,True,Central,1,1009300,258574.08,257
Bolikhamsai,2025-Q4,2025,4,20.494352411746448,10.495559652936436,97.83577726371443,1513,1,True,Central,3,330700,258574.08,22
Vientiane Capital,2025-Q4,2025,4,15.314793604131967,9.302495562415247,307.6033368185213,1339,1,True,Central,1,1009300,258574.08,257
