province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Johor,2023-Q1,2023,1,10.837889820027417,5.368582075804598,91.03124657534246,73.0,7.0,False,Southern,3,4186300,8810,218,24097.67,771125.44
Kedah,2023-Q1,2023,1,31.371259599687953,5.978059423965748,147.87993333333333,15.0,5.0,False,Northern,4,2217500,5694,233,15574.59,498386.88
Kelantan,2023-Q1,2023,1,16.003902385717556,9.125669054865229,88.67299999999999,7.0,4.0,False,East Coast,4,1888500,3764,125,10295.53,329456.96
Kuala Lumpur,2023-Q1,2023,1,15.802485306218792,5.852093311718679,111.2784375199744,6260.0,17.0,True,Central,1,2067500,26882,8508,73529.35,2352939.2
Malacca,2023-Q1,2023,1,16.079678852549193,6.323482309075378,147.98082608695654,23.0,5.0,False,Southern,2,1047100,10775,629,29472.46,943118.72
Negeri Sembilan,2023-Q1,2023,1,12.793108839467177,7.226118110400517,66.27095104895105,144.0,7.0,True,Central,2,1240100,10747,185,29395.88,940668.16
Pahang,2023-Q1,2023,1,9.057170955707075,2.7616528235486335,108.10123076923075,13.0,6.0,False,East Coast,3,1668200,9978,46,27292.46,873358.72
Penang,2023-Q1,2023,1,17.933762664718806,5.34796398254497,124.7396437908497,306.0,8.0,True,Northern,2,1800400,14416,1718,39431.56,1261809.92
Perak,2023-Q1,2023,1,17.540457385477918,9.790420663953139,106.93066037735849,53.0,4.0,False,Northern,3,2569600,8294,122,22686.27,725960.64
Putrajaya,2023-Q1,2023,1,6.885512363603411,0.3150771121184643,106.93925000000002,4.0,1.0,False,Central,1,120300,26882,2455,73529.35,2352939.2
Sabah,2023-Q1,2023,1,13.686834850714355,8.781837376626006,118.03328015564203,257.0,7.0,True,Borneo / East Malaysia,4,3742200,7236,51,19792.37,633355.84
Sarawak,2023-Q1,2023,1,17.579084269439655,6.411744124959177,93.36376685393257,1068.0,5.0,True,Borneo / East Malaysia,1,2518100,15935,20,43586.42,1394765.44
Selangor,2023-Q1,2023,1,22.882079600253984,7.1838949761492294,119.7979454225352,568.0,25.0,True,Central,2,7363400,12543,909,34308.41,1097869.12
Terengganu,2023-Q1,2023,1,,0.40934392524859803,,,,False,East Coast,3,1232100,7464,95,20416.01,653312.32
Johor,2023-Q2,2023,2,12.249416602606972,6.087558553983887,123.49874666666668,75.0,4.0,False,Southern,3,4186300,8810,218,24097.67,771125.44
Kelantan,2023-Q2,2023,2,44.137641043590236,5.9639522386444455,239.16,3.0,1.0,False,East Coast,4,1888500,3764,125,10295.53,329456.96
Kuala Lumpur,2023-Q2,2023,2,20.58067212695761,6.992921322870565,99.06310423971945,6278.0,13.0,True,Central,1,2067500,26882,8508,73529.35,2352939.2
Negeri Sembilan,2023-Q2,2023,2,26.47470341956221,8.297694926728951,89.64813333333333,45.0,7.0,False,Central,2,1240100,10747,185,29395.88,940668.16
Penang,2023-Q2,2023,2,18.91445465677931,5.451254620172992,92.2972462686567,268.0,8.0,True,Northern,2,1800400,14416,1718,39431.56,1261809.92
Perak,2023-Q2,2023,2,4.600934536346438,5.1937621959460945,80.37339999999999,5.0,3.0,False,Northern,3,2569600,8294,122,22686.27,725960.64
Putrajaya,2023-Q2,2023,2,22.7999480513099,1.5872800986334943,98.07069565217392,23.0,1.0,False,Central,1,120300,26882,2455,73529.35,2352939.2
Sabah,2023-Q2,2023,2,16.688709018110575,5.425749738579544,119.14601365187713,293.0,7.0,True,Borneo / East Malaysia,4,3742200,7236,51,19792.37,633355.84
Sarawak,2023-Q2,2023,2,19.336413350095718,6.778425906707544,91.31662330316743,885.0,7.0,True,Borneo / East Malaysia,1,2518100,15935,20,43586.42,1394765.44
Selangor,2023-Q2,2023,2,24.504078758643445,7.855019983515339,96.42243867924529,850.0,24.0,True,Central,2,7363400,12543,909,34308.41,1097869.12
Terengganu,2023-Q2,2023,2,8.663114115248824,4.1938686214384155,180.55100000000002,11.0,1.0,False,East Coast,3,1232100,7464,95,20416.01,653312.32
Johor,2023-Q3,2023,3,34.95675264395241,10.810316205401055,64.97312030075189,133.0,9.0,True,Southern,3,4186300,8810,218,24097.67,771125.44
Kedah,2023-Q3,2023,3,34.310086163842094,8.505078663319273,33.446327272727274,55.0,3.0,False,Northern,4,2217500,5694,233,15574.59,498386.88
Kelantan,2023-Q3,2023,3,28.294742299034322,7.574113254998758,14.531,10.0,1.0,False,East Coast,4,1888500,3764,125,10295.53,329456.96
Kuala Lumpur,2023-Q3,2023,3,23.04445670592898,7.239062104857385,83.33137273100618,12188.0,13.0,True,Central,1,2067500,26882,8508,73529.35,2352939.2
Malacca,2023-Q3,2023,3,31.834294934512876,8.786401762714766,39.214125,16.0,1.0,False,Southern,2,1047100,10775,629,29472.46,943118.72
Negeri Sembilan,2023-Q3,2023,3,30.355066994861108,9.765583778158364,71.58247272727273,55.0,5.0,False,Central,2,1240100,10747,185,29395.88,940668.16
Pahang,2023-Q3,2023,3,39.916753811382456,,44.154,1.0,1.0,False,East Coast,3,1668200,9978,46,27292.46,873358.72
Penang,2023-Q3,2023,3,20.38988666566315,7.132320762144917,68.43055873015872,315.0,14.0,True,Northern,2,1800400,14416,1718,39431.56,1261809.92
Perak,2023-Q3,2023,3,14.785660972720569,4.862331840061813,71.19791304347827,23.0,3.0,False,Northern,3,2569600,8294,122,22686.27,725960.64
Perlis,2023-Q3,2023,3,183.52791401120749,13.440489749400044,30.932625,8.0,1.0,False,Northern,4,296800,5195,362,14209.69,454710.08
Sabah,2023-Q3,2023,3,13.878778792021656,5.2667273208063685,124.65218566775243,615.0,7.0,True,Borneo / East Malaysia,4,3742200,7236,51,19792.37,633355.84
Sarawak,2023-Q3,2023,3,21.865476049513525,7.899241051222168,94.56944237695078,1666.0,6.0,True,Borneo / East Malaysia,1,2518100,15935,20,43586.42,1394765.44
Selangor,2023-Q3,2023,3,23.19087341188787,6.315512511981809,118.11919319826339,1383.0,20.0,True,Central,2,7363400,12543,909,34308.41,1097869.12
Johor,2023-Q4,2023,4,31.010132672113688,9.764114161897838,48.026015590200444,449.0,7.0,True,Southern,3,4186300,8810,218,24097.67,771125.44
Kedah,2023-Q4,2023,4,102.37821444373579,14.461289601317695,45.06841666666667,264.0,7.0,True,Northern,4,2217500,5694,233,15574.59,498386.88
Kelantan,2023-Q4,2023,4,19.917527374594307,5.223108532644263,98.81162857142857,35.0,3.0,False,East Coast,4,1888500,3764,125,10295.53,329456.96
Kuala Lumpur,2023-Q4,2023,4,35.691483209842076,10.704412673365242,88.43082750832137,25262.0,32.0,True,Central,1,2067500,26882,8508,73529.35,2352939.2
Labuan,2023-Q4,2023,4,33.16545121910981,13.375799461074633,175.6773430962343,240.0,1.0,True,Borneo / East Malaysia,1,100800,19648,1108,53742.45,1719758.4
Malacca,2023-Q4,2023,4,70.4386746163942,11.678771678401684,46.92045454545455,88.0,5.0,False,Southern,2,1047100,10775,629,29472.46,943118.72
Negeri Sembilan,2023-Q4,2023,4,82.52893542463588,14.487129479672218,29.645944444444442,54.0,2.0,False,Central,2,1240100,10747,185,29395.88,940668.16
Penang,2023-Q4,2023,4,31.141159264693222,10.46103184668245,44.12499835526316,611.0,15.0,True,Northern,2,1800400,14416,1718,39431.56,1261809.92
Perak,2023-Q4,2023,4,37.401214405501555,12.292829943197335,49.05972340425532,47.0,6.0,False,Northern,3,2569600,8294,122,22686.27,725960.64
Perlis,2023-Q4,2023,4,59.78346765163252,10.600040115519114,50.0241,40.0,2.0,False,Northern,4,296800,5195,362,14209.69,454710.08
Putrajaya,2023-Q4,2023,4,16.30596850380178,11.135849349040283,42.94235714285715,14.0,2.0,False,Central,1,120300,26882,2455,73529.35,2352939.2
Sabah,2023-Q4,2023,4,24.670741093696446,12.628623242161371,129.0738515240905,1017.0,9.0,True,Borneo / East Malaysia,4,3742200,7236,51,19792.37,633355.84
Sarawak,2023-Q4,2023,4,36.78980932743051,9.73394474158168,73.40332256410258,1950.0,10.0,True,Borneo / East Malaysia,1,2518100,15935,20,43586.42,1394765.44
Selangor,2023-Q4,2023,4,39.38276600293983,9.815263182041978,83.76409377123443,4418.0,32.0,True,Central,2,7363400,12543,909,34308.41,1097869.12
Terengganu,2023-Q4,2023,4,22.48081332664348,8.57255202596587,69.44957407407408,54.0,4.0,False,East Coast,3,1232100,7464,95,20416.01,653312.32
Johor,2024-Q1,2024,1,20.01375704921219,7.521972770786186,51.6900679245283,530.0,6.0,True,Southern,3,4186300,8810,218,24097.67,771125.44
Kedah,2024-Q1,2024,1,85.3686477604938,20.34998866977159,52.50894650205761,243.0,6.0,True,Northern,4,2217500,5694,233,15574.59,498386.88
Kelantan,2024-Q1,2024,1,50.103517270280555,11.517915983211807,17.511719999999997,25.0,3.0,False,East Coast,4,1888500,3764,125,10295.53,329456.96
Kuala Lumpur,2024-Q1,2024,1,46.82698122015582,13.67331080911329,94.57120347932512,57251.0,41.0,True,Central,1,2067500,26882,8508,73529.35,2352939.2
Malacca,2024-Q1,2024,1,31.70862739104198,8.034123723629538,30.07652380952381,21.0,1.0,False,Southern,2,1047100,10775,629,29472.46,943118.72
