province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Kuala Lumpur,2023-Q1,2023,1,15.802485306218797,5.852093311718684,111.27843751997446,6260.0,17.0,True,Central,1,2067500,2352939.2,8508
Negeri Sembilan,2023-Q1,2023,1,12.793108839467177,7.226118110400517,66.27095104895106,144.0,7.0,True,Central,2,1240100,940668.16,185
Penang,2023-Q1,2023,1,17.933762664718802,5.347963982544969,124.73964379084968,306.0,8.0,True,Northern,2,1800400,1261809.92,1718
Sabah,2023-Q1,2023,1,13.686834850714355,8.781837376626006,118.03328015564202,257.0,7.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2023-Q1,2023,1,17.579084269439655,6.411744124959177,93.36376685393256,1068.0,5.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2023-Q1,2023,1,22.882079600253984,7.183894976149231,119.79794542253522,568.0,25.0,True,Central,2,7363400,1097869.12,909
Kuala Lumpur,2023-Q2,2023,2,20.58067212695761,6.992921322870565,99.06310423971948,6278.0,13.0,True,Central,1,2067500,2352939.2,8508
Penang,2023-Q2,2023,2,18.914454656779306,5.451254620172993,92.29724626865674,268.0,8.0,True,Northern,2,1800400,1261809.92,1718
Sabah,2023-Q2,2023,2,16.688709018110575,5.425749738579546,119.14601365187713,293.0,7.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2023-Q2,2023,2,19.33641335009572,6.778425906707543,91.31662330316745,885.0,7.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2023-Q2,2023,2,24.504078758643445,7.855019983515339,96.42243867924527,850.0,24.0,True,Central,2,7363400,1097869.12,909
Johor,2023-Q3,2023,3,34.956752643952406,10.810316205401056,64.97312030075189,133.0,9.0,True,Southern,3,4186300,771125.44,218
Kuala Lumpur,2023-Q3,2023,3,23.04445670592898,7.239062104857385,83.3313727310062,12188.0,13.0,True,Central,1,2067500,2352939.2,8508
Penang,2023-Q3,2023,3,20.38988666566315,7.132320762144917,68.43055873015874,315.0,14.0,True,Northern,2,1800400,1261809.92,1718
Sabah,2023-Q3,2023,3,13.878778792021656,5.266727320806368,124.65218566775246,615.0,7.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2023-Q3,2023,3,21.865476049513525,7.899241051222168,94.5694423769508,1666.0,6.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2023-Q3,2023,3,23.190873411887875,6.315512511981808,118.11919319826336,1383.0,20.0,True,Central,2,7363400,1097869.12,909
Johor,2023-Q4,2023,4,31.01013267211369,9.764114161897838,48.02601559020045,449.0,7.0,True,Southern,3,4186300,771125.44,218
Kedah,2023-Q4,2023,4,102.3782144437358,14.461289601317697,45.06841666666666,264.0,7.0,True,Northern,4,2217500,498386.88,233
Kuala Lumpur,2023-Q4,2023,4,35.69148320984208,10.704412673365248,88.43082750832146,25262.0,32.0,True,Central,1,2067500,2352939.2,8508
Labuan,2023-Q4,2023,4,33.16545121910981,13.375799461074632,175.6773430962343,240.0,1.0,True,Borneo / East Malaysia,1,100800,1719758.4,1108
Penang,2023-Q4,2023,4,31.141159264693226,10.46103184668245,44.12499835526315,611.0,15.0,True,Northern,2,1800400,1261809.92,1718
Sabah,2023-Q4,2023,4,24.67074109369645,12.628623242161376,129.07385152409046,1017.0,9.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2023-Q4,2023,4,36.7898093274305,9.733944741581686,73.40332256410257,1950.0,10.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2023-Q4,2023,4,39.38276600293983,9.815263182041976,83.76409377123443,4418.0,32.0,True,Central,2,7363400,1097869.12,909
Johor,2024-Q1,2024,1,20.0137570492122,7.521972770786186,51.69006792452829,530.0,6.0,True,Southern,3,4186300,771125.44,218
Kedah,2024-Q1,2024,1,85.36864776049381,20.349988669771594,52.50894650205762,243.0,6.0,True,Northern,4,2217500,498386.88,233
Kuala Lumpur,2024-Q1,2024,1,46.82698122015579,13.673310809113293,94.57120347932512,57251.0,41.0,True,Central,1,2067500,2352939.2,8508
Negeri Sembilan,2024-Q1,2024,1,94.35184138265288,22.10733076606372,32.99887248322148,149.0,3.0,True,Central,2,1240100,940668.16,185
Penang,2024-Q1,2024,1,35.74468447358359,12.269746896990764,38.508636690647485,278.0,9.0,True,Northern,2,1800400,1261809.92,1718
Perak,2024-Q1,2024,1,41.68402066282581,10.575493805625834,33.15495614035088,228.0,5.0,True,Northern,3,2569600,725960.64,122
Sabah,2024-Q1,2024,1,25.67040500017241,11.851721784107363,167.60585369386766,2072.0,8.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2024-Q1,2024,1,32.58784718206404,10.021568363628337,118.56368076593311,3499.0,10.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2024-Q1,2024,1,52.66236580060679,14.358807971896034,78.99660271029583,6069.0,39.0,True,Central,2,7363400,1097869.12,909
Kedah,2024-Q2,2024,2,92.63617600804233,20.15802231001463,29.219483870967743,124.0,2.0,True,Northern,4,2217500,498386.88,233
Kuala Lumpur,2024-Q2,2024,2,52.81804107434618,13.798559389444884,86.11349307424231,90740.0,29.0,True,Central,1,2067500,2352939.2,8508
Penang,2024-Q2,2024,2,43.17261847619677,13.51955453202061,57.97796103896102,385.0,4.0,True,Northern,2,1800400,1261809.92,1718
Sabah,2024-Q2,2024,2,40.45473609997672,14.862457852591165,127.30026214028776,2226.0,4.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2024-Q2,2024,2,76.22861967475286,24.54232525655159,81.93719424242424,3300.0,3.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2024-Q2,2024,2,44.30803003804825,13.298139477128425,117.5210059956627,7842.0,21.0,True,Central,2,7363400,1097869.12,909
Kuala Lumpur,2024-Q3,2024,3,44.95004875318256,13.421860771477188,77.10134821596996,68985.0,37.0,True,Central,1,2067500,2352939.2,8508
Sabah,2024-Q3,2024,3,30.628840116194148,11.559081176798898,118.58607581227434,2221.0,5.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2024-Q3,2024,3,89.91148590144536,28.19630683930108,55.64564991782108,4259.0,5.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2024-Q3,2024,3,56.60243597933199,13.027486286434812,42.66587447026159,6848.0,18.0,True,Central,2,7363400,1097869.12,909
Kuala Lumpur,2024-Q4,2024,4,47.03661162874476,14.99256512172437,67.93926098630907,64140.0,28.0,True,Central,1,2067500,2352939.2,8508
Penang,2024-Q4,2024,4,89.89827434472274,18.903900813673843,38.70776724137931,232.0,4.0,True,Northern,2,1800400,1261809.92,1718
Sabah,2024-Q4,2024,4,31.94834301297527,14.52954662417988,122.1499265255293,2409.0,4.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2024-Q4,2024,4,50.989607680362376,18.127854023429222,75.76373749119098,2838.0,7.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2024-Q4,2024,4,38.03309992060147,11.594795614579397,63.48007809141711,7005.0,17.0,True,Central,2,7363400,1097869.12,909
Kuala Lumpur,2025-Q1,2025,1,43.60453054570109,14.420828817051168,47.48807248401481,74465.0,31.0,True,Central,1,2067500,2352939.2,8508
Penang,2025-Q1,2025,1,46.36897848615569,87.22501801438476,34.0533046875,128.0,1.0,True,Northern,2,1800400,1261809.92,1718
Sabah,2025-Q1,2025,1,30.15525726135056,11.787039251513216,97.0627370944993,3551.0,7.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
Sarawak,2025-Q1,2025,1,46.697056528094,15.594375500222602,57.954418320304704,19968.0,5.0,True,Borneo / East Malaysia,1,2518100,1394765.44,20
Selangor,2025-Q1,2025,1,29.401885907555545,11.141843260908429,77.64130798910573,30867.0,21.0,True,Central,2,7363400,1097869.12,909
Terengganu,2025-Q1,2025,1,12.376390158311088,6.106188267774279,95.97008741258742,286.0,1.0,True,East Coast,3,1232100,653312.32,95
Kuala Lumpur,2025-Q2,2025,2,49.55477812195888,14.867492094997592,48.39620879285583,80113.0,29.0,True,Central,1,2067500,2352939.2,8508
Sabah,2025-Q2,2025,2,37.97716519093704,13.190797843836355,89.96522879955947,7271.0,4.0,True,Borneo / East Malaysia,4,3742200,633355.84,51
