province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Bago,2023-Q1,2023,1,12.548829429719751,4.633701370969085,182.0640875,160.0,2.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Magway,2023-Q1,2023,1,0.5576225180519526,0.17288919605472386,404.9246666666667,6.0,1.0,False,Central Dry Zone,2,3917055,1242.72,87,5178.45,165710.4
Mandalay,2023-Q1,2023,1,8.605738322985227,4.02806438260128,266.55263545816734,1004.0,4.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Saigang,2023-Q1,2023,1,15.757078546267875,4.405065528799043,226.24811764705882,17.0,1.0,False,Central Dry Zone,3,5325347,1242.72,57,5178.45,165710.4
Shan,2023-Q1,2023,1,23.217634439810777,4.287337203306998,129.40283333333335,18.0,1.0,False,Eastern Highlands,3,5824432,1242.72,37,5178.45,165710.4
Yangon,2023-Q1,2023,1,14.2344026951435,6.056487008690118,234.6025221285564,1898.0,4.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Bago,2023-Q2,2023,2,7.822467537052844,4.183959048435798,212.04739743589744,156.0,2.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Mandalay,2023-Q2,2023,2,8.486051816397222,4.67930890227193,204.36160668896318,1495.0,6.0,True,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Saigang,2023-Q2,2023,2,12.706386133485907,2.0137368629347705,191.21040000000002,10.0,1.0,False,Central Dry Zone,3,5325347,1242.72,57,5178.45,165710.4
Shan,2023-Q2,2023,2,9.737625288956178,0.8283402260101911,174.209,13.0,1.0,False,Eastern Highlands,3,5824432,1242.72,37,5178.45,165710.4
Yangon,2023-Q2,2023,2,15.321990552967412,7.475522770983976,198.27013698630137,1387.0,3.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Ayeyarwady,2023-Q3,2023,3,69.27828839452934,,157.22775000000001,4.0,1.0,False,Lower Myanmar / Delta-Coastal,1,6184829,1242.72,177,5178.45,165710.4
Bago,2023-Q3,2023,3,7.522920428799183,3.8783886282576403,218.26263706563708,259.0,2.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Magway,2023-Q3,2023,3,9.30680224279781,3.207497603684344,163.9602624113475,141.0,1.0,False,Central Dry Zone,2,3917055,1242.72,87,5178.45,165710.4
Mandalay,2023-Q3,2023,3,9.773534550946136,5.138588180989779,176.09329317727662,3503.0,4.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Mon,2023-Q3,2023,3,18.12409550833486,9.461588499763575,152.60357142857143,56.0,1.0,False,Lower Myanmar / Delta-Coastal,1,2054393,1242.72,167,5178.45,165710.4
Saigang,2023-Q3,2023,3,4.2448465836940965,2.8756002471934203,292.3912234042553,94.0,1.0,False,Central Dry Zone,3,5325347,1242.72,57,5178.45,165710.4
Shan,2023-Q3,2023,3,26.06369689641362,7.738978762131894,113.6908787878788,33.0,1.0,False,Eastern Highlands,3,5824432,1242.72,37,5178.45,165710.4
Yangon,2023-Q3,2023,3,14.354120467549905,6.821673255300271,179.79648897707233,2268.0,2.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Bago,2023-Q4,2023,4,9.767087847853087,6.64414190135303,173.08067088607595,79.0,2.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Magway,2023-Q4,2023,4,6.424703228537065,3.8126577978480616,161.9312754491018,167.0,1.0,False,Central Dry Zone,2,3917055,1242.72,87,5178.45,165710.4
Mandalay,2023-Q4,2023,4,10.881395850881724,6.5090950626115704,204.66819119445572,2453.0,3.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Mon,2023-Q4,2023,4,15.367749090464356,2.9041861349380995,118.07121428571429,14.0,1.0,False,Lower Myanmar / Delta-Coastal,1,2054393,1242.72,167,5178.45,165710.4
Saigang,2023-Q4,2023,4,6.029596633916807,4.457934111802931,224.45047244094488,127.0,1.0,False,Central Dry Zone,3,5325347,1242.72,57,5178.45,165710.4
Yangon,2023-Q4,2023,4,15.765910946327143,9.984161850891512,209.38112466415905,1861.0,3.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Bago,2024-Q1,2024,1,8.055024093159851,3.101977843138547,198.56543181818185,44.0,2.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Magway,2024-Q1,2024,1,9.958413686774724,2.5579130862639006,154.02029166666665,24.0,1.0,False,Central Dry Zone,2,3917055,1242.72,87,5178.45,165710.4
Mandalay,2024-Q1,2024,1,7.684278275006464,5.22553221422847,199.5981294042281,1561.0,4.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Saigang,2024-Q1,2024,1,13.370410325922965,3.8434863299555264,108.47209523809522,21.0,1.0,False,Central Dry Zone,3,5325347,1242.72,57,5178.45,165710.4
Yangon,2024-Q1,2024,1,13.167425582514515,8.777406332027295,164.1180389992642,4077.0,2.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Bago,2024-Q2,2024,2,13.180408199111907,8.243607651318566,197.22364999999996,60.0,1.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Mandalay,2024-Q2,2024,2,8.936625614892511,6.580490970979478,166.78626268115943,2208.0,2.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Yangon,2024-Q2,2024,2,23.13556023465027,10.212593393324575,160.79660474165237,11051.0,2.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Bago,2024-Q3,2024,3,20.007864880264236,3.8871170757310654,159.40128146453094,437.0,1.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Mandalay,2024-Q3,2024,3,22.022210173900795,10.084102911250234,155.14413547758286,4104.0,1.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Yangon,2024-Q3,2024,3,22.953462487101575,9.439756319271757,123.27508238886062,21617.0,2.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Bago,2024-Q4,2024,4,30.495454122314296,7.255435650981275,126.86893800978791,613.0,1.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Mandalay,2024-Q4,2024,4,22.08258135972619,7.9702741644284165,141.898891471011,4174.0,2.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Yangon,2024-Q4,2024,4,27.356618003180827,9.88310977932424,116.80062364680975,33070.0,2.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Ayeyarwady,2025-Q1,2025,1,19.054795692734082,10.728055576654405,86.48730628401782,2021.0,2.0,False,Lower Myanmar / Delta-Coastal,1,6184829,1242.72,177,5178.45,165710.4
Bago,2025-Q1,2025,1,25.884745865403552,8.470018644740993,144.51635236118315,1927.0,1.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Mandalay,2025-Q1,2025,1,18.946644534980322,9.25780659931662,126.09899739712446,32272.0,2.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Yangon,2025-Q1,2025,1,23.79881334973098,9.94038806570651,109.09872513272555,29949.0,1.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Bago,2025-Q2,2025,2,30.454081754891686,5.766634660047849,171.3969525773196,485.0,1.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Mandalay,2025-Q2,2025,2,20.705039906973038,8.554911512924884,124.93385933788603,13472.0,1.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Yangon,2025-Q2,2025,2,20.669931664750695,7.98125230319554,113.40539309726584,6693.0,1.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Bago,2025-Q3,2025,3,10.913628292102269,4.619466672262626,190.5788188976378,127.0,1.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Mandalay,2025-Q3,2025,3,15.379223337682173,8.092240301782246,125.92107371794872,10920.0,1.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Yangon,2025-Q3,2025,3,18.954652011496645,7.397752295156939,107.41092389270119,6412.0,1.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Bago,2025-Q4,2025,4,14.228462851260307,5.582067637839049,133.97981944444444,72.0,1.0,False,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Kayin,2025-Q4,2025,4,21.17989813584983,8.586062235471962,129.87497129186605,627.0,1.0,False,Lower Myanmar / Delta-Coastal,3,1574079,1242.72,52,5178.45,165710.4
Mandalay,2025-Q4,2025,4,17.931427970937126,10.175217597307933,129.52307429871118,7914.0,1.0,False,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Yangon,2025-Q4,2025,4,24.317795832259236,10.427148275209033,111.89320162460108,3447.0,1.0,False,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
