province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Bago,2023-Q1,2023,1,12.548829429719753,4.633701370969085,182.0640875,160,2,True,Lower Myanmar / Delta-Coastal,2,4867373,165710.4,124
Mandalay,2023-Q1,2023,1,9.201605783852846,4.231068385589739,271.032202247191,804,4,True,Central Dry Zone,1,7325965,165710.4,163
Yangon,2023-Q1,2023,1,15.557546445412983,6.342267781633349,235.0415981595092,1632,4,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Bago,2023-Q2,2023,2,7.8224675370528445,4.183959048435798,212.04739743589744,156,2,True,Lower Myanmar / Delta-Coastal,2,4867373,165710.4,124
Mandalay,2023-Q2,2023,2,9.003003891274123,4.276101311632933,198.7650371308017,1187,6,True,Central Dry Zone,1,7325965,165710.4,163
Yangon,2023-Q2,2023,2,16.02175914931078,7.726619892177837,192.6682969837587,1297,3,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Bago,2023-Q3,2023,3,7.522920428799183,3.87838862825764,218.26263706563708,259,2,True,Lower Myanmar / Delta-Coastal,2,4867373,165710.4,124
Magway,2023-Q3,2023,3,9.306802242797811,3.207497603684344,163.9602624113475,141,1,True,Central Dry Zone,2,3917055,165710.4,87
Mandalay,2023-Q3,2023,3,10.690135832666815,4.95405226796862,157.9025075053609,2804,4,True,Central Dry Zone,1,7325965,165710.4,163
Yangon,2023-Q3,2023,3,14.356750071229849,6.829813782156673,176.61971409633233,2267,2,True,Lower Myanmar / Delta-Coastal,1,7360703,165710.4,716
Magway,2023-Q4,2023,4,6.424703228537065,3.812657797848062,161.9312754491018,167,1,True,Central Dry Zone,2,3917055,165710.4,87
Mandalay,2023-Q4,2023,4,12.33141114947999,6.658619656555604,212.24884228187915,1797,3,True,Central Dry Zone,1,7325965,165710.4,163
Saigang,2023-Q4,2023,4,6.029596633916808,4.457934111802931,224.45047244094488,127,1,True,Central Dry Zone,3,5325347,165710.4,57
