province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Bicol Region,2023-Q1,2023,1,12.013372886898484,5.647913893336512,100.62878165137646,14728,8,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2023-Q1,2023,1,10.020172109378118,4.549851579333771,105.78546728028508,33705,4,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2023-Q1,2023,1,13.579386692164277,7.603609227977664,98.15529473684208,570,6,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2023-Q1,2023,1,19.605306532573486,5.957988990384767,65.93835591917275,412557,36,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2023-Q1,2023,1,19.01686551394419,3.9440985815017746,61.48709599692382,106624,6,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2023-Q1,2023,1,19.655024475869215,6.399457359287484,62.991143396125,299333,34,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2023-Q1,2023,1,17.292780195982964,7.581383767352857,81.46319308127616,325027,8,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2023-Q1,2023,1,14.44070414471089,4.646389674353766,83.70439762819332,261313,1,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2023-Q1,2023,1,9.790697181227241,5.554901609572473,74.51674099722986,722,4,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2023-Q1,2023,1,19.281872601009514,6.043082890707214,71.4161674661105,14392,13,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2023-Q1,2023,1,10.353392645952864,3.7153046127468623,85.56033228980327,4475,5,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2023-Q1,2023,1,21.188069485323762,6.191194369290288,72.20514578727806,1032848,42,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2023-Q1,2023,1,14.96055602823898,6.192697830687078,79.38944664481183,195325,13,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2023-Q1,2023,1,9.139583070223308,2.5721340480762374,142.76822340425528,96,1,False,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2023-Q1,2023,1,15.415342600576317,3.7825717168621975,81.04291803957862,335731,9,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2023-Q1,2023,1,8.554462437687809,4.090937824769367,98.68850999999995,401,2,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
Bicol Region,2023-Q2,2023,2,15.235550399331267,6.218843378974205,79.52135309476272,6518,8,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2023-Q2,2023,2,9.768075239166393,4.418435720686456,103.95230289718727,96790,5,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2023-Q2,2023,2,11.49119419778245,4.729407809542094,104.78857837837839,185,2,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2023-Q2,2023,2,19.74881523405691,6.515158597760247,69.44702904525417,416197,41,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2023-Q2,2023,2,19.315915184450525,3.901254115520139,67.27543732708439,106270,4,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2023-Q2,2023,2,19.590772962832137,7.43000505309978,61.580539962076806,288087,44,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2023-Q2,2023,2,17.722418587292694,7.829895251854489,82.65142561317771,353414,11,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2023-Q2,2023,2,14.773740974562473,4.992108987824661,82.0969958745377,235733,4,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2023-Q2,2023,2,12.16041621894877,4.997834232882692,117.21354085603112,257,4,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2023-Q2,2023,2,11.89159919368592,5.6399862545175985,87.03339705882351,748,7,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2023-Q2,2023,2,26.716111138512524,1.9483262616070796,50.554652173913034,23,1,False,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2023-Q2,2023,2,23.076878402470406,6.70192159455116,70.50937425368677,907417,40,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2023-Q2,2023,2,14.345737522287287,6.651184726550584,85.29325911678949,223198,13,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2023-Q2,2023,2,15.565807066568622,4.852808222916704,88.3686857142857,140,4,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2023-Q2,2023,2,16.53287977811181,3.8852872296586436,81.11152637557625,341655,11,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2023-Q2,2023,2,9.775131364333886,5.488572228352767,89.70620000000002,60,2,False,Mindanao,4,5089934,2525,213,5623.78,179848.62
Bicol Region,2023-Q3,2023,3,33.20067461694819,14.701685485235034,44.09161883749069,93409,9,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2023-Q3,2023,3,10.289293689568398,4.480385512079421,89.41995053162316,91262,3,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Calabarzon,2023-Q3,2023,3,19.999162950389472,6.844763413448827,61.92536307890221,479052,38,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2023-Q3,2023,3,18.193153533748035,3.4966831106540264,77.99246361636497,126833,3,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2023-Q3,2023,3,18.248812815898294,8.002095776183051,68.11791181261822,358712,33,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2023-Q3,2023,3,16.732043882170235,7.6586435386275955,82.80750254140993,421362,12,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2023-Q3,2023,3,15.384528027890253,5.184013432109867,80.66933171923584,267780,4,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Ilocos Region,2023-Q3,2023,3,13.546260189440702,5.232379218272899,77.2181596858639,764,2,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2023-Q3,2023,3,18.34739432677006,2.805396802125865,108.04403030303028,33,1,False,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2023-Q3,2023,3,22.654801390118415,6.029746421450363,71.82293777835794,953923,36,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2023-Q3,2023,3,15.700192361097969,7.770853291103989,76.0190774073109,239073,5,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2023-Q3,2023,3,18.473548401466967,6.62615749031234,89.04135294117646,612,4,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2023-Q3,2023,3,17.124378210894363,4.333542133778342,74.05984655215698,390436,9,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2023-Q3,2023,3,21.970432864073928,6.070260535222794,95.38679166666664,120,1,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
Bicol Region,2023-Q4,2023,4,19.674152936655773,8.215421291195547,67.33099886320578,2641,4,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2023-Q4,2023,4,14.112270374315331,4.310958750574249,87.38002993369982,35465,2,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2023-Q4,2023,4,10.444109629357637,3.388526751149393,96.25747663986981,25794,2,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2023-Q4,2023,4,18.517492614168287,6.427424542220447,62.63476449393262,445702,36,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2023-Q4,2023,4,15.70433060128163,3.153018447433813,83.40817331268401,107840,5,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2023-Q4,2023,4,21.16678058148243,8.742438247938416,62.825398393411575,316092,23,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2023-Q4,2023,4,17.349755068590145,8.006178768275953,79.05192021024172,318368,12,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2023-Q4,2023,4,14.180955191072131,5.17913147314264,85.76133848089299,248181,4,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2023-Q4,2023,4,26.054810115131804,5.789140639670097,43.71382526564345,849,2,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2023-Q4,2023,4,9.771441230734506,3.1666265045186885,91.74419089430901,6152,3,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2023-Q4,2023,4,12.999764148254016,3.6484685593379638,78.51022647058824,340,4,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2023-Q4,2023,4,23.91387506084057,6.361987471071512,62.28644507853107,919206,38,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2023-Q4,2023,4,14.45717699791166,7.131279673185069,83.12780921760881,209190,6,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2023-Q4,2023,4,17.618006373836003,12.592342450797627,74.26361956521738,184,2,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2023-Q4,2023,4,15.045818204961341,4.304913565222679,79.24376443379167,345572,8,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Bicol Region,2024-Q1,2024,1,12.978377919562424,3.821282134272806,76.38782928975482,7964,2,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2024-Q1,2024,1,13.590957170654267,4.691599834803912,88.45786347402615,61656,2,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2024-Q1,2024,1,10.288939806479663,3.41408612731081,69.59801566995466,19499,2,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2024-Q1,2024,1,20.144266766362392,7.103303727704725,53.56455018726392,425341,24,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2024-Q1,2024,1,15.950660881851617,2.95792849990595,59.84940741452163,98918,4,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2024-Q1,2024,1,22.338773345379533,10.157237569599353,46.944020404482714,338417,27,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2024-Q1,2024,1,18.613808501733214,9.00857873828807,67.09893865449932,335356,5,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2024-Q1,2024,1,15.144966827770226,5.753767165118053,73.12179387856928,282833,3,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2024-Q1,2024,1,30.705313351058344,7.835813061233879,57.63103617021277,470,2,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2024-Q1,2024,1,10.599545366995113,3.8190903793356,91.63658151835715,6432,4,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2024-Q1,2024,1,18.504796698494673,6.387789451349455,67.08501753104457,1371,1,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2024-Q1,2024,1,25.478421408035473,7.310402505015532,57.67598736758176,924136,33,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2024-Q1,2024,1,16.140606456066937,8.597495977365469,71.744086453977,213040,3,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2024-Q1,2024,1,11.263912932887385,7.537740292519224,162.66641025641022,39,2,False,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2024-Q1,2024,1,16.52728808521584,4.9836740539355295,66.13909417330616,303028,2,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2024-Q1,2024,1,11.757321478108993,4.095466338470972,83.17193360624246,7825,2,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
CAR,2024-Q2,2024,2,15.948554268128015,3.9553861498804634,78.46989729202546,133390,2,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2024-Q2,2024,2,10.98792649227275,3.255619976562976,70.99382909810457,19226,1,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2024-Q2,2024,2,20.56338126931753,7.5303947943751774,54.77665118095253,404903,15,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2024-Q2,2024,2,17.24125786015448,3.177553445555229,59.13652138545009,82000,2,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2024-Q2,2024,2,24.341288743611262,11.785118412880212,42.15770123982309,263718,11,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2024-Q2,2024,2,19.62627770635694,8.709252933197563,72.5115783463394,418764,4,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2024-Q2,2024,2,16.278255552209274,7.193743157289752,75.64955051837637,186931,3,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
NCR,2024-Q2,2024,2,28.142693046390992,8.032917767891272,57.22368930394176,1029513,22,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2024-Q2,2024,2,16.8658100303696,7.734199943392915,74.90186426338757,358016,3,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Western Visayas,2024-Q2,2024,2,17.254962856572128,6.034874337793722,68.37414657891073,215093,2,True,Visayas,2,9766855,2765,372,6158.32,196943.14
ARMM,2024-Q3,2024,3,10.097250417245355,8.91360542524587,40.87156074766355,321,1,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Cagayan Valley,2024-Q3,2024,3,11.560183183806513,3.4366091260368474,71.05535457822636,20835,1,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2024-Q3,2024,3,25.860728165651427,9.985982000624466,42.06777811209129,260391,12,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2024-Q3,2024,3,18.31053542308858,3.6515196211768406,54.995412896403586,83227,2,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2024-Q3,2024,3,24.972920494268372,14.099213736984963,36.69228836845427,212285,5,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2024-Q3,2024,3,21.986826258109957,10.774059234364035,64.85912138610595,235829,5,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2024-Q3,2024,3,17.681389456290525,8.38248982934302,74.44313323955144,174960,1,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
NCR,2024-Q3,2024,3,25.2146447036994,6.804508184378073,66.35564040773716,2111758,16,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2024-Q3,2024,3,18.77055908279285,11.229876581297388,69.35346337691563,163741,2,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Western Visayas,2024-Q3,2024,3,15.74984384237523,6.176219141041756,74.48149436357455,200468,2,True,Visayas,2,9766855,2765,372,6158.32,196943.14
ARMM,2024-Q4,2024,4,17.475475949391694,16.815391880020993,42.84389194499017,509,1,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Cagayan Valley,2024-Q4,2024,4,13.720731475805065,3.61947987272967,71.6020902706774,37196,1,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2024-Q4,2024,4,26.43281076340564,10.057935258226422,40.62502834082904,243605,11,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2024-Q4,2024,4,19.824036372838783,3.7909210615064635,59.93810652074816,76761,2,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2024-Q4,2024,4,27.59473676877148,14.295832165622326,39.48935745128737,175867,5,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2024-Q4,2024,4,25.49694592686348,11.28148958379422,64.06439737357194,223980,4,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2024-Q4,2024,4,17.733048073434322,8.160953211395395,73.84828984605832,160848,3,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2024-Q4,2024,4,32.58884921221617,18.957667025399786,139.14350000000002,2,1,False,Visayas,4,4625929,2076,191,4623.75,147867.62
NCR,2024-Q4,2024,4,29.134255014123458,6.989008412890762,64.57455339184422,2241088,19,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2024-Q4,2024,4,23.64187914341884,13.786980454207399,69.45897901458517,135703,5,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2024-Q4,2024,4,16.89919801805088,22.218345822612434,35.073826666666655,75,1,False,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2024-Q4,2024,4,17.524868768998143,6.65820409224209,75.29225165515535,195533,2,True,Visayas,2,9766855,2765,372,6158.32,196943.14
ARMM,2025-Q1,2025,1,13.530801401304823,11.263085556332618,38.86146470588235,340,1,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Cagayan Valley,2025-Q1,2025,1,14.435899556832213,4.424592827898485,66.93540628218356,44708,2,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2025-Q1,2025,1,25.154926790146423,12.82442938814484,44.4301895558086,277828,10,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2025-Q1,2025,1,18.36906078163272,5.7658749058006595,79.44906526889388,75992,3,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2025-Q1,2025,1,31.913335840826466,23.828476794823526,41.10318217387916,242927,7,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2025-Q1,2025,1,25.423580730389503,11.42291776607322,75.20536957752715,402897,4,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2025-Q1,2025,1,21.552110377358254,11.488545504755702,70.87093759533055,166594,7,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2025-Q1,2025,1,15.962594294696029,4.097737892663916,94.50343524457396,15445,1,True,Visayas,4,4625929,2076,191,4623.75,147867.62
NCR,2025-Q1,2025,1,29.289137912277408,8.107123343107979,73.6911188454096,2444704,21,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2025-Q1,2025,1,22.871631019394172,14.700723301797419,70.64181755789315,213122,7,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2025-Q1,2025,1,23.52599655487902,23.363042672145276,38.66000729927007,137,2,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2025-Q1,2025,1,18.003288328185374,8.851626457398266,82.36375469916372,211965,3,True,Visayas,2,9766855,2765,372,6158.32,196943.14
ARMM,2025-Q2,2025,2,19.273251070837222,12.026677778580773,44.37818383167222,903,1,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Cagayan Valley,2025-Q2,2025,2,16.003941680393446,4.338474249202324,71.7727330193354,40383,1,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2025-Q2,2025,2,21.98384441202111,9.330813893180029,71.34909598408272,374249,9,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2025-Q2,2025,2,12.532672230908027,4.422965413836184,110.15831618544145,73800,2,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
