province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Bicol Region,2023-Q1,2023,1,12.01337288689848,5.647913893336512,100.6287816513764,14728,8,True,Luzon,4,6064426,142596.8,319
CAR,2023-Q1,2023,1,10.02017210937812,4.549851579333772,105.78546728028516,33705,4,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2023-Q1,2023,1,13.57938669216428,7.603609227977663,98.15529473684208,570,6,True,Luzon,3,3777608,185618.02,122
Calabarzon,2023-Q1,2023,1,19.605306532573533,5.95798899038476,65.93835591917284,412557,36,True,Luzon,2,16933234,259765.51,854
Caraga,2023-Q1,2023,1,19.01686551394417,3.944098581501776,61.48709599692379,106624,6,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2023-Q1,2023,1,19.655024475869176,6.399457359287474,62.99114339612505,299333,34,True,Luzon,2,12989074,263326.87,510
Central Visayas,2023-Q1,2023,1,17.292780195983028,7.581383767352858,81.46319308127613,325027,8,True,Visayas,2,6640875,245591.3,647
Davao Region,2023-Q1,2023,1,14.440704144710878,4.646389674353772,83.70439762819328,261313,1,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2023-Q1,2023,1,9.79069718122724,5.55490160957247,74.51674099722987,722,4,True,Visayas,4,4625929,147867.62,191
Ilocos Region,2023-Q1,2023,1,19.281872601009507,6.0430828907072165,71.4161674661105,14392,13,True,Luzon,3,5342453,193453.01,386
Mimaropa,2023-Q1,2023,1,10.353392645952866,3.715304612746861,85.56033228980327,4475,5,True,Luzon,3,3245446,190888.83,100
NCR,2023-Q1,2023,1,21.18806948532377,6.191194369290247,72.20514578727811,1032848,42,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2023-Q1,2023,1,14.960556028238994,6.192697830687073,79.38944664481185,195325,13,True,Mindanao,1,5178326,291746.51,229
Western Visayas,2023-Q1,2023,1,15.415342600576292,3.782571716862199,81.04291803957881,335731,9,True,Visayas,2,9766855,196943.14,372
Zamboanga Peninsula,2023-Q1,2023,1,8.554462437687805,4.090937824769367,98.68850999999997,401,2,True,Mindanao,4,5089934,179848.62,213
Bicol Region,2023-Q2,2023,2,15.235550399331268,6.218843378974208,79.5213530947627,6518,8,True,Luzon,4,6064426,142596.8,319
CAR,2023-Q2,2023,2,9.76807523916639,4.418435720686453,103.9523028971874,96790,5,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2023-Q2,2023,2,11.49119419778245,4.729407809542094,104.7885783783784,185,2,True,Luzon,3,3777608,185618.02,122
Calabarzon,2023-Q2,2023,2,19.74881523405686,6.515158597760245,69.44702904525423,416197,41,True,Luzon,2,16933234,259765.51,854
Caraga,2023-Q2,2023,2,19.315915184450507,3.90125411552014,67.2754373270844,106270,4,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2023-Q2,2023,2,19.59077296283213,7.430005053099783,61.580539962076905,288087,44,True,Luzon,2,12989074,263326.87,510
Central Visayas,2023-Q2,2023,2,17.722418587292676,7.829895251854494,82.65142561317757,353414,11,True,Visayas,2,6640875,245591.3,647
Davao Region,2023-Q2,2023,2,14.773740974562465,4.992108987824666,82.09699587453773,235733,4,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2023-Q2,2023,2,12.16041621894877,4.997834232882692,117.21354085603107,257,4,True,Visayas,4,4625929,147867.62,191
Ilocos Region,2023-Q2,2023,2,11.89159919368592,5.639986254517597,87.03339705882351,748,7,True,Luzon,3,5342453,193453.01,386
NCR,2023-Q2,2023,2,23.076878402470463,6.701921594551189,70.50937425368666,907417,40,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2023-Q2,2023,2,14.345737522287267,6.651184726550578,85.2932591167893,223198,13,True,Mindanao,1,5178326,291746.51,229
Soccsksargen,2023-Q2,2023,2,15.565807066568624,4.852808222916705,88.3686857142857,140,4,True,Mindanao,4,4462776,175147.62,202
Western Visayas,2023-Q2,2023,2,16.532879778111816,3.885287229658642,81.11152637557625,341655,11,True,Visayas,2,9766855,196943.14,372
Bicol Region,2023-Q3,2023,3,33.20067461694825,14.70168548523502,44.09161883749066,93409,9,True,Luzon,4,6064426,142596.8,319
CAR,2023-Q3,2023,3,10.289293689568394,4.480385512079423,89.4199505316232,91262,3,True,Luzon,1,1808985,295236.64,89
Calabarzon,2023-Q3,2023,3,19.999162950389508,6.844763413448812,61.925363078902016,479052,38,True,Luzon,2,16933234,259765.51,854
Caraga,2023-Q3,2023,3,18.19315353374803,3.4966831106540264,77.99246361636521,126833,3,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2023-Q3,2023,3,18.24881281589828,8.002095776183046,68.11791181261813,358712,33,True,Luzon,2,12989074,263326.87,510
Central Visayas,2023-Q3,2023,3,16.73204388217022,7.65864353862758,82.80750254140993,421362,12,True,Visayas,2,6640875,245591.3,647
Davao Region,2023-Q3,2023,3,15.38452802789025,5.184013432109869,80.66933171923581,267780,4,True,Mindanao,1,5389422,290535.65,245
Ilocos Region,2023-Q3,2023,3,13.546260189440702,5.232379218272899,77.21815968586387,764,2,True,Luzon,3,5342453,193453.01,386
NCR,2023-Q3,2023,3,22.65480139011853,6.029746421450372,71.82293777835794,953923,36,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2023-Q3,2023,3,15.70019236109797,7.7708532911039905,76.01907740731096,239073,5,True,Mindanao,1,5178326,291746.51,229
Soccsksargen,2023-Q3,2023,3,18.47354840146696,6.6261574903123375,89.04135294117647,612,4,True,Mindanao,4,4462776,175147.62,202
Western Visayas,2023-Q3,2023,3,17.124378210894346,4.333542133778338,74.05984655215671,390436,9,True,Visayas,2,9766855,196943.14,372
Zamboanga Peninsula,2023-Q3,2023,3,21.970432864073928,6.070260535222795,95.38679166666664,120,1,True,Mindanao,4,5089934,179848.62,213
Bicol Region,2023-Q4,2023,4,19.674152936655776,8.215421291195549,67.33099886320582,2641,4,True,Luzon,4,6064426,142596.8,319
CAR,2023-Q4,2023,4,14.112270374315331,4.310958750574248,87.38002993369979,35465,2,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2023-Q4,2023,4,10.444109629357632,3.38852675114939,96.25747663986976,25794,2,True,Luzon,3,3777608,185618.02,122
Calabarzon,2023-Q4,2023,4,18.517492614168248,6.427424542220448,62.63476449393264,445702,36,True,Luzon,2,16933234,259765.51,854
Caraga,2023-Q4,2023,4,15.704330601281608,3.1530184474338108,83.40817331268379,107840,5,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2023-Q4,2023,4,21.166780581482428,8.742438247938402,62.82539839341179,316092,23,True,Luzon,2,12989074,263326.87,510
Central Visayas,2023-Q4,2023,4,17.349755068590152,8.006178768275962,79.05192021024179,318368,12,True,Visayas,2,6640875,245591.3,647
Davao Region,2023-Q4,2023,4,14.180955191072112,5.1791314731426406,85.76133848089295,248181,4,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2023-Q4,2023,4,26.054810115131783,5.789140639670096,43.71382526564346,849,2,True,Visayas,4,4625929,147867.62,191
Ilocos Region,2023-Q4,2023,4,9.771441230734505,3.166626504518689,91.74419089430909,6152,3,True,Luzon,3,5342453,193453.01,386
Mimaropa,2023-Q4,2023,4,12.999764148254012,3.6484685593379647,78.51022647058824,340,4,True,Luzon,3,3245446,190888.83,100
NCR,2023-Q4,2023,4,23.91387506084049,6.361987471071515,62.28644507853098,919206,38,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2023-Q4,2023,4,14.457176997911665,7.131279673185045,83.12780921760888,209190,6,True,Mindanao,1,5178326,291746.51,229
Soccsksargen,2023-Q4,2023,4,17.618006373836,12.592342450797627,74.26361956521738,184,2,True,Mindanao,4,4462776,175147.62,202
Western Visayas,2023-Q4,2023,4,15.045818204961336,4.304913565222682,79.24376443379154,345572,8,True,Visayas,2,9766855,196943.14,372
Bicol Region,2024-Q1,2024,1,12.97837791956242,3.821282134272807,76.38782928975479,7964,2,True,Luzon,4,6064426,142596.8,319
CAR,2024-Q1,2024,1,13.590957170654272,4.691599834803911,88.45786347402623,61656,2,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2024-Q1,2024,1,10.288939806479648,3.4140861273108087,69.59801566995459,19499,2,True,Luzon,3,3777608,185618.02,122
Calabarzon,2024-Q1,2024,1,20.1442667663624,7.103303727704744,53.564550187263976,425341,24,True,Luzon,2,16933234,259765.51,854
Caraga,2024-Q1,2024,1,15.95066088185163,2.957928499905952,59.84940741452154,98918,4,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2024-Q1,2024,1,22.33877334537952,10.157237569599395,46.94402040448272,338417,27,True,Luzon,2,12989074,263326.87,510
Central Visayas,2024-Q1,2024,1,18.61380850173325,9.008578738288064,67.09893865449921,335356,5,True,Visayas,2,6640875,245591.3,647
Davao Region,2024-Q1,2024,1,15.144966827770164,5.753767165118059,73.12179387856936,282833,3,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2024-Q1,2024,1,30.705313351058336,7.835813061233875,57.63103617021277,470,2,True,Visayas,4,4625929,147867.62,191
Ilocos Region,2024-Q1,2024,1,10.599545366995107,3.819090379335601,91.63658151835716,6432,4,True,Luzon,3,5342453,193453.01,386
Mimaropa,2024-Q1,2024,1,18.504796698494676,6.387789451349455,67.08501753104457,1371,1,True,Luzon,3,3245446,190888.83,100
NCR,2024-Q1,2024,1,25.47842140803553,7.310402505015507,57.67598736758163,924136,33,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2024-Q1,2024,1,16.140606456066948,8.597495977365472,71.74408645397703,213040,3,True,Mindanao,1,5178326,291746.51,229
Western Visayas,2024-Q1,2024,1,16.527288085215847,4.983674053935499,66.13909417330623,303028,2,True,Visayas,2,9766855,196943.14,372
Zamboanga Peninsula,2024-Q1,2024,1,11.757321478108988,4.095466338470971,83.1719336062425,7825,2,True,Mindanao,4,5089934,179848.62,213
CAR,2024-Q2,2024,2,15.948554268127973,3.955386149880463,78.46989729202552,133390,2,True,Luzon,1,1808985,295236.64,89
Cagayan Valley,2024-Q2,2024,2,10.987926492272758,3.255619976562978,70.99382909810446,19226,1,True,Luzon,3,3777608,185618.02,122
Calabarzon,2024-Q2,2024,2,20.563381269317617,7.530394794375193,54.77665118095247,404903,15,True,Luzon,2,16933234,259765.51,854
Caraga,2024-Q2,2024,2,17.24125786015447,3.17755344555523,59.13652138545001,82000,2,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2024-Q2,2024,2,24.341288743611216,11.785118412880196,42.15770123982306,263718,11,True,Luzon,2,12989074,263326.87,510
Central Visayas,2024-Q2,2024,2,19.626277706356948,8.709252933197527,72.51157834633923,418764,4,True,Visayas,2,6640875,245591.3,647
Davao Region,2024-Q2,2024,2,16.278255552209284,7.193743157289751,75.64955051837649,186931,3,True,Mindanao,1,5389422,290535.65,245
NCR,2024-Q2,2024,2,28.14269304639093,8.032917767891295,57.22368930394167,1029513,22,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2024-Q2,2024,2,16.865810030369584,7.734199943392909,74.90186426338771,358016,3,True,Mindanao,1,5178326,291746.51,229
Western Visayas,2024-Q2,2024,2,17.254962856572135,6.034874337793716,68.3741465789106,215093,2,True,Visayas,2,9766855,196943.14,372
ARMM,2024-Q3,2024,3,10.097250417245355,8.91360542524587,40.87156074766355,321,1,True,Mindanao,4,4545486,91028.33,330
Cagayan Valley,2024-Q3,2024,3,11.560183183806515,3.436609126036846,71.05535457822637,20835,1,True,Luzon,3,3777608,185618.02,122
Calabarzon,2024-Q3,2024,3,25.860728165651423,9.985982000624452,42.06777811209125,260391,12,True,Luzon,2,16933234,259765.51,854
Caraga,2024-Q3,2024,3,18.31053542308857,3.6515196211768415,54.99541289640352,83227,2,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2024-Q3,2024,3,24.972920494268344,14.099213736984971,36.69228836845427,212285,5,True,Luzon,2,12989074,263326.87,510
Central Visayas,2024-Q3,2024,3,21.986826258109986,10.774059234364028,64.85912138610588,235829,5,True,Visayas,2,6640875,245591.3,647
Davao Region,2024-Q3,2024,3,17.681389456290542,8.382489829343024,74.44313323955143,174960,1,True,Mindanao,1,5389422,290535.65,245
NCR,2024-Q3,2024,3,25.214644703699435,6.804508184378116,66.35564040773724,2111758,16,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2024-Q3,2024,3,18.77055908279281,11.229876581297386,69.35346337691563,163741,2,True,Mindanao,1,5178326,291746.51,229
Western Visayas,2024-Q3,2024,3,15.749843842375215,6.1762191410417655,74.48149436357461,200468,2,True,Visayas,2,9766855,196943.14,372
ARMM,2024-Q4,2024,4,17.47547594939169,16.815391880020993,42.84389194499016,509,1,True,Mindanao,4,4545486,91028.33,330
Cagayan Valley,2024-Q4,2024,4,13.720731475805064,3.6194798727296704,71.6020902706774,37196,1,True,Luzon,3,3777608,185618.02,122
Calabarzon,2024-Q4,2024,4,26.432810763405637,10.057935258226411,40.62502834082905,243605,11,True,Luzon,2,16933234,259765.51,854
Caraga,2024-Q4,2024,4,19.82403637283877,3.790921061506464,59.93810652074821,76761,2,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2024-Q4,2024,4,27.59473676877149,14.295832165622326,39.48935745128741,175867,5,True,Luzon,2,12989074,263326.87,510
Central Visayas,2024-Q4,2024,4,25.49694592686346,11.281489583794228,64.06439737357191,223980,4,True,Visayas,2,6640875,245591.3,647
Davao Region,2024-Q4,2024,4,17.733048073434343,8.160953211395386,73.84828984605832,160848,3,True,Mindanao,1,5389422,290535.65,245
NCR,2024-Q4,2024,4,29.134255014123493,6.989008412890852,64.57455339184426,2241088,19,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2024-Q4,2024,4,23.64187914341884,13.7869804542074,69.45897901458514,135703,5,True,Mindanao,1,5178326,291746.51,229
Western Visayas,2024-Q4,2024,4,17.524868768998132,6.658204092242105,75.29225165515531,195533,2,True,Visayas,2,9766855,196943.14,372
ARMM,2025-Q1,2025,1,13.530801401304815,11.263085556332616,38.86146470588236,340,1,True,Mindanao,4,4545486,91028.33,330
Cagayan Valley,2025-Q1,2025,1,14.435899556832226,4.42459282789848,66.93540628218356,44708,2,True,Luzon,3,3777608,185618.02,122
Calabarzon,2025-Q1,2025,1,25.15492679014644,12.824429388144813,44.430189555808525,277828,10,True,Luzon,2,16933234,259765.51,854
Caraga,2025-Q1,2025,1,18.36906078163271,5.76587490580066,79.44906526889392,75992,3,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2025-Q1,2025,1,31.913335840826427,23.82847679482359,41.1031821738792,242927,7,True,Luzon,2,12989074,263326.87,510
Central Visayas,2025-Q1,2025,1,25.423580730389503,11.422917766073176,75.20536957752726,402897,4,True,Visayas,2,6640875,245591.3,647
Davao Region,2025-Q1,2025,1,21.55211037735825,11.4885455047557,70.8709375953305,166594,7,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2025-Q1,2025,1,15.962594294696029,4.0977378926639165,94.50343524457396,15445,1,True,Visayas,4,4625929,147867.62,191
NCR,2025-Q1,2025,1,29.289137912277248,8.10712334310798,73.69111884540959,2444704,21,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2025-Q1,2025,1,22.871631019394137,14.700723301797426,70.64181755789306,213122,7,True,Mindanao,1,5178326,291746.51,229
Soccsksargen,2025-Q1,2025,1,23.52599655487901,23.36304267214528,38.66000729927007,137,2,True,Mindanao,4,4462776,175147.62,202
Western Visayas,2025-Q1,2025,1,18.003288328185363,8.851626457398257,82.3637546991636,211965,3,True,Visayas,2,9766855,196943.14,372
ARMM,2025-Q2,2025,2,19.273251070837212,12.026677778580773,44.37818383167222,903,1,True,Mindanao,4,4545486,91028.33,330
Cagayan Valley,2025-Q2,2025,2,16.00394168039346,4.338474249202329,71.7727330193354,40383,1,True,Luzon,3,3777608,185618.02,122
Calabarzon,2025-Q2,2025,2,21.9838444120211,9.330813893180002,71.34909598408271,374249,9,True,Luzon,2,16933234,259765.51,854
Caraga,2025-Q2,2025,2,12.532672230908036,4.4229654138361845,110.15831618544148,73800,2,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2025-Q2,2025,2,24.58084531525532,12.152468717450772,71.66995552671324,342266,8,True,Luzon,2,12989074,263326.87,510
Central Visayas,2025-Q2,2025,2,23.972878149185853,9.702403322930866,92.18088635764646,444351,5,True,Visayas,2,6640875,245591.3,647
Davao Region,2025-Q2,2025,2,20.24773397329201,9.274468940370086,91.81392237831156,251850,9,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2025-Q2,2025,2,19.143890601022683,4.513351316261972,116.36702386039862,22473,1,True,Visayas,4,4625929,147867.62,191
NCR,2025-Q2,2025,2,30.98921072225852,8.127193069851973,75.29943704087074,1556792,20,True,Luzon,1,14001751,742614.53,20247
Northern Mindanao,2025-Q2,2025,2,20.28825963351821,12.487564174577132,83.73022752274059,197533,7,True,Mindanao,1,5178326,291746.51,229
Soccsksargen,2025-Q2,2025,2,14.25099280759258,15.674365772241083,41.06106542056075,321,3,True,Mindanao,4,4462776,175147.62,202
Western Visayas,2025-Q2,2025,2,18.55629432035994,8.863466272899853,90.363092392574,167039,2,True,Visayas,2,9766855,196943.14,372
ARMM,2025-Q3,2025,3,15.319532225568071,13.142489579565035,34.466634036144576,664,1,True,Mindanao,4,4545486,91028.33,330
Cagayan Valley,2025-Q3,2025,3,14.834304045547327,4.097248351149423,69.4318107544716,44664,1,True,Luzon,3,3777608,185618.02,122
Calabarzon,2025-Q3,2025,3,24.65910032682453,12.892866231638568,54.52628089930748,261161,10,True,Luzon,2,16933234,259765.51,854
Caraga,2025-Q3,2025,3,15.331113071716118,5.103133546311938,94.63954316353878,76499,2,True,Mindanao,3,2865196,187327.47,121
Central Luzon,2025-Q3,2025,3,33.558874731970405,19.987584169715504,50.06849054647677,293402,8,True,Luzon,2,12989074,263326.87,510
Central Visayas,2025-Q3,2025,3,30.338729008090866,18.308080261909087,65.25548472829709,159422,6,True,Visayas,2,6640875,245591.3,647
Davao Region,2025-Q3,2025,3,24.244163166231445,12.244024847526749,73.50464965170832,167317,7,True,Mindanao,1,5389422,290535.65,245
Eastern Visayas,2025-Q3,2025,3,19.02044126405121,4.2509389513111,105.33961924702452,25803,1,True,Visayas,4,4625929,147867.62,191
NCR,2025-Q3,2025,3,26.93429609128629,6.798876554998342,80.82956628690991,2436441,18,True,Luzon,1,14001751,742614.53,20247
