province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Central Region,2023-Q1,2023,1,110.10669017749986,67.14788779058514,53.44104859929612,266390,1,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2023-Q1,2023,1,193.6452008521012,137.73493997625488,12.155943485086343,637,1,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2023-Q1,2023,1,155.83215794096805,49.21092980946293,55.66402239367708,5314,3,True,North Region,4,599400,107758,4456,132617.35,4241102.85
West Region,2023-Q1,2023,1,739.1613521166482,,1.854,1,1,False,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2023-Q2,2023,2,111.4622381159706,66.79961222674453,57.84066525022201,237542,1,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
North Region,2023-Q2,2023,2,40.29080805545243,10.271980722357824,60.346900419851465,9294,1,True,North Region,4,599400,107758,4456,132617.35,4241102.85
Central Region,2023-Q3,2023,3,113.78360324271915,62.519181707406844,40.9063711168844,263012,1,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
North Region,2023-Q3,2023,3,28.784837192293118,9.13295513611194,44.52353992665324,16936,1,True,North Region,4,599400,107758,4456,132617.35,4241102.85
Central Region,2023-Q4,2023,4,126.02190528902932,71.98021241815745,37.40576987593772,246419,33,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2023-Q4,2023,4,195.65796716270611,145.8857670413331,14.129383033419026,1946,9,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2023-Q4,2023,4,50.93728683320397,15.883605303081696,35.86552415476024,28299,9,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2023-Q4,2023,4,100.47614405521394,52.94443369987928,37.71897193514302,43563,8,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2023-Q4,2023,4,211.16035764118192,157.12262912487597,17.044998658558384,11193,11,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2024-Q1,2024,1,135.55307858109097,79.28695463594276,37.0971503379122,181771,37,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2024-Q1,2024,1,212.18581762325843,147.5219394228031,25.62724253892734,9253,10,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2024-Q1,2024,1,88.96413800315811,42.30220207021069,45.82952815540343,30540,8,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2024-Q1,2024,1,101.54243035139646,44.11563672139664,37.103581700276266,84387,7,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2024-Q1,2024,1,207.13308950360192,156.21348801013332,19.83150885130932,17696,13,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2024-Q2,2024,2,142.6244475346809,88.20096566856809,46.00638351350732,219799,33,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2024-Q2,2024,2,215.18202856609633,152.23970429274797,8.965485931219295,2239,8,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2024-Q2,2024,2,76.38595570291011,21.585247244802204,80.98892617877053,39280,5,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2024-Q2,2024,2,101.18993138618828,44.71302459215876,38.655032358904236,100147,6,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2024-Q2,2024,2,208.66690107362749,153.13244663969562,13.543320397146001,26501,9,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2024-Q3,2024,3,133.80428344679046,78.03553647590043,43.98289786919819,235714,28,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2024-Q3,2024,3,246.19086666963486,191.16911596417512,15.296176852167976,2933,2,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2024-Q3,2024,3,110.81571425610508,65.37914116479597,62.09609044958146,43144,4,True,North Region,4,599400,107758,4456,132617.35,4241102.85
