province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Central Region,2023-Q1,2023,1,54.91055590327398,11.488534656590344,72.7804415138229,130743,1,True,Central Region,2,975310,4241102.85,7304
North Region,2023-Q1,2023,1,170.62822300843698,21.70864794324023,50.74745789895751,3741,2,True,North Region,4,599400,4241102.85,4456
Central Region,2023-Q2,2023,2,58.79239203812466,12.16669087569072,73.29691935689978,125240,1,True,Central Region,2,975310,4241102.85,7304
North Region,2023-Q2,2023,2,85.05816356633896,15.605056692479344,64.58516061185469,2617,1,True,North Region,4,599400,4241102.85,4456
Central Region,2023-Q3,2023,3,64.7244267671255,13.43264854503949,51.71889026878604,158842,1,True,Central Region,2,975310,4241102.85,7304
North Region,2023-Q3,2023,3,104.12028848107413,17.23458965382233,33.317556935817805,483,1,True,North Region,4,599400,4241102.85,4456
Central Region,2023-Q4,2023,4,71.72837841654159,14.61311899687136,51.05154010470929,152659,10,True,Central Region,2,975310,4241102.85,7304
North Region,2023-Q4,2023,4,64.41618352295951,10.374382273515025,34.89511140949339,13783,3,True,North Region,4,599400,4241102.85,4456
North-East Region,2023-Q4,2023,4,65.68402586826954,14.375446985229768,47.46545559721823,31214,5,True,North-East Region,1,974650,4241102.85,8778
West Region,2023-Q4,2023,4,125.03441314804216,17.389975240803057,95.49931195840556,577,1,True,West Region,4,944480,4241102.85,4020
Central Region,2024-Q1,2024,1,81.08354944200974,14.890448215746902,49.367694781167486,103813,20,True,Central Region,2,975310,4241102.85,7304
East Region,2024-Q1,2024,1,21.79536515915833,4.390843736198338,33.15523795359905,3365,2,True,East Region,3,710690,4241102.85,6368
North Region,2024-Q1,2024,1,58.46831470231794,11.104202890550043,50.35416843672054,24871,3,True,North Region,4,599400,4241102.85,4456
North-East Region,2024-Q1,2024,1,75.45327862888746,13.958993819717897,43.51411024249441,66543,4,True,North-East Region,1,974650,4241102.85,8778
West Region,2024-Q1,2024,1,83.72009532955572,10.619820613782592,57.42412343096234,2391,6,True,West Region,4,944480,4241102.85,4020
Central Region,2024-Q2,2024,2,76.90335738731304,14.410251352183934,56.86163277293902,108664,14,True,Central Region,2,975310,4241102.85,7304
North Region,2024-Q2,2024,2,66.98101276436455,10.709569072886003,82.61981422671207,35854,2,True,North Region,4,599400,4241102.85,4456
North-East Region,2024-Q2,2024,2,74.00042426028851,14.155279372173869,45.74006560019996,80025,4,True,North-East Region,1,974650,4241102.85,8778
West Region,2024-Q2,2024,2,59.50451414646948,11.196426221579255,27.96977573656846,2886,2,True,West Region,4,944480,4241102.85,4020
Central Region,2024-Q3,2024,3,80.19006825455115,15.521292369573558,47.13404270521304,145593,11,True,Central Region,2,975310,4241102.85,7304
North Region,2024-Q3,2024,3,73.51986355610566,13.40311025958658,70.81635803405834,35600,2,True,North Region,4,599400,4241102.85,4456
North-East Region,2024-Q3,2024,3,70.73930305447813,13.64589704666744,54.19187470649008,74555,4,True,North-East Region,1,974650,4241102.85,8778
West Region,2024-Q3,2024,3,99.73463574008784,16.997163534987195,22.23286323092171,9082,2,True,West Region,4,944480,4241102.85,4020
Central Region,2024-Q4,2024,4,80.37408997730705,15.216853783013514,46.938002965561445,142020,14,True,Central Region,2,975310,4241102.85,7304
North Region,2024-Q4,2024,4,73.13434744636658,13.46452755953501,46.206259944064655,32189,3,True,North Region,4,599400,4241102.85,4456
North-East Region,2024-Q4,2024,4,86.35501758719428,16.406717043556057,52.72027675011877,90566,4,True,North-East Region,1,974650,4241102.85,8778
West Region,2024-Q4,2024,4,190.19582331867437,22.48227017178331,43.05727797833935,277,2,True,West Region,4,944480,4241102.85,4020
Central Region,2025-Q1,2025,1,85.78490173873529,16.622285656895126,50.01393597046,127321,15,True,Central Region,2,975310,4241102.85,7304
East Region,2025-Q1,2025,1,71.98585936836314,21.8252907393667,127.58939413680784,308,2,True,East Region,3,710690,4241102.85,6368
North Region,2025-Q1,2025,1,122.79620140663282,20.36532223629115,53.86476613987895,5951,3,True,North Region,4,599400,4241102.85,4456
North-East Region,2025-Q1,2025,1,81.20206741217555,15.559475033430026,54.29629196073952,109563,4,True,North-East Region,1,974650,4241102.85,8778
Central Region,2025-Q2,2025,2,86.32153090703936,16.661994640081428,74.59792159290059,71913,15,True,Central Region,2,975310,4241102.85,7304
North Region,2025-Q2,2025,2,20.60579684693323,7.0955205290301055,133.24003557312253,759,1,True,North Region,4,599400,4241102.85,4456
North-East Region,2025-Q2,2025,2,85.64309527203218,16.080475136809895,47.53643075978796,76590,4,True,North-East Region,1,974650,4241102.85,8778
West Region,2025-Q2,2025,2,165.78295897641917,25.66499418223928,21.393710302091403,1291,1,True,West Region,4,944480,4241102.85,4020
Central Region,2025-Q3,2025,3,85.85256727527387,16.90961950409147,66.58275669613813,99898,19,True,Central Region,2,975310,4241102.85,7304
East Region,2025-Q3,2025,3,12.638746720821596,3.583954972684915,110.69777857142854,560,3,True,East Region,3,710690,4241102.85,6368
North Region,2025-Q3,2025,3,17.6689621978189,5.437958672096053,170.98284690553743,921,1,True,North Region,4,599400,4241102.85,4456
North-East Region,2025-Q3,2025,3,95.16715237436706,17.149472051636938,52.10239450978912,52987,5,True,North-East Region,1,974650,4241102.85,8778
West Region,2025-Q3,2025,3,151.33514742835632,22.014155107225783,19.82616812339332,1946,1,True,West Region,4,944480,4241102.85,4020
Central Region,2025-Q4,2025,4,92.09098362101167,18.31356073765835,61.84847550818176,74704,17,True,Central Region,2,975310,4241102.85,7304
East Region,2025-Q4,2025,4,18.84347849552564,3.6631683168267983,138.45314619883038,171,2,True,East Region,3,710690,4241102.85,6368
North Region,2025-Q4,2025,4,244.1447956794479,34.32972417561165,33.02622464788733,2840,1,True,North Region,4,599400,4241102.85,4456
North-East Region,2025-Q4,2025,4,133.53437513938468,21.23906579698001,36.393621820010026,39787,6,True,North-East Region,1,974650,4241102.85,8778
West Region,2025-Q4,2025,4,47.18787075686041,9.85200882625486,49.52597014079184,10588,3,True,West Region,4,944480,4241102.85,4020
