province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Ang Thong,2023-Q1,2023,1,8.604534012504223,3.0353601588245995,85.32728571428571,7.0,2.0,False,Central,3,269000,142287,283,14661.7,468881.2
Bangkok Metropolis,2023-Q1,2023,1,24.603167787349676,12.667807824921809,86.80176113456248,1316913.0,39.0,True,Bangkok & Vicinity,1,5456000,593927,3488,61200.11,1957179.52
Buri Ram,2023-Q1,2023,1,12.467344932007231,12.76304236428908,163.76233333333334,129.0,2.0,False,Northeastern,4,1566000,80684,155,8313.93,265879.6
Chachoengsao,2023-Q1,2023,1,99.9465772008816,76.67396725243708,94.52771223021583,278.0,3.0,False,Eastern,2,733000,400385,142,41256.93,1319396.7
Chai Nat,2023-Q1,2023,1,7.557912829907482,3.986459712720453,116.19642253521127,71.0,2.0,False,Central,3,314000,135667,131,13979.56,447066.18
Chaiyaphum,2023-Q1,2023,1,10.801071504799072,4.139979800767005,61.150367816091936,87.0,1.0,False,Northeastern,4,1106000,73134,88,7535.96,240999.93
Chiang Mai,2023-Q1,2023,1,34.44570609484907,26.207133167977773,130.3029165882131,26555.0,10.0,True,Northern,2,1799000,133306,79,13736.27,439285.93
Chiang Rai,2023-Q1,2023,1,28.030858384542935,14.773193166883676,120.5575257352941,272.0,5.0,True,Northern,3,1298000,90203,112,9294.8,297247.75
Chon Buri,2023-Q1,2023,1,100.2114966203489,65.96932110099273,71.53739094322448,8789.0,8.0,True,Eastern,1,1636000,524002,363,53994.82,1726754.27
Chumphon,2023-Q1,2023,1,6.492159773945578,8.146855257515988,63.4532619047619,42.0,2.0,False,Southern,2,508000,259853,84,26776.07,856298.79
Kalasin,2023-Q1,2023,1,27.094146248725107,17.777148730454968,98.4508860103627,193.0,2.0,False,Northeastern,4,962000,77397,139,7975.23,255047.88
Kamphaeng Phet,2023-Q1,2023,1,15.934104715156447,8.537936358373983,146.05640919904843,1261.0,1.0,False,Northern,3,701000,141987,82,14630.79,467892.6
Kanchanaburi,2023-Q1,2023,1,36.77366435178784,13.074834028624972,68.20157170172085,523.0,3.0,False,Western,3,896000,127365,46,13124.09,419708.43
Khon Kaen,2023-Q1,2023,1,33.52232712026684,26.560731941774815,122.93419550274935,10184.0,3.0,False,Northeastern,3,1772000,124489,166,12827.74,410231.09
Lampang,2023-Q1,2023,1,26.23815042560568,18.109940390650973,126.69088338414635,1312.0,6.0,True,Northern,3,704000,104754,56,10794.18,345197.95
Lamphun,2023-Q1,2023,1,31.1415444593894,19.487705593181957,87.81444736842107,76.0,3.0,False,Northern,2,397000,226464,89,23335.56,746271.35
Loei,2023-Q1,2023,1,66.95729095657555,52.265646942613756,78.51490502793295,179.0,1.0,False,Northeastern,4,632000,105205,60,10840.65,346684.14
Lop Buri,2023-Q1,2023,1,22.00207051666964,14.42895672229247,141.79254572713643,1334.0,4.0,False,Central,3,725000,142287,111,14661.7,468881.2
Maha Sarakham,2023-Q1,2023,1,25.946697446323387,19.096956562810064,105.59804878048782,82.0,2.0,False,Northeastern,4,930000,85228,165,8782.16,280853.53
Nakhon Nayok,2023-Q1,2023,1,60.247443253708106,21.336697497648746,93.48110332103322,542.0,3.0,False,Eastern,3,260000,115666,121,11918.59,381156.48
Nakhon Pathom,2023-Q1,2023,1,57.80808692347246,37.29855520998209,93.94403086112494,2009.0,4.0,False,Bangkok & Vicinity,2,926000,297901,432,30696.66,981679.12
Nakhon Ratchasima,2023-Q1,2023,1,47.375906661075675,36.49069014936279,99.17505670636974,7724.0,3.0,False,Northeastern,3,2620000,126119,126,12995.7,415602.46
Nakhon Sawan,2023-Q1,2023,1,46.38945576487916,35.8012807628529,120.3211497461929,1182.0,4.0,False,Northern,3,1014000,119856,106,12350.34,394963.87
Nakhon Si Thammarat,2023-Q1,2023,1,14.981577406294669,6.9624749140142725,103.37821818181817,55.0,3.0,False,Southern,3,1535000,122494,154,12622.17,403656.93
Nan,2023-Q1,2023,1,23.544084635867982,13.776434155735288,90.37935624999999,1120.0,3.0,False,Northern,4,471000,81233,39,8370.5,267688.73
Nong Bua Lam Phu,2023-Q1,2023,1,8.097326858545754,3.0878947226160944,118.41179310344829,58.0,1.0,False,Northeastern,4,504000,63568,123,6550.25,209476.9
Nong Khai,2023-Q1,2023,1,15.729307681085004,8.930402490595652,101.04331521739131,92.0,3.0,False,Northeastern,4,512000,97617,156,10058.76,321679.25
Nonthaburi,2023-Q1,2023,1,24.225541654268223,9.186036851256263,98.78322216347973,111598.0,8.0,True,Bangkok & Vicinity,1,1318000,193641,2069,19953.38,638109.06
Pathum Thani,2023-Q1,2023,1,48.269033514681965,31.2836215783807,89.50425503154099,3329.0,7.0,True,Bangkok & Vicinity,1,1236000,230401,813,23741.25,759245.02
Pattani,2023-Q1,2023,1,11.621899358695625,6.169855521304956,73.202432,1375.0,2.0,False,Southern,4,741000,78131,375,8050.86,257466.65
Phatthalung,2023-Q1,2023,1,7.394509223129646,6.858542022335752,111.53043902439023,41.0,1.0,False,Southern,3,519000,81529,135,8401.01,268664.14
Phayao,2023-Q1,2023,1,26.24171466704426,15.86666639236703,94.22235642570281,996.0,1.0,False,Northern,3,455000,96550,74,9948.82,318163.15
Phetchabun,2023-Q1,2023,1,16.11867252342955,9.912042044288775,142.57667596702598,1577.0,5.0,True,Northern,3,961000,88485,75,9117.77,291586.39
Phetchaburi,2023-Q1,2023,1,36.92559839041992,25.13316994381455,82.99211904761904,84.0,2.0,False,Western,3,484100,144370,76,14876.34,475745.35
Phichit,2023-Q1,2023,1,14.499025888114502,6.902419505013055,152.70971536523928,397.0,1.0,False,Northern,3,517000,93950,120,9680.9,309595.31
Phitsanulok,2023-Q1,2023,1,74.34709205609721,60.54680245796238,95.24754224502112,3314.0,1.0,False,Northern,3,839000,113013,78,11645.22,372414.0
Phra Nakhon Si Ayutthaya,2023-Q1,2023,1,47.019532801819516,27.994361452324295,99.52559265442405,1198.0,10.0,True,Central,1,823000,468579,323,48283.86,1544117.75
Phrae,2023-Q1,2023,1,17.22056170246305,8.403204414140731,143.90951886792456,1378.0,3.0,False,Northern,3,422000,82755,65,8527.34,272704.21
Phuket,2023-Q1,2023,1,20.4577510626563,9.599065359242925,103.76392155562924,18102.0,5.0,True,Southern,1,430000,165343,786,17037.46,544858.1
Prachin Buri,2023-Q1,2023,1,71.67820626498823,46.19265619333723,87.71525125628142,597.0,4.0,False,Eastern,1,501000,490499,100,50542.56,1616351.17
Prachuap Khiri Khan,2023-Q1,2023,1,103.31910213225294,98.06014285811241,63.98584999999999,20.0,1.0,False,Western,2,552000,192326,87,19817.88,633775.72
Ranong,2023-Q1,2023,1,16.46812960536011,8.961750762343106,99.43983333333333,126.0,1.0,False,Southern,3,193000,105256,59,10845.91,346852.2
Ratchaburi,2023-Q1,2023,1,81.76216321052893,48.37570285590561,81.76403587443947,223.0,2.0,False,Western,2,864000,221383,167,22812.0,729527.83
Rayong,2023-Q1,2023,1,105.51339262477526,78.12361901872688,67.15001227482863,6273.0,5.0,True,Eastern,1,782000,955119,213,98418.47,3147422.75
Roi Et,2023-Q1,2023,1,50.81362532788389,32.3186622267902,89.73052307692306,195.0,3.0,False,Northeastern,4,1276000,78688,162,8108.26,259302.14
Sa Kaeo,2023-Q1,2023,1,83.5361926973385,46.21372995640802,115.84176190476191,84.0,2.0,False,Eastern,4,562000,73744,80,7598.81,243010.08
Sakon Nakhon,2023-Q1,2023,1,6.111004515737313,3.6074710249352653,98.12181395348837,129.0,1.0,False,Northeastern,4,1138000,72117,118,7431.16,237648.59
Samut Prakan,2023-Q1,2023,1,23.942102709391598,11.886968591707111,104.3488024045791,74774.0,8.0,True,Bangkok & Vicinity,1,1381000,283160,1458,29177.7,933102.81
Samut Sakhon,2023-Q1,2023,1,51.837299684226636,50.87565335741453,72.87559487179487,390.0,4.0,False,Bangkok & Vicinity,1,591000,391442,682,40335.42,1289926.65
Samut Songkhram,2023-Q1,2023,1,70.0854326421684,12.442280621365493,94.77049009900988,1818.0,1.0,False,Western,2,187000,160089,452,16496.08,527544.48
Saraburi,2023-Q1,2023,1,54.099830232962276,42.90555348230259,84.04922457627119,472.0,6.0,True,Central,1,639000,323556,182,33340.23,1066220.56
Satun,2023-Q1,2023,1,7.1370243196564696,3.6492776417956514,130.03342181818184,275.0,1.0,False,Southern,3,325000,113481,108,11693.44,373956.21
Si Sa Ket,2023-Q1,2023,1,47.98305082286923,29.15560227594385,160.00048461538464,390.0,2.0,False,Northeastern,4,1442000,83332,161,8586.79,274605.61
Sing Buri,2023-Q1,2023,1,18.90171340729285,7.855464444037829,52.82836363636364,22.0,1.0,False,Central,3,200000,142428,245,14676.23,469345.84
Songkhla,2023-Q1,2023,1,18.59181731908067,8.113786631762107,88.97758905893846,6142.0,8.0,True,Southern,2,1431000,145123,185,14953.93,478226.73
Suphan Buri,2023-Q1,2023,1,26.22927626372012,11.987740576204004,116.02547235576922,832.0,4.0,False,Western,3,822000,107792,152,11107.23,355209.13
Surat Thani,2023-Q1,2023,1,34.60140495290277,19.15962350485879,83.61163392857142,4256.0,6.0,True,Southern,2,1077000,154835,81,15954.69,510230.87
Surin,2023-Q1,2023,1,9.595765656157091,6.124780989034078,138.8346009538951,629.0,5.0,True,Northeastern,4,1360000,81675,153,8416.05,269145.26
Trang,2023-Q1,2023,1,7.478831029611422,4.164579217515069,165.01561523809525,525.0,3.0,False,Southern,3,635000,109656,134,11299.3,361351.61
Ubon Ratchathani,2023-Q1,2023,1,57.39443963208332,36.750057604361494,97.18977344573236,949.0,5.0,True,Northeastern,4,1868000,78275,119,8065.7,257941.17
Udon Thani,2023-Q1,2023,1,34.529201083552564,25.823459185751474,108.45837086368365,4805.0,4.0,False,Northeastern,4,1552000,90818,140,9358.17,299274.37
Uthai Thani,2023-Q1,2023,1,15.164064235798802,3.7006676198036903,207.18428571428572,7.0,1.0,False,Northern,3,320000,101640,48,10473.31,334936.33
Yala,2023-Q1,2023,1,16.005880753224698,6.493309067641168,71.78687768496418,5028.0,2.0,False,Southern,4,553000,105453,124,10866.21,347501.38
Yasothon,2023-Q1,2023,1,30.92760853137349,33.9999904274516,169.29501851851853,54.0,2.0,False,Northeastern,4,525000,70327,127,7246.72,231749.97
Ang Thong,2023-Q2,2023,2,16.83896827633404,5.360009324011434,126.53564940828403,676.0,1.0,False,Central,3,269000,142287,283,14661.7,468881.2
Bangkok Metropolis,2023-Q2,2023,2,23.54375061642643,12.117977786704262,84.52697092949691,924683.0,42.0,True,Bangkok & Vicinity,1,5456000,593927,3488,61200.11,1957179.52
Bueng Kan,2023-Q2,2023,2,82.31511236488377,39.46010104641086,136.44733333333335,12.0,1.0,False,Northeastern,4,419000,80159,105,8259.84,264149.56
Buri Ram,2023-Q2,2023,2,49.75027571950821,49.36436077211492,94.95567924528302,53.0,3.0,False,Northeastern,4,1566000,80684,155,8313.93,265879.6
Chachoengsao,2023-Q2,2023,2,51.226411434499546,39.962804719432086,70.40736363636364,308.0,2.0,False,Eastern,2,733000,400385,142,41256.93,1319396.7
Chanthaburi,2023-Q2,2023,2,6.497561236045342,3.318853250995095,120.44752380952382,21.0,1.0,False,Eastern,2,536000,243317,83,25072.15,801807.38
Chiang Mai,2023-Q2,2023,2,27.748469864842132,21.013493689512263,129.77785582090496,31447.0,6.0,True,Northern,2,1799000,133306,79,13736.27,439285.93
Chiang Rai,2023-Q2,2023,2,88.12224226364539,31.890712805091518,94.67107692307694,13.0,2.0,False,Northern,3,1298000,90203,112,9294.8,297247.75
Chon Buri,2023-Q2,2023,2,91.79592451351382,58.920368190191475,69.09872400513478,7011.0,8.0,True,Eastern,1,1636000,524002,363,53994.82,1726754.27
Chumphon,2023-Q2,2023,2,8.575793420549353,5.405744591255912,121.17861240310077,387.0,2.0,False,Southern,2,508000,259853,84,26776.07,856298.79
Kalasin,2023-Q2,2023,2,23.314094890427757,17.733804027223936,87.37440476190477,168.0,2.0,False,Northeastern,4,962000,77397,139,7975.23,255047.88
Kamphaeng Phet,2023-Q2,2023,2,101.33872891477206,81.80100956760386,76.86275555555555,45.0,2.0,False,Northern,3,701000,141987,82,14630.79,467892.6
Kanchanaburi,2023-Q2,2023,2,24.20079893461387,5.6794162548984,62.185636363636355,209.0,3.0,False,Western,3,896000,127365,46,13124.09,419708.43
Khon Kaen,2023-Q2,2023,2,55.51735645766948,47.542067823802455,102.90413747362075,3317.0,3.0,False,Northeastern,3,1772000,124489,166,12827.74,410231.09
Krabi,2023-Q2,2023,2,76.56171791396098,74.20213145511141,77.8737507002801,714.0,1.0,False,Southern,2,484000,168552,91,17368.13,555432.78
Lampang,2023-Q2,2023,2,73.34173900146794,67.5416796566444,90.32563157894738,57.0,3.0,False,Northern,3,704000,104754,56,10794.18,345197.95
Lamphun,2023-Q2,2023,2,37.285118079105395,26.24360574159439,57.1624347826087,69.0,1.0,False,Northern,2,397000,226464,89,23335.56,746271.35
Loei,2023-Q2,2023,2,51.177401441237954,40.39791449999877,70.34419718309859,71.0,2.0,False,Northeastern,4,632000,105205,60,10840.65,346684.14
Lop Buri,2023-Q2,2023,2,21.012286515691304,12.589714905969863,137.6833342857143,350.0,3.0,False,Central,3,725000,142287,111,14661.7,468881.2
Maha Sarakham,2023-Q2,2023,2,26.62699699779206,17.27617123616488,95.60996153846153,78.0,1.0,False,Northeastern,4,930000,85228,165,8782.16,280853.53
Mukdahan,2023-Q2,2023,2,23.050109635019954,7.209084097445478,125.18260463320463,1295.0,2.0,False,Northeastern,4,351000,67203,85,6924.81,221455.39
Nakhon Nayok,2023-Q2,2023,2,50.78692033171156,41.32878394472057,91.21707142857143,42.0,3.0,False,Eastern,3,260000,115666,121,11918.59,381156.48
Nakhon Pathom,2023-Q2,2023,2,84.87354038796195,63.019616517104744,74.84860958904109,730.0,4.0,False,Bangkok & Vicinity,2,926000,297901,432,30696.66,981679.12
Nakhon Ratchasima,2023-Q2,2023,2,54.5291714151393,37.07755466536774,85.95415909508921,5437.0,7.0,True,Northeastern,3,2620000,126119,126,12995.7,415602.46
Nakhon Sawan,2023-Q2,2023,2,19.422527611620765,11.866423191203825,135.41636351441983,1491.0,2.0,False,Northern,3,1014000,119856,106,12350.34,394963.87
Nakhon Si Thammarat,2023-Q2,2023,2,58.82858826737408,61.934356684152185,98.55556607929516,454.0,4.0,False,Southern,3,1535000,122494,154,12622.17,403656.93
Nan,2023-Q2,2023,2,26.491051685356165,16.951777539387734,113.67670454545456,308.0,2.0,False,Northern,4,471000,81233,39,8370.5,267688.73
Narathiwat,2023-Q2,2023,2,63.593696281745025,11.965492141772135,109.08223529411765,17.0,2.0,False,Southern,4,824000,61787,183,6366.73,203607.94
Nong Khai,2023-Q2,2023,2,10.245920556370036,5.982827973905177,85.0028,50.0,1.0,False,Northeastern,4,512000,97617,156,10058.76,321679.25
Nonthaburi,2023-Q2,2023,2,28.756651714750596,17.05026684449364,88.31968991078453,15244.0,7.0,True,Bangkok & Vicinity,1,1318000,193641,2069,19953.38,638109.06
Pathum Thani,2023-Q2,2023,2,75.0434992786227,52.173128800662624,63.034357019064124,1154.0,5.0,True,Bangkok & Vicinity,1,1236000,230401,813,23741.25,759245.02
Pattani,2023-Q2,2023,2,13.039639430968055,7.0249894874698455,66.99844591611479,1359.0,2.0,False,Southern,4,741000,78131,375,8050.86,257466.65
Phatthalung,2023-Q2,2023,2,6.989950986225033,4.687421897813801,100.79688888888887,18.0,1.0,False,Southern,3,519000,81529,135,8401.01,268664.14
Phayao,2023-Q2,2023,2,38.26395474815098,61.81640348895873,92.27884732824427,262.0,2.0,False,Northern,3,455000,96550,74,9948.82,318163.15
Phetchabun,2023-Q2,2023,2,21.881162510525108,12.746101600487085,130.49898409331922,943.0,4.0,False,Northern,3,961000,88485,75,9117.77,291586.39
Phetchaburi,2023-Q2,2023,2,28.767988945488387,21.437279417153533,67.17897095435686,241.0,1.0,False,Western,3,484100,144370,76,14876.34,475745.35
Phichit,2023-Q2,2023,2,13.983701476554453,6.382890854366798,134.3659375672767,1858.0,2.0,False,Northern,3,517000,93950,120,9680.9,309595.31
