province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
Bangkok Metropolis,2023-Q1,2023,1,19.433952484081598,8.510880176007381,86.66688881217873,1104039.0,39.0,True,Bangkok & Vicinity,1,5456000,1957179.52,3488
Chachoengsao,2023-Q1,2023,1,87.77775223036689,71.76522722364416,86.7875327510917,230.0,3.0,True,Eastern,2,733000,1319396.7,142
Chiang Mai,2023-Q1,2023,1,16.479991994723672,8.545159437999612,139.85616776595052,15324.0,8.0,True,Northern,2,1799000,439285.93,79
Chiang Rai,2023-Q1,2023,1,18.10547208139073,5.462399695967351,122.66462348178138,247.0,5.0,True,Northern,3,1298000,297247.75,112
Chon Buri,2023-Q1,2023,1,30.640026510580824,18.621279334966665,78.8910596205962,1107.0,7.0,True,Eastern,1,1636000,1726754.27,363
Kalasin,2023-Q1,2023,1,33.008346125554745,23.15567599350972,98.45335042735044,117.0,2.0,True,Northeastern,4,962000,255047.88,139
Kamphaeng Phet,2023-Q1,2023,1,15.934104715156453,8.537936358373981,144.5850253968254,1261.0,1.0,True,Northern,3,701000,467892.6,82
Kanchanaburi,2023-Q1,2023,1,39.690254147599056,14.976471658046789,91.13719480519482,231.0,3.0,True,Western,3,896000,419708.43,46
Khon Kaen,2023-Q1,2023,1,14.271342634012331,7.297033398574034,135.428113482336,6936.0,2.0,True,Northeastern,3,1772000,410231.09,166
Lampang,2023-Q1,2023,1,54.61628709824693,44.067148966307485,76.30944827586208,348.0,5.0,True,Northern,3,704000,345197.95,56
Loei,2023-Q1,2023,1,73.77425272975745,57.50994179682609,79.43396249999999,160.0,1.0,True,Northeastern,4,632000,346684.14,60
Lop Buri,2023-Q1,2023,1,14.322022192285768,7.131828912732378,142.44002770780855,1193.0,5.0,True,Central,3,725000,468881.2,111
Nakhon Nayok,2023-Q1,2023,1,61.26559773088362,21.71355721905236,92.73023308270676,532.0,2.0,True,Eastern,3,260000,381156.48,121
Nakhon Pathom,2023-Q1,2023,1,46.89021680567108,31.086243413251943,96.8232649640862,1254.0,4.0,True,Bangkok & Vicinity,2,926000,981679.12,432
Nakhon Ratchasima,2023-Q1,2023,1,13.094322291102626,8.09171803416088,93.0743537414966,2058.0,1.0,True,Northeastern,3,2620000,415602.46,126
Nakhon Sawan,2023-Q1,2023,1,14.692133727318131,8.183052055416885,132.46644625407166,615.0,3.0,True,Northern,3,1014000,394963.87,106
Nan,2023-Q1,2023,1,30.941994623324707,17.701070396938896,79.5793888111888,715.0,3.0,True,Northern,4,471000,267688.73,39
Nonthaburi,2023-Q1,2023,1,23.08380477055724,8.379167653079035,94.15066017885334,108408.0,8.0,True,Bangkok & Vicinity,1,1318000,638109.06,2069
Pathum Thani,2023-Q1,2023,1,43.4984224510873,27.5619901217975,90.48843914807304,2960.0,5.0,True,Bangkok & Vicinity,1,1236000,759245.02,813
Pattani,2023-Q1,2023,1,11.655858633753551,6.163782525573679,72.59854932735426,1339.0,2.0,True,Southern,4,741000,257466.65,375
Phayao,2023-Q1,2023,1,26.194757287019595,15.84808694629776,94.28978592964825,995.0,1.0,True,Northern,3,455000,318163.15,74
Phetchabun,2023-Q1,2023,1,15.552356202178096,9.017793110018872,139.84374052665382,1560.0,3.0,True,Northern,3,961000,291586.39,75
Phichit,2023-Q1,2023,1,14.4990258881145,6.902419505013054,148.04484090909094,397.0,1.0,True,Northern,3,517000,309595.31,120
Phitsanulok,2023-Q1,2023,1,38.900645677248825,33.8608751720138,100.53001265822786,871.0,1.0,True,Northern,3,839000,372414.0,78
Phra Nakhon Si Ayutthaya,2023-Q1,2023,1,30.124538807036867,11.532971573170103,98.40480430528376,511.0,8.0,True,Central,1,823000,1544117.75,323
Phrae,2023-Q1,2023,1,17.190207186437373,8.459481124431866,146.41073157486426,1289.0,2.0,True,Northern,3,422000,272704.21,65
Phuket,2023-Q1,2023,1,19.043471765110464,8.656633649675413,105.40374419046418,15806.0,5.0,True,Southern,1,430000,544858.1,786
Prachin Buri,2023-Q1,2023,1,63.9898860717686,49.71271978966306,94.01376791808876,293.0,4.0,True,Eastern,1,501000,1616351.17,100
Ranong,2023-Q1,2023,1,16.46812960536011,8.961750762343105,99.43983333333333,126.0,1.0,True,Southern,3,193000,346852.2,59
Ratchaburi,2023-Q1,2023,1,69.89349595317893,37.803135970095646,90.83620300751882,133.0,2.0,True,Western,2,864000,729527.83,167
Rayong,2023-Q1,2023,1,23.30270278722068,15.030407082478336,85.94267431192661,654.0,3.0,True,Eastern,1,782000,3147422.75,213
Roi Et,2023-Q1,2023,1,52.15792396366736,34.473252922289674,95.50396753246751,154.0,2.0,True,Northeastern,4,1276000,259302.14,162
Sakon Nakhon,2023-Q1,2023,1,6.111004515737312,3.607471024935265,98.12181395348836,129.0,1.0,True,Northeastern,4,1138000,237648.59,118
Samut Prakan,2023-Q1,2023,1,19.78654142864992,8.115197877441313,101.68678926499643,64836.0,8.0,True,Bangkok & Vicinity,1,1381000,933102.81,1458
Samut Sakhon,2023-Q1,2023,1,53.109345841113885,52.53805632755549,74.76527777777778,360.0,4.0,True,Bangkok & Vicinity,1,591000,1289926.65,682
Samut Songkhram,2023-Q1,2023,1,72.30476223675726,12.767073823926449,94.76150912200684,1754.0,1.0,True,Western,2,187000,527544.48,452
Saraburi,2023-Q1,2023,1,27.545075450617023,30.5992447848169,73.0252694063927,219.0,7.0,True,Central,1,639000,1066220.56,182
Si Sa Ket,2023-Q1,2023,1,49.45150845088333,29.737372685408705,166.27625576036868,435.0,3.0,True,Northeastern,4,1442000,274605.61,161
Songkhla,2023-Q1,2023,1,19.519086681148732,7.72239882373332,67.36203922452661,4437.0,7.0,True,Southern,2,1431000,478226.73,185
Suphan Buri,2023-Q1,2023,1,24.113276545641607,16.060460836652027,111.32455430711607,267.0,3.0,True,Western,3,822000,355209.13,152
Surat Thani,2023-Q1,2023,1,23.478643336864383,8.883879870131624,82.76185928525842,3134.0,3.0,True,Southern,2,1077000,510230.87,81
Surin,2023-Q1,2023,1,7.904184798076076,4.332420963279571,134.57951170568563,600.0,4.0,True,Northeastern,4,1360000,269145.26,153
Ubon Ratchathani,2023-Q1,2023,1,48.731947684444414,30.99776565330989,113.21206200317962,629.0,5.0,True,Northeastern,4,1868000,257941.17,119
Udon Thani,2023-Q1,2023,1,13.651246572447242,8.908966582451484,101.66154600301655,663.0,3.0,True,Northeastern,4,1552000,299274.37,140
Yala,2023-Q1,2023,1,16.122217321842687,6.535562826255642,70.72535355987054,4947.0,2.0,True,Southern,4,553000,347501.38,124
Bangkok Metropolis,2023-Q2,2023,2,18.521095570734477,8.103641315440171,84.87871776096283,782171.0,38.0,True,Bangkok & Vicinity,1,5456000,1957179.52,3488
Chachoengsao,2023-Q2,2023,2,50.07843872249033,46.528220054525065,83.50341935483871,124.0,3.0,True,Eastern,2,733000,1319396.7,142
Chiang Mai,2023-Q2,2023,2,14.57926231791952,7.628172245039506,133.12326685367427,21761.0,5.0,True,Northern,2,1799000,439285.93,79
Chon Buri,2023-Q2,2023,2,16.41231889290943,9.03369742532012,87.89384165003328,1503.0,8.0,True,Eastern,1,1636000,1726754.27,363
Khon Kaen,2023-Q2,2023,2,33.23384038509392,25.215599081676217,127.00710237923576,1387.0,4.0,True,Northeastern,3,1772000,410231.09,166
Krabi,2023-Q2,2023,2,76.28717882819916,73.70602991897508,78.35471052631578,722.0,1.0,True,Southern,2,484000,555432.78,91
Lop Buri,2023-Q2,2023,2,16.678865066174275,8.74406183611942,142.98980448717944,312.0,3.0,True,Central,3,725000,468881.2,111
Mukdahan,2023-Q2,2023,2,23.032594533181733,7.209084097445476,125.14355941358026,1296.0,3.0,True,Northeastern,4,351000,221455.39,85
Nakhon Pathom,2023-Q2,2023,2,46.24091417375602,25.998158343510266,86.4124375,416.0,5.0,True,Bangkok & Vicinity,2,926000,981679.12,432
Nakhon Ratchasima,2023-Q2,2023,2,20.13726484875304,13.54319055466981,88.34588748019017,631.0,4.0,True,Northeastern,3,2620000,415602.46,126
Nakhon Sawan,2023-Q2,2023,2,15.530319939679964,7.6808747160417905,134.8273759018759,1389.0,3.0,True,Northern,3,1014000,394963.87,106
Nakhon Si Thammarat,2023-Q2,2023,2,59.14459017992861,61.52012625384511,98.54555208333336,480.0,4.0,True,Southern,3,1535000,403656.93,154
Nan,2023-Q2,2023,2,45.23992468146584,31.52123568293972,80.661,145.0,3.0,True,Northern,4,471000,267688.73,39
Nonthaburi,2023-Q2,2023,2,17.75280779813942,7.472928295416082,91.61157709185576,13448.0,7.0,True,Bangkok & Vicinity,1,1318000,638109.06,2069
Pathum Thani,2023-Q2,2023,2,64.1695647928861,49.897470458877336,63.60649485596707,972.0,5.0,True,Bangkok & Vicinity,1,1236000,759245.02,813
Pattani,2023-Q2,2023,2,13.039639430968055,7.024989487469846,65.57502798232694,1359.0,2.0,True,Southern,4,741000,257466.65,375
Phayao,2023-Q2,2023,2,38.26395474815098,61.81640348895873,92.27884732824428,262.0,2.0,True,Northern,3,455000,318163.15,74
Phetchabun,2023-Q2,2023,2,15.228534282184604,6.9817042185968505,138.2022575941677,823.0,2.0,True,Northern,3,961000,291586.39,75
Phetchaburi,2023-Q2,2023,2,30.67205288198523,22.71986392053062,62.88181018518517,216.0,1.0,True,Western,3,484100,475745.35,76
