province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
AnGiang,2023-Q1,2023,1,,6.886280609653801,,,,False,,,,,,,
BàRịa-VũngTàu,2023-Q1,2023,1,35.281629708209145,12.991237760052435,160.26479999999998,5.0,2.0,False,,,,,,,
BìnhDương,2023-Q1,2023,1,17.188266460368453,6.63334608258435,179.23125000000002,8.0,1.0,False,,,,,,,
BìnhPhước,2023-Q1,2023,1,40.41373316780495,15.769871358423465,113.36219999999999,5.0,1.0,False,,,,,,,
BìnhThuận,2023-Q1,2023,1,38.80494577741673,33.03455562184408,121.84736470588233,85.0,3.0,False,,,,,,,
BìnhĐịnh,2023-Q1,2023,1,13.153027650108877,8.85930648923747,276.52705208333333,96.0,2.0,False,,,,,,,
BắcGiang,2023-Q1,2023,1,25.90743812281585,5.519826376837633,187.00075,16.0,2.0,False,,,,,,,
BắcKạn,2023-Q1,2023,1,19.721488187976533,6.753592586085038,165.58620588235294,34.0,1.0,False,,,,,,,
BắcNinh,2023-Q1,2023,1,2.9627160205532452,6.1438944707158845,165.5,2.0,1.0,False,,,,,,,
BếnTre,2023-Q1,2023,1,19.668830311230828,7.865231292245989,144.9707857142857,14.0,1.0,False,,,,,,,
CàMau,2023-Q1,2023,1,32.11859214412294,14.560899365612352,132.74602702702705,37.0,1.0,False,,,,,,,
CầnThơ,2023-Q1,2023,1,19.484821553070937,24.248840117932257,136.2736315789474,19.0,2.0,False,,,,,,,
HoàBình,2023-Q1,2023,1,30.72532708558376,12.083547376334579,157.18557142857142,28.0,1.0,False,,,,,,,
HàNội,2023-Q1,2023,1,18.10129160749341,8.994039539541683,180.06939099968855,6422.0,2.0,True,,,,,,,
HưngYên,2023-Q1,2023,1,15.873839453346054,11.069480612497635,137.625,5.0,1.0,False,,,,,,,
HảiDương,2023-Q1,2023,1,17.91567540506014,8.714469841910077,142.39849999999998,12.0,2.0,False,,,,,,,
HảiPhòng,2023-Q1,2023,1,24.396387496901394,9.21996216720334,182.9676,5.0,2.0,False,,,,,,,
HồChíMinh,2023-Q1,2023,1,24.17602482122856,12.915353509651021,147.93300502008037,3984.0,7.0,True,,,,,,,
KiênGiang,2023-Q1,2023,1,42.434326449920405,20.15186249283107,139.37746666666666,15.0,2.0,False,,,,,,,
LongAn,2023-Q1,2023,1,29.680580954755033,19.9932616506648,151.60213953488372,43.0,1.0,False,,,,,,,
NamĐịnh,2023-Q1,2023,1,19.973068982545737,14.947586004102416,160.55921739130437,23.0,2.0,False,,,,,,,
NghệAn,2023-Q1,2023,1,17.978875827899287,7.148197696586642,205.7485882352941,17.0,2.0,False,,,,,,,
NinhBình,2023-Q1,2023,1,3.725205030912999,,103.071,1.0,1.0,False,,,,,,,
PhúThọ,2023-Q1,2023,1,25.81162238865033,5.961140815789163,134.981,19.0,4.0,False,,,,,,,
QuảngNam,2023-Q1,2023,1,25.935261202225707,11.160404230255713,134.54880314960627,127.0,6.0,True,,,,,,,
QuảngTrị,2023-Q1,2023,1,43.59107425489458,7.469711059405109,129.47675,12.0,1.0,False,,,,,,,
SócTrăng,2023-Q1,2023,1,33.83047848059605,17.597081194942263,92.08279999999999,5.0,1.0,False,,,,,,,
ThanhHóa,2023-Q1,2023,1,37.28603803590589,8.412205822679905,144.52646666666666,15.0,2.0,False,,,,,,,
TháiNguyên,2023-Q1,2023,1,21.92823106901326,24.42256590233545,258.1653333333333,3.0,1.0,False,,,,,,,
ThừaThiênHuế,2023-Q1,2023,1,24.019648846222452,13.05979224154499,153.9643585858586,991.0,2.0,True,,,,,,,
TiềnGiang,2023-Q1,2023,1,27.441510380799468,15.277984703050487,115.84764130434783,92.0,1.0,False,,,,,,,
TâyNinh,2023-Q1,2023,1,81.80774178544341,32.47176306856293,91.13111111111111,9.0,1.0,False,,,,,,,
VĩnhLong,2023-Q1,2023,1,71.03285274278872,27.731322380565597,88.93,1.0,1.0,False,,,,,,,
VĩnhPhúc,2023-Q1,2023,1,1.8525436984496568,3.2576675816346428,199.104,4.0,1.0,False,,,,,,,
YênBái,2023-Q1,2023,1,29.064345753331445,19.52758215280339,173.0944,5.0,1.0,False,,,,,,,
ĐàNẵng,2023-Q1,2023,1,25.455851983620956,12.832705089303818,171.13344554455443,202.0,1.0,True,,,,,,,
ĐắkNông,2023-Q1,2023,1,35.946418233376484,17.735283756491306,66.86233333333332,3.0,1.0,False,,,,,,,
ĐồngNai,2023-Q1,2023,1,23.551022895385778,24.06808857744975,155.0,1.0,1.0,False,,,,,,,
BàRịa-VũngTàu,2023-Q2,2023,2,10.667684095682386,21.796551693927437,58.1515,2.0,1.0,False,,,,,,,
BìnhDương,2023-Q2,2023,2,15.64766184330549,11.396231475807776,117.31576470588234,17.0,2.0,False,,,,,,,
BìnhPhước,2023-Q2,2023,2,14.691116973333987,10.225484754140782,138.29873333333336,15.0,2.0,False,,,,,,,
BìnhThuận,2023-Q2,2023,2,44.62506930142236,35.768638169023305,121.1776056338028,71.0,1.0,False,,,,,,,
BìnhĐịnh,2023-Q2,2023,2,30.61277409222832,11.353920607421069,171.57168,50.0,3.0,False,,,,,,,
BắcGiang,2023-Q2,2023,2,19.550958294898308,17.687353994387927,134.58365,20.0,1.0,False,,,,,,,
BắcKạn,2023-Q2,2023,2,24.43545207513167,,196.08125,4.0,1.0,False,,,,,,,
BắcNinh,2023-Q2,2023,2,19.864815129187814,10.218370908158773,181.04277777777776,9.0,1.0,False,,,,,,,
BếnTre,2023-Q2,2023,2,19.43192979978961,4.473057714176453,194.04466666666667,6.0,2.0,False,,,,,,,
CàMau,2023-Q2,2023,2,32.13169927164958,22.62715654869866,171.9755,8.0,1.0,False,,,,,,,
CầnThơ,2023-Q2,2023,2,36.470320997533705,25.239620332759568,130.10049999999998,30.0,2.0,False,,,,,,,
GiaLai,2023-Q2,2023,2,15.445374513736324,3.5248168742105612,397.109,1.0,1.0,False,,,,,,,
HoàBình,2023-Q2,2023,2,28.49767369805604,11.300703819078576,153.78925714285714,35.0,1.0,False,,,,,,,
HàNội,2023-Q2,2023,2,20.670928752233905,10.237408766676293,179.23507198196933,7102.0,3.0,True,,,,,,,
HưngYên,2023-Q2,2023,2,6.954931385364496,9.528784439374274,228.82850000000002,2.0,1.0,False,,,,,,,
HảiDương,2023-Q2,2023,2,37.271403717046354,10.229562294530368,160.39146666666664,15.0,2.0,False,,,,,,,
HảiPhòng,2023-Q2,2023,2,34.15901450937157,29.31036524612724,62.008,1.0,1.0,False,,,,,,,
HồChíMinh,2023-Q2,2023,2,25.400873945515997,12.974877613957897,129.1777038155803,6290.0,5.0,True,,,,,,,
KhánhHòa,2023-Q2,2023,2,24.85322828094179,21.26498691951388,226.9324428571429,70.0,1.0,False,,,,,,,
KiênGiang,2023-Q2,2023,2,40.87968966724171,19.400852470275087,137.57613333333333,30.0,1.0,False,,,,,,,
LongAn,2023-Q2,2023,2,28.096115873981326,15.6339987416445,205.22380000000004,5.0,1.0,False,,,,,,,
NamĐịnh,2023-Q2,2023,2,32.67554400781835,12.026023785603819,146.4890769230769,13.0,2.0,False,,,,,,,
NghệAn,2023-Q2,2023,2,48.17179814345623,14.483085969209636,142.3035,20.0,1.0,False,,,,,,,
NinhBình,2023-Q2,2023,2,51.05169245695176,12.970736538401331,145.96728571428574,7.0,1.0,False,,,,,,,
PhúThọ,2023-Q2,2023,2,19.055319519405884,10.534094143658274,187.08607142857142,28.0,2.0,False,,,,,,,
QuảngNam,2023-Q2,2023,2,13.832662693493738,9.430812232752583,238.38415104166668,192.0,2.0,True,,,,,,,
QuảngNgãi,2023-Q2,2023,2,25.386393149631402,12.27197450523952,147.85710714285713,28.0,1.0,False,,,,,,,
QuảngNinh,2023-Q2,2023,2,44.61297510252231,20.772802877011195,161.50811111111113,9.0,1.0,False,,,,,,,
SócTrăng,2023-Q2,2023,2,21.14976634573803,8.79010240250403,147.0906666666667,15.0,2.0,False,,,,,,,
SơnLa,2023-Q2,2023,2,18.28000172336281,6.6406663765101674,182.07888888888888,9.0,2.0,False,,,,,,,
ThanhHóa,2023-Q2,2023,2,31.167326312339924,14.085231151986811,147.4978493150685,73.0,2.0,False,,,,,,,
TháiBình,2023-Q2,2023,2,15.070335692353531,24.95003364767831,165.854,2.0,1.0,False,,,,,,,
TháiNguyên,2023-Q2,2023,2,19.530218134355206,15.502820685282405,243.12224999999998,12.0,1.0,False,,,,,,,
ThừaThiênHuế,2023-Q2,2023,2,23.548636236043627,13.844012096167795,157.88194110576927,832.0,2.0,True,,,,,,,
TiềnGiang,2023-Q2,2023,2,23.86512534063569,13.913430598474967,155.74016585365854,205.0,1.0,True,,,,,,,
TâyNinh,2023-Q2,2023,2,5.029122883543335,17.992199226827417,310.47183333333334,6.0,1.0,False,,,,,,,
ĐàNẵng,2023-Q2,2023,2,19.658903456814354,12.740344863039889,232.11860714285712,28.0,1.0,False,,,,,,,
ĐồngNai,2023-Q2,2023,2,47.13729316534196,18.06606572125732,118.24822222222221,9.0,2.0,False,,,,,,,
ĐồngTháp,2023-Q2,2023,2,4.375570154172948,31.826790185678515,56.911500000000004,2.0,1.0,False,,,,,,,
AnGiang,2023-Q3,2023,3,25.695594365900657,14.00546269140535,80.91826666666665,30.0,2.0,False,,,,,,,
BàRịa-VũngTàu,2023-Q3,2023,3,19.38684783819342,4.599319562535368,153.6722,5.0,1.0,False,,,,,,,
BìnhDương,2023-Q3,2023,3,8.241114527154167,9.55840547422912,91.16533333333334,9.0,1.0,False,,,,,,,
BìnhPhước,2023-Q3,2023,3,24.420673586066382,0.666375320662685,17.012666666666668,3.0,1.0,False,,,,,,,
BìnhĐịnh,2023-Q3,2023,3,35.88302899374685,13.156114030790127,93.94552777777778,36.0,1.0,False,,,,,,,
BắcGiang,2023-Q3,2023,3,14.141530672729498,28.89245930534315,173.7885,4.0,2.0,False,,,,,,,
BắcNinh,2023-Q3,2023,3,28.95853774707021,11.14714613175771,149.71236842105264,38.0,1.0,False,,,,,,,
BếnTre,2023-Q3,2023,3,4.984931948003062,18.65908230701517,87.8235,2.0,1.0,False,,,,,,,
CàMau,2023-Q3,2023,3,17.459416200677428,10.127763788170961,206.2633636363636,66.0,1.0,False,,,,,,,
CầnThơ,2023-Q3,2023,3,13.926409484866582,10.939049370917719,100.1593181818182,22.0,2.0,False,,,,,,,
HàNội,2023-Q3,2023,3,20.55686285817306,10.014999060659484,139.7240932240437,9151.0,3.0,True,,,,,,,
HảiDương,2023-Q3,2023,3,16.134425204775194,13.502761849233877,115.69315384615385,13.0,1.0,False,,,,,,,
HảiPhòng,2023-Q3,2023,3,21.033504951274697,10.063085678015247,111.33938461538462,13.0,2.0,False,,,,,,,
HồChíMinh,2023-Q3,2023,3,22.19112156262791,12.726250504154196,107.45008754442233,11541.0,5.0,True,,,,,,,
KhánhHòa,2023-Q3,2023,3,19.042702872249855,,214.575,1.0,1.0,False,,,,,,,
KiênGiang,2023-Q3,2023,3,39.71486043321213,7.473007571569784,70.45857142857145,14.0,2.0,False,,,,,,,
NamĐịnh,2023-Q3,2023,3,37.491703286591424,73.61136854516637,103.45199999999998,4.0,1.0,False,,,,,,,
NghệAn,2023-Q3,2023,3,17.376170410749364,10.082080116422745,141.37417142857143,35.0,3.0,False,,,,,,,
PhúThọ,2023-Q3,2023,3,20.048543518706968,3.537920913090914,75.87533333333333,3.0,2.0,False,,,,,,,
QuảngNam,2023-Q3,2023,3,21.034643681688436,12.347268963270494,100.19189743589742,429.0,4.0,True,,,,,,,
QuảngNinh,2023-Q3,2023,3,34.2324818327237,14.535467263367403,88.295,6.0,1.0,False,,,,,,,
SócTrăng,2023-Q3,2023,3,12.892460346130088,8.766949153213071,138.68218181818182,11.0,1.0,False,,,,,,,
SơnLa,2023-Q3,2023,3,24.15851680020062,7.6494207806976835,124.49799999999998,7.0,1.0,False,,,,,,,
ThanhHóa,2023-Q3,2023,3,16.196426686921956,15.932163932876644,127.96085714285714,14.0,3.0,False,,,,,,,
TháiBình,2023-Q3,2023,3,32.917638646236355,23.407053079899207,144.47725000000003,8.0,1.0,False,,,,,,,
TháiNguyên,2023-Q3,2023,3,27.044785948718406,14.203352401705132,121.16218367346941,49.0,2.0,False,,,,,,,
ThừaThiênHuế,2023-Q3,2023,3,21.195784594430467,13.315551050338101,123.84456637806633,1387.0,1.0,True,,,,,,,
TiềnGiang,2023-Q3,2023,3,17.80146725001505,12.387529867216243,106.01468100358422,279.0,1.0,True,,,,,,,
TâyNinh,2023-Q3,2023,3,35.29263014743932,12.52688135209929,133.09862903225806,62.0,3.0,False,,,,,,,
