province,quarter,year,quarter,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_thb_2021,density_per_km2
HàNội,2023-Q1,2023,1,18.10129160749341,8.99403953954169,180.0693909996886,6422.0,2.0,True,,,,,
HồChíMinh,2023-Q1,2023,1,24.176024821228555,12.915353509651023,147.93300502008034,3984.0,7.0,True,,,,,
QuảngNam,2023-Q1,2023,1,25.93526120222571,11.16040423025571,134.5488031496063,127.0,6.0,True,,,,,
ThừaThiênHuế,2023-Q1,2023,1,24.019648846222456,13.059792241544988,153.96435858585855,991.0,2.0,True,,,,,
ĐàNẵng,2023-Q1,2023,1,25.455851983620963,12.832705089303817,171.13344554455443,202.0,1.0,True,,,,,
HàNội,2023-Q2,2023,2,20.67092875223391,10.237408766676296,179.23507198196936,7102.0,3.0,True,,,,,
HồChíMinh,2023-Q2,2023,2,25.400873945515997,12.974877613957892,129.17770381558026,6290.0,5.0,True,,,,,
QuảngNam,2023-Q2,2023,2,13.832662693493736,9.43081223275258,238.38415104166663,192.0,2.0,True,,,,,
ThừaThiênHuế,2023-Q2,2023,2,23.548636236043627,13.844012096167791,157.88194110576922,832.0,2.0,True,,,,,
TiềnGiang,2023-Q2,2023,2,23.865125340635696,13.913430598474967,155.74016585365854,205.0,1.0,True,,,,,
HàNội,2023-Q3,2023,3,20.556862858173048,10.014999060659491,139.72409322404374,9151.0,3.0,True,,,,,
HồChíMinh,2023-Q3,2023,3,22.19112156262792,12.726250504154184,107.4500875444223,11541.0,5.0,True,,,,,
QuảngNam,2023-Q3,2023,3,21.03464368168844,12.347268963270492,100.19189743589745,429.0,4.0,True,,,,,
ThừaThiênHuế,2023-Q3,2023,3,21.195784594430467,13.3155510503381,123.84456637806638,1387.0,1.0,True,,,,,
TiềnGiang,2023-Q3,2023,3,17.801467250015058,12.38752986721624,106.01468100358424,279.0,1.0,True,,,,,
ĐàNẵng,2023-Q3,2023,3,17.034063104335075,12.418892575027863,145.75550943396226,106.0,1.0,True,,,,,
HàNội,2023-Q4,2023,4,20.754883713285903,10.301792387619846,143.72614640565882,6080.0,1.0,True,,,,,
HồChíMinh,2023-Q4,2023,4,22.34778984605582,13.18034314822516,95.04062602430068,7078.0,2.0,True,,,,,
ThừaThiênHuế,2023-Q4,2023,4,25.24058790690884,14.487965623809394,98.91333567567568,1850.0,2.0,True,,,,,
HàNội,2024-Q1,2024,1,22.81212863888603,11.322260659186451,118.0194476795096,4568.0,2.0,True,,,,,
HồChíMinh,2024-Q1,2024,1,25.461542734272903,14.230051654382944,90.62303845490604,5800.0,2.0,True,,,,,
KiênGiang,2024-Q1,2024,1,28.05399713685721,14.933589050862668,150.55608609271522,151.0,2.0,True,,,,,
QuảngNam,2024-Q1,2024,1,24.345854664173707,13.224557483892244,112.96952205882354,136.0,1.0,True,,,,,
ThừaThiênHuế,2024-Q1,2024,1,28.18456954687993,16.04092955779851,98.11946501128668,1329.0,2.0,True,,,,,
BìnhDương,2024-Q2,2024,2,41.32756253085979,20.7629078229023,55.89484646464647,495.0,1.0,True,,,,,
BắcGiang,2024-Q2,2024,2,37.34936437397334,15.149405705355315,107.54643949044586,157.0,2.0,True,,,,,
CầnThơ,2024-Q2,2024,2,43.37523409110453,21.088706414661168,166.6616153846154,208.0,1.0,True,,,,,
