province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Bago,2023-Q1,2023,1,7.804802560771269,8.304276976785333,235.73870769230774,130.0,1.0,True,Lower Myanmar / Delta-Coastal,2,4867373,1242.72,124,5178.45,165710.4
Chin,2023-Q1,2023,1,39.98626866327366,43.9980708228553,85.245,4.0,1.0,False,Northern / Western Highlands,4,478801,1242.72,13,5178.45,165710.4
Kachin,2023-Q1,2023,1,13.259478287455936,5.601712226540153,133.99923529411765,17.0,1.0,False,Northern / Western Highlands,4,1689441,1242.72,19,5178.45,165710.4
Magway,2023-Q1,2023,1,8.187162525495584,10.071047081549057,175.89585714285718,14.0,1.0,False,Central Dry Zone,2,3917055,1242.72,87,5178.45,165710.4
Mandalay,2023-Q1,2023,1,10.727292271036102,8.065213284479556,189.89038329809722,4732.0,5.0,True,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Mandalay,2023-Q1,2023,1,10.727292271036102,9.995477169663175,189.89038329809722,4732.0,5.0,True,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Mandalay,2023-Q1,2023,1,16.592645016135148,8.065213284479556,128.62272868217053,129.0,1.0,True,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Mandalay,2023-Q1,2023,1,16.592645016135148,9.995477169663175,128.62272868217053,129.0,1.0,True,Central Dry Zone,1,7325965,1242.72,163,5178.45,165710.4
Mon,2023-Q1,2023,1,14.633190513351117,2.6153180946085177,260.7153333333333,9.0,1.0,False,Lower Myanmar / Delta-Coastal,1,2054393,1242.72,167,5178.45,165710.4
Shan,2023-Q1,2023,1,13.405661203808645,7.948959574236545,166.32474161073827,298.0,2.0,True,Eastern Highlands,3,5824432,1242.72,37,5178.45,165710.4
Yangon,2023-Q1,2023,1,11.492637775609237,8.055746524112186,200.71572332529223,5391.0,4.0,True,Lower Myanmar / Delta-Coastal,1,7360703,1242.72,716,5178.45,165710.4
Ayeyarwady,2023-Q2,2023,2,9.220954098148441,7.9368914531856305,266.9649677419354,62.0,1.0,False,Lower Myanmar / Delta-Coastal,1,6184829,1242.72,177,5178.45,165710.4
Chin,2023-Q2,2023,2,,0.5389954414062152,,,,False,Northern / Western Highlands,4,478801,1242.72,13,5178.45,165710.4
