network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
broadband,download,0,False,4754,2390,19.29614849995739,6.809363019065371,1.7322338529928476,27.62762449978332,48.958,75.86789475899806,0.08665979540710463
broadband,download,1,False,3171,1597,17.89747772469509,5.969008469743287,1.5388219444729552,26.85361223569099,49.353,74.31832071901613,0.08419119546687416
broadband,download,2,False,2341,1220,16.404039086983797,5.4693261605293735,1.3152219718812677,24.062883378788758,49.870000000000005,75.60029743589743,0.09018419422117432
broadband,download,3,False,1830,957,16.77356228629484,5.711768212101694,1.3913267566630738,26.265383852939937,50.513999999999996,76.4021530054645,0.08385718079648852
broadband,download,4,False,1738,1101,19.81640088590781,7.387255845807562,2.277326079994576,27.68603240702502,49.0,74.63923891767415,0.08310737224364048
broadband,download,5,False,1964,952,18.266823421270217,6.175354066917628,1.8128490883264419,25.517510008804614,48.2275,78.4814047861507,0.08122049993437623
broadband,download,6,False,3145,2377,18.788825750189545,7.236091911648417,1.9086451444036694,26.137713458882214,49.75,77.7882830788804,0.07886374221506882
broadband,download,7,False,5413,2368,19.15890493615521,7.8823946359800985,2.1910229768890543,28.937989564584313,49.864,77.68814399260627,0.08731002507952793
broadband,download,8,False,6856,3195,18.648173695507104,6.812351733448576,2.008283417978327,29.79994028917373,51.0975,77.70144149401808,0.08821786135151653
broadband,download,9,False,9303,5148,18.65186379254483,6.7127061073483025,2.0249226322731033,30.00603987768453,51.950500000000005,82.11633544848354,0.09506053906305938
broadband,download,10,False,10438,4199,18.91530564031733,7.062954765710195,1.9787481454337361,31.304312796958747,51.819500000000005,81.65503114220009,0.09243193806027054
broadband,download,11,False,11186,5809,19.182696650299512,7.080205299695686,1.9662532188659472,29.590659725523174,51.38,82.23897871579322,0.09682542332696188
broadband,download,12,False,12353,5605,19.779432078810345,7.61665545037935,2.044932378622426,31.009989305511603,48.602000000000004,78.10144623481783,0.0948697713941264
broadband,download,13,False,11527,5071,19.208993893801587,7.15768504174048,1.9285000327191706,30.26739908222856,50.405,80.21543385095858,0.0982459612513562
broadband,download,14,False,11733,4848,18.828823319431294,6.676066766919036,1.911706698806303,30.43613501630153,49.96,79.17801099650491,0.09855278300227956
broadband,download,15,False,10901,4909,19.377990423766207,6.868907269751858,1.887880921701675,30.451463511081606,50.768,80.37273240341388,0.09813910355848017
broadband,download,16,False,10682,4555,18.053318327789334,6.31929554416286,1.6612378220653279,28.946762518707192,50.6465,79.48382524817384,0.0963379092530145
broadband,download,17,False,8935,4825,17.05199105953925,5.960941105855136,1.68638041854167,26.73493297985295,51.0,77.71497760609118,0.09264777205838634
broadband,download,18,False,9013,4095,17.61516183997228,6.229373422967953,1.5723313441769966,26.452664958947402,49.4405,74.70755427303001,0.08756182352935352
broadband,download,19,False,9879,3795,16.506472551406592,5.5028944625238,1.3589802661122774,24.965330337314676,50.265,77.35558185683917,0.08837967360492194
broadband,download,20,False,10872,5554,14.769808190390794,4.4046271601482685,1.018343525094137,23.133385968580424,52.7615,82.08564832535886,0.09179948638009998
broadband,download,21,False,11277,5214,15.142884742807462,4.73590519050429,1.0604224047618058,23.308634869053062,52.128,83.34085147724244,0.09088814478296012
broadband,download,22,False,9314,4440,15.464963443802542,4.659273274569543,1.1098082318535507,23.786311306948274,51.669,85.26391769635754,0.08967480148293416
broadband,download,23,False,7039,3225,17.4693831919366,6.2291701933379,1.5815304941274193,25.142441114215536,49.077,77.21601378036655,0.08616577345485466
broadband,download,0,True,2309,1183,17.74618510071334,6.777023801438354,1.5578920710516806,25.52529216912869,48.349,75.78050758560896,0.08999667180728377
broadband,download,1,True,1944,982,14.46327267723835,7.793848926862704,2.4317536613981563,22.867975107497227,55.324,92.79475000000006,0.08790295021983854
broadband,download,2,True,1376,516,13.615485172739177,7.156657851313977,1.7332205944545147,21.64394427171271,54.929,92.83175054545453,0.08984904244361834
