area,network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
capital,broadband,download,0,False,3698,1704,20.264576557468253,7.739871357830381,1.7954044471474742,28.111238446539897,48.915,78.16738267929637,0.07961296806114296
capital,broadband,download,1,False,2434,1264,19.303878023771453,6.718329172997384,1.6697065090037722,27.406822021450093,48.677499999999995,75.69114543960559,0.07512075307035274
capital,broadband,download,2,False,1744,963,17.563237275774917,5.918778834568757,1.243236494847955,24.950515286859652,50.784499999999994,77.89925974770642,0.07812421499804478
capital,broadband,download,3,False,1341,790,19.116503026684544,6.675489914254939,1.583965583323293,28.37524732881543,51.592,77.5121230425056,0.07430634521460334
capital,broadband,download,4,False,1310,773,23.0977711876275,9.579380131063536,3.4010397904120397,30.385669671139503,49.99,77.68991291061879,0.07409931516554295
capital,broadband,download,5,False,1468,833,19.487924477986233,7.679041809564723,1.9011038399219626,26.664124414119453,47.275499999999994,80.33402520435966,0.06934672937689948
capital,broadband,download,6,False,2553,1691,19.911272107197952,8.30365255976884,2.049001096828171,27.18973746922703,49.0,78.62822609717867,0.07271955062112691
capital,broadband,download,7,False,4361,1894,20.8967334825018,8.943751442948104,2.5573959382241944,30.388747578511346,49.7685,79.44832216613123,0.08094903842698886
capital,broadband,download,8,False,5350,2657,19.975274024290755,7.81484168750959,2.0951310420077904,30.741481363095005,51.763,79.49595045802954,0.08316515488710542
capital,broadband,download,9,False,7177,4239,20.69893270609823,8.169371885738508,2.35870457112443,31.139617071182357,52.534499999999994,84.00315514357399,0.09032826761328634
capital,broadband,download,10,False,8234,3549,20.648913739670235,8.305123300959941,2.1824500200835915,32.096786595022635,52.4385,84.47482155004865,0.08892688852307734
capital,broadband,download,11,False,8641,4354,20.0888473868051,7.91307725230901,2.052178041298991,29.83041267550892,52.0,84.74464675234451,0.09147043241903507
capital,broadband,download,12,False,8721,3870,19.772649708540012,7.863284996716139,2.0061090499334338,30.461286499177614,51.5235,82.50525303968806,0.08797909231277391
capital,broadband,download,13,False,8533,3725,20.385902875601143,7.780213480753822,2.0693806024827386,30.763400111331585,51.345,83.46132415328717,0.0927886540624248
capital,broadband,download,14,False,8659,3830,19.810207697768483,7.427005359165509,2.0173547882118945,30.66870964230375,50.994,82.26070624927806,0.09220443980862504
capital,broadband,download,15,False,8208,4250,20.31435029280103,7.465952195524791,1.9313604009639191,30.56759430023159,51.504,82.79595758683735,0.09162505535653792
capital,broadband,download,16,False,7908,3868,19.74807862516883,7.215455279657761,1.7390408425554102,29.65441589050782,51.748,81.7701922590437,0.08579304276042214
capital,broadband,download,17,False,6901,4331,18.399225531216672,6.893276123982978,1.8777039554303012,27.323896653464825,51.0975,80.25515347826091,0.08254268121427037
capital,broadband,download,18,False,7173,3378,18.62775088109111,6.666553911662769,1.6418431969344316,26.40918573086742,49.561,76.24605870868787,0.08056588558703931
capital,broadband,download,19,False,7896,3510,17.04959316909752,5.83632434406301,1.4676071551192162,24.642290858102093,50.303,78.79220671310962,0.08045998857426806
capital,broadband,download,20,False,8943,5212,15.05487785319658,4.4983440950413165,1.0363195555960625,23.20777535081016,52.715500000000006,83.86707639821029,0.0865650632326454
capital,broadband,download,21,False,8881,4360,15.295967194372805,4.634434482782758,1.0337999357426877,23.080674448570946,52.343,84.73749611355186,0.08482008001078763
capital,broadband,download,22,False,7422,3537,15.976736943663713,4.672615283794764,1.1113342432933304,23.694158524743987,52.0,87.48393432231954,0.08338355684284093
capital,broadband,download,23,False,5446,2736,18.46947583221117,6.828307556975215,1.6414177610822116,25.428113878992193,48.902,79.59881784796193,0.07775054326264835
capital,broadband,download,0,True,1798,1086,19.266867205407777,7.154628373689356,1.7032551967650789,26.121961649896623,47.997,76.4529131403118,0.08311681556831914
capital,broadband,download,1,True,1297,737,17.90767513520703,7.836944744255721,2.3440030619024137,25.95890963507255,51.086,83.26969468003088,0.08102817694178621
capital,broadband,download,2,True,859,408,17.33764061486632,8.255762207850353,1.9567074925003638,24.82083835738853,49.866,78.71440977881255,0.07998750254664752
capital,broadband,download,3,True,727,339,22.867906557841398,9.25611997079614,2.8843248645149098,32.65249253848858,52.0,82.3422104539202,0.07724017048253067
capital,broadband,download,4,True,705,405,21.51118894581956,9.865111745870196,1.8914490943780433,27.96730974449578,50.781,82.5319304964539,0.08101805833486979
capital,broadband,download,5,True,731,452,24.329075817134814,10.432931203552478,2.496492088204988,32.354820554592095,45.056,72.8241586867305,0.06634383467732505
capital,broadband,download,6,True,1185,735,22.282999953803742,9.70503735693979,2.839647648484078,29.65749487269039,47.031,72.47938481012658,0.06798062991433566
capital,broadband,download,7,True,1938,1296,19.57589794854944,8.58882272880819,2.7531257466073296,30.046663730372416,47.2385,78.60993550051599,0.0821215997060881
capital,broadband,download,8,True,2463,1558,21.077293205986734,8.353583730583075,2.1674696720806423,29.77101957043959,47.5015,77.06275385865149,0.08025151473953691
capital,broadband,download,9,True,3198,1963,22.02661122160189,8.589652081444394,2.083820829634229,31.627131306003683,49.684,79.79077072255231,0.08197076601124413
capital,broadband,download,10,True,3921,1915,22.56636935799374,8.866381568664895,2.435741003751654,32.163056305014074,50.6745,79.25902372448984,0.08627113319782745
capital,broadband,download,11,True,3962,1798,20.211425199624625,8.104560523240856,1.8631898290894067,28.32334271465892,50.468,82.7191315324413,0.08969026074523061
