area,network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
capital,broadband,download,0,False,687205,215648,12.885813509768813,4.185224934034779,1.2286182311703884,26.8187231078211,15.680652311440383,30.627047185526862,0.05877037302620141
capital,broadband,download,1,False,450286,163208,14.035927029288196,4.588994094061622,1.3642286118421303,28.42664628323087,15.483893687071175,29.894707511532694,0.05685188166141215
capital,broadband,download,2,False,293758,112954,14.822611439132562,4.820336561909284,1.4608970185302643,30.284526071395764,15.514511974344337,29.736382272694684,0.05588956783426695
capital,broadband,download,3,False,221908,75619,15.0925180815667,4.864044334288457,1.5100577661733596,31.880134543023594,15.648851115947403,29.941865802798105,0.05571110096566959
capital,broadband,download,4,False,226297,75431,15.614137596451412,5.17413191035663,1.6598033189986412,31.67577112819579,15.926434946676032,29.970645590719016,0.05754599837220155
capital,broadband,download,5,False,338066,105063,16.215840556288118,5.46314997668614,1.7244235697572716,32.17228765630733,15.723816748183179,29.29145250244182,0.05811867657393468
capital,broadband,download,6,False,485621,150217,15.250924576631286,4.900991017321807,1.4283894319019734,31.640853004908184,16.240981327056584,31.390735315995897,0.06126296683881188
capital,broadband,download,7,False,889495,229996,15.137945764548354,4.461785468884012,1.1348130381316186,33.57679209308719,16.66846070566855,32.94544502315593,0.0655509847576472
capital,broadband,download,8,False,1402072,405811,15.006411249354343,4.218599894346794,1.0538060140928942,33.249027202080114,16.233420230212285,32.921705676402034,0.06694047215203136
capital,broadband,download,9,False,1682611,427303,15.456862622993107,4.397491188495874,1.0898178039029938,33.33012582464794,15.978575642284968,32.65087762274574,0.06487222214577094
capital,broadband,download,10,False,1735791,419976,15.235943820503786,4.420957966591481,1.1264592586637208,33.056531195602766,16.028721007702195,32.000863807696575,0.06493807198453828
capital,broadband,download,11,False,1598729,282821,15.291328309918931,4.454880805747615,1.1585696535212964,32.7916787115012,16.085456890858126,31.807662659773484,0.06582944833657615
capital,broadband,download,12,False,1373325,308751,14.72702818979284,4.374295311384163,1.1480043078695676,31.722977784415225,16.56764620848742,32.12852504160515,0.06687452779188154
capital,broadband,download,13,False,1678174,356829,15.128296790787047,4.4161754156208115,1.1463037223578747,32.57828507294457,16.09794505573443,31.99094984133841,0.06649276129107015
capital,broadband,download,14,False,1679833,390664,15.368931240810607,4.55758849258775,1.2053152632125212,32.674125683432905,15.976485466423664,31.56047866933242,0.06542301111714341
capital,broadband,download,15,False,1536931,468107,15.566604137834378,4.7379778448189285,1.3182751114123064,32.8754480950382,15.913359021911395,31.03254808535584,0.06434073553081732
capital,broadband,download,16,False,1464593,378720,14.878204750163617,4.621130573780767,1.311960339600153,31.53414837649309,15.790216576166465,30.429524388685834,0.06377963265310527
capital,broadband,download,17,False,1424544,380493,13.555173065834849,4.222572670865406,1.1742681599186289,29.401676226824026,16.049525007205055,31.164043951188805,0.06763256692569684
capital,broadband,download,18,False,1544121,364468,11.99752810680663,3.64631820579089,0.9901237559442114,26.961393133668157,16.499414800044384,32.603550664015685,0.07446084523625442
capital,broadband,download,19,False,1802470,420232,10.631833561695782,3.1130854262126375,0.8473784022236629,25.247460710151906,17.011037382551986,34.149821248518286,0.0801029697438185
capital,broadband,download,20,False,1943863,412621,10.112765740966788,2.879641761366394,0.7873754555315465,24.303156248105637,17.393530351822765,35.46189523121153,0.08164903513571865
capital,broadband,download,21,False,1692647,391355,10.266736375780713,2.9866974630042797,0.81054668874647,24.089869483191702,17.48786679478009,35.53738920987339,0.07632848757623312
capital,broadband,download,22,False,1355300,242984,11.232573642945137,3.444441479747008,0.9360489527929987,25.242933313866885,16.92004516227029,33.48361520603949,0.06676199034020724
capital,broadband,download,23,False,999270,251914,12.414929507131964,3.954200872376248,1.1211676608688157,26.505374673014654,16.225233407561046,31.7348182020294,0.060413456793108736
capital,broadband,download,0,True,316748,105249,12.794467974800318,4.1483502730528725,1.2130445668409426,26.97585067521128,15.436829532357693,30.974764281065795,0.058329408165855384
capital,broadband,download,1,True,214074,85849,13.976428895407766,4.550477939503983,1.3911155247523352,28.51395363524137,15.022029348454238,29.015465554631202,0.056523474788318435
capital,broadband,download,2,True,142465,67953,14.673174803457801,4.795128107134345,1.4724018040817854,30.14566066377109,14.862386115267226,28.548879701096315,0.05607861702186216
capital,broadband,download,3,True,105800,44605,15.19315387123684,5.086688824474051,1.6046036914746695,31.797449068366333,15.217643275569923,29.063513272495182,0.0564806495306876
capital,broadband,download,4,True,103125,44216,15.228601631203105,5.219716307786731,1.709422350602142,31.060601153873744,15.548668420446681,28.794951488808422,0.05739072222067551
capital,broadband,download,5,True,139882,53032,15.390372702863793,5.138345347333434,1.6667026541504508,31.168717541878348,15.47091467860074,28.975148910143133,0.0585475619635553
capital,broadband,download,6,True,178036,65951,14.36733770337428,4.738220496281662,1.404296022969953,29.447217852788118,16.00755174171299,30.74571262371648,0.0606544351613151
capital,broadband,download,7,True,260033,89894,14.410706193299331,4.578134230114502,1.3052818600025995,31.04935735503388,16.131431971463837,30.841240960748795,0.062485202444783915
capital,broadband,download,8,True,358372,124602,14.258950377926618,4.423229038747608,1.2019710708496765,30.683015204211436,15.912978693904897,31.15246340639305,0.0631992430400319
capital,broadband,download,9,True,453477,144879,14.380546127961852,4.400687235855982,1.205306039598139,30.684575206403576,15.746419848149579,30.38719710888139,0.06391614854252392
capital,broadband,download,10,True,530410,149869,14.073006121123427,4.300569722084611,1.1558178809107018,30.070556586130365,15.727490386659541,30.513748291234286,0.0659141692603056
capital,broadband,download,11,True,553808,185070,13.85010514764984,4.178371152054904,1.1355842864369794,29.597984603936634,15.807691525145414,30.798050318283888,0.06734370800342307
capital,broadband,download,12,True,532780,163807,13.31853410767905,3.982700318070156,1.0932544699497528,28.4853111058661,16.05945839216187,31.26870393421009,0.06825302559189864
capital,broadband,download,13,True,544480,148589,13.453128412239192,4.070936349122245,1.1125086804848574,28.803446262639817,15.932241012200352,31.354842662309846,0.06718474471523903
capital,broadband,download,14,True,542793,161342,13.68762690509193,4.213656669768367,1.1443067725293479,29.16899252524945,15.830204135754919,31.570821320856247,0.06590142737826993
capital,broadband,download,15,True,520295,204196,13.621069295568088,4.236067366772277,1.170330604959427,28.693923640099932,15.725919219579938,31.066025532790295,0.06612553492915407
capital,broadband,download,16,True,515719,152570,13.271793288960815,4.177443656213589,1.186047531837343,28.29540954215188,15.668255119640978,30.734297064992326,0.0652418241026687
capital,broadband,download,17,True,531980,138456,12.236275930742947,3.8268545634731117,1.066749835511195,26.957508184019904,15.883643088235136,31.367018962543266,0.06885073297432079
capital,broadband,download,18,True,580532,164704,11.15139047941548,3.3949365296065657,0.9407625090649604,25.38218512493456,16.265200934515203,32.75435267250037,0.07440494622108347
capital,broadband,download,19,True,649145,202039,9.984645288593981,2.9511544681731987,0.8087130365060164,24.0711466638047,16.943084077848443,34.695187176534205,0.07890009145908021
capital,broadband,download,20,True,688737,192642,9.672554194407043,2.7986032102530336,0.7658330309737443,23.47832779228698,17.35133975412601,35.54651746902251,0.07947594936856542
capital,broadband,download,21,True,643730,153879,9.91599507685356,2.919758189591202,0.7996400778176733,23.718900362437385,17.25611446615194,34.97727249492417,0.07419758711254851
capital,broadband,download,22,True,537120,159860,10.652411921384466,3.235676742714794,0.901252764608053,24.672050319059004,16.77894913093708,33.52882335514552,0.06661906825499875
capital,broadband,download,23,True,402139,157487,11.761385158456259,3.735827941543382,1.0731452566030868,25.689890315202604,16.17937005972757,32.224153719806324,0.06057836225713396
capital,broadband,upload,0,False,500656,156232,8.744860478443483,1.8147302927165727,0.08311087294792675,19.16327456851435,16.870074950355963,31.901098792777134,0.0
capital,broadband,upload,1,False,327202,120016,9.127933609697225,2.0015484445715903,0.08359500694301537,20.463596985808014,16.681752992948606,30.945763686240195,0.0
capital,broadband,upload,2,False,215966,73173,9.433700123422666,2.1760657036059468,0.08474111833806616,22.22718123219401,16.578999178938282,30.567472177559395,0.0
capital,broadband,upload,3,False,164531,58456,9.574726997629131,2.3674458890070453,0.08667075857765662,24.15230730721205,16.659918982374695,30.590242213964682,0.0
capital,broadband,upload,4,False,172125,63716,9.936462218069924,2.726847029565661,0.09259256011610009,24.30064535083706,16.99910814873339,30.72076535932881,0.0
capital,broadband,upload,5,False,262753,83211,10.35540593584043,2.9338383970382798,0.09934811542295051,24.578359675338994,16.82038315631481,30.596700552212607,0.0
capital,broadband,upload,6,False,372889,108720,10.016721461348672,2.4515569500005263,0.08834683033268526,23.962985668467464,17.53200929392804,32.90543323921574,0.0
capital,broadband,upload,7,False,689205,209357,9.64299472503533,1.8565453828355825,0.08391390132175908,25.023422620674534,18.008488666860313,34.45975744352616,0.0
capital,broadband,upload,8,False,1088335,309244,9.218606510076237,1.4318022368303527,0.0827148074860391,24.446010792502243,17.57633656532852,34.860316842195324,0.0
capital,broadband,upload,9,False,1310077,393043,9.319957483240962,1.4574277092518457,0.08266320617377225,24.3739430337831,17.30097548249379,34.55975483851254,0.0
capital,broadband,upload,10,False,1350650,394419,9.46736269476889,1.570446544905375,0.08282163157069801,24.470575947248392,17.239726654004816,33.83590382809281,0.0
capital,broadband,upload,11,False,1242582,297600,9.696862568929342,1.842912399598969,0.08323123271671262,24.483686233786486,17.27396258123124,33.37321961022216,0.0
capital,broadband,upload,12,False,1054861,276956,9.790604082819296,2.027481840809536,0.08476475772001055,24.208134939130137,17.786247245530436,33.510360295540984,0.0
capital,broadband,upload,13,False,1288627,304623,9.614172481291565,1.7824412987781852,0.08317484147216657,24.326454167204236,17.316015414005573,33.57403356227601,0.0
capital,broadband,upload,14,False,1295331,331762,9.670411863634396,1.7842876691881073,0.0830564686311088,24.33293980620116,17.160330713240846,33.160920547701856,0.0
capital,broadband,upload,15,False,1181176,393443,9.879074489421031,2.0190319768630127,0.08366788027181249,24.492070166111418,17.06311748139046,32.62235266095918,0.0
capital,broadband,upload,16,False,1118343,348873,9.827729982913905,2.124313729569779,0.08375893105136713,23.806085925520623,16.99425025337268,31.950979562233407,0.0
capital,broadband,upload,17,False,1079360,318528,9.524789354338706,2.118688088185652,0.08565980807197274,22.514619696778865,17.35764927760803,32.6783904727291,0.0
capital,broadband,upload,18,False,1160494,289968,9.106970383895288,1.9180435722535394,0.0854905648089903,20.800119805380756,17.90250002084033,34.14043455028715,0.0
capital,broadband,upload,19,False,1346127,392944,8.24426701299249,1.5205379465777247,0.08311931671497061,19.34355905333235,18.467229138325244,35.93551239364626,0.0
capital,broadband,upload,20,False,1441511,379468,7.698395068784866,1.3073479486050597,0.08270221485334117,18.411945895902445,18.88445333508053,37.48248383093995,0.0
capital,broadband,upload,21,False,1255791,305524,7.782517364141352,1.3865970355838613,0.08240477805586639,18.19161182683725,18.879439610411392,37.41200145310468,0.0
capital,broadband,upload,22,False,1005456,226565,8.279931326663114,1.6034150009835222,0.08286685979889845,18.877815058155612,18.20657130506836,35.047602730261325,0.0
capital,broadband,upload,23,False,737806,212051,8.739066759511884,1.7715909012519089,0.08313019106675182,19.386169924933828,17.491336729668443,33.34880171320439,0.0
capital,broadband,upload,0,True,231084,89821,8.847008328541566,1.8408375992146389,0.08348875509123437,19.553415479233024,16.58296286511632,31.897268212508493,0.0
capital,broadband,upload,1,True,156771,72184,9.200224805826231,2.0962853287318057,0.08401416748423479,20.695782845443016,16.208663183528532,29.898996367814647,0.0
capital,broadband,upload,2,True,105243,53706,9.402448068915996,2.314131429702859,0.08595642592131235,21.96246677881577,16.01989773458169,29.689688343791573,0.0
capital,broadband,upload,3,True,79233,36472,9.76654514667901,2.7188814202081746,0.0914665331093403,23.74504775463254,16.210077553983393,29.550732156610223,0.0
capital,broadband,upload,4,True,79065,41135,9.998296840204643,2.980590529660794,0.11217239815407891,23.581248953141234,16.622324150030426,29.6606549214666,0.0
capital,broadband,upload,5,True,108750,39347,10.26564278866555,2.9556385106706395,0.1091422293742499,24.086972229184624,16.669521414790623,30.843893081240225,0.0
capital,broadband,upload,6,True,137675,59837,9.736026222253948,2.526813080525614,0.091963952175578,22.240764840644708,17.27949793114581,31.73231430004506,0.0
capital,broadband,upload,7,True,202375,79553,9.82193446633305,2.577081255297628,0.09087973846798282,23.808741577258495,17.373117063517107,32.269463311871405,0.0
capital,broadband,upload,8,True,279277,101272,9.664238508190339,2.267174381431094,0.08742086271141944,23.446330803488465,17.16089971592726,32.209950947643144,0.0
capital,broadband,upload,9,True,354238,120568,9.731596654534894,2.3100394875552985,0.0880634879368485,23.4503813454438,17.04856476459273,31.77719174792251,0.0
capital,broadband,upload,10,True,413574,135312,9.742078169557278,2.346788116011808,0.08803604013028059,22.95275542493493,17.042039490026777,32.050745624202825,0.0
capital,broadband,upload,11,True,428566,148804,9.745789406803064,2.2947813794733327,0.08761224065308433,22.69821701726767,17.13171346991422,32.4316202777869,0.0
capital,broadband,upload,12,True,407313,135495,9.538679920536799,2.154741030980147,0.0869156965393712,21.96675181918902,17.377262920247322,32.8907636848804,0.0
capital,broadband,upload,13,True,414395,138891,9.484908238331272,2.0922849077319396,0.08548145778997497,22.02086368573153,17.31660946463509,32.90107862623259,0.0
capital,broadband,upload,14,True,412690,122078,9.55970165717459,2.1279829106097297,0.0850796368522497,22.214887437000357,17.17465477055839,32.79774207325048,0.0
capital,broadband,upload,15,True,395206,159203,9.600561315886267,2.2173429798609785,0.08580489066548719,21.99351049291506,17.08479078478407,32.621487947170095,0.0
capital,broadband,upload,16,True,391668,126795,9.559370857758385,2.203705921123922,0.08633024551407892,21.86879322148368,16.984898235819184,32.35803489801185,0.0
capital,broadband,upload,17,True,401008,129606,9.32017591387509,2.0841452576449657,0.08560583461882702,20.902128800719172,17.271743192744935,32.82452105737332,0.0
capital,broadband,upload,18,True,433785,146843,8.797577686749136,1.8377134095308922,0.08474995055177184,19.54488108228642,17.770479156295462,34.28247513698727,0.0
capital,broadband,upload,19,True,481507,170543,7.887798218592198,1.4626754119762315,0.08298232636703279,18.384316386484223,18.48982262380903,36.44141131124629,0.0
capital,broadband,upload,20,True,507270,155013,7.493855523877502,1.2747815128959945,0.08249509503150244,17.776582421359116,18.855532979723655,37.47822862780699,0.0
capital,broadband,upload,21,True,473110,125301,7.597148037541739,1.3106998961796286,0.08239835222614883,17.839911914472225,18.65742308947888,36.936084540566966,0.0
capital,broadband,upload,22,True,394170,135017,7.944219034753621,1.4699922873222522,0.08253785015065712,18.263922382732353,18.047762565560095,35.44735499263557,0.0
capital,broadband,upload,23,True,294498,112740,8.304243079884353,1.6511562202465144,0.08275323256300061,18.72670395360324,17.48245768182598,34.04992940376639,0.0
capital,cellular,download,0,False,463383,184387,17.801436506819382,7.835543110941953,2.7843377033923864,26.8422335262952,22.18896337426612,33.092609231473304,0.02449018158535958
capital,cellular,download,1,False,312854,148904,21.499949692080488,9.958843563619075,3.768399922976881,30.80366488039363,21.704780547884422,32.922313262409496,0.019546379783621805
capital,cellular,download,2,False,205980,91413,24.429251181821733,11.432795646408923,4.399280979936961,33.989789364582144,21.716902937013852,32.89530649906773,0.017331891031099982
capital,cellular,download,3,False,157250,84835,25.45424480569623,11.760212623805268,4.525529423081899,35.21887794024141,22.09120141763764,33.035016675888635,0.01686164494216012
capital,cellular,download,4,False,165344,102011,24.60729038511968,10.994327521642752,3.9929728087754026,34.84501912594346,22.839046844008372,33.98529996915017,0.018682175624122752
capital,cellular,download,5,False,248782,122033,24.178785322332768,11.476802463772334,4.604140844914134,33.87570645818392,20.95954567075669,31.215355855348815,0.018201416918959757
capital,cellular,download,6,False,376158,148579,20.384563647713566,9.577902852361852,3.726440172191018,29.698194064165456,20.457586474802643,30.718889952089537,0.020637905497468946
capital,cellular,download,7,False,559277,202919,17.110605570495114,7.59056479813317,2.783014125807736,26.03470224413746,20.821835934070055,31.178538563192554,0.024687013102691127
capital,cellular,download,8,False,693894,252870,15.448914357490498,6.744024296544522,2.399104301800791,24.33716495700719,21.22470564635471,32.05546574781703,0.02735249091860354
capital,cellular,download,9,False,795592,237808,14.418492195534093,6.140529742509693,2.130516139686774,23.113497460828338,21.407922099022507,32.480380593684565,0.029531843848228122
capital,cellular,download,10,False,813492,289982,13.173145958351279,5.486232719894919,1.8106613502624544,21.882757547998885,21.694185721729276,32.71249000876599,0.03252424371150616
capital,cellular,download,11,False,783998,292059,12.611644806441612,5.132657199081579,1.6468568352572146,21.302820407785717,22.214187942310183,33.43338064153998,0.03524937750113191
capital,cellular,download,12,False,791103,239204,11.524004714634037,4.461583205676888,1.347742358725722,20.391872445493725,22.673592805130017,33.6470267817295,0.0389872441383661
capital,cellular,download,13,False,821528,326811,12.411051029899191,5.0886673093951815,1.6330912839850174,21.110937011992217,22.379292421056714,33.205681625214055,0.03565544200180562
capital,cellular,download,14,False,799031,272234,12.61985310515271,5.242346738548443,1.7155784646026733,21.197415930170813,22.299698728243065,32.96104557812222,0.035016522444437884
capital,cellular,download,15,False,773331,217935,13.138276259106195,5.616995281398709,1.915292316533629,21.685409299476266,21.82702625342049,32.48311801069516,0.033030172436982565
capital,cellular,download,16,False,798755,247437,12.796267013142593,5.486018565911194,1.9020991537478822,21.28222844169328,21.791740764303185,32.57058777178835,0.0328207297444065
capital,cellular,download,17,False,841405,228748,11.591409140569674,4.739834718279439,1.5225370069095423,20.157556261830763,22.50351627021155,33.61383856573136,0.03732575463165702
capital,cellular,download,18,False,945283,273496,10.294301994551288,3.910530655678207,1.1829133434144403,18.680748818661385,23.826033975633813,35.64760621899259,0.04353251292363897
capital,cellular,download,19,False,1154887,342869,8.875964421305548,3.1527868423511913,0.9254446412950516,17.169361626482644,24.625769257220888,36.985543362047395,0.04945619673881728
capital,cellular,download,20,False,1252826,346357,8.193093748282077,2.8119758959693697,0.8059640581151405,16.421066274286854,25.41136525960126,37.990830678787546,0.05315584040013141
capital,cellular,download,21,False,1124363,319761,8.55354995176122,2.9594218341305907,0.8608730238519359,16.779821541346664,25.327482838473973,37.54904741097879,0.05118332654993238
capital,cellular,download,22,False,898679,299253,10.418070849601188,3.8964804090325775,1.1732994604613098,18.75570413473504,24.128940895654665,35.76703345538305,0.04229484560949948
