area,network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
capital,broadband,download,0,False,567,245,28.290601270616076,9.509318871883526,1.8179871438985828,28.333079564810962,74.287,120.18286371681424,0.05798157341223296
capital,broadband,download,1,False,385,148,23.412878545316854,7.139321886857958,0.779508166929662,23.269503257225857,76.931,128.17318961038958,0.05856245384746165
capital,broadband,download,2,False,334,194,29.007907101008325,11.160984222065169,3.6709539906853603,28.336165294751897,74.0,126.35754191616778,0.055690319739463014
capital,broadband,download,3,False,281,104,27.908202392529716,10.735682121019497,4.240169084617831,25.107398291266136,71.357,111.17045551601424,0.06116334061887221
capital,broadband,download,4,False,268,126,31.59758068597438,13.460523639786615,3.150761469199173,29.032484354010602,73.189,107.28534701492528,0.06341000331229883
capital,broadband,download,5,False,396,121,29.87587472867349,7.076509746106361,1.4775425800906143,25.374583878101557,71.77199999999999,110.93473989898992,0.07981295168887942
capital,broadband,download,6,False,407,170,30.414619101672532,10.519527506776928,2.219837011329568,32.98525065482013,73.854,115.83600245700245,0.059865943560821755
capital,broadband,download,7,False,618,284,25.184148281749167,6.380024295211788,1.3078557258802115,44.95668091887518,73.54400000000001,112.04832362459543,0.05798111565490902
capital,broadband,download,8,False,917,447,30.141043711143606,9.438909364229428,1.6909484745278158,55.29504878351409,75.0535,112.09608406113549,0.06111687489800391
capital,broadband,download,9,False,1113,415,28.90839607727687,9.010145257645704,1.9297970608543455,60.90032516002934,73.619,111.46853009883183,0.06504066147619278
capital,broadband,download,10,False,1143,456,27.884250962468062,8.201301476133146,1.923780781680058,52.9446273018778,73.111,112.06967629046366,0.0680080318803167
capital,broadband,download,11,False,1197,784,27.17273193880021,8.73210475977787,2.1451406814405853,54.818844940446084,73.562,108.6198972431077,0.06574847821544458
capital,broadband,download,12,False,1039,504,26.7741180481178,7.261126601116118,1.4397200412792635,46.276824817688905,74.9185,114.44840077071298,0.07316288296088413
capital,broadband,download,13,False,1238,583,29.72576400769023,9.68059327422405,1.6917666412965349,56.86094827439264,74.5735,110.50064135702758,0.06525118188799336
capital,broadband,download,14,False,1205,525,26.105367410140584,8.165999669802453,1.6241983530290862,48.62704693942897,74.643,114.69028073089703,0.06728667225888968
capital,broadband,download,15,False,1128,663,25.54155403995103,9.28526123511135,2.0847307240873265,33.52912916744665,76.5765,115.21845567375911,0.07330498699476612
capital,broadband,download,16,False,1144,523,27.096206625340514,9.269043220512891,1.8325767701640736,35.266214525480684,74.468,114.16377252843401,0.06756693837029235
capital,broadband,download,17,False,1109,559,21.93957020271815,5.959845183792997,1.4397619300926956,26.362539020786105,76.575,118.3941911632102,0.07073658811095546
capital,broadband,download,18,False,927,420,26.34848851940558,8.212915477794503,1.4287855111400616,27.57429654666747,74.8825,113.65004967602589,0.0646077509100781
capital,broadband,download,19,False,1071,539,18.082616897298898,4.477926934858166,1.0648726712040109,23.408343479536924,76.191,121.60738562091521,0.07364876579430381
capital,broadband,download,20,False,1196,727,16.11684797097511,4.098061095652165,1.1495957036321673,21.275291772147476,77.361,124.86266973244139,0.07844341739463247
capital,broadband,download,21,False,1090,550,18.718683370719894,5.079889390195849,1.1600688669530657,22.32331520473813,77.218,126.31745412844045,0.07688013859717702
capital,broadband,download,22,False,949,581,22.860359041456476,6.990860546243512,1.6153678572518761,25.39818844854088,75.248,121.8927913593257,0.06919265001341847
capital,broadband,download,23,False,704,334,24.97925890822173,7.131196544293751,1.432876805280009,26.45968388680849,75.345,113.11786505681826,0.06032674747551152
capital,broadband,download,0,True,203,107,24.703564859033783,8.606922748960585,2.2315493338030237,27.304483605184764,74.507,120.53871428571438,0.048832327592949976
capital,broadband,download,1,True,146,79,20.61447015216504,5.004766946759466,0.9045732313944677,23.64642691576062,74.48349999999999,110.24262328767125,0.07971123298333403
capital,broadband,download,2,True,128,67,20.193846309774617,3.6300678484902824,0.9337349104066192,22.566706838941748,73.97200000000001,121.70078906250006,0.06715309107233666
capital,broadband,download,3,True,129,66,28.350571841139455,13.931477028800279,2.992710734237392,29.63595989442083,73.807,130.60679844961246,0.04199202285238928
capital,broadband,download,4,True,108,50,24.400553473048184,4.88951657851095,1.7676313778884447,22.93895513735759,74.72999999999999,108.59689814814813,0.06263901055696797
capital,broadband,download,5,True,167,58,29.540544315943155,8.174234693079088,1.6965711292658672,24.35148307969991,70.872,120.90582035928144,0.08130509586785477
capital,broadband,download,6,True,128,71,29.80746751571646,11.489336437724063,3.5941254900032087,25.53567680304427,72.1765,109.56340625000001,0.059470858729226556
capital,broadband,download,7,True,262,129,24.344761112149165,7.437167778338864,1.8998722064346099,45.31917089992612,77.18,128.90598854961837,0.056813799748940345
capital,broadband,download,8,True,282,135,33.14238778986092,9.036819327772502,2.129314426445897,69.04847532627724,73.9825,108.6850212765957,0.05418754976091887
capital,broadband,download,9,True,496,212,31.08558079373185,9.63831231542371,2.9453296109281863,71.19450395350965,73.053,103.63332258064517,0.0628055249685978
capital,broadband,download,10,True,439,198,28.074408465966116,10.758020814169948,2.419644831315338,53.460353310495094,75.097,113.6734396355354,0.0654516717128198
capital,broadband,download,11,True,386,230,29.271986926905953,8.878309870064296,1.678384265579846,69.48260809607913,73.55000000000001,111.56648186528498,0.06960281122888244
capital,broadband,download,12,True,397,239,24.379782820858885,6.478854466726025,1.758146641764835,45.48034068138204,74.942,113.71914105793452,0.06227979127975318
capital,broadband,download,13,True,422,201,22.852489650290707,4.52152464483752,0.8065695028741784,60.32727891824598,73.3505,121.72556872037916,0.058408849220272674
capital,broadband,download,14,True,366,191,26.90663151527736,9.195938651407891,2.1490011500110655,44.77452914302239,75.07050000000001,123.24778415300544,0.0613606291118975
capital,broadband,download,15,True,403,228,20.6989293808672,6.149770133052103,1.3292217080250877,32.32957263955158,76.0,116.63447394540941,0.06818839793625528
capital,broadband,download,16,True,341,254,21.974629922622256,6.236989209390823,1.380947510165209,27.87429798008997,76.12299999999999,123.51522647058839,0.06726717265175713
capital,broadband,download,17,True,378,198,17.158561471168568,5.522974365417394,1.1511664601397729,24.176435324862574,76.37899999999999,128.86387566137574,0.064317386648954
capital,broadband,download,18,True,240,162,18.387848232782147,3.133309518616022,0.5850670785897741,24.435896223059764,78.8095,136.50444166666662,0.06908811249549451
capital,broadband,download,19,True,379,199,15.210237341795946,5.139477709069601,1.2476062222606124,21.540423557382223,80.756,135.44975461741424,0.07092505261348211
capital,broadband,download,20,True,412,253,15.926204983570758,3.2300364452601356,1.0467286628541002,21.265426726602414,76.6275,122.1069466019419,0.07120939545661341
capital,broadband,download,21,True,426,237,14.551265407101596,3.376553703577375,0.7394005949315093,19.100585411170922,79.3425,130.48496244131454,0.07672407540813826
capital,broadband,download,22,True,322,218,19.761778651956178,4.393158280991831,1.222587053769752,24.303884430076437,75.84649999999999,122.39008695652174,0.06885905647956708
capital,broadband,download,23,True,315,190,17.493531689556228,6.331589838093318,1.4453728425929262,23.825949243322974,73.785,112.53321904761904,0.07156011176360083
capital,broadband,upload,0,False,423,208,20.082352621183382,6.6654653193885425,1.2219888637996432,25.873659485996793,73.867,107.34749289099518,0.0
capital,broadband,upload,1,False,272,117,17.331023301246585,8.698590850378386,1.6381196133674891,21.773724364734043,74.97800000000001,111.15033088235297,0.0
capital,broadband,upload,2,False,246,132,19.002256920614265,6.6374678768438296,1.6835951678009784,24.19162108730137,73.85499999999999,123.37877642276426,0.0
capital,broadband,upload,3,False,226,91,18.674180784688616,8.763860945822383,2.7012161273247672,22.831414991617738,72.9925,106.41074778761063,0.0
capital,broadband,upload,4,False,233,102,23.271095370912214,8.938276266540804,4.993639481002735,26.169517413238722,72.462,106.99117596566529,0.0
capital,broadband,upload,5,False,343,131,12.502359527112587,7.340905822325189,1.5263258956328323,17.679040892225817,70.459,102.64465014577249,0.0
capital,broadband,upload,6,False,344,181,20.08005420316307,8.02721730954071,1.1508128107346876,30.729700502437257,74.11000000000001,108.8126656976744,0.0
capital,broadband,upload,7,False,508,238,20.312308020009972,6.265188683290935,1.3117543555763382,46.860805084637896,72.67500000000001,103.96377952755918,0.0
capital,broadband,upload,8,False,776,364,28.757489164635977,8.297965571473163,1.556193225688427,59.00400036943087,75.744,109.29903865979382,0.0
capital,broadband,upload,9,False,984,344,26.92961221122392,6.573188237332128,1.382321173448568,64.52299175346602,74.013,110.14701321138216,0.0
capital,broadband,upload,10,False,1022,420,23.381241084071817,5.429602902938559,1.2285899762431356,53.7232633527134,74.059,108.8161614481408,0.0
capital,broadband,upload,11,False,1034,611,22.449902683273002,5.953931841045089,1.139660545672169,55.63505904236782,74.6885,110.45826789168264,0.0
capital,broadband,upload,12,False,868,393,17.84935555211366,4.958591344407935,1.2766490191751518,47.1825718194816,75.3835,111.73276443418025,0.0
capital,broadband,upload,13,False,1063,491,23.7263927322007,5.614691112352306,1.0489907714718738,58.125077492289314,75.0,106.96085983066794,0.0
capital,broadband,upload,14,False,1002,522,21.61820391738456,5.9057909830519,0.9891942914864023,49.08278666549789,74.799,109.86439321357288,0.0
capital,broadband,upload,15,False,1000,634,15.937841348687002,3.7516777068954186,0.6911157579851174,29.760074800386935,77.29,118.20030199999992,0.0
capital,broadband,upload,16,False,981,577,20.01149492065019,5.36294284364667,0.9953359427201528,33.70772086714349,75.257,113.75233944954128,0.0
capital,broadband,upload,17,False,884,439,16.39126617903065,4.962602255665813,1.162377353180018,24.04370164947923,76.271,113.48360249150608,0.0
capital,broadband,upload,18,False,784,404,19.147544071156737,5.453735978215135,0.9167961380107882,24.654950189669584,75.295,114.20977011494239,0.0
capital,broadband,upload,19,False,848,420,13.061958963766543,3.235563551526398,0.6517509298708456,20.33142685794009,75.289,115.790559622196,0.0
capital,broadband,upload,20,False,970,574,11.249700849926825,2.5073602341994548,0.28649780639234473,18.745650024864364,77.767,126.16353869969049,0.0
capital,broadband,upload,21,False,861,541,15.104975033653004,3.3151591528416273,0.6305116697477535,21.50944236097831,77.4485,124.58612441860456,0.0
capital,broadband,upload,22,False,756,470,17.02635632185507,4.509787022955626,0.8292775675725621,22.883994221462565,74.749,119.7769325396825,0.0
capital,broadband,upload,23,False,557,354,16.927422420721857,3.929402256585073,0.49228645232935,23.59963004456057,75.17,114.88577558348295,0.0
capital,broadband,upload,0,True,143,84,26.378530032204953,6.848296095187502,3.122249173115362,25.678334003381178,74.53,116.89117482517482,0.0
capital,broadband,upload,1,True,115,74,17.06968377845092,3.828878637591386,1.641396282688451,20.48178469510754,75.1,116.00746956521728,0.0
capital,broadband,upload,2,True,91,51,28.225684397640777,4.864922044882731,1.9633100111781991,23.53549472525176,76.124,130.74838461538457,0.0
capital,broadband,upload,3,True,101,55,27.180396907817006,8.869796034562563,2.940521666440852,26.058387406076786,78.464,127.40571287128708,0.0
capital,broadband,upload,4,True,82,49,14.100527298099667,7.459077419778779,3.3000547621197254,20.725838669935193,73.25200000000001,104.42304878048776,0.0
capital,broadband,upload,5,True,136,51,11.884210626196548,5.113574203639548,1.0334773759189733,16.309091291259083,67.85249999999999,110.4283529411765,0.0
capital,broadband,upload,6,True,100,68,15.484780608415864,9.866583431442642,3.087769134242285,20.482396956435036,73.598,107.15013000000003,0.0
capital,broadband,upload,7,True,216,121,28.515616652754723,7.9338018229936935,1.3064905839675518,53.22534040459544,75.904,111.48329767441854,0.0
capital,broadband,upload,8,True,307,128,34.85188125734202,8.428686244331715,2.104603637465857,71.43463139098792,75.498,101.27949837133558,0.0
capital,broadband,upload,9,True,543,203,28.282293332581343,7.767072351824993,2.0229311637212732,63.794650208388276,73.631,104.64511786372005,0.0
capital,broadband,upload,10,True,423,178,25.82437292688122,7.3016570354432755,1.3836802637389645,51.78711714043552,75.01,112.75039716312062,0.0
capital,broadband,upload,11,True,380,202,26.984407814815643,8.424106872642804,1.9554947228730506,63.847830615757196,73.91900000000001,110.97531315789482,0.0
capital,broadband,upload,12,True,343,198,18.69379513240706,4.344656106066816,1.2060723160847155,45.113630590650224,74.293,115.17444314868806,0.0
capital,broadband,upload,13,True,327,191,21.46126759807824,4.371526429454127,0.9525277649032886,71.97608281102728,74.017,113.5678012232416,0.0
capital,broadband,upload,14,True,290,149,24.7033103857345,6.005137324484556,1.2153914594299065,45.70222352899105,75.10849999999999,113.72812413793108,0.0
