area,network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
capital,broadband,download,0,False,27977,14759,49.04541670594457,13.24545175438633,3.7502950021286545,109.50407206137855,14.868742199820181,37.38489688472406,0.03203886932164218
capital,broadband,download,1,False,18678,11698,52.01512191584878,15.314598914172688,4.320386812586206,107.02384847156179,15.580597093275031,37.81685232383813,0.029585430811391172
capital,broadband,download,2,False,13012,9267,57.84348612707522,18.35180166137385,5.558306620512364,105.59777999719779,16.16907293728212,37.13211975403534,0.030025510858395516
capital,broadband,download,3,False,10736,4972,69.28255556998941,19.52887824421469,6.637733731085075,137.85561418003783,15.825367252543936,36.94271432563338,0.030353860825718355
capital,broadband,download,4,False,9319,4381,70.4860553293464,19.627741917995095,7.454185178767719,127.70137127491388,15.996600652846054,37.34361176091857,0.02932636190185014
capital,broadband,download,5,False,9478,3835,69.47983316942354,19.602743606607238,7.824706101448263,120.87148189996374,16.97017416374788,37.243543363578816,0.02736107326134719
capital,broadband,download,6,False,12288,5672,67.4149641835817,19.507350648287606,6.16375731140825,133.48376185889663,15.881348662897794,37.524202409050204,0.028928123171517675
capital,broadband,download,7,False,14889,7184,55.07141530191256,18.621457553492103,5.750188812190163,104.33140249661392,17.389253278836257,38.269028544563106,0.02790035781406091
capital,broadband,download,8,False,29140,13105,33.25364559210289,25.18953653894029,7.213309354055668,103.16418649081221,25.789700170134797,42.88577284272672,0.04840036818940734
capital,broadband,download,9,False,29237,13788,67.74688595876127,18.884695614053857,4.9273378769457095,132.41948148964008,14.238905690487682,36.65324031750375,0.03319589515983766
capital,broadband,download,10,False,36278,17842,68.17400864093163,18.91361901863694,4.957906625823344,135.26546458423644,13.642206817995218,36.06799280258112,0.03376391987745021
capital,broadband,download,11,False,38659,20585,70.8765400751865,19.195423648423667,5.0647397714224445,137.68633525441973,13.614854515165282,34.67120679571453,0.03443264818934929
capital,broadband,download,12,False,37365,17153,72.04743895753568,18.97115284343672,4.901081564261355,140.91628917477132,13.629947138588445,34.76981543938544,0.03601129245865273
capital,broadband,download,13,False,33209,17151,64.02207287465374,16.96953109105978,4.418133928149359,125.73417940528552,14.477879151819144,36.7048878949429,0.03598226840282951
capital,broadband,download,14,False,38030,20012,64.8195540191511,16.971569917320995,3.9040238531033182,128.67813446780778,14.071307564008539,36.14589180871211,0.03581088597346312
capital,broadband,download,15,False,39304,22896,62.683934450959796,15.515291575501063,3.8753269531204873,125.39877561889081,14.152016271334642,36.95291619159115,0.03515336031028728
capital,broadband,download,16,False,37413,22175,61.04226547667876,14.823417045591896,3.7955472197563647,120.7031422600108,14.563951115217723,37.14710279649237,0.036480496130953693
capital,broadband,download,17,False,33473,19644,56.64542179208507,15.059837379076718,3.9256055746423346,114.74118963970241,14.721824469305517,36.989994262319556,0.03388104762902893
capital,broadband,download,18,False,33562,17597,54.13495870247872,13.994907374061494,3.6180002920492824,112.82985151482458,15.11827228397061,37.51822127824482,0.03527837589989721
capital,broadband,download,19,False,36139,19603,50.17998118154222,12.309146791353927,3.139111541006867,106.37155035085267,15.532611989186528,38.750002685790236,0.034835563629643004
capital,broadband,download,20,False,50578,24021,33.43309987402382,15.04827709101576,3.2313889065065844,95.15507883565668,19.063935286679342,44.29674564838997,0.04749234897898676
capital,broadband,download,21,False,49941,26939,40.41703521988977,8.888498134585918,2.166221852242405,102.24973899110162,15.700765019708944,42.68081519692298,0.0436519954172068
capital,broadband,download,22,False,50115,34664,40.76115153597488,9.116476572555838,2.2403268015081133,99.145039504407,15.56721555966266,41.917739414266045,0.04336101701252043
capital,broadband,download,23,False,38644,20703,46.617252371971276,11.348402395757892,3.0058819330267363,105.17000184436219,15.079514413469397,38.778390336787524,0.03611594461911052
capital,broadband,download,0,True,12795,9016,47.181406842472676,12.621336994368926,3.3684432697368614,105.42698357234681,15.054004732096832,38.13144584343474,0.03460261292852543
capital,broadband,download,1,True,8221,4295,52.56321421530211,14.436139297010397,3.993314201940915,105.6675665172869,15.241967256467802,36.3027022389876,0.030747145615484976
capital,broadband,download,2,True,5805,3651,56.72054909318553,18.190549580298956,5.492245246568236,107.25250509396685,15.36222878580551,38.60090025839792,0.032585044608685124
capital,broadband,download,3,True,4521,1966,67.25716451057163,19.29390747306328,5.848613771255064,131.91593735931124,15.899722518684463,38.18900398142004,0.0312892229426301
capital,broadband,download,4,True,3941,1665,70.7421038927523,19.579278825465373,6.996915670967354,123.22945323965702,16.063377540442016,42.56631184978432,0.02514050309308426
capital,broadband,download,5,True,3943,1965,70.05978450354297,19.62719132140541,7.0850277362050855,122.14242460166471,15.971553198729586,35.987440781131134,0.026960916848618996
capital,broadband,download,6,True,4758,2748,70.714217333163,19.478709857218472,6.077245722611654,136.75128533475606,15.458448502556612,38.27774232870954,0.030836378037082092
capital,broadband,download,7,True,5848,3742,49.78327161778391,16.965163872011377,5.610749390756592,98.75848265130927,16.686709760273963,38.243895466210446,0.02952650951198345
capital,broadband,download,8,True,10615,5164,33.05811646743036,25.62633606925853,7.018211442037992,93.43911395538196,27.327303967175666,44.34078017525674,0.049246422550043925
capital,broadband,download,9,True,9973,6963,66.03559160968143,18.153625416130527,4.71614788723552,122.41905850185995,14.991177135046472,35.711894483450344,0.03347102414700302
capital,broadband,download,10,True,12790,7785,67.1766323533735,18.553960132814883,4.831107081256006,128.58905363042106,14.233790684864813,34.01620534876446,0.03356960353613675
capital,broadband,download,11,True,13864,7865,67.36309013564353,18.200116261158378,4.5178748589766276,127.3054736285751,14.528740759444965,36.17686965935335,0.034018698937938005
capital,broadband,download,12,True,14218,9016,66.32320052934988,16.490207832172125,3.8470714085796893,130.4979096738086,14.345236439808794,36.15002047565438,0.03734223595125193
capital,broadband,download,13,True,13193,9221,57.32371390397656,15.11185325807516,3.765837332934627,112.64655454620232,14.963681676538942,38.60317988775976,0.034372595871102606
capital,broadband,download,14,True,13976,7774,57.86285527915806,15.069694153497583,3.6472562424450072,114.50189405732363,14.705464998710267,37.389821369784585,0.035532686338855445
capital,broadband,download,15,True,13847,9666,55.62663898273641,14.68129529979378,3.7665344036379445,117.21639737966763,14.871312217629532,38.15167752890173,0.036712709313095386
capital,broadband,download,16,True,13745,7320,53.39782823844591,13.573094273898667,3.1690423054394654,109.50123522555297,15.035144785551433,38.47188657542225,0.03612520107656319
capital,broadband,download,17,True,13000,7464,49.04667297881347,13.249929150641599,3.3483412072560172,104.48807258824725,14.830803427199532,36.912263388734985,0.03442921621390128
