area,network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
capital,broadband,download,0,False,176691,76025,37.543758704032534,10.480414491619596,2.677243579922739,107.60932807105534,33.44739988226404,66.93706948392432,0.04226062073002824
capital,broadband,download,1,False,109272,76355,38.0659315288985,11.101316683614302,2.928434331683249,106.36035934351641,33.35354945204133,66.49817298554329,0.04177217123098386
capital,broadband,download,2,False,73630,43387,38.794642034252504,11.762959213729166,3.0229039263327686,109.42971226119329,33.525474466769424,66.58140260905019,0.04160341983295654
capital,broadband,download,3,False,52795,35229,37.926332111305015,11.8623182108143,3.1792453270417775,108.80946272819455,33.49676640286251,66.61080513821256,0.04118214869893748
capital,broadband,download,4,False,45319,24705,38.678163972915314,13.194057980196797,3.6983940445962675,108.41067843445323,34.324854148577934,67.30969029751915,0.03908312631118265
capital,broadband,download,5,False,51963,28985,37.693193235665596,12.776316492682811,3.7113578153287303,104.13645190385031,34.46637738372296,66.68880652178099,0.038915569266212736
capital,broadband,download,6,False,83703,55913,36.47726958884969,12.043595696398748,3.6101138664303436,95.60435533130445,35.12135881098607,65.94418904319137,0.03972341644397967
capital,broadband,download,7,False,136178,62082,35.08471821457644,10.514727544397202,3.0596563805793777,92.22672185072291,34.90840968907079,65.98018483450609,0.04170724811656587
capital,broadband,download,8,False,271744,135646,39.43992643224418,10.455867907889804,2.531647400664314,96.45971883244007,35.746674511280816,66.86801894363286,0.04777998557955602
capital,broadband,download,9,False,376734,235421,42.30336544114096,10.920343443479293,2.497817222490745,101.35616162211541,35.29784125027859,68.46379603017998,0.04887509852422233
capital,broadband,download,10,False,405552,191031,44.48153464885325,11.373451381132462,2.700490394152518,105.49024886944717,34.75404514991331,67.22322793303279,0.047929010662112824
capital,broadband,download,11,False,390007,205788,46.919091895414745,12.05805554313844,3.002487977112674,109.3511493014743,34.41950989614895,66.2958641087007,0.045979168218814225
capital,broadband,download,12,False,346666,188796,42.649221418905526,10.647458319982627,2.6824491692025303,105.3097109014229,34.595134142516464,66.75524913716475,0.04513808104813674
capital,broadband,download,13,False,408545,205367,44.14254244870515,11.20801708092787,2.7466651500458865,105.86112864059177,34.62117533892445,67.02619821981709,0.04799665590708416
capital,broadband,download,14,False,441379,181110,46.92345374992838,12.198848886218043,2.9948150445541986,108.26295294164491,34.657460742234804,67.52307334209733,0.04682881070531264
capital,broadband,download,15,False,399660,181116,44.68118477439496,11.503526380697902,2.8417161943631397,107.36911998091999,34.50136536206033,66.46183297876057,0.04679851223463921
capital,broadband,download,16,False,372062,169094,44.32076158007762,11.433860052723242,2.9581004710044283,107.85827437929417,34.012570707110825,66.2318108857252,0.04426599253328658
capital,broadband,download,17,False,342743,193151,40.95166353161039,10.437861413829827,2.665141404410202,105.25932454134391,34.15379964834022,67.58502600950246,0.042807434083004595
capital,broadband,download,18,False,346606,180882,37.07132666968719,9.334063781003495,2.371923394935752,104.17285735260963,34.23134442188283,70.63746053603803,0.04403627567393872
capital,broadband,download,19,False,393576,187540,31.225359401349433,7.430351661452975,1.781545391087761,99.47054143706771,35.03619445012276,79.07542688209215,0.04790681164326365
capital,broadband,download,20,False,487397,242755,28.479527544148127,6.177826541964975,1.4162718505997889,98.3504984021977,36.024469139947215,87.04267741683854,0.051962465185801776
capital,broadband,download,21,False,490301,223243,29.759128678874525,6.778988976931999,1.6264000563824217,100.18901819615745,35.50157992320382,79.36668799802511,0.05145580159222984
capital,broadband,download,22,False,387413,173898,33.68874533490958,8.243348373307112,2.1001752451195665,104.22777362293833,34.009224625705684,70.3184461743462,0.04573101438305109
capital,broadband,download,23,False,264552,131983,37.88292350392777,9.71522690570191,2.4999330307085343,107.91934176965617,33.55021220783099,67.90402286152987,0.042011548616611626
capital,broadband,download,0,True,77331,54228,39.134476800884286,10.563830499884384,2.6478931061920212,109.21041711018144,33.352345729985494,66.69123518072925,0.041997140573961034
capital,broadband,download,1,True,49551,27474,39.960621177234124,11.198685603979266,2.886147685601302,109.38544778601289,33.273838620153946,66.2355523882585,0.04227878523611563
capital,broadband,download,2,True,33263,19224,41.483184316747234,11.518458663395558,2.940278453959908,111.11499856712004,33.23267631106728,66.9375494406352,0.04195653828672014
capital,broadband,download,3,True,23090,16431,39.352794357353694,11.550618901547358,2.889724923582981,109.1892163309874,33.24635175675161,66.27970693764355,0.04194673520091152
capital,broadband,download,4,True,18630,9006,40.535173253267736,12.961392872021442,3.5069163425302436,108.42009861959082,33.32677296308445,65.72542466047558,0.039112358639744306
capital,broadband,download,5,True,20452,12499,37.61666322733738,12.56615490884011,3.5920072273865205,99.53692717186402,34.203106433086795,65.17399007140763,0.03973914412066687
capital,broadband,download,6,True,31361,24932,36.584104475868166,12.132931056443661,3.7011816886729174,94.06635414780472,35.29624645497961,67.14696121706953,0.03981937435081185
capital,broadband,download,7,True,49616,30873,37.67439425355779,11.66510618639821,3.3996115674287077,97.38173426309378,34.96141490708966,67.59246231378634,0.03892596906550771
capital,broadband,download,8,True,76056,44275,41.01432123268698,11.545739064181694,3.2091383686925234,104.1028021618558,34.793791468760645,67.58696014678615,0.03973792449440511
capital,broadband,download,9,True,108304,76264,47.39465364000771,12.818099708295229,3.5059366010337794,116.17177130791657,34.02923935705838,66.91145093239972,0.03986213108247115
capital,broadband,download,10,True,125309,71373,47.780479776844324,12.435236766976598,3.306290946496442,115.93390702803379,33.927466463557565,67.54172721757463,0.03992795380306051
capital,broadband,download,11,True,130595,69575,45.30475316523126,11.495391223841311,2.9465908703590133,111.64503973393394,34.17310597079614,67.92150932152775,0.040178071248374234
capital,broadband,download,12,True,132024,73640,41.241277937344115,10.241188545097334,2.5666737736723055,107.64219276637662,34.09031070893734,69.8492550101149,0.042043199307287706
capital,broadband,download,13,True,138416,103434,42.03963949093301,10.739150815307811,2.7508335545983456,107.59384781354592,34.10126909153906,68.33858589910358,0.042428710978601215
capital,broadband,download,14,True,148709,83284,43.10623840098715,10.85230565438558,2.7632769123648577,108.11692092747356,34.14335250368377,67.67151537938952,0.04224883891990209
capital,broadband,download,15,True,144593,88905,40.86992931515333,10.23180894208109,2.577302609555114,107.50164607397065,34.177148057427296,69.05874139851522,0.042670707682107095
capital,broadband,download,16,True,136862,57940,40.61168261179993,10.487053467782262,2.6801574316554593,106.85351206467813,34.12525800016553,67.98011193626198,0.04219597754603771
capital,broadband,download,17,True,128984,68995,39.042172344421985,10.270406460686376,2.6041615497647124,103.85142078271252,34.15490589982865,68.03656503598462,0.04151480118044169
capital,broadband,download,18,True,132075,85434,35.681563497303365,9.314243638935514,2.3338019912477104,102.08938638781694,34.352964520361,70.41275439486769,0.04292761874088556
capital,broadband,download,19,True,150958,85810,30.031721744000542,7.521138531680841,1.8118521129498206,96.58802556434676,34.990293794963485,77.25319193552656,0.04642391491770939
capital,broadband,download,20,True,185745,115534,26.402857942649163,5.9615089720419805,1.490984349648088,93.3282828209273,35.595550160064306,82.76881548189714,0.0530297921587214
capital,broadband,download,21,True,194792,110020,26.510527485445564,6.131159166543906,1.5345433307074725,94.39913859258773,35.499807599074664,78.77454542232911,0.0546335560940267
capital,broadband,download,22,True,157530,94341,31.33629859848155,7.838320571927801,1.9529168325583866,101.25599166983541,34.13555220286482,70.57419167624609,0.048138430457680674
capital,broadband,download,23,True,113228,65517,36.13017814256828,9.253487864949562,2.3965848656873976,104.44359543568476,33.50556132991828,68.04589012698052,0.04329890918536402
capital,broadband,upload,0,False,117967,54013,18.711151599669616,2.714032138898536,0.08854666807192556,76.00249078640684,35.18133197878605,67.55746591063311,0.0
capital,broadband,upload,1,False,72532,52533,18.561410987525424,2.8008358962106357,0.08829740467419521,74.60219154314622,35.14170009742286,67.04910387586204,0.0
capital,broadband,upload,2,False,49231,24766,20.428124150410447,3.512126960928104,0.09209782018843267,78.66626645193237,35.057968767864104,66.36274333279124,0.0
capital,broadband,upload,3,False,34920,25410,19.393124643506194,3.1912459263319244,0.09038626341052809,76.40807184917234,35.095592413981656,66.88234319594415,0.0
