area,network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
capital,broadband,download,0,False,47744,24140,35.30737898088832,14.718802704099566,4.001138853727947,52.63405888135046,178.0934386539377,152.96664905004303,0.04267032004648592
capital,broadband,download,1,False,32085,14874,39.64434961577954,18.385953290577188,5.3025074989856895,58.062250576193655,177.755664745718,151.0634724750623,0.03888819041817372
capital,broadband,download,2,False,25697,14784,42.706696680812755,21.575730460872137,6.920155828512138,57.771724117009896,180.81776112257103,156.17214605386044,0.03453928853172152
capital,broadband,download,3,False,22717,9985,44.00803097740201,23.860294345091923,8.12572046883743,60.265365778543625,183.4166787364319,157.5578392566168,0.03253143417893669
capital,broadband,download,4,False,25628,9929,43.44931998308494,25.065399639856782,10.25270874265855,58.71302326014581,188.4405251185271,160.76559503648502,0.030343276131886754
capital,broadband,download,5,False,49069,14497,47.720173750493025,24.391584382507588,6.2911508870573405,80.69242112177204,181.8768515103511,146.46919821050062,0.04869258471955413
capital,broadband,download,6,False,45580,16716,39.21115179316397,20.246568918086293,5.600093656847134,53.14665318060679,184.98392009926135,154.99275859647588,0.03321881802302547
capital,broadband,download,7,False,115920,41142,44.838870056562904,23.242902611028704,9.28044565606033,59.374461939637456,181.3129048132777,153.46239317079915,0.033719113284969064
capital,broadband,download,8,False,125897,51574,43.17629751805837,19.642631746396425,6.686514044946182,58.09460457167995,179.215757021077,150.03588506724066,0.038191403047537806
capital,broadband,download,9,False,187729,76549,44.04214664810275,21.42222016790868,7.9411540836560235,59.03486759946335,179.9179649249989,151.38504634054084,0.03851342025086018
capital,broadband,download,10,False,204336,65906,44.04660876432526,20.89555531718746,7.7831527240286045,61.67224498882212,179.59119330421535,150.44231443061787,0.04087307623579873
capital,broadband,download,11,False,216243,93835,42.08572799367863,19.736066584556674,7.041527361858779,59.630176066226916,180.27472395953166,150.80371691329591,0.04341768501351957
capital,broadband,download,12,False,191375,73416,39.98336111052132,19.35070478087141,7.193063096924146,54.901941156539806,182.517537789442,156.63629109034022,0.03973671061482007
capital,broadband,download,13,False,196751,67657,40.4370722245417,18.74352312415294,6.671856018174376,55.301663168892695,181.54291914657742,154.480729928863,0.040697343939588154
capital,broadband,download,14,False,182802,53292,41.704745161435326,19.434105568155317,6.855594265652088,56.56363586625835,180.4891004165914,152.634189340529,0.04227148019095862
capital,broadband,download,15,False,148630,60882,39.589306958225784,17.56465776692788,5.41956308253417,57.61733534322736,179.40104258373927,149.6332578008213,0.046162073651026196
capital,broadband,download,16,False,153597,60710,39.720974358964426,17.316620958180454,5.489880509123162,58.53869409042278,179.7045076405006,149.81463856527944,0.04797210184643792
capital,broadband,download,17,False,101197,57517,36.52228464057428,15.329102694383849,4.18982163217984,54.56209914778014,178.7502052251827,148.5083131430944,0.047110806022974704
capital,broadband,download,18,False,100347,39562,33.30339672986201,13.652011157796503,4.039040270950987,48.658530504933154,180.07136441154995,155.1636297329893,0.04538768797911917
capital,broadband,download,19,False,106496,45088,27.867827035872168,10.563073539766009,3.137666381695964,44.15628990083121,179.70614033850353,155.1507820581466,0.05090725722630259
capital,broadband,download,20,False,111316,54784,26.189181294365774,9.177330368899309,2.0264198139461365,44.94165642195813,179.9025249514864,155.6862098536868,0.05941297422256843
