country,network_type,busy_hour,evening_share_pct,degr_med,degr_p10,rtt_ratio,evening_peak,throughput_falls,rtt_rises,verdict,use_for_congestion_claim
philippines,broadband,20,39.2,0.464,0.203,1.433,True,True,True,congestion,True
myanmar,broadband,21,37.0,0.583,0.2,1.098,True,True,True,congestion,True
laos,broadband,20,29.2,0.596,0.437,1.07,True,True,True,congestion,True
vietnam,broadband,11,23.9,0.617,0.279,0.584,False,True,False,implausible-timing,False
malaysia,broadband,20,36.1,0.673,0.397,1.015,True,True,True,congestion,True
indonesia,broadband,20,34.2,0.732,0.541,1.088,True,True,True,congestion,True
cambodia,broadband,12,30.9,0.846,0.622,1.051,False,True,True,implausible-timing,False
thailand,broadband,21,35.9,0.893,0.544,1.021,True,True,True,congestion,True
singapore,broadband,21,39.0,1.253,0.514,0.829,True,False,False,no-congestion,False
cambodia,cellular,21,33.4,0.232,0.122,1.005,True,True,True,congestion,True
myanmar,cellular,20,33.6,0.262,0.196,1.057,True,True,True,congestion,True
philippines,cellular,20,39.2,0.304,0.175,1.202,True,True,True,congestion,True
laos,cellular,20,35.1,0.32,0.281,1.043,True,True,True,congestion,True
indonesia,cellular,20,37.5,0.398,0.242,1.076,True,True,True,congestion,True
malaysia,cellular,22,41.4,0.42,0.19,1.123,True,True,True,congestion,True
vietnam,cellular,10,30.7,0.469,0.307,1.103,False,True,True,implausible-timing,False
thailand,cellular,20,40.0,0.556,0.543,1.085,True,True,True,congestion,True
singapore,cellular,21,38.4,0.729,0.346,0.986,True,True,False,no-congestion,False
