network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
broadband,download,0,False,2460331,700348,9.649019541686021,3.13166923125572,0.9924165589118381,20.200315985446117,19.384181342545396,36.25600337991322,0.06641323778486327
broadband,download,1,False,1605988,531931,10.329673996394419,3.4642719581832586,1.1022961167651926,21.353498086980775,19.07700893084207,35.308351950629245,0.063377782305128
broadband,download,2,False,1047561,401395,10.86263057819315,3.690405199235721,1.186638035934818,22.45031199076027,19.051737898599654,34.92149513157279,0.062001125173652284
broadband,download,3,False,807104,261747,10.812145017518386,3.7194643689432243,1.2091320883871224,22.82748072326997,19.354311699945413,35.52322940101614,0.06304089072906383
broadband,download,4,False,843674,330775,11.135975715069623,3.833360436280535,1.2632440667561795,22.593830765534204,19.82146428261393,36.212020869827356,0.06445722955171464
broadband,download,5,False,1248629,436884,11.429380017887949,3.9222654782381086,1.2817788989059251,22.820340447682774,19.718619632719058,35.39995986335563,0.06512918170561507
broadband,download,6,False,1773015,566742,11.2426864692662,3.7233704759795123,1.1455425369541001,23.3178519756548,20.31400836716795,36.99167291813653,0.06663469155887737
broadband,download,7,False,3163920,881397,11.688180020890988,3.478173802976272,0.9585684781331132,25.413170637797872,20.30508145464679,38.09461534322462,0.06803111767538764
broadband,download,8,False,4729274,1344981,11.917788138041626,3.331011371599035,0.888042508231805,25.957898142896962,19.687767749859905,37.99652435454055,0.06817305400099206
broadband,download,9,False,5482214,1499958,12.148507819874636,3.4421039960836435,0.9172419767074463,26.172188476229756,19.41852444209623,37.418694852023734,0.06773749725618201
broadband,download,10,False,5680114,1146407,11.913960537552324,3.4082927448011424,0.9212984708830331,25.751263832658967,19.50180141207449,37.07254144058267,0.06918437950025463
broadband,download,11,False,5370072,1161231,11.507012489595041,3.3366669683886694,0.920680326079369,25.11718690241528,19.57268426431698,37.168734949261264,0.07152692216548805
broadband,download,12,False,4824466,1177338,11.09586080340254,3.2547247541685116,0.9200602156326512,24.065106522718587,20.178452684512724,37.73944432879568,0.07303140316012166
broadband,download,13,False,5533109,1009832,11.452827488574197,3.3046499163150416,0.9218225580261689,24.942918486007326,19.56597720256393,37.31450485119748,0.07203151094724282
broadband,download,14,False,5475717,1375052,11.657137981303157,3.4143890533275467,0.958277851727056,25.068482282573445,19.459294478737334,36.88339422479651,0.07100892118239806
broadband,download,15,False,5095743,1353206,11.74041636537052,3.568416772769956,1.027783831328377,24.938804622535834,19.49194183872829,36.42724428884019,0.07052133868404843
broadband,download,16,False,5000752,1331041,11.11458113954445,3.4795917116066017,1.026015338863458,23.735621623477297,19.44398500933401,36.030720601382825,0.07094876042766711
broadband,download,17,False,5091113,1404108,9.826951543661744,3.0224568250350807,0.9052850269772305,21.62624054940531,19.994847793250546,37.46396421092142,0.0766375738875689
broadband,download,18,False,5683900,1252543,9.013206653693809,2.656984107476412,0.7718576018464699,19.803042563774415,20.654255549689513,39.49887782158525,0.0835661962407504
broadband,download,19,False,6577421,1476723,8.206853357238206,2.31976545296697,0.6716090392049865,18.638070758940533,21.122712663221776,41.296195318527005,0.08897699541302158
broadband,download,20,False,7098247,1544834,7.826754480551937,2.170294655777531,0.6282469761031174,18.01303158277132,21.753197944009543,42.672042154687155,0.0912112124335381
broadband,download,21,False,6174630,1210575,8.026995522724311,2.2976321487473186,0.6651760005304763,17.966894138196746,21.686180663188125,42.00140215753203,0.08510805940997553
broadband,download,22,False,4815655,1009503,8.852842055776856,2.6554647493584884,0.7846904107198646,18.967996038530295,20.75245259664484,39.53709533746219,0.07477707100733065
broadband,download,23,False,3527509,765735,9.472245992412788,2.9709772572804307,0.9074111834796453,19.870215204449902,19.920249860439615,37.61580147766616,0.0685831263099894
broadband,download,0,True,1111675,420204,9.577424277269873,3.0726420545421456,0.9728968512283354,20.210044447309198,19.159680580105142,36.170853145191344,0.06652555850986992
broadband,download,1,True,746567,303935,10.267836492840752,3.419125768741612,1.0830744142278947,21.320276881815865,18.82904094812412,34.75278164399598,0.06374016416950157
broadband,download,2,True,496265,190019,10.867336037836386,3.694938273964033,1.167339161342028,22.538928884158604,18.72923044542496,34.266043514116184,0.062209385195403734
broadband,download,3,True,372935,164359,11.154253982291575,3.809200109323588,1.253482316850752,23.21101764346828,18.90296643789398,34.45978177964388,0.06266771313141599
broadband,download,4,True,376291,163083,11.198726697882769,3.8790983880011223,1.277263522192,22.714410639579253,19.220305882661737,34.73074365703585,0.06426023845830452
broadband,download,5,True,516473,249440,11.093218120494452,3.8335903335199637,1.2413834510322537,22.45436497816732,19.402475067860387,34.856239262472315,0.06523641601658176
broadband,download,6,True,678190,287453,10.203872684949381,3.3920591176552026,1.0538916905105373,21.274922567297782,20.054749133389997,36.79039938855234,0.06828836017436284
broadband,download,7,True,981659,314550,10.320629682118884,3.2754792328496025,0.9735919333069228,22.306995677767734,20.067715063021108,36.92280033804915,0.06959423773357518
broadband,download,8,True,1330795,437316,10.320311413376768,3.137835495693013,0.9238563245148697,22.469919596271033,19.89772603153573,37.31663455059329,0.0701989859948012
broadband,download,9,True,1646120,478962,10.4195827883948,3.1385366938675885,0.9143840407653198,22.654850035611513,19.653777577746553,36.906121000943635,0.07128890666006626
broadband,download,10,True,1883298,562025,10.284354408384143,3.0846112540612407,0.8951300843064498,22.377575911351645,19.612575026840116,36.96406883732784,0.07339646580220874
broadband,download,11,True,1967425,637122,10.066768826342715,2.9979522422951264,0.8660871376133993,22.058413294020234,19.679717118765996,37.299261351908804,0.07595486293262818
broadband,download,12,True,1903065,588781,9.852437901754271,2.9335558879093027,0.8600198349961096,21.44880417216613,19.929196383506685,37.57555793117397,0.07706835955731929
broadband,download,13,True,1909767,639720,10.016003989645334,2.9978183881096814,0.8766000812564636,21.646285325592785,19.693813374229443,37.38808801019086,0.0753740442465096
broadband,download,14,True,1885077,487439,10.170215317679977,3.085156223220615,0.9077643744198233,21.919971482959454,19.51693021643185,37.00709667033473,0.07421727590206405
broadband,download,15,True,1812314,756203,10.198077076418922,3.1764069367633034,0.9411568946743984,21.7493902999688,19.48498390658548,36.54155810536699,0.07315171678417205
broadband,download,16,True,1821786,536711,9.893408588067711,3.1075968822700473,0.9488191378690115,21.303128668041786,19.497292938567455,36.38031492389438,0.0730582029980725
broadband,download,17,True,1917615,498217,9.28405263826759,2.846195124025594,0.8507461653686769,20.055188316616274,19.85138810836729,37.51011478776081,0.07755444171898493
broadband,download,18,True,2138210,489364,8.572339436771767,2.516931479590663,0.7432001096028108,18.789836128462014,20.417654238530673,39.4661100987546,0.08345884736597106
broadband,download,19,True,2401285,662780,7.808551254762049,2.22891557000232,0.6532820358249264,17.854824922195824,21.03542685730264,41.53999643486348,0.08763180434797047
broadband,download,20,True,2556866,726331,7.471746828274652,2.0929928491037675,0.6134616310280074,17.386331766721863,21.560041800967674,42.65578422583378,0.08886390379525429
broadband,download,21,True,2345668,641475,7.754661730443016,2.230520923553214,0.6522597150966923,17.599126193440878,21.36417704140281,41.7560736899503,0.08348956241171501
broadband,download,22,True,1915969,595028,8.474531731333087,2.5337677756296135,0.7479892117772262,18.443424263993002,20.625628362910778,39.585404583478045,0.07514012373910808
broadband,download,23,True,1435781,435594,9.191440189449096,2.858950783872402,0.8774438547429613,19.298000139280607,19.888496407344007,37.829229404085055,0.06896115605834215
broadband,upload,0,False,1785341,497178,6.250673614414026,1.2806989812963596,0.08077255965765158,13.566975790652195,20.92632235407756,37.53714656253101,0.0
broadband,upload,1,False,1165191,445194,6.613509777868974,1.4621827346898466,0.08162052439177721,14.311123503537832,20.51038515855986,36.35686929849438,0.0
broadband,upload,2,False,766488,382749,6.871150439914946,1.5917141127784347,0.0825137699693449,15.150152562331543,20.400538657607722,35.84442427178139,0.0
broadband,upload,3,False,597156,214763,6.9718197294718385,1.7029248893514781,0.08372008794659369,15.675904946961701,20.685491873368658,36.309525114040575,0.0
broadband,upload,4,False,638012,232344,7.230650691848614,1.8383544743563716,0.08623395964802073,15.837442710203755,21.211098550205964,37.027602411717396,0.0
broadband,upload,5,False,959651,368369,7.418840633913865,1.8972866215149247,0.08828462153960279,16.050682120516623,21.109640721709045,36.47541132408778,0.0
broadband,upload,6,False,1350407,449685,7.264894621803364,1.727151693825519,0.08374808448557931,16.2183159363931,22.046614629392053,38.572693169269066,0.0
broadband,upload,7,False,2433643,749968,7.116693753704334,1.3952920682816286,0.0821028145777195,17.374733391442504,22.159578949403738,40.05592045897755,0.0
broadband,upload,8,False,3651048,1342650,6.851389966464006,1.099615021506429,0.08120351315322406,17.49577050336691,21.512065928493726,40.22672755054126,0.0
broadband,upload,9,False,4249440,1353206,6.927294032748274,1.11984063868153,0.08138255721667961,17.511712377270438,21.193279960072605,39.554658174705196,0.0
broadband,upload,10,False,4398443,986519,7.000807423750923,1.1907852164765487,0.08162784388378222,17.487349751459632,21.219709753170356,39.1570164321432,0.0
broadband,upload,11,False,4140361,1015126,7.116835845702113,1.327241441263467,0.08191678704143208,17.33445410191589,21.226443223899988,39.002692195913646,0.0
broadband,upload,12,False,3679849,846609,7.087712752737357,1.4235954952623804,0.08217555115072252,16.813770159025964,21.904895257955882,39.385383512126744,0.0
broadband,upload,13,False,4219686,869294,7.064871629433804,1.2900730546224282,0.08180183619156688,17.26575614294983,21.245687781988842,39.064266731162114,0.0
broadband,upload,14,False,4189219,1185616,7.104626806166629,1.310261009515815,0.08167758489435463,17.2894551888733,21.11184303039747,38.65017452828642,0.0
broadband,upload,15,False,3880216,1004430,7.295552850868164,1.4674272584536499,0.08184088399132608,17.296710351841824,21.11519944354227,38.0925430930679,0.0
broadband,upload,16,False,3778511,1113046,7.231798586633702,1.524364276665528,0.08207786606188991,16.76938426477523,21.094710770488128,37.73861276876843,0.0
broadband,upload,17,False,3821595,1290095,6.754326868699809,1.441082981149599,0.08189461540966021,15.479591459063828,21.790196134664278,39.17449261050992,0.0
broadband,upload,18,False,4244426,1066310,6.264331682038763,1.268328311475093,0.08128533123031591,14.260981465033902,22.539480090279163,41.312182023369616,0.0
broadband,upload,19,False,4885836,1249260,5.637291892656401,1.0287740564822365,0.0795163033418861,13.347719063538905,23.19851725952166,43.44321134185203,0.0
broadband,upload,20,False,5251000,1334265,5.252973597189708,0.9089908950710174,0.07833599830269433,12.771030746378703,23.95450404584164,45.07265345247753,0.0
broadband,upload,21,False,4574112,1017125,5.396338788899793,0.9710951145959521,0.07845116522251322,12.68012713130146,23.813385861938475,44.29476060297695,0.0
broadband,upload,22,False,3567100,883927,5.822398790981325,1.1032301196801382,0.07975403585637812,13.18860771345257,22.7155865432813,41.46814950183729,0.0
broadband,upload,23,False,2601159,690938,6.176806231116289,1.2470929721139812,0.08082609784425125,13.53017773586371,21.71038368633577,39.37015286002654,0.0
broadband,upload,0,True,807329,349640,6.3238339430240655,1.3022068664928341,0.08139233101486323,13.775076316144343,20.7080998443476,37.377435318825114,0.0
broadband,upload,1,True,543693,243232,6.6476731763415,1.4953329770677273,0.08183944721144451,14.406533996714238,20.224612977982808,35.715163086897526,0.0
