network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
broadband,download,0,False,815,365,28.387584890597314,9.052085010603527,2.6074947705832985,30.22295912537132,76.63771874999999,114.35214145141457,0.060775125808660756
broadband,download,1,False,562,207,26.61564974763441,8.564097903441802,1.1355592225288162,26.48657448194526,78.39393749999999,120.17390391459074,0.0621640225928358
broadband,download,2,False,464,280,25.43237356009064,9.0346337602239,3.622305329315196,26.69199584441489,74.96976530612244,131.47545689655183,0.05877637956249277
broadband,download,3,False,371,156,25.299421020816986,9.526148959617526,3.5913883104729556,24.223188908715947,72.14588,109.4483638814016,0.06686163222338538
broadband,download,4,False,343,162,29.345249028922865,8.709274686658624,2.0343152422552575,26.954936857921865,74.21456,111.680498542274,0.0660835996694733
broadband,download,5,False,481,152,26.565320275877774,6.862123125875679,1.5733240233280092,23.949794314776884,72.80510204081632,113.29956964656965,0.07619549097390885
broadband,download,6,False,567,300,27.8961038565559,7.911399894435567,1.8753963110770613,34.42426109477706,75.7969609375,119.06693298059967,0.06031113710830225
broadband,download,7,False,865,358,23.626161594309217,6.031405708814464,1.0976164591790967,41.94529906777129,75.082,114.96529248554906,0.06261120377389005
broadband,download,8,False,1269,647,26.51867623679647,8.078646397367722,1.569103254450003,47.67000744479671,76.41961495844876,115.29748107255523,0.06460931383473148
broadband,download,9,False,1578,582,26.837458472280293,8.045496865718032,1.5759819316496766,51.3195675649085,75.48434027777779,113.20329087452468,0.0694323589618885
broadband,download,10,False,1687,561,25.339301047200436,7.5107439336039965,1.6546472877659855,43.681302395555164,74.19842973372782,111.97020509780675,0.07206969164456131
broadband,download,11,False,1654,836,24.021781834508964,7.283379995235199,1.7183313150211645,46.33494933773338,75.45719279999999,116.5453041112454,0.0701104098240699
broadband,download,12,False,1545,653,25.22900227529284,7.2168113974476205,1.3026119290207419,39.36488517724543,75.6870625,113.31961269430046,0.07375145375438853
broadband,download,13,False,1740,869,28.251339583971788,8.95907598106374,1.7455213565905956,48.504195395494484,75.78014923747277,112.20987701149429,0.06891750443479622
broadband,download,14,False,1697,899,23.434707704386962,7.157424473084468,1.5899460052094676,42.34192987397104,75.72946301775147,114.01492570754695,0.06888940375352481
