network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
broadband,download,0,False,59989,33248,47.574753230664854,13.679344675852875,3.8578084019060985,105.9130222304977,16.463914245648656,41.02858615571901,0.03271960584615523
broadband,download,1,False,39611,20577,48.4750052280511,15.72384333160264,4.542053274475336,103.41083170821464,17.71608263044509,42.97433797126332,0.030575103813391045
broadband,download,2,False,28500,14678,53.845447507245076,18.045258064328284,6.09017121873975,103.10603608291883,18.172381441818573,43.92743372986631,0.02915257605748482
broadband,download,3,False,22390,9819,60.01764147113654,19.032935555203366,6.763790540442913,130.85023192167685,18.529292239083365,44.49407928000357,0.0280285967483949
broadband,download,4,False,19834,7868,61.94350793136165,19.550348308928157,8.172322467478336,127.82455257061689,19.237725568390264,45.27267328829282,0.026882443355598373
broadband,download,5,False,21482,8063,65.57971425443031,19.59674616156658,8.623452301404301,122.09850455259242,19.058840598788795,43.616192626384866,0.026846625895291912
broadband,download,6,False,27055,14320,64.6376465873133,19.58874005320423,7.2749184757663485,133.7448345331532,17.55438582306785,42.41748364321886,0.028102309966639462
broadband,download,7,False,32317,13277,53.59082233690993,18.25196752174991,6.012212274138492,103.40993927695571,19.840114864457437,45.11570638482252,0.02799017414099537
broadband,download,8,False,74834,26281,33.118845182707936,28.259521436873836,8.361562666485561,86.27597144611683,28.000004742765906,43.738281103404056,0.05248185840565394
broadband,download,9,False,63628,30341,64.61770856775784,17.801589486126815,4.943522579021205,126.90842930121163,15.880795328354255,39.90069802867385,0.033465207262993346
broadband,download,10,False,77472,39461,68.56136738438805,18.701493207096636,5.083951740250667,132.44289198979567,15.021034955065092,38.48748066469544,0.03373802433711475
broadband,download,11,False,82477,42459,72.55684174616063,19.415498865457053,5.419798319503121,138.59172770349608,14.899738929367317,37.328053371502016,0.034441958981142114
broadband,download,12,False,79459,41777,65.86054421708752,17.600704018703503,4.920993889499539,132.287316011601,15.517100052170147,39.35623254116107,0.034921527050619204
broadband,download,13,False,72637,41642,61.00800701960755,16.88870381523079,4.460610271873896,122.29380716315595,15.980002883112336,40.94975772514454,0.035580152118633586
broadband,download,14,False,82775,37223,63.38718675409148,17.211521800131,4.421787080949929,127.54555362258787,15.514177248503728,40.42106997317097,0.035230203586391666
broadband,download,15,False,84714,61608,60.938260990045855,16.19141464719272,4.015066735612599,122.32389379380811,15.634854534792533,40.44958321131685,0.0354088197081765
broadband,download,16,False,80433,45950,61.138055611267674,15.888027522961632,4.205778305188014,120.538293515614,16.007170780012565,40.25659214764513,0.03616661316121518
broadband,download,17,False,74363,34061,54.602762398512596,15.297350497841482,4.194758403523242,115.46340949396023,16.13512796728218,40.106877120068816,0.03409666182944252
broadband,download,18,False,71558,31455,53.33480752199512,15.045341987868069,3.940432259797488,109.61260209277557,16.730628466547866,41.39958543609248,0.03472832835426765
broadband,download,19,False,78792,48994,49.70858243599176,13.755326222343914,3.5015411520387527,104.9593610544865,17.037448502618123,42.197883801252,0.03588624519716917
