network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
broadband,download,0,False,15934,6612,12.569743662490623,5.577928671360969,1.2598124029536188,15.236599117079832,84.44399999999999,122.96295410597685,0.10477053471639149
broadband,download,1,False,10477,4664,14.133953255119675,6.95915873717233,1.8886258013296904,16.652908346350976,82.97800000000001,117.37135246371273,0.1035159551435262
broadband,download,2,False,7444,3075,14.73993051677192,7.433221174221774,1.8595589482573427,17.406673047288,82.865,118.78049549791696,0.09946098638866013
broadband,download,3,False,5838,2553,15.14269429412684,8.180401565241377,2.486111228948552,18.49833189897825,80.6265,111.92748835217544,0.09509291984593447
broadband,download,4,False,5377,2144,15.880384561147379,8.537158718901807,2.465913297187062,18.775833297879725,81.381,115.02347665984746,0.09405341023131647
broadband,download,5,False,6036,2904,15.38020882408668,8.034456026865016,2.4513407603920947,17.251668203937534,81.755,113.10234067937034,0.0982742065543675
broadband,download,6,False,9739,4354,14.30683382887332,6.989238142451773,1.8036468506586574,16.3624227569521,83.586,116.02380534155107,0.09932966665294199
broadband,download,7,False,15650,5555,14.030648037592837,6.455527041904006,1.4527337869437196,17.165554641194593,84.432,117.50445771271491,0.10648595992409265
broadband,download,8,False,23514,8826,14.743271180143278,6.398588442821049,1.5028748812562363,20.816799845329495,84.629,115.6972918031391,0.10706720284472113
broadband,download,9,False,34624,9697,16.08187027029285,7.134806765451482,1.6215542443325064,23.196074193310157,84.928,116.17311726290235,0.10877621122201278
broadband,download,10,False,38420,16803,15.335960179750622,6.663178236677901,1.4246653586836233,22.006390006550546,85.0,116.27153102460613,0.1108539342058796
broadband,download,11,False,40207,13325,14.848650930225007,6.143264727961088,1.221251448028219,21.298508802149637,85.0,117.99715363371715,0.10924251744729475
broadband,download,12,False,37217,13675,13.669685226458915,5.3791177113679955,1.082033485772978,19.253272692892402,85.265,118.16436670340617,0.11337578808738952
broadband,download,13,False,39153,11687,13.869790060221165,5.245898788808516,1.012636735919241,20.273547263753887,86.585,121.24661860465132,0.11435538354953945
broadband,download,14,False,37897,11372,13.60299848078067,5.0164341331141955,1.0030362734763794,19.652488345120968,85.95349999999999,119.75225716699212,0.11249433526388924
broadband,download,15,False,36905,14376,14.100937513429098,5.5618668805163916,1.109038900506472,20.47126884634733,85.0255,117.63958079384011,0.11076783240576926
broadband,download,16,False,34412,11676,13.926028957373994,5.427828194294483,1.091400952673325,20.227825817563236,85.776,119.4790569136413,0.11159768594356825
broadband,download,17,False,31131,9994,12.794262577657468,5.082576498700149,1.0579631883872267,16.69781718118537,86.358,120.44861770093505,0.11117811464292396
broadband,download,18,False,36048,11946,11.491762177201185,4.108667656469224,0.8387195267909892,14.938390671714167,86.672,122.51351667684109,0.1176147221832774
broadband,download,19,False,43307,13907,9.817853592652934,2.8071288075178567,0.5266571260857437,13.071243840353207,88.4225,127.49870359931626,0.12432945059571704
broadband,download,20,False,52132,16179,8.378167540966562,2.0112959334852567,0.4163691285259075,11.576813857097498,90.307,133.61017361430976,0.13266394883733093
broadband,download,21,False,52479,16938,8.500875657443048,2.2090293701516184,0.44419815648386457,11.548454936083075,90.0,133.94694156116537,0.1298208978805911
broadband,download,22,False,40838,12687,9.630299227494245,2.9413234812277613,0.6241025648018679,12.246533355583146,87.774,129.34505855977275,0.12131374348095841
broadband,download,23,False,27210,10355,11.313757822013834,4.355016917286468,0.9741508153462253,13.877771424570673,85.098,123.1786574727862,0.11046282760755828
broadband,download,0,True,7793,2963,11.852072275004794,5.12527440022108,1.1052849582084652,14.606333296625928,84.6575,124.02872708600762,0.10654352428831858
broadband,download,1,True,5235,1981,14.374713539430843,6.816474428567439,1.42447609137853,15.889433514524294,81.112,117.65021621104951,0.0985039315175861
broadband,download,2,True,3378,1535,15.759302274698413,7.9896838508550205,2.3727586321538645,16.880306421565443,81.27000000000001,117.13825370041448,0.10109794722924494
broadband,download,3,True,2628,1140,16.35766255012955,9.049411646900356,2.4524020375686413,17.547166482542156,80.10249999999999,113.93595129375956,0.10023447227470095
broadband,download,4,True,2444,935,15.930324259599994,8.86438382823414,2.5378204532398816,16.760546689126425,79.966,109.6083322422259,0.09347552187952733
broadband,download,5,True,2629,1146,14.722114029815184,7.590087751143716,2.520903259070212,15.609695661666345,81.523,114.30601522649413,0.0954961785774419
broadband,download,6,True,4085,2277,14.317962873216455,7.069021475804745,1.8298591528820274,16.15063164450276,83.0,114.69021650746998,0.10170819462100698
broadband,download,7,True,7087,3227,14.322087360949318,7.046356134341196,1.73740402555483,17.4783033082652,83.98349999999999,115.52735690093132,0.10917469667853766
broadband,download,8,True,10208,4285,14.039654966458237,6.6356278974421175,1.6320475977724456,18.14604743987515,84.501,115.2568978931896,0.11162194908680247
broadband,download,9,True,13430,5526,14.008633916512203,6.507462793252667,1.5097460610075262,18.70775082007614,84.392,116.35933740685547,0.11008167915018367
broadband,download,10,True,15238,7616,13.727151526397364,5.796213553231258,1.1731000793663235,17.382985128191525,85.082,117.8926726186569,0.11245770943761779
broadband,download,11,True,15633,6484,13.326978575945027,5.562815881041343,1.138312060123653,16.93816721359436,84.971,118.67109666474617,0.11699043911145926
broadband,download,12,True,13745,7395,11.858951025474001,4.342414655751834,0.8916080232110631,16.057808452465054,86.352,121.2849675282126,0.1146933564051631
broadband,download,13,True,13592,8275,11.263060129837722,4.06831157804159,0.8153759623886355,15.97308840650796,87.0,123.57121475916925,0.11544941032024571
broadband,download,14,True,13186,6425,11.299821598336393,4.171963664386534,0.8407449050493883,15.815534684279136,87.119,123.39434453972825,0.11592583658806703
broadband,download,15,True,12850,5499,11.669681254322954,4.355386439340837,0.8591187505400935,16.701240161383776,86.0,124.15713517091028,0.11379835232292133
broadband,download,16,True,11618,5405,11.739547825338011,4.527817349569718,0.9744498758236524,16.39867106382327,86.0,122.1128948501551,0.11177693212436447
broadband,download,17,True,11887,6345,11.85472201322416,4.48762957823336,0.975768540500008,15.168787994997908,86.1105,122.49351102879275,0.11187439123125532
broadband,download,18,True,13475,5078,10.82436068307976,3.4654257181873698,0.6784749770167496,14.150212851325524,87.334,125.05391114245414,0.1167956902977797
