network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
broadband,download,0,False,229434,91673,89.65414542767685,24.124526428849233,4.187944913891959,195.12816299379452,7.236173180763856,35.63220153247007,0.0194809682640916
broadband,download,1,False,134626,76761,81.3544129704422,23.318035744236305,4.36948495516745,187.05663600509124,8.091333266226158,38.15987426800638,0.021020644163503775
broadband,download,2,False,90873,26079,77.60067397025456,27.721258122339798,5.802240459363052,195.58416001611036,8.103865216986247,39.73644240042273,0.021735838233699064
broadband,download,3,False,57635,20272,71.77272606472037,28.522659350340337,6.625724207164404,189.18025335911452,8.456870976037505,39.46601714593128,0.019462777984094386
broadband,download,4,False,47925,18796,73.88593225339793,30.478904831300447,7.999468779324624,195.22119299239014,8.858535846082688,40.093023837852485,0.018586613858563406
broadband,download,5,False,46671,12481,70.95319919368775,31.085691922351348,9.19538302709866,196.59624004269818,8.685770666883254,38.201912326946996,0.017230458978757975
broadband,download,6,False,61252,23698,84.57185335462921,31.667067999594916,8.33493373279388,194.5574036458918,7.703306249035487,34.77624117041947,0.017480169188749606
broadband,download,7,False,88168,39663,85.48514828256525,29.331152980522344,6.678378830593874,185.57006164919923,7.460718574901073,33.81430750641038,0.01824368371687741
broadband,download,8,False,164899,51240,90.03871582495599,30.881011152312368,7.066496865939435,186.7020590519501,6.927822073525539,33.577958568898005,0.020903321808427605
broadband,download,9,False,266994,105466,88.30497571695602,26.113711500412528,6.390105645322225,183.39520112668754,6.738443379034386,32.331950623297516,0.027508400080337038
broadband,download,10,False,303316,87341,87.21939106069831,25.3219278794857,5.748003626539979,182.81889601478898,6.780458556863393,33.534233570045814,0.027049546834829775
broadband,download,11,False,300582,104696,90.53628298958589,27.79913098714116,5.905413939027531,191.23750006763365,6.735386078348232,33.771736502251684,0.024451695177533272
broadband,download,12,False,270192,120824,90.47716984664766,26.93793605948267,5.603737196200086,194.91955579524833,6.937129374588943,35.96731908339299,0.023182599345324666
broadband,download,13,False,286007,139456,87.00408349629252,25.259507590884237,5.257807269960735,185.72374664475288,7.282274718030889,38.841781652377314,0.023847668527794207
broadband,download,14,False,329902,124304,87.90337776385162,25.068255992573185,5.24189620634743,188.00021998088968,6.966054095181465,36.604439573402146,0.02492449576542547
broadband,download,15,False,339654,124622,86.36015354463915,23.6089197853011,5.321626450009307,184.83964153367594,6.980395426345461,35.167594707869604,0.026002953027432604
broadband,download,16,False,338054,115906,87.46374799509864,23.847516118806574,5.427797587537451,190.06696850829348,6.844530345953426,34.571839058588,0.02616097734418364
broadband,download,17,False,314340,115871,88.92730438500861,24.17950484560575,5.0379361975129395,191.14741553490646,6.886551169877249,34.74944226521276,0.023810058560752825
broadband,download,18,False,299504,113461,92.40087271339321,26.214262857081934,5.121327250404236,202.6885640374602,6.753621361053224,34.5954617709935,0.021235139166093334
broadband,download,19,False,324872,121278,92.34396530039241,25.288005873857895,4.583467917538846,197.3519899687455,6.813473328525921,34.3881375403783,0.021317090204389388
broadband,download,20,False,412309,169716,91.84309210482843,24.004362873436243,4.205589431005068,196.7688994750225,6.845584171674014,33.92419556841015,0.021766519153258983
broadband,download,21,False,479955,162915,90.23476787329218,22.506632022765796,3.9647909987323957,191.23633122863046,7.320386029966058,35.24901242458736,0.022862815429436793
broadband,download,22,False,473520,168205,88.09313284184925,21.109053553465642,3.5759710353402183,188.40449881671205,7.5582565786530305,36.31180523242926,0.023386421592156204
broadband,download,23,False,360611,154537,89.36594935070404,22.17209115708945,3.849793473150632,189.7748365589879,7.301139305514962,34.883528885794014,0.021057919171303684
broadband,download,0,True,113099,50551,89.25058614892404,22.835520730342733,3.9722585458087893,193.47398176121195,7.4470377142589,35.33477859360763,0.02082820217767082
broadband,download,1,True,68371,29598,85.53043576547196,23.80022119941794,4.4279236454892015,189.8842280159209,7.784079324739854,37.242437341762944,0.019435019480253724
broadband,download,2,True,44989,15496,84.31019643617542,27.34947295054788,5.499998832553448,199.08753172335338,7.530034792877585,37.66597898365393,0.021212073447209587
broadband,download,3,True,27921,10544,78.063010043276,27.114992108356386,5.691611971219641,188.7517287181498,8.257597652390068,39.61261148140182,0.019710397146215423
broadband,download,4,True,20878,8945,81.22323340533171,30.59370616313282,8.132937326162738,199.31706161332022,8.741919852341091,39.02153804868696,0.01828396604053192
broadband,download,5,True,19021,5935,70.4287476656589,30.31135558547476,8.92975843338895,192.46217881198953,8.638392597307222,39.234628575936064,0.01627599051492262
broadband,download,6,True,20600,8044,72.78944574739107,29.963408523983656,8.69771992627806,182.67335167779507,7.909416667055294,35.39531354080692,0.01754912661916159
broadband,download,7,True,32565,15132,85.26252262211908,29.3513439009169,7.103571952079415,193.1944135870232,7.163577051177245,32.80473088384377,0.01641765681518616
broadband,download,8,True,53853,21064,92.57203433809978,31.949406251821973,6.978767328115901,199.17433443343992,7.008918220500142,34.67967771173851,0.016592829452966276
broadband,download,9,True,77979,34418,96.172399222276,31.827921113695773,6.8095893136283285,205.96312169133083,6.623655147460533,31.534647738061654,0.016972040182304488
broadband,download,10,True,101986,47935,96.73549920100224,31.521371670083546,6.025814979098388,202.17271756772763,6.672615507152394,32.760917112115905,0.017870454591570283
broadband,download,11,True,117246,53855,97.1524372576397,30.86257152478668,5.8339047752688336,204.44222080586795,6.638834350919644,32.04101140009555,0.017852712330524077
broadband,download,12,True,118675,59799,98.54380562705357,29.779176488947293,5.464490015955375,204.76249932677575,6.681391663189714,32.272291874942034,0.018274993972108897
broadband,download,13,True,123962,65170,95.80108521027165,28.764491709781133,5.327179197012643,200.2336449781577,6.847399904077435,34.45679940610199,0.01809372160902586
