network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
broadband,download,0,False,147324,61585,38.6482996998924,16.00882473060897,4.249840492629471,65.00277952209169,79.15143829454286,134.01653066849502,0.04751856444059117
broadband,download,1,False,104546,42684,42.052030374887764,18.237376704079697,5.295104887402539,69.39186492319016,86.198294118358,136.83797330131878,0.04688868156563591
broadband,download,2,False,85705,43073,43.498389132922156,19.530584266277867,6.372528621199873,70.98988480757629,138.39541903785104,141.8647793542821,0.04646505125557732
broadband,download,3,False,75356,26966,45.16092196379659,21.021479869713623,7.630581571980154,72.44664654380844,170.11145778087595,143.88632302036063,0.04653329551632781
broadband,download,4,False,79764,31913,45.091820382384405,22.122824383684414,8.406755419591644,71.71957150123545,175.72491349848352,143.63319048096687,0.04495235984428778
broadband,download,5,False,155185,43179,53.558304106465485,24.41313568519555,7.874673179772219,95.45700118116771,122.7176609882989,131.34360359715933,0.05420435896239106
broadband,download,6,False,142193,55275,41.091035230931645,18.755911190242177,5.387903902573213,64.51641403699712,92.70664220509904,134.36099155999463,0.043319753267971405
broadband,download,7,False,331444,135037,49.678362714414035,23.62939174506473,8.39660362170101,74.25465788456151,135.28121517169697,130.618210950795,0.040544976082877986
broadband,download,8,False,363047,152747,46.97757194299435,20.481530647947263,6.7675519865645155,71.23099658375324,105.73351868006083,128.89207718709588,0.0432783219831259
broadband,download,9,False,531260,219603,48.960879125872,22.455187861806493,8.001084439600854,73.80745584640248,144.11229175587775,130.02527359815383,0.04259289950869972
broadband,download,10,False,578401,244046,49.19474440635508,21.951243679979452,7.563827827815087,75.98038377570998,128.70355421158283,129.16210189436237,0.04507018556060195
broadband,download,11,False,620599,284235,47.082100204289226,20.679365356348104,7.004637878256798,73.51359517860053,146.98931529933813,130.2676548683551,0.04662412689321108
broadband,download,12,False,536251,209519,43.643858489992525,19.54496744316544,6.508055780950908,67.49190691353736,164.0754757539939,134.38242286305842,0.0436097253747987
broadband,download,13,False,558363,211119,44.682426468252686,19.78894404817612,6.85731503971589,68.69059489172416,168.38328050228202,133.7864146642112,0.04376868903042794
broadband,download,14,False,518818,191127,45.49544622670414,20.145307533001397,6.601143330999155,69.35223668876905,158.69974526823697,132.59083088409741,0.04527841736452473
broadband,download,15,False,431932,204284,44.11103314223991,18.481338935606853,5.473957822754097,70.66911028878475,109.29898054021723,130.96693248454588,0.04869144845417833
broadband,download,16,False,440344,182988,43.82764844516143,18.115332430012334,5.289856202504226,71.10457804883238,113.61003816869972,131.03345338911848,0.05089910433837785
broadband,download,17,False,307655,156568,39.04456717384792,15.407598247078885,4.08177227056549,65.04117682590494,82.74638859280454,130.3118221660882,0.04989324418866172
broadband,download,18,False,300843,134726,35.4891667930189,13.86968114780178,3.654738932250932,58.843259320632974,90.92338217855155,133.15024640196273,0.049636924695614794
broadband,download,19,False,325225,177851,31.13952784967893,11.176769005803171,2.7914928044167113,54.58746849821839,90.95628764314733,132.63015932338914,0.05435181243373254
broadband,download,20,False,345145,189708,28.782927440748953,9.16902454329161,1.8325025018823153,54.8191668510837,89.53690539338288,133.4198377425095,0.06319804731206738
broadband,download,21,False,366729,185286,29.76928963392645,9.27186460865735,1.8743104304519695,58.70040990239575,84.31975742313642,131.0390108935197,0.06502570363197317
broadband,download,22,False,321929,152229,32.34744093172457,10.73838575884867,2.462103658798206,61.782398423006704,80.36675948415055,130.1401404866228,0.05989764484319394
broadband,download,23,False,225255,114921,35.38381435846716,13.816809451083275,3.5469433812014524,62.152349259955464,79.28890112272528,132.52951293403967,0.051254482786786786
broadband,download,0,True,73700,36176,35.354409758603346,15.79519028351418,4.439444503516943,60.81869623262028,122.16046132682033,138.30748977929815,0.0474985495851867
broadband,download,1,True,50800,22317,39.68584950094196,18.173041320276738,5.515751734758995,67.27203493539488,102.88961240900726,137.5402292199867,0.04805499968378516
broadband,download,2,True,40848,15384,41.09492443622041,18.469165360262842,6.685347679881366,68.10011780953162,97.73006585495936,138.51884169033386,0.047112724494953157
broadband,download,3,True,34717,13418,41.65142452829826,18.76340617486055,6.894883091385425,68.55659790946984,168.24504083129546,144.24248081465694,0.04861591233269773
broadband,download,4,True,38253,13053,43.19671122664732,20.913954486990992,8.503419782796113,67.69443531217453,173.72975381794424,141.72092527909223,0.045271765812675085
broadband,download,5,True,67282,29653,49.94847238475415,21.858524798257513,7.533995926032475,91.02399203580238,110.56348588533672,130.5896451493036,0.05466313983927898
broadband,download,6,True,58430,25140,41.06131313872749,18.588171849384366,5.8556982235093695,64.53778169407722,80.40067349495598,132.51755211720823,0.04524834256592453
broadband,download,7,True,158951,57184,50.26656007372765,24.498497116237143,9.349879188812453,76.27444966460234,124.02734318422876,129.35202471279575,0.04104802449204327
broadband,download,8,True,196223,72287,48.38732627704437,22.387097124009834,8.512714115838406,75.1699913755166,107.52057554250256,128.59687272755053,0.04423575565009017
broadband,download,9,True,266088,119477,49.21098293780099,22.633474057670654,8.546507583684912,75.8118088887878,139.21145894585558,130.1875383683622,0.043959736660290155
broadband,download,10,True,278742,78886,49.32874720888075,22.088044941077836,7.717619860078345,77.15025445167302,120.43281497052249,128.75224430353367,0.04643484936944158
broadband,download,11,True,279295,119385,47.35429831281412,20.70356305639151,6.950414221094682,73.76019144665077,157.20991607703849,131.60018036518215,0.047315058171072774
broadband,download,12,True,220961,98511,43.36900915915555,19.420640397469107,6.3292232121499445,67.55156434410344,145.87859354593516,133.9030392998068,0.04406431366949034
broadband,download,13,True,213092,117502,43.45222930809293,19.105114826027854,6.28490295952592,67.74881940559779,160.25861345411846,134.4272939929593,0.04336360076685254
broadband,download,14,True,199716,110736,44.60107053670459,20.086423849055485,6.369726935237987,68.79867895374595,143.96121957862715,133.51506055987784,0.04397788112902966
broadband,download,15,True,169099,90624,43.28454792647485,18.48203692730515,5.1480542116777075,69.94108402438816,98.93128502768317,131.6267398069399,0.047806041557747196
broadband,download,16,True,174600,102500,43.759718545201096,18.01900876155587,4.8232073470988786,70.98231100557965,102.49564596421291,130.4790210269256,0.0510489075030748
broadband,download,17,True,121807,66120,38.67048579530937,15.065019473532542,3.97652419102858,64.94876169085111,83.30332426658006,130.0967216564279,0.05033807443616252
broadband,download,18,True,112522,48899,34.33194993384674,13.553573184873903,3.378414775633456,57.93723513759279,79.80015837208349,130.41990780860883,0.051867275917106645
broadband,download,19,True,110506,60427,31.069643046316855,11.044068861770953,2.4496260987283613,55.31179551985888,74.96965219446798,128.0154258833539,0.05639507583067855
broadband,download,20,True,122395,70454,29.23213826108925,9.446483895745546,1.9645196846576864,56.268488761752074,78.54232551388702,130.91358616771694,0.061290822504377104
broadband,download,21,True,130989,78810,30.505475422580584,9.290104488456205,1.9887783809337172,60.579692335494826,75.47898145251811,127.00541520557132,0.06496646240203126
broadband,download,22,True,120515,72710,31.92012469214259,10.481354152920705,2.4271327221507892,61.69301578657824,78.31207840253705,129.9333659715074,0.061459119125821755
broadband,download,23,True,86329,45213,33.45629391574732,13.057066916037847,3.2434764570501646,60.06228623150626,76.1288587080651,131.92980596115498,0.05383991633466293
broadband,upload,0,False,128255,60554,20.75953127780441,5.838758615142979,1.1782068849507668,40.529654048876466,75.73752329496088,128.42017854162927,0.0
broadband,upload,1,False,92755,35448,20.189911865304847,5.314669532512428,1.0257813544208767,40.24843191036655,79.63474312253162,129.84509747498714,0.0
broadband,upload,2,False,78231,37213,20.70601265779415,5.654294399446015,1.1381874734106308,40.0287202957493,97.944122208945,133.66681212128972,0.0
broadband,upload,3,False,69681,26787,19.652391313562894,5.275299133511471,1.0937625051400515,38.840168373340546,147.89269106235054,136.67140710441336,0.0
broadband,upload,4,False,74699,29430,20.39653020059531,5.988939978050026,1.219751626308314,40.07935622390192,173.49635532570414,138.0737452739251,0.0
broadband,upload,5,False,151034,43140,29.298680812971448,10.169853407380893,2.318027738840318,64.05273611915008,125.1952630075594,129.93608322849752,0.0
broadband,upload,6,False,126127,55545,21.888940636966154,7.82410840255184,1.7303732245555241,40.44428010174342,86.83458254056441,131.01929147967832,0.0
broadband,upload,7,False,312300,124449,25.16179314117231,9.036837675939383,2.142257718606876,48.17049383376075,124.92582081202538,128.39058592178864,0.0
broadband,upload,8,False,340402,147174,24.211263171704275,8.131554751075555,1.9158694582738112,47.011191654077955,100.05374759051496,126.75552096823479,0.0
broadband,upload,9,False,509674,206063,23.898358913989302,8.05265764177147,1.7517724930043719,47.976799254583284,130.66649001363788,128.23914652915957,0.0
broadband,upload,10,False,553718,230467,24.94246830474055,8.421413998585805,1.8970386283795597,50.60204755216154,119.14899787525512,127.59750562761756,0.0
broadband,upload,11,False,593175,254052,24.43153069398072,8.124503320290954,1.84611001736212,49.29672352092522,134.5273001476912,128.6457614418487,0.0
broadband,upload,12,False,504693,192816,22.364890522508762,6.99691549624646,1.4516688608614308,44.53424725266092,160.72997287991964,132.10267709681483,0.0
broadband,upload,13,False,530129,191304,22.16883607816483,7.105776122554346,1.5200395481936362,45.11067427962291,164.7336344980824,131.695584862935,0.0
