province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
ARMM,2023-Q1,2023,1,27.442635164523125,18.258656111872636,88.57044280271343,10775,5,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2023-Q1,2023,1,50.35500334686278,37.49394572219001,54.695449793585055,172604,82,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2023-Q1,2023,1,53.00688825228472,36.95402913999983,81.66414724797411,154317,18,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2023-Q1,2023,1,45.32964455982076,33.268036402361005,66.32557427712423,67909,64,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2023-Q1,2023,1,53.30565631317037,39.39915295150706,76.51603884258128,1586781,169,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2023-Q1,2023,1,31.55178940188419,18.751046935828274,86.22558057319392,40836,31,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2023-Q1,2023,1,58.00973738402852,39.46365643481495,57.60027945986134,892939,170,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2023-Q1,2023,1,55.787122368722,37.805746447828795,84.60338890960479,839832,92,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2023-Q1,2023,1,46.71013196700897,31.93546434253669,112.88115706106194,528230,41,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2023-Q1,2023,1,27.588991174641563,18.36919357301447,84.21206244666405,39877,45,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2023-Q1,2023,1,46.76877953971305,31.186309972437325,70.97866285290773,129582,91,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2023-Q1,2023,1,40.51531213262526,27.959577486033727,63.08998359989155,29538,28,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2023-Q1,2023,1,58.1489865704575,39.361308673092424,66.30770854082793,2857840,87,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2023-Q1,2023,1,48.22114274488235,32.93677286988885,90.9675094543814,319009,58,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2023-Q1,2023,1,40.27899104700635,24.699109513484515,107.96769492128831,64648,29,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2023-Q1,2023,1,42.421905328137264,28.548261917685785,95.35409723465524,226907,75,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2023-Q1,2023,1,49.5481224527436,28.137614543607324,90.96245702981498,59941,21,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
ARMM,2023-Q2,2023,2,25.252787672247788,18.15859087360113,100.03509332337897,9385,4,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2023-Q2,2023,2,52.72694123938885,36.618719870245904,55.37431587707135,171954,80,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2023-Q2,2023,2,58.404603348981986,42.77803159712039,78.2094302995532,165665,18,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2023-Q2,2023,2,48.50592655737817,37.13917317864273,65.12613815217813,57560,49,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2023-Q2,2023,2,59.37107749061398,46.04355954015528,75.01837141649959,1555292,174,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2023-Q2,2023,2,37.4671984909551,30.02613522312301,96.95877803131616,50875,32,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2023-Q2,2023,2,57.89050150538201,44.52354011239194,54.73121195467439,826423,181,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2023-Q2,2023,2,58.64545342403785,44.06429701267065,85.32438752687956,856469,97,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2023-Q2,2023,2,48.23637268901251,36.26654880061909,111.6585644846682,604659,42,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2023-Q2,2023,2,27.227570425418435,17.383313630394234,81.53878126115794,42045,51,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2023-Q2,2023,2,51.778983713173204,36.520717876436386,60.68806115811066,126415,89,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2023-Q2,2023,2,45.05318263323904,30.196211954598613,72.03025899462008,23799,29,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2023-Q2,2023,2,61.52135622098931,43.26932418716744,64.11161516141507,2888869,91,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
Northern Mindanao,2023-Q2,2023,2,49.61307237669281,34.48709400194862,92.48476533733162,316412,58,True,Mindanao,1,5178326,4096,229,9122.78,291746.51
Soccsksargen,2023-Q2,2023,2,39.59814206896837,25.621643241670196,102.67516915431229,59614,28,True,Mindanao,4,4462776,2459,202,5476.79,175147.62
Western Visayas,2023-Q2,2023,2,50.63145864134108,34.23351570957912,86.67291528951901,211971,73,True,Visayas,2,9766855,2765,372,6158.32,196943.14
Zamboanga Peninsula,2023-Q2,2023,2,48.19402000582383,29.92465785244268,107.80825869532019,58949,21,True,Mindanao,4,5089934,2525,213,5623.78,179848.62
ARMM,2023-Q3,2023,3,24.70878244706337,16.03807739341153,78.53038125142714,8768,7,True,Mindanao,4,4545486,1278,330,2846.41,91028.33
Bicol Region,2023-Q3,2023,3,64.00390253415966,43.42616286003373,54.626943659161356,280776,89,True,Luzon,4,6064426,2002,319,4458.94,142596.8
CAR,2023-Q3,2023,3,55.53808895012591,39.61508386058999,91.53009942984396,172686,23,True,Luzon,1,1808985,4145,89,9231.91,295236.64
Cagayan Valley,2023-Q3,2023,3,47.42704797619612,35.99360000155983,69.41545218107473,63172,72,True,Luzon,3,3777608,2606,122,5804.19,185618.02
Calabarzon,2023-Q3,2023,3,59.91562109124092,42.72968716811345,77.77560685167788,1494553,184,True,Luzon,2,16933234,3647,854,8122.75,259765.51
Caraga,2023-Q3,2023,3,40.79459078545473,28.346826251592763,104.25299216420537,57746,31,True,Mindanao,3,2865196,2630,121,5857.64,187327.47
Central Luzon,2023-Q3,2023,3,58.171894948070594,43.38913095426571,54.950143041937075,892516,194,True,Luzon,2,12989074,3697,510,8234.11,263326.87
Central Visayas,2023-Q3,2023,3,62.04693985839573,40.487047646448545,90.85637464218443,1118602,97,True,Visayas,2,6640875,3448,647,7679.53,245591.3
Davao Region,2023-Q3,2023,3,48.50845178326466,34.76514094038673,127.92841551859125,676375,46,True,Mindanao,1,5389422,4079,245,9084.92,290535.65
Eastern Visayas,2023-Q3,2023,3,27.832104495668922,18.1630819448377,75.16520274446789,48575,53,True,Visayas,4,4625929,2076,191,4623.75,147867.62
Ilocos Region,2023-Q3,2023,3,48.463917464465446,31.71737898156105,70.19758076685038,121194,96,True,Luzon,3,5342453,2716,386,6049.19,193453.01
Mimaropa,2023-Q3,2023,3,46.75664215424918,32.209394207556905,64.14472284977597,32598,39,True,Luzon,3,3245446,2680,100,5969.01,190888.83
NCR,2023-Q3,2023,3,62.40655130601207,41.42014179567505,64.51206460812632,2833868,98,True,Luzon,1,14001751,10426,20247,23221.22,742614.53
