province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Central Region,2023-Q1,2023,1,133.2617754026354,84.60362269281107,43.17369144117735,938305,1,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2023-Q1,2023,1,155.64842664872802,106.81007699720573,23.797619736419165,6225,1,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2023-Q1,2023,1,44.236378626791506,26.00049154489473,63.015330929674946,55484,3,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2023-Q1,2023,1,3.615242549368019,0.08834971485462931,37.614,1,1,False,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2023-Q1,2023,1,739.1613521166482,,1.854,1,1,False,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2023-Q2,2023,2,124.336474689809,80.86982491078479,45.283866127136896,906658,2,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
North Region,2023-Q2,2023,2,34.45252299013045,21.295945414411516,79.68206900027809,28777,1,True,North Region,4,599400,107758,4456,132617.35,4241102.85
Central Region,2023-Q3,2023,3,165.30390702048328,115.89884270232997,33.71586391248,725680,2,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
North Region,2023-Q3,2023,3,47.26285531217423,27.545011764736728,55.590922188120594,38819,1,True,North Region,4,599400,107758,4456,132617.35,4241102.85
West Region,2023-Q3,2023,3,62.12406554471036,89.59774217866679,3.402,1,1,False,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2023-Q4,2023,4,185.47032544161084,142.3382618275687,29.442486601303997,610382,42,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2023-Q4,2023,4,171.85736975461685,132.49257043491232,28.49252866375254,47833,14,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2023-Q4,2023,4,91.83958724607734,66.45133357700747,50.1768686637371,48503,11,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2023-Q4,2023,4,180.32257352866404,140.60811619787975,25.741594272350305,69727,9,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2023-Q4,2023,4,189.97859563324153,153.92640960757498,27.333939169794654,72509,16,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2024-Q1,2024,1,187.42358269004256,143.30917426194054,33.2064547157127,507479,40,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2024-Q1,2024,1,191.1869539494397,151.57314383814463,26.711384482599176,97362,15,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2024-Q1,2024,1,155.73277304451096,118.54541886639244,45.92001790803802,60725,13,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2024-Q1,2024,1,207.67371831491653,161.59688643788036,23.37173738183466,132286,9,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2024-Q1,2024,1,192.61393365758,162.2620722519504,27.364914288224107,125288,21,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2024-Q2,2024,2,190.61362408988484,143.3836469692353,41.59638015115087,568408,36,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2024-Q2,2024,2,205.9439381268327,161.76075012404885,28.991386313417316,136722,14,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2024-Q2,2024,2,142.34395371054967,107.91260290789796,65.36535356751156,65698,10,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2024-Q2,2024,2,216.23624102756227,169.65038387944335,21.376272288371407,199556,8,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2024-Q2,2024,2,190.51731704165732,149.9307405514697,35.09874107253655,169316,18,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2024-Q3,2024,3,197.43868587368925,155.62565736363416,43.82080358644255,522350,36,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2024-Q3,2024,3,225.29346475892746,189.4015563132302,24.40397765173469,120858,12,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2024-Q3,2024,3,192.33518518218426,163.8251505360807,38.622008719966544,69418,9,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2024-Q3,2024,3,228.08901455525535,191.9975926221461,21.533994864129173,172029,7,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2024-Q3,2024,3,213.96245864783555,178.8944975389685,24.537502072354606,154708,12,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2024-Q4,2024,4,218.16001413763357,175.5559099900748,44.899403540246794,534745,36,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2024-Q4,2024,4,239.13450725843808,205.3559371755129,19.840901667828195,104803,12,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2024-Q4,2024,4,189.788868051047,171.35078436295524,39.26596097789432,53413,6,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2024-Q4,2024,4,247.1525636212603,211.70602447922062,22.665017612382478,165468,8,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2024-Q4,2024,4,234.9368270163546,196.8830809476171,20.461229860615806,150084,15,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2025-Q1,2025,1,210.73786099973412,170.9491767326625,49.7157260871853,513428,43,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2025-Q1,2025,1,252.25792004578375,213.19822085545272,20.41246821840376,93109,12,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2025-Q1,2025,1,125.24177719279969,91.40515054845523,69.3314482283173,67461,7,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2025-Q1,2025,1,263.29313211991195,229.58593133189797,20.254704815020563,185481,10,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2025-Q1,2025,1,265.82359975967256,226.73068634371,19.112688716552544,181884,17,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2025-Q2,2025,2,251.79060009454994,218.358670477761,33.22225118790109,221070,38,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2025-Q2,2025,2,256.82072913750415,227.79951777702547,22.506254023398622,53282,10,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2025-Q2,2025,2,187.64778768137796,170.64197462453757,54.42858218691756,22543,4,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2025-Q2,2025,2,262.34946392111675,231.29049967307694,21.909921113778214,104199,8,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2025-Q2,2025,2,278.76070698009863,249.58563819115858,20.515380400873877,104875,15,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2025-Q3,2025,3,278.73149570495656,259.74050931858693,33.87246366064468,241233,37,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2025-Q3,2025,3,271.06525078988733,243.98748080320644,25.141167830340148,53593,11,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2025-Q3,2025,3,228.1066949503758,215.2110822288893,39.33214142776841,17798,5,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2025-Q3,2025,3,270.4277962087045,239.53321066482368,25.548170986807694,101404,8,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2025-Q3,2025,3,290.64847528435394,254.6828984523631,25.353072181355547,108111,15,True,West Region,4,944480,107758,4020,132617.35,4241102.85
Central Region,2025-Q4,2025,4,298.2429481558387,274.4956295143644,32.1203373108715,174875,38,True,Central Region,2,975310,107758,7304,132617.35,4241102.85
East Region,2025-Q4,2025,4,301.73210443853696,259.35177681875854,21.05367228181919,35817,11,True,East Region,3,710690,107758,6368,132617.35,4241102.85
North Region,2025-Q4,2025,4,223.06571579469423,222.96364950795987,39.678069326293155,10229,5,True,North Region,4,599400,107758,4456,132617.35,4241102.85
North-East Region,2025-Q4,2025,4,295.98310782939507,257.83625462414886,19.396031084731582,78876,8,True,North-East Region,1,974650,107758,8778,132617.35,4241102.85
West Region,2025-Q4,2025,4,303.52530767140496,259.11241915685,21.510372470339412,69055,15,True,West Region,4,944480,107758,4020,132617.35,4241102.85
