province,quarter,year,quarter.1,avg_d_mbps,avg_u_mbps,avg_lat_ms_wt,total_tests,n_tiles,is_reliable,region,internet_tier,pop_2024,gdp_per_capita_raw_2021,density_per_km2,gdp_per_capita_usd_ppp_2021,gdp_per_capita_thb_2021
Amnat Charoen,2023-Q1,2023,1,64.42626776853518,35.01462511701199,162.27382238442826,822.0,5.0,True,Northeastern,4,372000,77048,113,7939.27,253897.82
Ang Thong,2023-Q1,2023,1,77.27707674120298,43.55938557863608,114.275989184178,3236.0,7.0,True,Central,3,269000,142287,283,14661.7,468881.2
Bangkok Metropolis,2023-Q1,2023,1,98.38708892651536,64.833578840248,107.8961220726068,643576.0,49.0,True,Bangkok & Vicinity,1,5456000,593927,3488,61200.11,1957179.52
Bueng Kan,2023-Q1,2023,1,52.88063096564323,33.56945965175839,187.63662198391418,373.0,5.0,True,Northeastern,4,419000,80159,105,8259.84,264149.56
Buri Ram,2023-Q1,2023,1,67.37312662563573,42.468914001373676,139.46513626943005,3860.0,12.0,True,Northeastern,4,1566000,80684,155,8313.93,265879.6
Chachoengsao,2023-Q1,2023,1,118.86079892489411,73.38839858544787,98.59101506523464,13873.0,12.0,True,Eastern,2,733000,400385,142,41256.93,1319396.7
Chai Nat,2023-Q1,2023,1,58.784051158659324,43.41433922248115,173.40280681818183,616.0,6.0,True,Central,3,314000,135667,131,13979.56,447066.18
Chaiyaphum,2023-Q1,2023,1,49.89971188954624,31.84873805772748,176.24468571428574,805.0,5.0,True,Northeastern,4,1106000,73134,88,7535.96,240999.93
Chanthaburi,2023-Q1,2023,1,71.85189772088525,55.08605638552072,111.5936252993686,4593.0,7.0,True,Eastern,2,536000,243317,83,25072.15,801807.38
Chiang Mai,2023-Q1,2023,1,56.44392090634447,42.81700512442297,169.85435323613447,88547.0,21.0,True,Northern,2,1799000,133306,79,13736.27,439285.93
Chiang Rai,2023-Q1,2023,1,51.65154036120507,41.22652291231887,162.07641901920834,13744.0,10.0,True,Northern,3,1298000,90203,112,9294.8,297247.75
Chon Buri,2023-Q1,2023,1,88.6085155991281,59.22250079810485,107.7120606205514,108742.0,12.0,True,Eastern,1,1636000,524002,363,53994.82,1726754.27
Chumphon,2023-Q1,2023,1,58.77195652027561,49.98872653592263,112.126925346177,4983.0,6.0,True,Southern,2,508000,259853,84,26776.07,856298.79
Kalasin,2023-Q1,2023,1,56.64868240443108,43.4866077275886,138.8002229185318,3351.0,12.0,True,Northeastern,4,962000,77397,139,7975.23,255047.88
Kamphaeng Phet,2023-Q1,2023,1,69.71181224542967,52.905253370249014,149.1387092801828,7877.0,10.0,True,Northern,3,701000,141987,82,14630.79,467892.6
Kanchanaburi,2023-Q1,2023,1,68.2521285436146,47.75990259056885,104.86815191670613,2113.0,5.0,True,Western,3,896000,127365,46,13124.09,419708.43
Khon Kaen,2023-Q1,2023,1,57.58400037787751,43.31925564814202,184.16418405948343,45996.0,12.0,True,Northeastern,3,1772000,124489,166,12827.74,410231.09
Krabi,2023-Q1,2023,1,60.20108500085254,57.69797583334071,101.16225147928994,4394.0,6.0,True,Southern,2,484000,168552,91,17368.13,555432.78
Lampang,2023-Q1,2023,1,55.32566394656001,35.72882915983222,163.56838657890515,6229.0,13.0,True,Northern,3,704000,104754,56,10794.18,345197.95
Lamphun,2023-Q1,2023,1,63.67624262772953,52.20059414164222,149.822949068323,2415.0,7.0,True,Northern,2,397000,226464,89,23335.56,746271.35
Loei,2023-Q1,2023,1,56.51697748097962,48.26129379385238,133.36948287971904,2278.0,8.0,True,Northeastern,4,632000,105205,60,10840.65,346684.14
Lop Buri,2023-Q1,2023,1,116.41131357042673,70.30855515759406,104.51911190529374,8954.0,11.0,True,Central,3,725000,142287,111,14661.7,468881.2
Mae Hong Son,2023-Q1,2023,1,45.92130794613478,43.13029857995307,146.40338073394494,218.0,3.0,False,Northern,4,288000,65653,23,6765.09,216347.64
Maha Sarakham,2023-Q1,2023,1,41.06156319525825,34.44872514906879,129.89306836384438,3496.0,9.0,True,Northeastern,4,930000,85228,165,8782.16,280853.53
Mukdahan,2023-Q1,2023,1,50.438370633384636,29.716219788994326,145.4506404494382,1335.0,2.0,False,Northeastern,4,351000,67203,85,6924.81,221455.39
Nakhon Nayok,2023-Q1,2023,1,68.55807947146175,62.059401461335,104.57576629361422,1519.0,3.0,False,Eastern,3,260000,115666,121,11918.59,381156.48
Nakhon Pathom,2023-Q1,2023,1,111.54142103600941,69.31025095737105,100.57750653432021,58231.0,8.0,True,Bangkok & Vicinity,2,926000,297901,432,30696.66,981679.12
Nakhon Phanom,2023-Q1,2023,1,56.25168845029384,42.10164803077865,162.82961336664584,1601.0,8.0,True,Northeastern,4,711000,87122,125,8977.33,287094.87
Nakhon Ratchasima,2023-Q1,2023,1,61.61713910714712,47.967390087051115,179.44388282927196,53102.0,28.0,True,Northeastern,3,2620000,126119,126,12995.7,415602.46
Nakhon Sawan,2023-Q1,2023,1,66.92131257382951,54.89729345284923,166.5788047319557,10017.0,9.0,True,Northern,3,1014000,119856,106,12350.34,394963.87
Nakhon Si Thammarat,2023-Q1,2023,1,59.39516827895253,57.81183835707582,99.7142231672742,4938.0,16.0,True,Southern,3,1535000,122494,154,12622.17,403656.93
Nan,2023-Q1,2023,1,119.63135577389868,66.48866880748983,95.6056422647984,17485.0,7.0,True,Northern,4,471000,81233,39,8370.5,267688.73
Narathiwat,2023-Q1,2023,1,48.03337477423421,47.986119592365405,101.63629376000002,3125.0,10.0,True,Southern,4,824000,61787,183,6366.73,203607.94
Nong Bua Lam Phu,2023-Q1,2023,1,57.0164035840765,51.39907731432387,187.58097826086956,230.0,4.0,False,Northeastern,4,504000,63568,123,6550.25,209476.9
Nong Khai,2023-Q1,2023,1,46.890746276687345,36.53122450494677,187.05776802824002,1983.0,11.0,True,Northeastern,4,512000,97617,156,10058.76,321679.25
Nonthaburi,2023-Q1,2023,1,92.1294622199857,59.56426073202509,99.0343714493377,67417.0,9.0,True,Bangkok & Vicinity,1,1318000,193641,2069,19953.38,638109.06
Pathum Thani,2023-Q1,2023,1,89.2926657798377,58.7342928437229,104.59741075733643,24058.0,13.0,True,Bangkok & Vicinity,1,1236000,230401,813,23741.25,759245.02
Pattani,2023-Q1,2023,1,60.66361325819729,50.56385534270326,103.94007467532465,5236.0,7.0,True,Southern,4,741000,78131,375,8050.86,257466.65
Phangnga,2023-Q1,2023,1,39.85856950159184,36.19287343818114,103.864710723192,2807.0,5.0,True,Southern,2,266000,194282,49,20019.43,640221.36
Phatthalung,2023-Q1,2023,1,69.26779747474649,63.59461342713084,73.06369237749546,3306.0,4.0,False,Southern,3,519000,81529,135,8401.01,268664.14
Phayao,2023-Q1,2023,1,55.714045920676476,42.57341069711266,177.73250117004676,2564.0,6.0,True,Northern,3,455000,96550,74,9948.82,318163.15
Phetchabun,2023-Q1,2023,1,66.22071716092961,53.75320511010635,146.9672687609075,2292.0,9.0,True,Northern,3,961000,88485,75,9117.77,291586.39
